num,totalcells,layer,SOVEREIGNT,ADMIN,ADM0_A3,ISO_N3,year,commercial_group,totaltonne,calories,proteins,fats
1,168,0.005952380952380952,Fiji,Fiji,FJI,242,NA,NA,0,0,0,0
2,346,0.002890173410404624,Gabon,Gabon,GAB,266,2019,Anchovies,0.18730143763005783,245364.88329537577,37460.28752601156,8990.469006242774
3,55,0.01818181818181818,Republic of the Congo,Republic of the Congo,COG,178,NA,NA,0,0,0,0
4,70,0.014285714285714285,Equatorial Guinea,Equatorial Guinea,GNQ,226,NA,NA,0,0,0,0
5,180,0.005555555555555556,Liberia,Liberia,LBR,430,2019,Anchovies,0.40156436594444445,526049.3193872223,80312.87318888889,19275.089565333332
6,183,0.00546448087431694,Cameroon,Cameroon,CMR,120,NA,NA,0,0,0,0
7,237,0.004219409282700422,Ivory Coast,Ivory Coast,CIV,384,2019,Anchovies,0.002088494582278481,2735.9279027848097,417.6989164556962,100.24773994936709
8,171,0.005847953216374269,Ghana,Ghana,GHA,288,2019,Anchovies,315.60187672514616,413438458.50994146,63120375.345029235,15148890.082807016
9,171,0.005847953216374269,Sierra Leone,Sierra Leone,SLE,694,2019,Anchovies,0.69538092748538,910949.0150058478,139076.18549707602,33378.28451929824
10,190,0.005263157894736842,United Kingdom,Falkland Islands,FLK,238,NA,NA,0,0,0,0
11,2082,4.803073967339097e-4,Argentina,Argentina,ARG,032,2019,Anchovies,3.201924307396734,4194520.842689722,640384.8614793468,153692.36675504321
12,4369,2.2888532845044633e-4,Chile,Chile,CHL,152,2019,Anchovies,107.96043172350652,141428165.55779356,21592086.3447013,5182100.722728312
13,306,0.0032679738562091504,Uruguay,Uruguay,URY,858,2019,Anchovies,0.0781728818627451,102406.47524019607,15634.576372549018,3752.2983294117644
14,3559,2.809778027535825e-4,Brazil,Brazil,BRA,076,2019,Anchovies,1.4441522253441978,1891839.4152008991,288830.44506883953,69319.3068165215
15,813,0.0012300123001230013,Peru,Peru,PER,604,2019,Anchovies,4635.598004920049,6072633386.445264,927119600.9840097,222508704.23616233
16,340,0.0029411764705882353,Ecuador,Ecuador,ECU,218,2019,Anchovies,27.0197987,35395936.297,5403959.74,1296950.3376
17,166,0.006024096385542169,Suriname,Suriname,SUR,740,NA,NA,0,0,0,0
18,759,0.0013175230566534915,Colombia,Colombia,COL,170,2019,Anchovies,1.5055187338603426,1972229.541357049,301103.74677206855,72264.89922529645
19,203,0.0049261083743842365,Guyana,Guyana,GUY,328,NA,NA,0,0,0,0
20,937,0.0010672358591248667,Venezuela,Venezuela,VEN,862,2019,Anchovies,0.05824518913553896,76301.19776755603,11649.037827107792,2795.76907850587
21,665,0.0015037593984962407,Panama,Panama,PAN,591,2019,Anchovies,173.88173368421053,227785071.12631577,34776346.7368421,8346323.216842106
22,311,0.003215434083601286,Costa Rica,Costa Rica,CRI,188,NA,NA,0,0,0,0
23,61,0.01639344262295082,Trinidad and Tobago,Trinidad and Tobago,TTO,780,2019,Anchovies,0.117744042147541,154244.69521327873,23548.8084295082,5651.714023081968
24,197,0.005076142131979695,Guinea-Bissau,Guinea-Bissau,GNB,624,2019,Anchovies,0.25368212096446696,332323.57846345176,50736.424192893384,12176.741806294413
25,314,0.0031847133757961785,Nicaragua,Nicaragua,NIC,558,NA,NA,0,0,0,0
26,83,0.012048192771084338,Gambia,Gambia,GMB,270,2019,Anchovies,3.9783099060240965,5211585.976891566,795661.9812048193,190958.87548915664
27,109,0.009174311926605505,El Salvador,El Salvador,SLV,222,NA,NA,0,0,0,0
28,34,0.029411764705882353,Togo,Togo,TGO,768,2019,Anchovies,317.77133294117647,416280446.15294117,63554266.5882353,15253023.981176471
29,410,0.0024390243902439024,Nigeria,Nigeria,NGA,566,NA,NA,0,0,0,0
30,35,0.02857142857142857,Benin,Benin,BEN,204,NA,NA,0,0,0,0
31,178,0.0056179775280898875,Guinea,Guinea,GIN,324,2019,Anchovies,0.021760397533707867,28506.120769157307,4352.079506741574,1044.4990816179777
32,232,0.004310344827586207,Mauritania,Mauritania,MRT,478,2019,Anchovies,10.385543900862068,13605062.51012931,2077108.7801724134,498506.1072413792
33,9,0.1111111111111111,Western Sahara,Western Sahara,SAH,732,NA,NA,0,0,0,0
34,452,0.0022123893805309734,Algeria,Algeria,DZA,012,2019,Anchovies,22.705875553097343,29744696.97455752,4541175.110619469,1089882.0265486725
35,322,0.003105590062111801,Senegal,Senegal,SEN,686,2019,Anchovies,3.8080110093167696,4988494.4222049685,761602.201863354,182784.52844720494
36,283,0.0035335689045936395,Honduras,Honduras,HND,340,NA,NA,0,0,0,0
37,127,0.007874015748031496,Guatemala,Guatemala,GTM,320,2019,Anchovies,28.16509148031496,36896269.8392126,5633018.296062992,1351924.391055118
38,126,0.007936507936507936,Belize,Belize,BLZ,084,NA,NA,0,0,0,0
39,126,0.007936507936507936,Jamaica,Jamaica,JAM,388,NA,NA,0,0,0,0
40,101,0.009900990099009901,United States of America,Puerto Rico,PRI,630,2019,Anchovies,1.451865606930693,1901943.9450792077,290373.1213861386,69689.54913267326
41,317,0.0031545741324921135,Dominican Republic,Dominican Republic,DOM,214,NA,NA,0,0,0,0
42,246,0.0040650406504065045,Haiti,Haiti,HTI,332,NA,NA,0,0,0,0
43,1082,9.242144177449168e-4,Cuba,Cuba,CUB,192,NA,NA,0,0,0,0
44,3508,2.8506271379703536e-4,Mexico,Mexico,MEX,484,2019,Anchovies,35.1316506758837,46022462.38540764,7026330.13517674,1686319.2324424174
45,612,0.0016339869281045752,Libya,Libya,LBY,434,2019,Anchovies,0.24422192418300653,319930.72067973856,48844.38483660131,11722.652360784314
46,879,0.0011376564277588168,Greece,Greece,GRC,300,2019,Anchovies,15.384717742491466,20153980.24266382,3076943.5484982934,738466.4516395904
47,154,0.006493506493506494,Albania,Albania,ALB,008,2019,Anchovies,0.00320590988961039,4199.741955389611,641.181977922078,153.8836747012987
48,49,0.02040816326530612,Montenegro,Montenegro,MNE,499,2019,Anchovies,5.754727144897959,7538692.559816327,1150945.428979592,276226.90295510204
49,116,0.008620689655172414,Bulgaria,Bulgaria,BGR,100,2019,Anchovies,1.482943351724138,1942655.7907586207,296588.6703448276,71181.28088275861
50,943,0.0010604453870625664,Morocco,Morocco,MAR,504,2019,Anchovies,14.355552806150584,18805774.176057264,2871110.561230117,689066.534695228
51,354,0.002824858757062147,Tunisia,Tunisia,TUN,788,2019,Anchovies,15.139484689265538,19832724.942937855,3027896.9378531077,726695.2650847457
52,396,0.0025252525252525255,Portugal,Portugal,PRT,620,2019,Anchovies,22.332187911616163,29255166.164217174,4466437.582323233,1071945.0197575758
53,1038,9.633911368015414e-4,Spain,Spain,ESP,724,2019,Anchovies,50.39294194123313,66014753.943015404,10078588.388246626,2418861.21317919
54,1273,7.855459544383347e-4,Italy,Italy,ITA,380,2019,Anchovies,31.339591311076195,41054864.61750981,6267918.262215239,1504300.3829316571
55,24,0.041666666666666664,Slovenia,Slovenia,SVN,705,2019,Anchovies,0.27460221333333334,359728.8994666667,54920.44266666668,13180.90624
56,87,0.011494252873563218,Belgium,Belgium,BEL,056,NA,NA,0,0,0,0
57,93,0.010752688172043012,The Bahamas,The Bahamas,BHS,044,NA,NA,0,0,0,0
58,1413,7.077140835102619e-4,France,France,FRA,-99,2019,Anchovies,4.375331036801132,5731683.658209483,875066.2073602264,210015.88976645432
59,11362,8.80126738250308e-5,United States of America,United States of America,USA,840,2019,Anchovies,0.8937392701813062,1170798.443937511,178747.85403626124,42899.484968702694
60,12614,7.927699381639449e-5,Canada,Canada,CAN,124,NA,NA,0,0,0,0
61,1758,5.688282138794084e-4,Iceland,Iceland,ISL,352,NA,NA,0,0,0,0
62,6653,1.5030813166992335e-4,Denmark,Greenland,GRL,304,NA,NA,0,0,0,0
