num,totalcells,layer,SOVEREIGNT,ADMIN,ADM0_A3,ISO_N3,year,commercial_group,totaltonne,calories,proteins,fats
1,168,0.005952380952380952,Fiji,Fiji,FJI,242,NA,NA,0,0,0,0
2,346,0.002890173410404624,Gabon,Gabon,GAB,266,2019,Cod-likes,2.2569848447976875,1850727.5727341035,406257.2720635838,15798.893913583812
3,55,0.01818181818181818,Republic of the Congo,Republic of the Congo,COG,178,NA,NA,0,0,0,0
4,70,0.014285714285714285,Equatorial Guinea,Equatorial Guinea,GNQ,226,2019,Cod-likes,1,820000,180000,7000
5,180,0.005555555555555556,Liberia,Liberia,LBR,430,2019,Cod-likes,3.4174271794444446,2802290.2871444444,615136.8923000001,23921.990256111112
6,183,0.00546448087431694,Cameroon,Cameroon,CMR,120,NA,NA,0,0,0,0
7,237,0.004219409282700422,Ivory Coast,Ivory Coast,CIV,384,2019,Cod-likes,0.5217463860759493,427832.0365822784,93914.34949367086,3652.2247025316447
8,171,0.005847953216374269,Ghana,Ghana,GHA,288,NA,NA,0,0,0,0
9,171,0.005847953216374269,Sierra Leone,Sierra Leone,SLE,694,NA,NA,0,0,0,0
10,190,0.005263157894736842,United Kingdom,Falkland Islands,FLK,238,2019,Cod-likes,51.11578947368421,41914947.368421055,9200842.105263159,357810.52631578944
11,2082,4.803073967339097e-4,Argentina,Argentina,ARG,032,2019,Cod-likes,292.76667780979824,240068675.80403456,52698002.00576368,2049366.7446685876
12,4369,2.2888532845044633e-4,Chile,Chile,CHL,152,2019,Cod-likes,7.265874320691233,5958016.942966811,1307857.377724422,50861.12024483863
13,306,0.0032679738562091504,Uruguay,Uruguay,URY,858,2019,Cod-likes,54.86446774509804,44988863.5509804,9875604.194117649,384051.2742156862
14,3559,2.809778027535825e-4,Brazil,Brazil,BRA,076,2019,Cod-likes,2.763321509974712,2265923.638179264,497397.8717954482,19343.250569822983
15,813,0.0012300123001230013,Peru,Peru,PER,604,2019,Cod-likes,86.15297928659287,70645443.01500615,15507536.271586716,603070.85500615
16,340,0.0029411764705882353,Ecuador,Ecuador,ECU,218,NA,NA,0,0,0,0
17,166,0.006024096385542169,Suriname,Suriname,SUR,740,NA,NA,0,0,0,0
18,759,0.0013175230566534915,Colombia,Colombia,COL,170,NA,NA,0,0,0,0
19,203,0.0049261083743842365,Guyana,Guyana,GUY,328,NA,NA,0,0,0,0
20,937,0.0010672358591248667,Venezuela,Venezuela,VEN,862,NA,NA,0,0,0,0
21,665,0.0015037593984962407,Panama,Panama,PAN,591,NA,NA,0,0,0,0
22,311,0.003215434083601286,Costa Rica,Costa Rica,CRI,188,NA,NA,0,0,0,0
23,61,0.01639344262295082,Trinidad and Tobago,Trinidad and Tobago,TTO,780,NA,NA,0,0,0,0
24,197,0.005076142131979695,Guinea-Bissau,Guinea-Bissau,GNB,624,2019,Cod-likes,12.766519710659898,10468546.162741115,2297973.5479187816,89365.63797461927
25,314,0.0031847133757961785,Nicaragua,Nicaragua,NIC,558,NA,NA,0,0,0,0
26,83,0.012048192771084338,Gambia,Gambia,GMB,270,2019,Cod-likes,0.5693827922891567,466893.8896771085,102488.9026120482,3985.6795460240965
27,109,0.009174311926605505,El Salvador,El Salvador,SLV,222,NA,NA,0,0,0,0
28,34,0.029411764705882353,Togo,Togo,TGO,768,2019,Cod-likes,0.004283266970588235,3512.2789158823525,770.9880547058823,29.98286879411764
29,410,0.0024390243902439024,Nigeria,Nigeria,NGA,566,2019,Cod-likes,9.944680685365855,8154638.162000001,1790042.5233658538,69612.76479756097
30,35,0.02857142857142857,Benin,Benin,BEN,204,NA,NA,0,0,0,0
31,178,0.0056179775280898875,Guinea,Guinea,GIN,324,2019,Cod-likes,8.970360382022472,7355695.513258426,1614664.868764045,62792.5226741573
32,232,0.004310344827586207,Mauritania,Mauritania,MRT,478,2019,Cod-likes,262.74258836206894,215448922.45689654,47293665.90517241,1839198.1185344823
33,9,0.1111111111111111,Western Sahara,Western Sahara,SAH,732,NA,NA,0,0,0,0
34,452,0.0022123893805309734,Algeria,Algeria,DZA,012,2019,Cod-likes,0.21442477876106195,175828.3185840708,38596.46017699115,1500.9734513274336
35,322,0.003105590062111801,Senegal,Senegal,SEN,686,2019,Cod-likes,0.4422672639751552,362659.15645962727,79608.10751552794,3095.870847826086
36,283,0.0035335689045936395,Honduras,Honduras,HND,340,NA,NA,0,0,0,0
37,127,0.007874015748031496,Guatemala,Guatemala,GTM,320,NA,NA,0,0,0,0
38,126,0.007936507936507936,Belize,Belize,BLZ,084,NA,NA,0,0,0,0
39,126,0.007936507936507936,Jamaica,Jamaica,JAM,388,NA,NA,0,0,0,0
40,101,0.009900990099009901,United States of America,Puerto Rico,PRI,630,NA,NA,0,0,0,0
41,317,0.0031545741324921135,Dominican Republic,Dominican Republic,DOM,214,NA,NA,0,0,0,0
42,246,0.0040650406504065045,Haiti,Haiti,HTI,332,NA,NA,0,0,0,0
43,1082,9.242144177449168e-4,Cuba,Cuba,CUB,192,NA,NA,0,0,0,0
44,3508,2.8506271379703536e-4,Mexico,Mexico,MEX,484,2019,Cod-likes,3.5692801966647667,2926809.761265109,642470.435399658,24984.961376653366
45,612,0.0016339869281045752,Libya,Libya,LBY,434,2019,Cod-likes,0.0031427140179738564,2577.0254947385624,565.6885232352942,21.998998125816993
46,879,0.0011376564277588168,Greece,Greece,GRC,300,2019,Cod-likes,1.3070888145620023,1071812.827940842,235275.9866211604,9149.621701934015
47,154,0.006493506493506494,Albania,Albania,ALB,008,NA,NA,0,0,0,0
48,49,0.02040816326530612,Montenegro,Montenegro,MNE,499,NA,NA,0,0,0,0
49,116,0.008620689655172414,Bulgaria,Bulgaria,BGR,100,2019,Cod-likes,0.03424724104310345,28082.737655344827,6164.503387758621,239.73068730172412
50,943,0.0010604453870625664,Morocco,Morocco,MAR,504,2019,Cod-likes,15.098716100742314,12380947.202608697,2717768.8981336164,105691.01270519619
51,354,0.002824858757062147,Tunisia,Tunisia,TUN,788,2019,Cod-likes,0.0072269525621468924,5926.101100960452,1300.8514611864405,50.58866793502825
52,396,0.0025252525252525255,Portugal,Portugal,PRT,620,2019,Cod-likes,14.256540833080809,11690363.483126264,2566177.3499545455,99795.78583156565
53,1038,9.633911368015414e-4,Spain,Spain,ESP,724,2019,Cod-likes,132.63974071676301,108764587.38774566,23875153.329017345,928478.185017341
54,1273,7.855459544383347e-4,Italy,Italy,ITA,380,2019,Cod-likes,7.1947103146111555,5899662.457981148,1295047.856630008,50362.972202278084
55,24,0.041666666666666664,Slovenia,Slovenia,SVN,705,2019,Cod-likes,1.0937016425,896835.34685,196866.29564999996,7655.911497499998
56,87,0.011494252873563218,Belgium,Belgium,BEL,056,2019,Cod-likes,17.97737608045977,14741448.385977011,3235927.6944827586,125841.63256321839
