num,totalcells,layer,SOVEREIGNT,ADMIN,ADM0_A3,ISO_N3,year,commercial_group,totaltonne,calories,proteins,fats
1,168,0.005952380952380952,Fiji,Fiji,FJI,242,2019,Crustaceans,3.0992686648809524,1456656.2724940476,288231.9858339286,15496.343324404763
2,346,0.002890173410404624,Gabon,Gabon,GAB,266,2019,Crustaceans,0.7933193895953756,372860.1131098265,73778.70323236994,3966.5969479768783
3,55,0.01818181818181818,Republic of the Congo,Republic of the Congo,COG,178,2019,Crustaceans,16.828128738181817,7909220.5069454545,1565015.972650909,84140.64369090908
4,70,0.014285714285714285,Equatorial Guinea,Equatorial Guinea,GNQ,226,2019,Crustaceans,0.4491180564285714,211085.48652142854,41767.97924785714,2245.5902821428567
5,180,0.005555555555555556,Liberia,Liberia,LBR,430,2019,Crustaceans,0.49649328905555556,233351.8458561111,46173.87588216667,2482.466445277778
6,183,0.00546448087431694,Cameroon,Cameroon,CMR,120,2019,Crustaceans,6.8503291202185785,3219654.686502732,637080.6081803278,34251.645601092896
7,237,0.004219409282700422,Ivory Coast,Ivory Coast,CIV,384,2019,Crustaceans,0.2673539972151899,125656.37869113925,24863.921741012662,1336.7699860759494
8,171,0.005847953216374269,Ghana,Ghana,GHA,288,2019,Crustaceans,22.260008467836258,10462203.979883041,2070180.787508772,111300.0423391813
9,171,0.005847953216374269,Sierra Leone,Sierra Leone,SLE,694,2019,Crustaceans,4.172581757309941,1961113.4259356724,388050.1034298246,20862.908786549706
10,190,0.005263157894736842,United Kingdom,Falkland Islands,FLK,238,NA,NA,0,0,0,0
11,2082,4.803073967339097e-4,Argentina,Argentina,ARG,032,2019,Crustaceans,136.07216772334291,63953918.82997117,12654711.598270891,680360.8386167146
12,4369,2.2888532845044633e-4,Chile,Chile,CHL,152,2019,Crustaceans,7.6028999656672,3573362.983863584,707069.6968070497,38014.499828336004
13,306,0.0032679738562091504,Uruguay,Uruguay,URY,858,2019,Crustaceans,3.1031612522875816,1458485.7885751633,288593.9964627451,15515.806261437907
14,3559,2.809778027535825e-4,Brazil,Brazil,BRA,076,2019,Crustaceans,12.972979255408823,6097300.250042147,1206487.0707530207,64864.896277044114
15,813,0.0012300123001230013,Peru,Peru,PER,604,2019,Crustaceans,4.566658755227553,2146329.61495695,424699.2642361624,22833.293776137765
16,340,0.0029411764705882353,Ecuador,Ecuador,ECU,218,2019,Crustaceans,22.451182026470587,10552055.552441174,2087959.9284617647,112255.91013235293
17,166,0.006024096385542169,Suriname,Suriname,SUR,740,2019,Crustaceans,48.21386129518073,22660514.808734942,4483889.100451808,241069.30647590364
18,759,0.0013175230566534915,Colombia,Colombia,COL,170,2019,Crustaceans,4.090111632411068,1922352.467233202,380380.38181422936,20450.55816205534
19,203,0.0049261083743842365,Guyana,Guyana,GUY,328,2019,Crustaceans,77.41497842364532,36385039.859113306,7199592.993399016,387074.8921182266
20,937,0.0010672358591248667,Venezuela,Venezuela,VEN,862,2019,Crustaceans,13.102659156883671,6158249.803735325,1218547.3015901817,65513.295784418355
21,665,0.0015037593984962407,Panama,Panama,PAN,591,2019,Crustaceans,2.622619735037594,1232631.2754676691,243903.63535849628,13113.09867518797
22,311,0.003215434083601286,Costa Rica,Costa Rica,CRI,188,2019,Crustaceans,1.9097782315112538e-4,89.75957688102893,17.760937553054664,0.954889115755627
23,61,0.01639344262295082,Trinidad and Tobago,Trinidad and Tobago,TTO,780,2019,Crustaceans,10.631785647540985,4996939.254344263,988756.0652213116,53158.928237704924
24,197,0.005076142131979695,Guinea-Bissau,Guinea-Bissau,GNB,624,2019,Crustaceans,8.137406319796954,3824580.9703045683,756778.7877411167,40687.031598984766
25,314,0.0031847133757961785,Nicaragua,Nicaragua,NIC,558,2019,Crustaceans,31.186106098726114,14657469.866401272,2900307.8671815293,155930.53049363056
26,83,0.012048192771084338,Gambia,Gambia,GMB,270,2019,Crustaceans,36.52842196385542,17168358.32301205,3397143.242638555,182642.1098192771
27,109,0.009174311926605505,El Salvador,El Salvador,SLV,222,2019,Crustaceans,3.8162766348623856,1793650.0183853211,354913.7270422019,19081.383174311926
