num,totalcells,layer,SOVEREIGNT,ADMIN,ADM0_A3,ISO_N3,year,commercial_group,totaltonne,calories,proteins,fats
1,168,0.005952380952380952,Fiji,Fiji,FJI,242,2019,Herring-likes,0.09523809523809523,150476.19047619047,17142.85714285714,8571.42857142857
2,346,0.002890173410404624,Gabon,Gabon,GAB,266,2019,Herring-likes,71.65722367052022,113218413.39942195,12898300.260693641,6449150.130346821
3,55,0.01818181818181818,Republic of the Congo,Republic of the Congo,COG,178,2019,Herring-likes,451.5975129090909,713524070.3963635,81287552.32363635,40643776.16181818
4,70,0.014285714285714285,Equatorial Guinea,Equatorial Guinea,GNQ,226,2019,Herring-likes,0.4595117632857143,726028.5859914286,82712.11739142858,41356.05869571429
5,180,0.005555555555555556,Liberia,Liberia,LBR,430,2019,Herring-likes,11.07454115,17497775.016999997,1993417.4070000001,996708.7035000001
6,183,0.00546448087431694,Cameroon,Cameroon,CMR,120,2019,Herring-likes,571.2613278688525,902592898.032787,102827039.01639345,51413519.50819673
7,237,0.004219409282700422,Ivory Coast,Ivory Coast,CIV,384,2019,Herring-likes,88.48693312236286,139809354.3333333,15927647.962025315,7963823.981012657
8,171,0.005847953216374269,Ghana,Ghana,GHA,288,2019,Herring-likes,348.8094458479532,551118924.439766,62785700.252631575,31392850.126315787
9,171,0.005847953216374269,Sierra Leone,Sierra Leone,SLE,694,2019,Herring-likes,1051.1828701754384,1660868934.8771927,189212916.63157892,94606458.31578946
10,190,0.005263157894736842,United Kingdom,Falkland Islands,FLK,238,NA,NA,0,0,0,0
11,2082,4.803073967339097e-4,Argentina,Argentina,ARG,032,2019,Herring-likes,0.03646685878962536,57617.636887608074,6564.034582132565,3282.0172910662827
12,4369,2.2888532845044633e-4,Chile,Chile,CHL,152,2019,Herring-likes,82.36306665140765,130133645.30922408,14825351.997253377,7412675.9986266885
13,306,0.0032679738562091504,Uruguay,Uruguay,URY,858,2019,Herring-likes,15.69743427124183,24801946.148562092,2825538.168823529,1412769.0844117645
14,3559,2.809778027535825e-4,Brazil,Brazil,BRA,076,2019,Herring-likes,21.058778122873843,33272869.43414067,3790580.0621172916,1895290.0310586458
15,813,0.0012300123001230013,Peru,Peru,PER,604,2019,Herring-likes,5.930306259532595,9369883.890061501,1067455.126715867,533727.5633579335
16,340,0.0029411764705882353,Ecuador,Ecuador,ECU,218,2019,Herring-likes,50.74974635294117,80184599.23764706,9134954.343529413,4567477.171764706
17,166,0.006024096385542169,Suriname,Suriname,SUR,740,2019,Herring-likes,0.08876685728915662,140251.63451686746,15978.034312048192,7989.017156024096
18,759,0.0013175230566534915,Colombia,Colombia,COL,170,2019,Herring-likes,0.562204435309618,888283.0077891964,101196.79835573123,50598.39917786561
