num,totalcells,layer,SOVEREIGNT,ADMIN,ADM0_A3,ISO_N3,year,commercial_group,totaltonne,calories,proteins,fats
1,168,0.005952380952380952,Fiji,Fiji,FJI,242,2019,Molluscs,16.958090785714287,2543713.617857143,390036.08807142853,33916.18157142858
2,346,0.002890173410404624,Gabon,Gabon,GAB,266,2019,Molluscs,0.06057282424855491,9085.923637283237,1393.174957716763,121.14564849710983
3,55,0.01818181818181818,Republic of the Congo,Republic of the Congo,COG,178,NA,NA,0,0,0,0
4,70,0.014285714285714285,Equatorial Guinea,Equatorial Guinea,GNQ,226,NA,NA,0,0,0,0
5,180,0.005555555555555556,Liberia,Liberia,LBR,430,2019,Molluscs,2.50167104,375250.6560000001,57538.43392,5003.34208
6,183,0.00546448087431694,Cameroon,Cameroon,CMR,120,2019,Molluscs,10.126001639344262,1518900.2459016393,232898.037704918,20252.003278688524
7,237,0.004219409282700422,Ivory Coast,Ivory Coast,CIV,384,2019,Molluscs,1.3036757957805907,195551.3693670886,29984.543302953585,2607.3515915611815
8,171,0.005847953216374269,Ghana,Ghana,GHA,288,NA,NA,0,0,0,0
9,171,0.005847953216374269,Sierra Leone,Sierra Leone,SLE,694,2019,Molluscs,7.773571081871345,1166035.6622807018,178792.1348830409,15547.14216374269
10,190,0.005263157894736842,United Kingdom,Falkland Islands,FLK,238,NA,NA,0,0,0,0
11,2082,4.803073967339097e-4,Argentina,Argentina,ARG,032,2019,Molluscs,10.816742074927953,1622511.311239193,248785.06772334292,21633.484149855907
12,4369,2.2888532845044633e-4,Chile,Chile,CHL,152,2019,Molluscs,9.564042904554817,1434606.4356832227,219972.9868047608,19128.085809109638
13,306,0.0032679738562091504,Uruguay,Uruguay,URY,858,2019,Molluscs,0.03264705882352941,4897.058823529412,750.8823529411764,65.29411764705883
14,3559,2.809778027535825e-4,Brazil,Brazil,BRA,076,2019,Molluscs,3.35707346164653,503561.0192469795,77212.68961787019,6714.14692329306
15,813,0.0012300123001230013,Peru,Peru,PER,604,2019,Molluscs,131.93147810578105,19789721.715867158,3034423.996432964,263862.9562115621
16,340,0.0029411764705882353,Ecuador,Ecuador,ECU,218,2019,Molluscs,0.002067883373529412,310.18250602941174,47.56131759117647,4.135766747058824
17,166,0.006024096385542169,Suriname,Suriname,SUR,740,NA,NA,0,0,0,0
18,759,0.0013175230566534915,Colombia,Colombia,COL,170,2019,Molluscs,1.1434384602108036,171515.76903162056,26299.084584848482,2286.8769204216073
19,203,0.0049261083743842365,Guyana,Guyana,GUY,328,NA,NA,0,0,0,0
20,937,0.0010672358591248667,Venezuela,Venezuela,VEN,862,2019,Molluscs,36.475103842049094,5471265.576307365,838927.3883671291,72950.20768409819
21,665,0.0015037593984962407,Panama,Panama,PAN,591,2019,Molluscs,0.0861245560300752,12918.68340451128,1980.8647886917295,172.2491120601504
22,311,0.003215434083601286,Costa Rica,Costa Rica,CRI,188,2019,Molluscs,0.0071916411672025725,1078.746175080386,165.40774684565915,14.383282334405145
23,61,0.01639344262295082,Trinidad and Tobago,Trinidad and Tobago,TTO,780,NA,NA,0,0,0,0
24,197,0.005076142131979695,Guinea-Bissau,Guinea-Bissau,GNB,624,2019,Molluscs,46.19833825380711,6929750.738071065,1062561.7798375634,92396.67650761422
25,314,0.0031847133757961785,Nicaragua,Nicaragua,NIC,558,2019,Molluscs,39.771946768152866,5965792.01522293,914754.7756675158,79543.89353630574
26,83,0.012048192771084338,Gambia,Gambia,GMB,270,2019,Molluscs,39.45251338554217,5917877.007831326,907407.8078674698,78905.02677108433
27,109,0.009174311926605505,El Salvador,El Salvador,SLV,222,2019,Molluscs,0.0637706717706422,9565.600765596331,1466.7254507247708,127.54134354128442
28,34,0.029411764705882353,Togo,Togo,TGO,768,2019,Molluscs,0.0044608566176470585,669.1284926470588,102.59970220588234,8.921713235294117
29,410,0.0024390243902439024,Nigeria,Nigeria,NGA,566,2019,Molluscs,11.967881309756097,1795182.1964634145,275261.2701243902,23935.762619512192
30,35,0.02857142857142857,Benin,Benin,BEN,204,NA,NA,0,0,0,0
31,178,0.0056179775280898875,Guinea,Guinea,GIN,324,2019,Molluscs,6.203018325842696,930452.7488764045,142669.421494382,12406.036651685392
32,232,0.004310344827586207,Mauritania,Mauritania,MRT,478,2019,Molluscs,31.255671560344826,4688350.734051724,718880.4458879309,62511.34312068966
33,9,0.1111111111111111,Western Sahara,Western Sahara,SAH,732,NA,NA,0,0,0,0
34,452,0.0022123893805309734,Algeria,Algeria,DZA,012,2019,Molluscs,0.014690265486725662,2203.5398230088495,337.8761061946902,29.38053097345133
35,322,0.003105590062111801,Senegal,Senegal,SEN,686,2019,Molluscs,41.74785189440993,6262177.78416149,960200.5935714284,83495.70378881987
36,283,0.0035335689045936395,Honduras,Honduras,HND,340,2019,Molluscs,2.3399831353710248,350997.4703056537,53819.61211353356,4679.966270742049
37,127,0.007874015748031496,Guatemala,Guatemala,GTM,320,2019,Molluscs,2.0214520233070865,303217.803496063,46493.39653606298,4042.9040466141732
38,126,0.007936507936507936,Belize,Belize,BLZ,084,2019,Molluscs,34.03174603174603,5104761.904761905,782730.1587301587,68063.49206349207
39,126,0.007936507936507936,Jamaica,Jamaica,JAM,388,NA,NA,0,0,0,0
40,101,0.009900990099009901,United States of America,Puerto Rico,PRI,630,2019,Molluscs,1.4787064029702972,221805.9604455446,34010.24726831683,2957.412805940595
41,317,0.0031545741324921135,Dominican Republic,Dominican Republic,DOM,214,2019,Molluscs,7.389176170347002,1108376.4255520504,169951.05191798104,14778.352340694006
42,246,0.0040650406504065045,Haiti,Haiti,HTI,332,NA,NA,0,0,0,0
