num,totalcells,layer,SOVEREIGNT,ADMIN,ADM0_A3,ISO_N3,year,commercial_group,totaltonne,calories,proteins,fats
1,168,0.005952380952380952,Fiji,Fiji,FJI,242,2019,Other fishes & inverts,34.631102869047616,29782748.467380952,4363518.961499999,1246719.7032857141
2,346,0.002890173410404624,Gabon,Gabon,GAB,266,2019,Other fishes & inverts,87.81149210982657,75517883.21445085,11064248.005838148,3161213.7159537566
3,55,0.01818181818181818,Republic of the Congo,Republic of the Congo,COG,178,2019,Other fishes & inverts,78.88649978181819,67842389.81236364,9939698.972509092,2839913.992145455
4,70,0.014285714285714285,Equatorial Guinea,Equatorial Guinea,GNQ,226,2019,Other fishes & inverts,84.44961804285714,72626671.51685715,10640651.873399999,3040186.249542857
5,180,0.005555555555555556,Liberia,Liberia,LBR,430,2019,Other fishes & inverts,325.32979883333337,279783626.9966667,40991554.653000005,11711872.758000001
6,183,0.00546448087431694,Cameroon,Cameroon,CMR,120,2019,Other fishes & inverts,383.63840939890713,329929032.08306015,48338439.5842623,13810982.738360658
7,237,0.004219409282700422,Ivory Coast,Ivory Coast,CIV,384,2019,Other fishes & inverts,155.85021097046413,134031181.43459915,19637126.582278483,5610607.594936708
8,171,0.005847953216374269,Ghana,Ghana,GHA,288,2019,Other fishes & inverts,168.24541497076024,144691056.8748538,21198922.286315788,6056834.938947369
9,171,0.005847953216374269,Sierra Leone,Sierra Leone,SLE,694,2019,Other fishes & inverts,96.91061380116959,83343127.86900584,12210737.338947367,3488782.096842105
10,190,0.005263157894736842,United Kingdom,Falkland Islands,FLK,238,2019,Other fishes & inverts,390.09586468421054,335482443.62842107,49152078.95021053,14043451.128631579
11,2082,4.803073967339097e-4,Argentina,Argentina,ARG,032,2019,Other fishes & inverts,154.87315768491834,133190915.60902978,19514017.86829971,5575433.67665706
12,4369,2.2888532845044633e-4,Chile,Chile,CHL,152,2019,Other fishes & inverts,49.80921554101625,42835925.36527398,6275961.158168048,1793131.7594765848
13,306,0.0032679738562091504,Uruguay,Uruguay,URY,858,2019,Other fishes & inverts,20.52843787254902,17654456.570392158,2586583.1719411765,739023.7634117648
14,3559,2.809778027535825e-4,Brazil,Brazil,BRA,076,2019,Other fishes & inverts,27.258758708626022,23442532.489418376,3434603.5972868786,981315.3135105368
15,813,0.0012300123001230013,Peru,Peru,PER,604,2019,Other fishes & inverts,649.9942076260762,558995018.5584255,81899270.1608856,23399791.474538743
16,340,0.0029411764705882353,Ecuador,Ecuador,ECU,218,2019,Other fishes & inverts,116.23218367558823,99959677.96100587,14645255.143124117,4184358.6123211766
17,166,0.006024096385542169,Suriname,Suriname,SUR,740,2019,Other fishes & inverts,57.757450120481934,49671407.103614464,7277438.715180723,2079268.2043373496
18,759,0.0013175230566534915,Colombia,Colombia,COL,170,2019,Other fishes & inverts,16.90671225296443,14539772.537549408,2130245.743873518,608641.6411067194
19,203,0.0049261083743842365,Guyana,Guyana,GUY,328,2019,Other fishes & inverts,76.99405615763547,66214888.29556651,9701251.075862069,2771786.021674877
20,937,0.0010672358591248667,Venezuela,Venezuela,VEN,862,2019,Other fishes & inverts,26.747099594450372,23002505.65122732,3370134.5489007467,962895.5854002135
21,665,0.0015037593984962407,Panama,Panama,PAN,591,2019,Other fishes & inverts,7.715913196446617,6635685.34894409,972205.0627522736,277772.8750720782
22,311,0.003215434083601286,Costa Rica,Costa Rica,CRI,188,2019,Other fishes & inverts,10.29028739813505,8849647.162396142,1296576.2121650162,370450.3463328618
