num,totalcells,layer,SOVEREIGNT,ADMIN,ADM0_A3,ISO_N3,year,commercial_group,totaltonne,calories,proteins,fats
1,168,0.005952380952380952,Fiji,Fiji,FJI,242,2019,Perch-likes,104.4004081547619,82476322.4422619,15660061.223214285,1566006.1223214285
2,346,0.002890173410404624,Gabon,Gabon,GAB,266,2019,Perch-likes,130.06298193641618,102749755.72976878,19509447.290462427,1950944.7290462428
3,55,0.01818181818181818,Republic of the Congo,Republic of the Congo,COG,178,2019,Perch-likes,178.93612445454545,141359538.3190909,26840418.668181818,2684041.8668181812
4,70,0.014285714285714285,Equatorial Guinea,Equatorial Guinea,GNQ,226,2019,Perch-likes,67.37291828571428,53224605.44571428,10105937.742857141,1010593.7742857143
5,180,0.005555555555555556,Liberia,Liberia,LBR,430,2019,Perch-likes,176.86667094444445,139724670.0461111,26530000.641666666,2653000.064166667
6,183,0.00546448087431694,Cameroon,Cameroon,CMR,120,2019,Perch-likes,469.77999901639345,371126199.2229508,70466999.85245903,7046699.985245901
7,237,0.004219409282700422,Ivory Coast,Ivory Coast,CIV,384,2019,Perch-likes,169.87653789029534,134202464.93333332,25481480.6835443,2548148.06835443
8,171,0.005847953216374269,Ghana,Ghana,GHA,288,2019,Perch-likes,957.5197906432749,756440634.6081871,143627968.59649122,14362796.859649122
9,171,0.005847953216374269,Sierra Leone,Sierra Leone,SLE,694,2019,Perch-likes,540.8916754385965,427304423.5964913,81133751.31578948,8113375.131578948
10,190,0.005263157894736842,United Kingdom,Falkland Islands,FLK,238,2019,Perch-likes,8.439473684210526,6667184.2105263155,1265921.0526315789,126592.1052631579
11,2082,4.803073967339097e-4,Argentina,Argentina,ARG,032,2019,Perch-likes,34.1899726368876,27010078.38314121,5128495.89553314,512849.589553314
12,4369,2.2888532845044633e-4,Chile,Chile,CHL,152,2019,Perch-likes,40.29271534428931,31831245.121988557,6043907.301643398,604390.7301643396
13,306,0.0032679738562091504,Uruguay,Uruguay,URY,858,2019,Perch-likes,158.61314565359478,125304385.06633988,23791971.848039217,2379197.1848039217
14,3559,2.809778027535825e-4,Brazil,Brazil,BRA,076,2019,Perch-likes,67.3015286970413,53168207.670662634,10095229.304556197,1009522.9304556196
15,813,0.0012300123001230013,Peru,Peru,PER,604,2019,Perch-likes,535.6419495694958,423157140.1599016,80346292.43542437,8034629.243542436
16,340,0.0029411764705882353,Ecuador,Ecuador,ECU,218,2019,Perch-likes,237.23261501385295,187413765.86094382,35584892.252077945,3558489.225207794
17,166,0.006024096385542169,Suriname,Suriname,SUR,740,2019,Perch-likes,190.85670475903615,150776796.75963858,28628505.71385542,2862850.5713855424
18,759,0.0013175230566534915,Colombia,Colombia,COL,170,2019,Perch-likes,29.973507799736495,23679071.16179183,4496026.169960475,449602.61699604744
19,203,0.0049261083743842365,Guyana,Guyana,GUY,328,2019,Perch-likes,65.01529655172413,51362084.27586206,9752294.48275862,975229.448275862
20,937,0.0010672358591248667,Venezuela,Venezuela,VEN,862,2019,Perch-likes,88.56768058697973,69968467.66371399,13285152.088046959,1328515.2088046959
21,665,0.0015037593984962407,Panama,Panama,PAN,591,2019,Perch-likes,4.561720818541354,3603759.4466476697,684258.122781203,68425.81227812031
22,311,0.003215434083601286,Costa Rica,Costa Rica,CRI,188,2019,Perch-likes,8.73842975369775,6903359.505421222,1310764.4630546626,131076.44630546623
