num,totalcells,layer,SOVEREIGNT,ADMIN,ADM0_A3,ISO_N3,year,commercial_group,totaltonne,calories,proteins,fats
1,168,0.005952380952380952,Fiji,Fiji,FJI,242,NA,NA,0,0,0,0
2,346,0.002890173410404624,Gabon,Gabon,GAB,266,NA,NA,0,0,0,0
3,55,0.01818181818181818,Republic of the Congo,Republic of the Congo,COG,178,NA,NA,0,0,0,0
4,70,0.014285714285714285,Equatorial Guinea,Equatorial Guinea,GNQ,226,NA,NA,0,0,0,0
5,180,0.005555555555555556,Liberia,Liberia,LBR,430,NA,NA,0,0,0,0
6,183,0.00546448087431694,Cameroon,Cameroon,CMR,120,NA,NA,0,0,0,0
7,237,0.004219409282700422,Ivory Coast,Ivory Coast,CIV,384,NA,NA,0,0,0,0
8,171,0.005847953216374269,Ghana,Ghana,GHA,288,NA,NA,0,0,0,0
9,171,0.005847953216374269,Sierra Leone,Sierra Leone,SLE,694,NA,NA,0,0,0,0
10,190,0.005263157894736842,United Kingdom,Falkland Islands,FLK,238,NA,NA,0,0,0,0
11,2082,4.803073967339097e-4,Argentina,Argentina,ARG,032,NA,NA,0,0,0,0
12,4369,2.2888532845044633e-4,Chile,Chile,CHL,152,2019,"Salmon, smelts, etc",2.2865644312199587e-4,329.26527809567403,46.874570840009156,14.405355916685739
13,306,0.0032679738562091504,Uruguay,Uruguay,URY,858,NA,NA,0,0,0,0
14,3559,2.809778027535825e-4,Brazil,Brazil,BRA,076,NA,NA,0,0,0,0
15,813,0.0012300123001230013,Peru,Peru,PER,604,NA,NA,0,0,0,0
16,340,0.0029411764705882353,Ecuador,Ecuador,ECU,218,NA,NA,0,0,0,0
17,166,0.006024096385542169,Suriname,Suriname,SUR,740,NA,NA,0,0,0,0
18,759,0.0013175230566534915,Colombia,Colombia,COL,170,NA,NA,0,0,0,0
19,203,0.0049261083743842365,Guyana,Guyana,GUY,328,NA,NA,0,0,0,0
20,937,0.0010672358591248667,Venezuela,Venezuela,VEN,862,NA,NA,0,0,0,0
21,665,0.0015037593984962407,Panama,Panama,PAN,591,NA,NA,0,0,0,0
22,311,0.003215434083601286,Costa Rica,Costa Rica,CRI,188,NA,NA,0,0,0,0
23,61,0.01639344262295082,Trinidad and Tobago,Trinidad and Tobago,TTO,780,NA,NA,0,0,0,0
24,197,0.005076142131979695,Guinea-Bissau,Guinea-Bissau,GNB,624,NA,NA,0,0,0,0
25,314,0.0031847133757961785,Nicaragua,Nicaragua,NIC,558,NA,NA,0,0,0,0
