num,totalcells,layer,SOVEREIGNT,ADMIN,ADM0_A3,ISO_N3,year,commercial_group,totaltonne,calories,proteins,fats
1,168,0.005952380952380952,Fiji,Fiji,FJI,242,2019,Tuna & billfishes,28.072129589285712,30598621.252321426,7018032.397321428,1684327.7753571428
2,346,0.002890173410404624,Gabon,Gabon,GAB,266,2019,Tuna & billfishes,64.23624286127168,70017504.71878614,16059060.71531792,3854174.571676301
3,55,0.01818181818181818,Republic of the Congo,Republic of the Congo,COG,178,2019,Tuna & billfishes,3.2909090909090906,3587090.9090909087,822727.2727272727,197454.5454545454
4,70,0.014285714285714285,Equatorial Guinea,Equatorial Guinea,GNQ,226,2019,Tuna & billfishes,0.8079262705714286,880639.6349228573,201981.56764285718,48475.57623428572
5,180,0.005555555555555556,Liberia,Liberia,LBR,430,2019,Tuna & billfishes,67.51546044444446,73591851.88444446,16878865.111111116,4050927.626666668
6,183,0.00546448087431694,Cameroon,Cameroon,CMR,120,2019,Tuna & billfishes,7.035518038251365,7668714.661693987,1758879.5095628414,422131.0822950819
7,237,0.004219409282700422,Ivory Coast,Ivory Coast,CIV,384,2019,Tuna & billfishes,84.16844151898734,91743601.25569619,21042110.379746832,5050106.491139241
8,171,0.005847953216374269,Ghana,Ghana,GHA,288,2019,Tuna & billfishes,209.3824729239766,228226895.4871345,52345618.23099415,12562948.375438595
9,171,0.005847953216374269,Sierra Leone,Sierra Leone,SLE,694,2019,Tuna & billfishes,2.807958013450292,3060674.2346608182,701989.503362573,168477.48080701753
10,190,0.005263157894736842,United Kingdom,Falkland Islands,FLK,238,NA,NA,0,0,0,0
11,2082,4.803073967339097e-4,Argentina,Argentina,ARG,032,2019,Tuna & billfishes,0.10256243539865513,111793.0545845341,25640.608849663786,6153.746123919308
12,4369,2.2888532845044633e-4,Chile,Chile,CHL,152,2019,Tuna & billfishes,3.7197765621423664,4054556.452735179,929944.1405355915,223186.59372854198
13,306,0.0032679738562091504,Uruguay,Uruguay,URY,858,NA,NA,0,0,0,0
