ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,almond
834,United Republic of Tanzania,2,0,0,0,0,0,almond
732,Western Sahara,3,0,0,0,0,0,almond
124,Canada,4,0,0,0,0,0,almond
840,United States of America,5,609130.8395920292,2345069.9999999846,5534365199999.964,490119629999.99677,187605599999.99878,almond
398,Kazakhstan,6,223.39366539199546,103.52999999999982,244330799.99999955,21637769.99999996,8282399.999999985,almond
860,Uzbekistan,7,6753.017668320579,31202,73636720000,6521218000,2496160000,almond
598,Papua New Guinea,8,0,0,0,0,0,almond
360,Indonesia,9,0,0,0,0,0,almond
032,Argentina,10,460.1841099632506,731.0600000000037,1725301600.0000088,152791540.00000077,58484800.0000003,almond
152,Chile,11,7553.871883915568,43088.700000000164,101689332000.0004,9005538300.000034,3447096000.0000134,almond
180,Democratic Republic of the Congo,12,0,0,0,0,0,almond
706,Somalia,13,0,0,0,0,0,almond
404,Kenya,14,0,0,0,0,0,almond
729,Sudan,15,0,0,0,0,0,almond
148,Chad,16,0,0,0,0,0,almond
332,Haiti,17,0,0,0,0,0,almond
214,Dominican Republic,18,0,0,0,0,0,almond
643,Russia,19,23.664965420681256,0,0,0,0,almond
044,The Bahamas,20,0,0,0,0,0,almond
238,United Kingdom,21,0,0,0,0,0,almond
578,Norway,22,0,0,0,0,0,almond
304,Denmark,23,0,0,0,0,0,almond
260,France,24,0,0,0,0,0,almond
626,East Timor,25,0,0,0,0,0,almond
710,South Africa,26,67.36625757813454,0,0,0,0,almond
426,Lesotho,27,0,0,0,0,0,almond
484,Mexico,28,95.55392072626923,47.62999999999998,112406799.99999996,9954669.999999996,3810399.9999999986,almond
858,Uruguay,29,0.010076004778966308,0,0,0,0,almond
076,Brazil,30,0.2920787667389959,0,0,0,0,almond
068,Bolivia,31,7.986704378759896,0,0,0,0,almond
604,Peru,32,2.2830522060394287,0,0,0,0,almond
170,Colombia,33,0,0,0,0,0,almond
591,Panama,34,0,0,0,0,0,almond
188,Costa Rica,35,0,0,0,0,0,almond
558,Nicaragua,36,0,0,0,0,0,almond
340,Honduras,37,0,0,0,0,0,almond
222,El Salvador,38,0,0,0,0,0,almond
320,Guatemala,39,0,0,0,0,0,almond
084,Belize,40,0,0,0,0,0,almond
862,Venezuela,41,0,0,0,0,0,almond
328,Guyana,42,0,0,0,0,0,almond
740,Suriname,43,0,0,0,0,0,almond
250,France,44,5763.239640078973,2059.999999999998,4861599999.999995,430539999.9999996,164799999.99999985,almond
218,Ecuador,45,0,0,0,0,0,almond
630,United States of America,46,0,0,0,0,0,almond
388,Jamaica,47,0,0,0,0,0,almond
192,Cuba,48,0,0,0,0,0,almond
716,Zimbabwe,49,0,0,0,0,0,almond
072,Botswana,50,0,0,0,0,0,almond
516,Namibia,51,0,0,0,0,0,almond
686,Senegal,52,0,0,0,0,0,almond
466,Mali,53,11.86162759270519,0,0,0,0,almond
478,Mauritania,54,0,0,0,0,0,almond
204,Benin,55,9.502907272428274,0,0,0,0,almond
562,Niger,56,12.871277928352356,0,0,0,0,almond
566,Nigeria,57,0,0,0,0,0,almond
120,Cameroon,58,0,0,0,0,0,almond
768,Togo,59,0.5782386660575867,0,0,0,0,almond
288,Ghana,60,4.407978618051857,0,0,0,0,almond
384,Ivory Coast,61,1.2520470665767789,1678.6400000000003,3961590400.000001,350835760.00000006,134291200.00000003,almond
324,Guinea,62,0,0,0,0,0,almond
624,Guinea-Bissau,63,0,0,0,0,0,almond
430,Liberia,64,0,0,0,0,0,almond
694,Sierra Leone,65,0,0,0,0,0,almond
854,Burkina Faso,66,974.4108931226656,1979.2700000000023,4671077200.000006,413667430.0000004,158341600.00000018,almond
140,Central African Republic,67,0,0,0,0,0,almond
178,Republic of the Congo,68,0,0,0,0,0,almond
266,Gabon,69,0,0,0,0,0,almond
226,Equatorial Guinea,70,0,0,0,0,0,almond
894,Zambia,71,0,0,0,0,0,almond
454,Malawi,72,0,0,0,0,0,almond
508,Mozambique,73,10.482857570052147,0,0,0,0,almond
748,eSwatini,74,762.5573269724846,1037.92,2449491200,216925280,83033600,almond
024,Angola,75,0,0,0,0,0,almond
108,Burundi,76,0,0,0,0,0,almond
376,Israel,77,5104.962866902351,9227.999999999996,21778079999.999992,1928651999.9999993,738239999.9999998,almond
422,Lebanon,78,25684.069427728653,29420.00000000001,69431200000.00003,6148780000.000002,2353600000.000001,almond
450,Madagascar,79,0,0,0,0,0,almond
275,Israel,80,2040.854737997055,3133.820000000001,7395815200.000003,654968380.0000002,250705600.0000001,almond
270,Gambia,81,0,0,0,0,0,almond
788,Tunisia,82,12911.705419927835,62000.00000000002,146320000000.00006,12958000000.000004,4960000000.000002,almond
012,Algeria,83,45880.809024214745,60832.000000000146,143563520000.00034,12713888000.000029,4866560000.000011,almond
400,Jordan,84,1040.5878000110388,1402.9999999999998,3311079999.9999995,293226999.99999994,112239999.99999999,almond
784,United Arab Emirates,85,339.7977147102356,439.99999999999994,1038399999.9999998,91959999.99999997,35199999.99999999,almond
634,Qatar,86,0,0,0,0,0,almond
414,Kuwait,87,0,0,0,0,0,almond
368,Iraq,88,401.709998190403,437.29,1032004400,91393610,34983200,almond
512,Oman,89,44.56497669219971,0,0,0,0,almond
548,Vanuatu,90,0,0,0,0,0,almond
116,Cambodia,91,0,0,0,0,0,almond
764,Thailand,92,0,0,0,0,0,almond
418,Laos,93,0,0,0,0,0,almond
104,Myanmar,94,4.173546555219218,0,0,0,0,almond
704,Vietnam,95,8.381447846069932,0,0,0,0,almond
408,North Korea,96,6.209631642326713,0,0,0,0,almond
410,South Korea,97,0,0,0,0,0,almond
496,Mongolia,98,0.3187459664841299,0,0,0,0,almond
356,India,99,568.8975974576097,0,0,0,0,almond
050,Bangladesh,100,0,0,0,0,0,almond
064,Bhutan,101,0.08223325607832521,0,0,0,0,almond
524,Nepal,102,9.612729576849375,8.420000000000002,19871200.000000004,1759780.0000000002,673600.0000000001,almond
586,Pakistan,103,36394.07059856085,21094,49781840000,4408646000,1687520000,almond
004,Afghanistan,104,250.7228429328825,39306.99999999999,92764519999.99998,8215162999.999998,3144559999.9999995,almond
762,Tajikistan,105,3119.6617637583986,3215.1200000000003,7587683200.000001,671960080,257209600.00000003,almond
