ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,aniseetc
834,United Republic of Tanzania,2,0.05959089589305222,1376.9400000000003,4750443000.000001,205164060.00000006,217556520.00000006,aniseetc
732,Western Sahara,3,0,0,0,0,0,aniseetc
124,Canada,4,958.9620217922904,12197.479999999987,42081305999.999954,1817424519.999998,1927201839.9999979,aniseetc
840,United States of America,5,106.58210940989375,0,0,0,0,aniseetc
398,Kazakhstan,6,51.72594316698087,0,0,0,0,aniseetc
860,Uzbekistan,7,0,0,0,0,0,aniseetc
598,Papua New Guinea,8,0,0,0,0,0,aniseetc
360,Indonesia,9,0,0,0,0,0,aniseetc
032,Argentina,10,2569.169258089778,6917.35000000003,23864857500.000103,1030685150.0000044,1092941300.0000048,aniseetc
152,Chile,11,0.6001623432375709,0,0,0,0,aniseetc
180,Democratic Republic of the Congo,12,0,0,0,0,0,aniseetc
706,Somalia,13,0.055892999516800046,0,0,0,0,aniseetc
404,Kenya,14,92.7929538122844,79.34000000000007,273723000.00000024,11821660.000000011,12535720.000000011,aniseetc
729,Sudan,15,0.27556270686909556,0,0,0,0,aniseetc
148,Chad,16,0,0,0,0,0,aniseetc
332,Haiti,17,0,0,0,0,0,aniseetc
214,Dominican Republic,18,0,0,0,0,0,aniseetc
643,Russia,19,5515.8386631603635,36926.100000000064,127395045000.00023,5501988900.00001,5834323800.0000105,aniseetc
044,The Bahamas,20,0,0,0,0,0,aniseetc
238,United Kingdom,21,0,0,0,0,0,aniseetc
578,Norway,22,0,0,0,0,0,aniseetc
304,Denmark,23,0,0,0,0,0,aniseetc
260,France,24,0,0,0,0,0,aniseetc
626,East Timor,25,0,0,0,0,0,aniseetc
710,South Africa,26,1.0352862612344325,0,0,0,0,aniseetc
426,Lesotho,27,0,0,0,0,0,aniseetc
484,Mexico,28,31695.14054743405,132675.1800000004,457729371000.0014,19768601820.00006,20962678440.000065,aniseetc
858,Uruguay,29,0.03512806445360184,0,0,0,0,aniseetc
076,Brazil,30,1.660380695015192,0,0,0,0,aniseetc
068,Bolivia,31,0.01880038538365625,0,0,0,0,aniseetc
604,Peru,32,0.02768941590329632,118,407100000,17582000,18644000,aniseetc
170,Colombia,33,0.004992458071342298,0,0,0,0,aniseetc
591,Panama,34,0,0,0,0,0,aniseetc
188,Costa Rica,35,0,0,0,0,0,aniseetc
558,Nicaragua,36,0,0,0,0,0,aniseetc
340,Honduras,37,0.4940895438194275,0,0,0,0,aniseetc
222,El Salvador,38,0.6061745285987854,0,0,0,0,aniseetc
320,Guatemala,39,627.0147280048113,2086.579999999999,7198700999.999996,310900419.9999998,329679639.9999998,aniseetc
084,Belize,40,0.05257349647581577,0,0,0,0,aniseetc
862,Venezuela,41,0,0,0,0,0,aniseetc
328,Guyana,42,0,0,0,0,0,aniseetc
740,Suriname,43,0,0,0,0,0,aniseetc
250,France,44,0.29727775568608195,0,0,0,0,aniseetc
218,Ecuador,45,9.856083681162701,10.789999999999987,37225499.999999955,1607709.9999999981,1704819.999999998,aniseetc
630,United States of America,46,0,0,0,0,0,aniseetc
388,Jamaica,47,0,0,0,0,0,aniseetc
192,Cuba,48,0,0,0,0,0,aniseetc
716,Zimbabwe,49,89.04070928541478,85.2600000000002,294147000.0000007,12703740.000000032,13471080.000000034,aniseetc
072,Botswana,50,0.4026109857368283,0,0,0,0,aniseetc
516,Namibia,51,0,0,0,0,0,aniseetc
686,Senegal,52,0,0,0,0,0,aniseetc
466,Mali,53,0,0,0,0,0,aniseetc
478,Mauritania,54,0,0,0,0,0,aniseetc
204,Benin,55,0,0,0,0,0,aniseetc
562,Niger,56,0,0,0,0,0,aniseetc
566,Nigeria,57,0,0,0,0,0,aniseetc
120,Cameroon,58,0,0,0,0,0,aniseetc
768,Togo,59,0,0,0,0,0,aniseetc
288,Ghana,60,0,0,0,0,0,aniseetc
384,Ivory Coast,61,0,0,0,0,0,aniseetc
324,Guinea,62,0,0,0,0,0,aniseetc
624,Guinea-Bissau,63,0,0,0,0,0,aniseetc
430,Liberia,64,0,0,0,0,0,aniseetc
694,Sierra Leone,65,0,0,0,0,0,aniseetc
854,Burkina Faso,66,0,0,0,0,0,aniseetc
140,Central African Republic,67,0,0,0,0,0,aniseetc
178,Republic of the Congo,68,0,0,0,0,0,aniseetc
266,Gabon,69,0,0,0,0,0,aniseetc
226,Equatorial Guinea,70,0,0,0,0,0,aniseetc
894,Zambia,71,0.36736122285947204,0,0,0,0,aniseetc
454,Malawi,72,28.173539970535785,81.31999999999987,280553999.9999995,12116679.99999998,12848559.999999978,aniseetc
508,Mozambique,73,3.3485518638044596,0,0,0,0,aniseetc
748,eSwatini,74,0,0,0,0,0,aniseetc
024,Angola,75,0,0,0,0,0,aniseetc
108,Burundi,76,0,0,0,0,0,aniseetc
376,Israel,77,603.3771426891908,0,0,0,0,aniseetc
422,Lebanon,78,174.57317770738155,470.0000000000001,1621500000.0000002,70030000.00000001,74260000.00000001,aniseetc
450,Madagascar,79,9.604830080374086,76.24000000000026,263028000.00000092,11359760.000000041,12045920.000000043,aniseetc
275,Israel,80,25.16120493132621,138.35999999999999,477341999.99999994,20615639.999999996,21860879.999999996,aniseetc
270,Gambia,81,0,0,0,0,0,aniseetc
788,Tunisia,82,8574.16759365797,11013.649999999996,37997092499.999985,1641033849.9999993,1740156699.9999993,aniseetc
012,Algeria,83,39.383233070373535,0,0,0,0,aniseetc
400,Jordan,84,5.807032108306885,0,0,0,0,aniseetc
784,United Arab Emirates,85,0,0,0,0,0,aniseetc
634,Qatar,86,0,0,0,0,0,aniseetc
414,Kuwait,87,0,0,0,0,0,aniseetc
368,Iraq,88,145.66642606258392,0,0,0,0,aniseetc
512,Oman,89,0,0,0,0,0,aniseetc
548,Vanuatu,90,0,0,0,0,0,aniseetc
116,Cambodia,91,19.208520255982876,0,0,0,0,aniseetc
764,Thailand,92,0,0,0,0,0,aniseetc
418,Laos,93,2.1471075993031263,0,0,0,0,aniseetc
104,Myanmar,94,10.748700624331832,0,0,0,0,aniseetc
704,Vietnam,95,2750.3689287721645,17999.999999999996,62099999999.99999,2681999999.9999995,2843999999.9999995,aniseetc
408,North Korea,96,8.290554400533438,0,0,0,0,aniseetc
410,South Korea,97,0,0,0,0,0,aniseetc
496,Mongolia,98,0.998465020536969,0,0,0,0,aniseetc
356,India,99,104919.27210180889,1753000.000000004,6047850000000.013,261197000000.00058,276974000000.0006,aniseetc
050,Bangladesh,100,128.6532137915492,0,0,0,0,aniseetc
064,Bhutan,101,1.432226456119679,0,0,0,0,aniseetc
524,Nepal,102,98.30594596949231,0,0,0,0,aniseetc
586,Pakistan,103,58.38787180680083,0,0,0,0,aniseetc
004,Afghanistan,104,31.87699211447034,17965.899999999998,61982354999.99999,2676919099.9999995,2838612199.9999995,aniseetc
762,Tajikistan,105,0.0151380505412817,0,0,0,0,aniseetc
417,Kyrgyzstan,106,0.06735578272491693,0,0,0,0,aniseetc
795,Turkmenistan,107,59.27486265078187,0,0,0,0,aniseetc
364,Iran,108,21407.87314787507,62705.37000000024,216333526500.00082,9343100130.000036,9907448460.000038,aniseetc
760,Syria,109,33155.62066443451,79642.99999999996,274768349999.99985,11866806999.999992,12583593999.999992,aniseetc
051,Armenia,110,26.369352996349335,0,0,0,0,aniseetc
752,Sweden,111,0,0,0,0,0,aniseetc
112,Belarus,112,2.256572258658707,0,0,0,0,aniseetc
804,Ukraine,113,1980.227093218593,2870.0000000000073,9901500000.000025,427630000.00000113,453460000.0000012,aniseetc
616,Poland,114,0.38680580258369446,0,0,0,0,aniseetc
040,Austria,115,0.7919253744184971,0,0,0,0,aniseetc
348,Hungary,116,2694.863394204527,0,0,0,0,aniseetc
498,Moldova,117,40.498096853494644,0,0,0,0,aniseetc
642,Romania,118,7247.928834362421,0,0,0,0,aniseetc
440,Lithuania,119,1.0066609308123589,0,0,0,0,aniseetc
428,Latvia,120,0.2807568237185478,0,0,0,0,aniseetc
233,Estonia,121,0.7269904194399714,0,0,0,0,aniseetc
276,Germany,122,11.951694063842297,0,0,0,0,aniseetc
100,Bulgaria,123,20790.468790281564,0,0,0,0,aniseetc
300,Greece,124,428.91927932639373,0,0,0,0,aniseetc
792,Turkey,125,17567.58399441978,314998.9999999997,1086746549999.999,46934850999.99996,49769841999.999954,aniseetc
008,Albania,126,3.7021397948265076,0,0,0,0,aniseetc
191,Croatia,127,36.43643796443939,0,0,0,0,aniseetc
756,Switzerland,128,0,0,0,0,0,aniseetc
442,Luxembourg,129,0,0,0,0,0,aniseetc
056,Belgium,130,6.28279060870409,0,0,0,0,aniseetc
528,Netherlands,131,166.80086643295363,0,0,0,0,aniseetc
620,Portugal,132,0.18279656418599188,0,0,0,0,aniseetc
724,Spain,133,393.3327081339521,0,0,0,0,aniseetc
372,Ireland,134,0,0,0,0,0,aniseetc
540,France,135,0,0,0,0,0,aniseetc
090,Solomon Islands,136,0,0,0,0,0,aniseetc
