ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,apple
834,United Republic of Tanzania,2,0.4812677912414074,0,0,0,0,apple
732,Western Sahara,3,0,0,0,0,0,apple
124,Canada,4,472070.5011242785,390998.99999999965,187679519999.99985,1172996999.999999,390998999.9999997,apple
840,United States of America,5,4299425.280395428,4665199.000000025,2239295520000.012,13995597000.000074,4665199000.000026,apple
398,Kazakhstan,6,81334.76953695776,259127.8800000002,124381382400.00009,777383640.0000006,259127880.0000002,apple
860,Uzbekistan,7,420055.79613119364,1148454.9999999993,551258399999.9996,3445364999.9999976,1148454999.9999993,apple
598,Papua New Guinea,8,0,0,0,0,0,apple
360,Indonesia,9,0,0,0,0,0,apple
032,Argentina,10,1074269.8592156328,586999.9999999984,281759999999.9992,1760999999.999995,586999999.9999985,apple
152,Chile,11,1051600.6473937882,1612626.4899999977,774060715199.9989,4837879469.999993,1612626489.9999979,apple
180,Democratic Republic of the Congo,12,0,0,0,0,0,apple
706,Somalia,13,0.5862137898802757,0,0,0,0,apple
404,Kenya,14,984.903775665909,105.76000000000008,50764800.00000003,317280.0000000002,105760.00000000007,apple
729,Sudan,15,0,0,0,0,0,apple
148,Chad,16,0,0,0,0,0,apple
332,Haiti,17,0,0,0,0,0,apple
214,Dominican Republic,18,0,0,0,0,0,apple
643,Russia,19,1122529.574707545,2040700,979536000000,6122100000,2040700000,apple
044,The Bahamas,20,0,0,0,0,0,apple
238,United Kingdom,21,0,0,0,0,0,apple
578,Norway,22,6025.846728598373,12055,5786400000,36165000,12055000,apple
304,Denmark,23,0,0,0,0,0,apple
260,France,24,0,0,0,0,0,apple
626,East Timor,25,0,0,0,0,0,apple
710,South Africa,26,570528.7821073402,998784.9999999994,479416799999.99976,2996354999.999998,998784999.9999995,apple
426,Lesotho,27,103.84939523041248,0,0,0,0,apple
484,Mexico,28,431312.2712093579,714203.2000000009,342817536000.0004,2142609600.0000024,714203200.000001,apple
858,Uruguay,29,60102.01732231304,37039.0000000001,17778720000.00005,111117000.0000003,37039000.000000104,apple
076,Brazil,30,871071.6597724287,983254.9999999997,471962399999.9998,2949764999.9999986,983254999.9999996,apple
068,Bolivia,31,10561.266713988618,2750,1320000000,8250000,2750000,apple
604,Peru,32,142133.52618076117,139514.01999999987,66966729599.99994,418542059.99999964,139514019.99999988,apple
170,Colombia,33,3460.2309612248305,12227.999999999973,5869439999.999987,36683999.99999992,12227999.999999974,apple
591,Panama,34,0.0040600113570690155,0,0,0,0,apple
188,Costa Rica,35,0,0,0,0,0,apple
558,Nicaragua,36,0.7895146072842181,0,0,0,0,apple
340,Honduras,37,154.41469875373878,191.07999999999979,91718399.9999999,573239.9999999993,191079.9999999998,apple
222,El Salvador,38,29.573804259300232,44696.42,21454281600,134089260,44696420,apple
320,Guatemala,39,28910.554592445493,25718.65999999998,12344956799.999992,77155979.99999994,25718659.999999985,apple
084,Belize,40,2.5196595191955566,0,0,0,0,apple
862,Venezuela,41,3.5147330053150654,0,0,0,0,apple
328,Guyana,42,0,0,0,0,0,apple
740,Suriname,43,0,0,0,0,0,apple
