ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,apricot
834,United Republic of Tanzania,2,0.01841301203239709,0,0,0,0,apricot
732,Western Sahara,3,0,0,0,0,0,apricot
124,Canada,4,1269.4422985760164,747.0000000000024,336150000.0000011,2988000.00000001,9711000.000000032,apricot
840,United States of America,5,91033.9568348994,28320.000000000393,12744000000.000177,113280000.00000158,368160000.0000051,apricot
398,Kazakhstan,6,4657.484340619953,23091.739999999976,10391282999.999989,92366959.99999991,300192619.9999997,apricot
860,Uzbekistan,7,40716.49621132761,529109.0000000001,238099050000.00003,2116436000.0000005,6878417000.000002,apricot
598,Papua New Guinea,8,0,0,0,0,0,apricot
360,Indonesia,9,0,0,0,0,0,apricot
032,Argentina,10,26042.67754717804,27306.860000000033,12288087000.000015,109227440.00000015,354989180.0000005,apricot
152,Chile,11,24114.54773962497,5294.570000000017,2382556500.0000076,21178280.00000007,68829410.00000022,apricot
180,Democratic Republic of the Congo,12,0,0,0,0,0,apricot
706,Somalia,13,0.022428182885050774,0,0,0,0,apricot
404,Kenya,14,37.68181846004154,76.00999999999996,34204499.999999985,304039.9999999999,988129.9999999995,apricot
729,Sudan,15,0,0,0,0,0,apricot
148,Chad,16,9.751170180272311,0,0,0,0,apricot
332,Haiti,17,0,0,0,0,0,apricot
214,Dominican Republic,18,0,0,0,0,0,apricot
643,Russia,19,43103.63840271968,72799.99999999977,32759999999.999893,291199999.99999905,946399999.9999969,apricot
044,The Bahamas,20,0,0,0,0,0,apricot
238,United Kingdom,21,0,0,0,0,0,apricot
578,Norway,22,0,0,0,0,0,apricot
304,Denmark,23,0,0,0,0,0,apricot
260,France,24,0,0,0,0,0,apricot
626,East Timor,25,0,0,0,0,0,apricot
710,South Africa,26,63257.56027903326,21578.000000000095,9710100000.000042,86312000.00000039,280514000.00000125,apricot
426,Lesotho,27,42.37136244773865,0,0,0,0,apricot
484,Mexico,28,2024.2493972542013,1093.5099999999989,492079499.9999995,4374039.999999995,14215629.999999985,apricot
858,Uruguay,29,0.35572024434804916,0,0,0,0,apricot
076,Brazil,30,16.868086811737157,0,0,0,0,apricot
068,Bolivia,31,25.69892977103882,0,0,0,0,apricot
604,Peru,32,180.95843041114495,483.9999999999994,217799999.9999997,1935999.9999999974,6291999.999999992,apricot
170,Colombia,33,0.18894069987072726,0,0,0,0,apricot
591,Panama,34,0,0,0,0,0,apricot
188,Costa Rica,35,0,0,0,0,0,apricot
558,Nicaragua,36,0,0,0,0,0,apricot
340,Honduras,37,0,0,0,0,0,apricot
222,El Salvador,38,0,0,0,0,0,apricot
320,Guatemala,39,1.5191540895029902,0,0,0,0,apricot
084,Belize,40,0,0,0,0,0,apricot
862,Venezuela,41,0,0,0,0,0,apricot
328,Guyana,42,0,0,0,0,0,apricot
