ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,areca
834,United Republic of Tanzania,2,0,0,0,0,0,areca
732,Western Sahara,3,0,0,0,0,0,areca
124,Canada,4,2.3042179236654192e-5,0,0,0,0,areca
840,United States of America,5,12779.14316068192,0,0,0,0,areca
398,Kazakhstan,6,72.4440696084639,0,0,0,0,areca
860,Uzbekistan,7,1090.69107249612,0,0,0,0,areca
598,Papua New Guinea,8,0,0,0,0,0,areca
360,Indonesia,9,35571.96225164691,66737.62999999979,163507193499.99948,2936455719.999991,3270143869.9999895,areca
032,Argentina,10,0,0,0,0,0,areca
152,Chile,11,0,0,0,0,0,areca
180,Democratic Republic of the Congo,12,0,0,0,0,0,areca
706,Somalia,13,0,0,0,0,0,areca
404,Kenya,14,0,0,0,0,0,areca
729,Sudan,15,0,0,0,0,0,areca
148,Chad,16,1248.4695773124695,0,0,0,0,areca
332,Haiti,17,0,0,0,0,0,areca
214,Dominican Republic,18,0,0,0,0,0,areca
643,Russia,19,1447.958223813548,0,0,0,0,areca
044,The Bahamas,20,0,0,0,0,0,areca
238,United Kingdom,21,0,0,0,0,0,areca
578,Norway,22,0,0,0,0,0,areca
304,Denmark,23,0,0,0,0,0,areca
260,France,24,0,0,0,0,0,areca
626,East Timor,25,1.2066890001296997,0,0,0,0,areca
710,South Africa,26,0,0,0,0,0,areca
426,Lesotho,27,0,0,0,0,0,areca
484,Mexico,28,0.0011991994397249073,0,0,0,0,areca
858,Uruguay,29,0,0,0,0,0,areca
076,Brazil,30,0,0,0,0,0,areca
068,Bolivia,31,0,0,0,0,0,areca
604,Peru,32,0,0,0,0,0,areca
170,Colombia,33,0,0,0,0,0,areca
591,Panama,34,0,0,0,0,0,areca
188,Costa Rica,35,0,0,0,0,0,areca
558,Nicaragua,36,0,0,0,0,0,areca
340,Honduras,37,0,0,0,0,0,areca
222,El Salvador,38,0,0,0,0,0,areca
320,Guatemala,39,0,0,0,0,0,areca
084,Belize,40,0,0,0,0,0,areca
862,Venezuela,41,0,0,0,0,0,areca
328,Guyana,42,0,0,0,0,0,areca
740,Suriname,43,0,0,0,0,0,areca
250,France,44,2244.952795373276,0,0,0,0,areca
218,Ecuador,45,0,0,0,0,0,areca
630,United States of America,46,0,0,0,0,0,areca
388,Jamaica,47,0,0,0,0,0,areca
192,Cuba,48,0,0,0,0,0,areca
716,Zimbabwe,49,0,0,0,0,0,areca
072,Botswana,50,0,0,0,0,0,areca
516,Namibia,51,0,0,0,0,0,areca
686,Senegal,52,0,0,0,0,0,areca
466,Mali,53,789.5955460071564,0,0,0,0,areca
478,Mauritania,54,0,0,0,0,0,areca
204,Benin,55,1725.150725147687,0,0,0,0,areca
562,Niger,56,422.59557831287384,0,0,0,0,areca
566,Nigeria,57,81945.79017398506,0,0,0,0,areca
120,Cameroon,58,92145.72596333921,0,0,0,0,areca
768,Togo,59,1166.0203519836068,0,0,0,0,areca
288,Ghana,60,64573.72049373388,0,0,0,0,areca
384,Ivory Coast,61,114924.09916818142,0,0,0,0,areca
324,Guinea,62,373.2053349018097,0,0,0,0,areca
624,Guinea-Bissau,63,0,0,0,0,0,areca
430,Liberia,64,5.942182540893555,0,0,0,0,areca
694,Sierra Leone,65,14357.03595006466,0,0,0,0,areca
854,Burkina Faso,66,126.29706811904907,0,0,0,0,areca
140,Central African Republic,67,351.9318634867668,0,0,0,0,areca
178,Republic of the Congo,68,29.80915278196335,0,0,0,0,areca
266,Gabon,69,18.908905029296875,0,0,0,0,areca
226,Equatorial Guinea,70,241.72515869140625,0,0,0,0,areca
894,Zambia,71,0,0,0,0,0,areca
454,Malawi,72,0,0,0,0,0,areca
508,Mozambique,73,0,0,0,0,0,areca
748,eSwatini,74,0,0,0,0,0,areca
024,Angola,75,0,0,0,0,0,areca
108,Burundi,76,0,0,0,0,0,areca
376,Israel,77,0,0,0,0,0,areca
422,Lebanon,78,0,0,0,0,0,areca
450,Madagascar,79,0,0,0,0,0,areca
275,Israel,80,0,0,0,0,0,areca
270,Gambia,81,0,0,0,0,0,areca
788,Tunisia,82,0,0,0,0,0,areca
012,Algeria,83,0,0,0,0,0,areca
400,Jordan,84,0,0,0,0,0,areca
784,United Arab Emirates,85,0,0,0,0,0,areca
634,Qatar,86,0,0,0,0,0,areca
414,Kuwait,87,0,0,0,0,0,areca
368,Iraq,88,228.79682110249996,0,0,0,0,areca
512,Oman,89,0,0,0,0,0,areca
548,Vanuatu,90,0,0,0,0,0,areca
116,Cambodia,91,59.0876966714859,0,0,0,0,areca
764,Thailand,92,19769.184558870737,38203.959999999985,93599701999.99995,1680974239.9999993,1871994039.9999993,areca
418,Laos,93,109.2130786627531,0,0,0,0,areca
104,Myanmar,94,44533.609646433964,225835.9999999997,553298199999.9993,9936783999.999989,11065963999.999987,areca
704,Vietnam,95,64.75643728673458,0,0,0,0,areca
408,North Korea,96,47.97663076967001,0,0,0,0,areca
410,South Korea,97,0,0,0,0,0,areca
496,Mongolia,98,2.591817993989025,0,0,0,0,areca
356,India,99,308113.0758761437,1381999.9999999977,3385899999999.9946,60807999999.9999,67717999999.99989,areca
050,Bangladesh,100,41288.195567429066,328609.9999999995,805094499999.9987,14458839999.999979,16101889999.999975,areca
064,Bhutan,101,0.33388512005330995,17445.68,42741916000,767609920.0000001,854838320.0000001,areca
524,Nepal,102,15.270064898126293,8782,21515900000,386408000.00000006,430318000.00000006,areca
586,Pakistan,103,0.3119236836209893,0,0,0,0,areca
004,Afghanistan,104,29.058932923246175,0,0,0,0,areca
762,Tajikistan,105,753.2118979655206,0,0,0,0,areca
417,Kyrgyzstan,106,1410.0248032640666,0,0,0,0,areca
795,Turkmenistan,107,30.99725177884102,0,0,0,0,areca
364,Iran,108,10298.165307939053,0,0,0,0,areca
760,Syria,109,1178.6613216400146,0,0,0,0,areca
051,Armenia,110,364.4361713975668,0,0,0,0,areca
752,Sweden,111,0,0,0,0,0,areca
112,Belarus,112,913.1514091998106,0,0,0,0,areca
804,Ukraine,113,361.628727057614,0,0,0,0,areca
616,Poland,114,1.1539841815829277,0,0,0,0,areca
040,Austria,115,0.02745033777318895,0,0,0,0,areca
348,Hungary,116,93.83518286922481,0,0,0,0,areca
498,Moldova,117,705.8953929655254,0,0,0,0,areca
642,Romania,118,8.784934951341711,0,0,0,0,areca
440,Lithuania,119,4.4287128110881895,0,0,0,0,areca
428,Latvia,120,0.5519877169281244,0,0,0,0,areca
233,Estonia,121,0.16386618604883552,0,0,0,0,areca
276,Germany,122,6.260187905281782,0,0,0,0,areca
100,Bulgaria,123,6.058988071978092,0,0,0,0,areca
300,Greece,124,1610.0473029828863,0,0,0,0,areca
792,Turkey,125,323926.3028089702,0,0,0,0,areca
008,Albania,126,14.74695634841919,0,0,0,0,areca
191,Croatia,127,154.53071912913583,0,0,0,0,areca
756,Switzerland,128,38.37586331926286,0,0,0,0,areca
442,Luxembourg,129,0.6200622916221619,0,0,0,0,areca
056,Belgium,130,3.68934041634202,0,0,0,0,areca
528,Netherlands,131,0,0,0,0,0,areca
620,Portugal,132,684.3545473441482,0,0,0,0,areca
724,Spain,133,24580.756088552065,0,0,0,0,areca
372,Ireland,134,0,0,0,0,0,areca
540,France,135,0,0,0,0,0,areca
090,Solomon Islands,136,0,0,0,0,0,areca
554,New Zealand,137,0,0,0,0,0,areca
036,Australia,138,76.13249833639927,0,0,0,0,areca
144,Sri Lanka,139,0,0,0,0,0,areca
156,China,140,163131.3671897072,0,0,0,0,areca
158,Taiwan,141,144862.15219593048,98565.00000000004,241484250000.00012,4336860000.000003,4829685000.000003,areca
380,Italy,142,61594.91414666432,0,0,0,0,areca
208,Denmark,143,0,0,0,0,0,areca
826,United Kingdom,144,0,0,0,0,0,areca
352,Iceland,145,0,0,0,0,0,areca
031,Azerbaijan,146,16799.37188306125,0,0,0,0,areca
268,Georgia,147,8086.361954780383,0,0,0,0,areca
608,Philippines,148,0,0,0,0,0,areca
458,Malaysia,149,2577.3924135861453,2.199999999999998,5389999.999999994,96799.99999999991,107799.9999999999,areca
096,Brunei,150,5.579918555915356,0,0,0,0,areca
705,Slovenia,151,0.9843211434781551,0,0,0,0,areca
246,Finland,152,0.11975672980770469,0,0,0,0,areca
703,Slovakia,153,0.22258793213404715,0,0,0,0,areca
203,Czechia,154,0,0,0,0,0,areca
232,Eritrea,155,0,0,0,0,0,areca
392,Japan,156,0,0,0,0,0,areca
600,Paraguay,157,0,0,0,0,0,areca
887,Yemen,158,0,0,0,0,0,areca
682,Saudi Arabia,159,0,0,0,0,0,areca
010,Antarctica,160,0,0,0,0,0,areca
-99,Northern Cyprus,161,0,0,0,0,0,areca
196,Cyprus,162,0,0,0,0,0,areca
504,Morocco,163,0,0,0,0,0,areca
818,Egypt,164,0,0,0,0,0,areca
434,Libya,165,0,0,0,0,0,areca
231,Ethiopia,166,0,0,0,0,0,areca
262,Djibouti,167,0,0,0,0,0,areca
-99,Somaliland,168,0,0,0,0,0,areca
800,Uganda,169,0,0,0,0,0,areca
646,Rwanda,170,0,0,0,0,0,areca
070,Bosnia and Herzegovina,171,0.8346011666581035,0,0,0,0,areca
807,North Macedonia,172,0,0,0,0,0,areca
688,Republic of Serbia,173,0.6809003353118896,0,0,0,0,areca
499,Montenegro,174,0,0,0,0,0,areca
-99,Kosovo,175,0,0,0,0,0,areca
780,Trinidad and Tobago,176,0,0,0,0,0,areca
728,South Sudan,177,0,0,0,0,0,areca
