ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,asparagus
834,United Republic of Tanzania,2,0.06139202509075403,0,0,0,0,asparagus
732,Western Sahara,3,0,0,0,0,0,asparagus
124,Canada,4,2535.2176750652707,7760.999999999996,931319999.9999996,7760999.999999997,124175999.99999996,asparagus
840,United States of America,5,107594.28157520964,28267.999999999884,3392159999.9999857,28267999.99999988,452287999.9999981,asparagus
398,Kazakhstan,6,48.2449860626366,0,0,0,0,asparagus
860,Uzbekistan,7,0,0,0,0,0,asparagus
598,Papua New Guinea,8,0,0,0,0,0,asparagus
360,Indonesia,9,0,0,0,0,0,asparagus
032,Argentina,10,6514.932088378918,10845.340000000051,1301440800.0000062,10845340.000000052,173525440.00000083,asparagus
152,Chile,11,18118.753905791797,11491.899999999985,1379027999.999998,11491899.999999985,183870399.99999976,asparagus
180,Democratic Republic of the Congo,12,0,0,0,0,0,asparagus
706,Somalia,13,0.07477926183491945,0,0,0,0,asparagus
404,Kenya,14,125.637398803432,2528.3399999999942,303400799.99999934,2528339.9999999944,40453439.99999991,asparagus
729,Sudan,15,0,0,0,0,0,asparagus
148,Chad,16,0,0,0,0,0,asparagus
332,Haiti,17,0,0,0,0,0,asparagus
214,Dominican Republic,18,0,0,0,0,0,asparagus
643,Russia,19,266.2856935802847,0,0,0,0,asparagus
044,The Bahamas,20,0,0,0,0,0,asparagus
238,United Kingdom,21,0,0,0,0,0,asparagus
578,Norway,22,0,0,0,0,0,asparagus
304,Denmark,23,0,0,0,0,0,asparagus
260,France,24,0,0,0,0,0,asparagus
626,East Timor,25,0,0,0,0,0,asparagus
710,South Africa,26,1.9192328210920095,246.00000000000006,29520000.000000007,246000.00000000006,3936000.000000001,asparagus
426,Lesotho,27,0,0,0,0,0,asparagus
484,Mexico,28,48277.62814749324,300575.1199999998,36069014399.99998,300575119.9999998,4809201919.999997,asparagus
858,Uruguay,29,0,0,0,0,0,asparagus
076,Brazil,30,52.31436939141713,0,0,0,0,asparagus
068,Bolivia,31,46.88600117713213,0,0,0,0,asparagus
604,Peru,32,166153.77266047848,369370.00000000035,44324400000.00004,369370000.00000036,5909920000.000006,asparagus
170,Colombia,33,2896.464233712639,319.9999999999997,38399999.99999997,319999.99999999977,5119999.999999996,asparagus
591,Panama,34,0.003356529865413904,0,0,0,0,asparagus
188,Costa Rica,35,0,0,0,0,0,asparagus
558,Nicaragua,36,0,0,0,0,0,asparagus
340,Honduras,37,0,0,0,0,0,asparagus
222,El Salvador,38,0,0,0,0,0,asparagus
320,Guatemala,39,0,0,0,0,0,asparagus
084,Belize,40,0,0,0,0,0,asparagus
862,Venezuela,41,2.9057325087487698,0,0,0,0,asparagus
328,Guyana,42,0,0,0,0,0,asparagus
740,Suriname,43,0,0,0,0,0,asparagus
250,France,44,24918.32456164807,26760.000000000116,3211200000.000014,26760000.00000012,428160000.0000019,asparagus
218,Ecuador,45,809.3860001900862,1463.2499999999984,175589999.9999998,1463249.9999999984,23411999.999999974,asparagus
630,United States of America,46,0,0,0,0,0,asparagus
388,Jamaica,47,0,0,0,0,0,asparagus
192,Cuba,48,0,0,0,0,0,asparagus
716,Zimbabwe,49,165.06531021068804,297.5700000000006,35708400.000000075,297570.00000000064,4761120.00000001,asparagus
072,Botswana,50,0.7463676896877587,0,0,0,0,asparagus
516,Namibia,51,0,0,0,0,0,asparagus
686,Senegal,52,0,0,0,0,0,asparagus
466,Mali,53,0,0,0,0,0,asparagus
478,Mauritania,54,0,0,0,0,0,asparagus
204,Benin,55,0,0,0,0,0,asparagus
562,Niger,56,0,0,0,0,0,asparagus
566,Nigeria,57,0,0,0,0,0,asparagus
120,Cameroon,58,0,0,0,0,0,asparagus
768,Togo,59,0,0,0,0,0,asparagus
288,Ghana,60,0,0,0,0,0,asparagus
384,Ivory Coast,61,0,0,0,0,0,asparagus
324,Guinea,62,0,0,0,0,0,asparagus
624,Guinea-Bissau,63,0,0,0,0,0,asparagus
430,Liberia,64,0,0,0,0,0,asparagus
694,Sierra Leone,65,0,0,0,0,0,asparagus
854,Burkina Faso,66,0,0,0,0,0,asparagus
140,Central African Republic,67,0,0,0,0,0,asparagus
178,Republic of the Congo,68,0,0,0,0,0,asparagus
266,Gabon,69,0,0,0,0,0,asparagus
226,Equatorial Guinea,70,0,0,0,0,0,asparagus
894,Zambia,71,0.053056268487125635,0,0,0,0,asparagus
454,Malawi,72,0,0,0,0,0,asparagus
508,Mozambique,73,3.0286324308253825,0,0,0,0,asparagus
748,eSwatini,74,0,0,0,0,0,asparagus
024,Angola,75,0,0,0,0,0,asparagus
108,Burundi,76,0,0,0,0,0,asparagus
376,Israel,77,86.01506817527115,104.00000000000001,12480000.000000002,104000.00000000001,1664000.0000000002,asparagus
422,Lebanon,78,0,0,0,0,0,asparagus
450,Madagascar,79,0,0,0,0,0,asparagus
275,Israel,80,45.90622895769775,0,0,0,0,asparagus
270,Gambia,81,0,0,0,0,0,asparagus
788,Tunisia,82,0,0,0,0,0,asparagus
012,Algeria,83,1.5010022222995758,0,0,0,0,asparagus
400,Jordan,84,0,0,0,0,0,asparagus
784,United Arab Emirates,85,0,0,0,0,0,asparagus
634,Qatar,86,0,0,0,0,0,asparagus
414,Kuwait,87,0,0,0,0,0,asparagus
368,Iraq,88,22.702279712360905,0,0,0,0,asparagus
512,Oman,89,0,0,0,0,0,asparagus
548,Vanuatu,90,0,0,0,0,0,asparagus
116,Cambodia,91,15.397801414132118,0,0,0,0,asparagus
764,Thailand,92,5120.72879239067,24574.50999999995,2948941199.9999943,24574509.999999955,393192159.9999993,asparagus
418,Laos,93,27.927352152764797,0,0,0,0,asparagus
104,Myanmar,94,333.49149055220187,0,0,0,0,asparagus
704,Vietnam,95,1041.6731908619404,0,0,0,0,asparagus
408,North Korea,96,394.36723577976227,0,0,0,0,asparagus
410,South Korea,97,0,0,0,0,0,asparagus
496,Mongolia,98,2.2290232457453385,0,0,0,0,asparagus
356,India,99,18.860227400553413,0,0,0,0,asparagus
050,Bangladesh,100,0,0,0,0,0,asparagus
064,Bhutan,101,4.036570102907717,126.62,15194400,126620,2025920,asparagus
524,Nepal,102,22.599114881828427,0,0,0,0,asparagus
586,Pakistan,103,0.8680113861337304,0,0,0,0,asparagus
004,Afghanistan,104,14.516903086565435,0,0,0,0,asparagus
762,Tajikistan,105,0.2991594076156616,0,0,0,0,asparagus
417,Kyrgyzstan,106,0.29067269153892994,0,0,0,0,asparagus
795,Turkmenistan,107,26.40312165953219,0,0,0,0,asparagus
364,Iran,108,9530.93798979673,21987.40999999998,2638489199.999998,21987409.999999985,351798559.99999976,asparagus
760,Syria,109,0.04279599216533825,0,0,0,0,asparagus
051,Armenia,110,9.479911140166223,0,0,0,0,asparagus
752,Sweden,111,0,0,0,0,0,asparagus
112,Belarus,112,1.1985303510446101,0,0,0,0,asparagus
804,Ukraine,113,22.167504494078457,0,0,0,0,asparagus
616,Poland,114,558.7896435101866,12199.999999999996,1463999999.9999995,12199999.999999998,195199999.99999997,asparagus
040,Austria,115,1528.42557792375,2529.9999999999955,303599999.99999946,2529999.999999996,40479999.99999993,asparagus
348,Hungary,116,3190.4970738645643,5799.999999999997,695999999.9999996,5799999.999999997,92799999.99999996,asparagus
498,Moldova,117,0,0,0,0,0,asparagus
642,Romania,118,233.18227064609528,0,0,0,0,asparagus
440,Lithuania,119,0.5202382230199873,0,0,0,0,asparagus
428,Latvia,120,0,0,0,0,0,asparagus
233,Estonia,121,0,0,0,0,0,asparagus
276,Germany,122,44828.28061025124,117560.00000000006,14107200000.000006,117560000.00000006,1880960000.000001,asparagus
100,Bulgaria,123,10597.503595471382,0,0,0,0,asparagus
300,Greece,124,25372.590302805416,8340,1000800000,8340000,133440000,asparagus
792,Turkey,125,222.56440773799386,1078.9999999999968,129479999.99999961,1078999.999999997,17263999.99999995,asparagus
008,Albania,126,250.4194793701172,0,0,0,0,asparagus
191,Croatia,127,41.604688584804535,0,0,0,0,asparagus
756,Switzerland,128,55.276804730296135,784.9999999999997,94199999.99999996,784999.9999999997,12559999.999999994,asparagus
442,Luxembourg,129,9.532592207193375,0,0,0,0,asparagus
056,Belgium,130,710.7702991263941,4500,540000000,4500000,72000000,asparagus
528,Netherlands,131,12050.101671688259,17909.99999999999,2149199999.9999986,17909999.99999999,286559999.9999998,asparagus
620,Portugal,132,28.125826746225357,0,0,0,0,asparagus
724,Spain,133,60520.4457135573,65089.99999999995,7810799999.999994,65089999.999999955,1041439999.9999993,asparagus
372,Ireland,134,2.453846793156117,0,0,0,0,asparagus
540,France,135,0,0,0,0,0,asparagus
090,Solomon Islands,136,0,0,0,0,0,asparagus
554,New Zealand,137,4905.832978658378,1635.3999999999987,196247999.99999985,1635399.9999999988,26166399.99999998,asparagus
036,Australia,138,11740.747466002587,8609.520000000031,1033142400.0000038,8609520.000000032,137752320.0000005,asparagus
144,Sri Lanka,139,0,0,0,0,0,asparagus
156,China,140,3805912.260207818,7760179.900000007,931221588000.001,7760179900.000008,124162878400.00012,asparagus
158,Taiwan,141,6854.019234556705,3011.9999999999986,361439999.9999998,3011999.9999999986,48191999.99999998,asparagus
380,Italy,142,32945.67152861878,47039.99999999981,5644799999.999977,47039999.999999814,752639999.999997,asparagus
208,Denmark,143,10.517980575561523,320,38400000,320000,5120000,asparagus
826,United Kingdom,144,1618.643732172437,5261.9999999999945,631439999.9999994,5261999.999999995,84191999.99999993,asparagus
352,Iceland,145,0,0,0,0,0,asparagus
031,Azerbaijan,146,153.4453160315752,0,0,0,0,asparagus
268,Georgia,147,0.003463571105385199,0,0,0,0,asparagus
608,Philippines,148,8252.419461149722,1056.040000000002,126724800.00000024,1056040.000000002,16896640.000000034,asparagus
458,Malaysia,149,4.515168555080891,0,0,0,0,asparagus
096,Brunei,150,0,0,0,0,0,asparagus
705,Slovenia,151,6.388428270816803,619.9999999999999,74399999.99999999,619999.9999999999,9919999.999999998,asparagus
246,Finland,152,0,0,0,0,0,asparagus
703,Slovakia,153,567.2707720370963,200.00000000000006,24000000.000000007,200000.00000000006,3200000.000000001,asparagus
203,Czechia,154,435.30265466240235,0,0,0,0,asparagus
232,Eritrea,155,0,0,0,0,0,asparagus
392,Japan,156,23457.550021886826,26700.000000000065,3204000000.0000076,26700000.000000067,427200000.0000011,asparagus
600,Paraguay,157,0,0,0,0,0,asparagus
887,Yemen,158,0,0,0,0,0,asparagus
682,Saudi Arabia,159,0,0,0,0,0,asparagus
010,Antarctica,160,0,0,0,0,0,asparagus
-99,Northern Cyprus,161,0,0,0,0,0,asparagus
196,Cyprus,162,0,0,0,0,0,asparagus
504,Morocco,163,2596.68657922931,19.999999999999982,2399999.999999998,19999.999999999985,319999.99999999977,asparagus
818,Egypt,164,0,0,0,0,0,asparagus
434,Libya,165,0,0,0,0,0,asparagus
231,Ethiopia,166,0.23883747676154599,0,0,0,0,asparagus
262,Djibouti,167,0,0,0,0,0,asparagus
-99,Somaliland,168,0,0,0,0,0,asparagus
800,Uganda,169,1.2529302053153515,0,0,0,0,asparagus
646,Rwanda,170,0,0,0,0,0,asparagus
070,Bosnia and Herzegovina,171,0,0,0,0,0,asparagus
807,North Macedonia,172,11.507320940494537,708.97,85076400,708970,11343520,asparagus
688,Republic of Serbia,173,20.726724922657013,0,0,0,0,asparagus
499,Montenegro,174,0,0,0,0,0,asparagus
-99,Kosovo,175,0,0,0,0,0,asparagus
780,Trinidad and Tobago,176,0,0,0,0,0,asparagus
728,South Sudan,177,0,0,0,0,0,asparagus
