ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,avocado
834,United Republic of Tanzania,2,25.54817795753479,0,0,0,0,avocado
732,Western Sahara,3,0,0,0,0,0,avocado
124,Canada,4,0,0,0,0,0,avocado
840,United States of America,5,179524.4364933311,187433.49,223045853100,21179984370,2811502350,avocado
398,Kazakhstan,6,0.16795317818514377,0,0,0,0,avocado
860,Uzbekistan,7,0,0,0,0,0,avocado
598,Papua New Guinea,8,0,0,0,0,0,avocado
360,Indonesia,9,151495.07177626714,669000.0000000042,796110000000.005,75597000000.00047,10035000000.000063,avocado
032,Argentina,10,3393.0007426727166,4113.14000000001,4894636600.000012,464784820.0000012,61697100.00000016,avocado
152,Chile,11,100406.11199611523,161217.79999999996,191849181999.99994,18217611399.999996,2418266999.999999,avocado
180,Democratic Republic of the Congo,12,47790.79544858262,62309.72999999991,74148578699.9999,7040999489.9999895,934645949.9999986,avocado
706,Somalia,13,31.1914140060544,0,0,0,0,avocado
404,Kenya,14,52294.36395359039,322556.2199999994,383841901799.99927,36448852859.99993,4838343299.99999,avocado
729,Sudan,15,32.144723855890334,0,0,0,0,avocado
148,Chad,16,1113.1749856995884,0,0,0,0,avocado
332,Haiti,17,45427.3887052536,171984.00000000003,204660960000.00003,19434192000.000004,2579760000.0000005,avocado
214,Dominican Republic,18,100403.39715731144,620086.9599999996,737903482399.9995,70069826479.99995,9301304399.999994,avocado
643,Russia,19,2.4524670018272445,0,0,0,0,avocado
044,The Bahamas,20,0,0,0,0,0,avocado
238,United Kingdom,21,0,0,0,0,0,avocado
578,Norway,22,0,0,0,0,0,avocado
304,Denmark,23,0,0,0,0,0,avocado
260,France,24,0,0,0,0,0,avocado
626,East Timor,25,392.07632079720497,4335.0199999999995,5158673799.999999,489857259.99999994,65025299.999999985,avocado
710,South Africa,26,68631.99287260935,84774.99999999997,100882249999.99997,9579574999.999998,1271624999.9999995,avocado
426,Lesotho,27,0,0,0,0,0,avocado
484,Mexico,28,889232.6007162861,2393848.5700000054,2848679798300.0063,270504888410.0006,35907728550.00008,avocado
858,Uruguay,29,0.058489724062383175,0,0,0,0,avocado
076,Brazil,30,120453.88686790608,267059.00000000023,317800210000.0003,30177667000.00003,4005885000.000004,avocado
068,Bolivia,31,7317.3971623994,12476.999999999993,14847629999.99999,1409900999.9999993,187154999.99999988,avocado
604,Peru,32,81633.86085664108,672232.2399999996,799956365599.9995,75962243119.99995,10083483599.999994,avocado
170,Colombia,33,121834.38593345734,829146.6599999947,986684525399.9937,93693572579.9994,12437199899.99992,avocado
591,Panama,34,3114.642296056263,12999.999999999984,15469999999.99998,1468999999.9999983,194999999.99999976,avocado
188,Costa Rica,35,23750.60478413105,13286.000000000016,15810340000.00002,1501318000.000002,199290000.00000024,avocado
558,Nicaragua,36,3.8375827688723803,0,0,0,0,avocado
340,Honduras,37,1093.3284417146351,2098.859999999999,2497643399.999999,237171179.99999994,31482899.99999999,avocado
