ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,bambara
834,United Republic of Tanzania,2,0,0,0,0,0,bambara
732,Western Sahara,3,0,0,0,0,0,bambara
124,Canada,4,11.667457819003658,0,0,0,0,bambara
840,United States of America,5,0.00553242074965965,0,0,0,0,bambara
398,Kazakhstan,6,65.82946547926986,0,0,0,0,bambara
860,Uzbekistan,7,846.840590985259,0,0,0,0,bambara
598,Papua New Guinea,8,0,0,0,0,0,bambara
360,Indonesia,9,0,0,0,0,0,bambara
032,Argentina,10,3983.8807772464347,0,0,0,0,bambara
152,Chile,11,1.4600835863454051,0,0,0,0,bambara
180,Democratic Republic of the Congo,12,8548.924168852129,13471.580000000024,49171267000.000084,848709540.0000014,2384469660.0000043,bambara
706,Somalia,13,0,0,0,0,0,bambara
404,Kenya,14,0,0,0,0,0,bambara
729,Sudan,15,0,0,0,0,0,bambara
148,Chad,16,230.35281306691468,0,0,0,0,bambara
332,Haiti,17,0,0,0,0,0,bambara
214,Dominican Republic,18,0,0,0,0,0,bambara
643,Russia,19,6522.79811708319,0,0,0,0,bambara
044,The Bahamas,20,0,0,0,0,0,bambara
238,United Kingdom,21,0,0,0,0,0,bambara
578,Norway,22,0,0,0,0,0,bambara
304,Denmark,23,0,0,0,0,0,bambara
260,France,24,0,0,0,0,0,bambara
626,East Timor,25,0,0,0,0,0,bambara
710,South Africa,26,0,0,0,0,0,bambara
426,Lesotho,27,0,0,0,0,0,bambara
484,Mexico,28,2.55113139688931e-38,0,0,0,0,bambara
858,Uruguay,29,0.054796306416392326,0,0,0,0,bambara
076,Brazil,30,4.1121532515317085,0,0,0,0,bambara
068,Bolivia,31,1.3037124719121493,0,0,0,0,bambara
604,Peru,32,4781.6477232460165,0,0,0,0,bambara
170,Colombia,33,3259.741972958568,0,0,0,0,bambara
591,Panama,34,0.004092598333954811,0,0,0,0,bambara
188,Costa Rica,35,0,0,0,0,0,bambara
558,Nicaragua,36,0,0,0,0,0,bambara
340,Honduras,37,0,0,0,0,0,bambara
222,El Salvador,38,0,0,0,0,0,bambara
320,Guatemala,39,0,0,0,0,0,bambara
084,Belize,40,0,0,0,0,0,bambara
862,Venezuela,41,3.5429431349039078,0,0,0,0,bambara
328,Guyana,42,0,0,0,0,0,bambara
740,Suriname,43,0,0,0,0,0,bambara
250,France,44,5407.454358682502,0,0,0,0,bambara
218,Ecuador,45,11.849538639267848,0,0,0,0,bambara
630,United States of America,46,0,0,0,0,0,bambara
388,Jamaica,47,0,0,0,0,0,bambara
192,Cuba,48,0,0,0,0,0,bambara
716,Zimbabwe,49,0,0,0,0,0,bambara
072,Botswana,50,0,0,0,0,0,bambara
516,Namibia,51,0,0,0,0,0,bambara
686,Senegal,52,209.34204490296543,0,0,0,0,bambara
466,Mali,53,10167.437517703802,31033.000000000007,113270450000.00002,1955079000.0000002,5492841000.000001,bambara
478,Mauritania,54,1694.8866455927491,0,0,0,0,bambara
204,Benin,55,209.4811597201042,0,0,0,0,bambara
562,Niger,56,668.3759017586708,55570.10000000003,202830865000.0001,3500916300.0000014,9835907700.000004,bambara
566,Nigeria,57,1417.7317259612319,0,0,0,0,bambara
120,Cameroon,58,8372.457276031375,40874.00000000006,149190100000.0002,2575062000.000004,7234698000.0000105,bambara
768,Togo,59,383.479003071785,20278.769999999997,74017510499.99998,1277562509.9999998,3589342289.9999995,bambara
288,Ghana,60,1135.75660251081,0,0,0,0,bambara
384,Ivory Coast,61,3130.2859170362353,0,0,0,0,bambara
324,Guinea,62,403.4002160169184,0,0,0,0,bambara
624,Guinea-Bissau,63,0,0,0,0,0,bambara
430,Liberia,64,0,0,0,0,0,bambara
694,Sierra Leone,65,0,0,0,0,0,bambara
854,Burkina Faso,66,26568.69067293033,74646.99999999996,272461549999.99982,4702760999.999997,13212518999.99999,bambara
140,Central African Republic,67,314.7378588821739,0,0,0,0,bambara
178,Republic of the Congo,68,2.6501503624022007,0,0,0,0,bambara
266,Gabon,69,1.6810755729675293,0,0,0,0,bambara
226,Equatorial Guinea,70,21.49030900001526,0,0,0,0,bambara
894,Zambia,71,35.14548967406154,0,0,0,0,bambara
454,Malawi,72,0,0,0,0,0,bambara
508,Mozambique,73,0,0,0,0,0,bambara
748,eSwatini,74,0,0,0,0,0,bambara
024,Angola,75,183.77500305883586,0,0,0,0,bambara
108,Burundi,76,0.05471009202301502,0,0,0,0,bambara
376,Israel,77,4.1505829928992135e-39,0,0,0,0,bambara
422,Lebanon,78,4.480335146225665e-39,0,0,0,0,bambara
450,Madagascar,79,0,0,0,0,0,bambara
275,Israel,80,3.6986011797235654e-40,0,0,0,0,bambara
270,Gambia,81,0,0,0,0,0,bambara
788,Tunisia,82,0,0,0,0,0,bambara
012,Algeria,83,0,0,0,0,0,bambara
400,Jordan,84,2.305234064706827e-40,0,0,0,0,bambara
784,United Arab Emirates,85,0,0,0,0,0,bambara
634,Qatar,86,0,0,0,0,0,bambara
414,Kuwait,87,0,0,0,0,0,bambara
368,Iraq,88,143.57674157619476,0,0,0,0,bambara
512,Oman,89,0,0,0,0,0,bambara
548,Vanuatu,90,0,0,0,0,0,bambara
116,Cambodia,91,0,0,0,0,0,bambara
764,Thailand,92,7.723080849274993,0,0,0,0,bambara
418,Laos,93,0.4152504224330187,0,0,0,0,bambara
104,Myanmar,94,2942.5667598083382,0,0,0,0,bambara
704,Vietnam,95,17.645030940067954,0,0,0,0,bambara
408,North Korea,96,8.392888700589538,0,0,0,0,bambara
410,South Korea,97,0,0,0,0,0,bambara
496,Mongolia,98,0.6207183350504692,0,0,0,0,bambara
356,India,99,12512.015202628238,0,0,0,0,bambara
050,Bangladesh,100,13156.379900686443,0,0,0,0,bambara
064,Bhutan,101,0.7353102415800095,0,0,0,0,bambara
524,Nepal,102,1.4521818676549787e-37,0,0,0,0,bambara
586,Pakistan,103,31912.469966387485,0,0,0,0,bambara
004,Afghanistan,104,1069.7042098143138,0,0,0,0,bambara
762,Tajikistan,105,710.2300534537062,0,0,0,0,bambara
417,Kyrgyzstan,106,9.311160444281995,0,0,0,0,bambara
795,Turkmenistan,107,4.174413427710533,0,0,0,0,bambara
364,Iran,108,30.53555989265442,0,0,0,0,bambara
760,Syria,109,1508.550636291504,0,0,0,0,bambara
051,Armenia,110,23.96233996504452,0,0,0,0,bambara
752,Sweden,111,0,0,0,0,0,bambara
112,Belarus,112,0.16130374372005463,0,0,0,0,bambara
804,Ukraine,113,15.289678554981947,0,0,0,0,bambara
616,Poland,114,3.415605711106764,0,0,0,0,bambara
040,Austria,115,3.986825464246067,0,0,0,0,bambara
348,Hungary,116,974.3264861060306,0,0,0,0,bambara
498,Moldova,117,0,0,0,0,0,bambara
642,Romania,118,57.50895446538925,0,0,0,0,bambara
440,Lithuania,119,1.2566433288156986,0,0,0,0,bambara
428,Latvia,120,0,0,0,0,0,bambara
233,Estonia,121,0.014362919551786035,0,0,0,0,bambara
276,Germany,122,15.16647532575007,0,0,0,0,bambara
100,Bulgaria,123,2373.7885449938476,0,0,0,0,bambara
300,Greece,124,616.6848882420454,0,0,0,0,bambara
792,Turkey,125,119.23263229662552,0,0,0,0,bambara
008,Albania,126,6.899763882160187,0,0,0,0,bambara
191,Croatia,127,97.8613322256133,0,0,0,0,bambara
756,Switzerland,128,6.666513219475746,0,0,0,0,bambara
442,Luxembourg,129,1.5018245875835419,0,0,0,0,bambara
056,Belgium,130,8.93578253686428,0,0,0,0,bambara
528,Netherlands,131,0,0,0,0,0,bambara
620,Portugal,132,12.498381584882736,0,0,0,0,bambara
724,Spain,133,26893.55102300644,0,0,0,0,bambara
372,Ireland,134,0,0,0,0,0,bambara
540,France,135,0,0,0,0,0,bambara
090,Solomon Islands,136,0,0,0,0,0,bambara
554,New Zealand,137,510.2892588642426,0,0,0,0,bambara
036,Australia,138,122261.96144254395,0,0,0,0,bambara
144,Sri Lanka,139,0,0,0,0,0,bambara
156,China,140,96968.97131032689,0,0,0,0,bambara
158,Taiwan,141,0,0,0,0,0,bambara
380,Italy,142,1015.5282519563334,0,0,0,0,bambara
208,Denmark,143,0,0,0,0,0,bambara
826,United Kingdom,144,0,0,0,0,0,bambara
352,Iceland,145,0,0,0,0,0,bambara
031,Azerbaijan,146,746.0470695083495,0,0,0,0,bambara
268,Georgia,147,6.4279724640073255,0,0,0,0,bambara
608,Philippines,148,0,0,0,0,0,bambara
458,Malaysia,149,0,0,0,0,0,bambara
096,Brunei,150,0,0,0,0,0,bambara
705,Slovenia,151,1.8640404287725687,0,0,0,0,bambara
246,Finland,152,0.1213476667762734,0,0,0,0,bambara
703,Slovakia,153,784.5641265688464,0,0,0,0,bambara
203,Czechia,154,4.6657200191984884,0,0,0,0,bambara
232,Eritrea,155,0,0,0,0,0,bambara
392,Japan,156,0,0,0,0,0,bambara
600,Paraguay,157,1.64670196581028,0,0,0,0,bambara
887,Yemen,158,6801.110286533833,0,0,0,0,bambara
682,Saudi Arabia,159,4.803659439086914,0,0,0,0,bambara
010,Antarctica,160,0,0,0,0,0,bambara
-99,Northern Cyprus,161,0,0,0,0,0,bambara
196,Cyprus,162,0,0,0,0,0,bambara
504,Morocco,163,0,0,0,0,0,bambara
818,Egypt,164,0,0,0,0,0,bambara
434,Libya,165,0,0,0,0,0,bambara
231,Ethiopia,166,0,0,0,0,0,bambara
262,Djibouti,167,0,0,0,0,0,bambara
-99,Somaliland,168,0,0,0,0,0,bambara
800,Uganda,169,0.131459454074502,0,0,0,0,bambara
646,Rwanda,170,0.029967794194817543,0,0,0,0,bambara
070,Bosnia and Herzegovina,171,0.4645577953197062,0,0,0,0,bambara
807,North Macedonia,172,252.03501967526972,0,0,0,0,bambara
688,Republic of Serbia,173,5.332100573927164,0,0,0,0,bambara
499,Montenegro,174,0,0,0,0,0,bambara
-99,Kosovo,175,0.6958548426628113,0,0,0,0,bambara
780,Trinidad and Tobago,176,0,0,0,0,0,bambara
728,South Sudan,177,0,0,0,0,0,bambara
