ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,banana
834,United Republic of Tanzania,2,175733.1910940092,3377205.2200000137,2026323132000.0083,10131615660.00004,23640436540.000095,banana
732,Western Sahara,3,0,0,0,0,0,banana
124,Canada,4,0,0,0,0,0,banana
840,United States of America,5,374.95420540869236,3474.110000000001,2084466000.0000005,10422330.000000002,24318770.000000004,banana
398,Kazakhstan,6,0,0,0,0,0,banana
860,Uzbekistan,7,0,0,0,0,0,banana
598,Papua New Guinea,8,782422.5690278411,1226312.570000001,735787542000.0006,3678937710.000003,8584187990.000006,banana
360,Indonesia,9,3405522.7684051394,8182756.049999951,4909653629999.971,24548268149.99985,57279292349.99966,banana
032,Argentina,10,116083.22511232481,176290.28000000064,105774168000.00038,528870840.0000019,1234031960.0000045,banana
152,Chile,11,0,0,0,0,0,banana
180,Democratic Republic of the Congo,12,293169.31422519416,805873.0000000001,483523800000.00006,2417619000,5641111000,banana
706,Somalia,13,38827.95839005709,23684.310000000027,14210586000.000015,71052930.00000007,165790170.00000018,banana
404,Kenya,14,440415.5687600076,1856658.699999991,1113995219999.9946,5569976099.999973,12996610899.999937,banana
729,Sudan,15,38428.86443839129,0,0,0,0,banana
148,Chad,16,2086.090349516744,0,0,0,0,banana
332,Haiti,17,289142.0210285187,246145.3400000001,147687204000.00006,738436020.0000002,1723017380.0000005,banana
214,Dominican Republic,18,416895.2318582535,1233461.830000001,740077098000.0006,3700385490.000003,8634232810.000006,banana
643,Russia,19,0,0,0,0,0,banana
044,The Bahamas,20,0,0,0,0,0,banana
238,United Kingdom,21,0,0,0,0,0,banana
578,Norway,22,0,0,0,0,0,banana
304,Denmark,23,0,0,0,0,0,banana
260,France,24,0,0,0,0,0,banana
626,East Timor,25,1559.210911989212,577.03999999999985,346223999.9999999,1731119.9999999993,4039279.9999999986,banana
710,South Africa,26,244976.27146374155,322914.99999999977,193748999999.99985,968744999.9999993,2260404999.999998,banana
426,Lesotho,27,0,0,0,0,0,banana
484,Mexico,28,1741238.4135625132,2464171.340000006,1478502804000.0034,7392514020.000017,17249199380.00004,banana
858,Uruguay,29,0,0,0,0,0,banana
076,Brazil,30,5728191.836733793,6593437.000000029,3956062200000.0176,19780311000.000088,46154059000.0002,banana
068,Bolivia,31,542660.3249001577,301162.00000000116,180697200000.00067,903486000.0000035,2108134000.0000079,banana
604,Peru,32,5156.110632807016,2326085.079999999,1395651047999.9995,6978255239.999997,16282595559.999994,banana
170,Colombia,33,1387830.362882365,2399607.1499999817,1439764289999.989,7198821449.999945,16797250049.99987,banana
591,Panama,34,615709.6014349461,423633,254179800000,1270899000,2965431000,banana
188,Costa Rica,35,2229395.938515663,2623168.0000000014,1573900800000.001,7869504000.000004,18362176000.000008,banana
558,Nicaragua,36,58281.33332332969,102628.00000000007,61576800000.000046,307884000.0000002,718396000.0000005,banana
340,Honduras,37,672729.5093250871,585929.2999999999,351557579999.99994,1757787899.9999998,4101505099.999999,banana
222,El Salvador,38,67768.5923295021,9847.619999999999,5908571999.999999,29542859.999999996,68933339.99999999,banana
320,Guatemala,39,948285.2263064384,4055498.0000000005,2433298800000.0005,12166494000.000002,28388486000.000004,banana
084,Belize,40,57216.74120295048,92635,55581000000,277905000,648445000,banana
862,Venezuela,41,750620.1019533591,527948.0000000033,316768800000.00195,1583844000.0000098,3695636000.0000224,banana
328,Guyana,42,12690.06588151306,17205.109999999997,10323065999.999998,51615329.99999999,120435769.99999997,banana
740,Suriname,43,30518.138091625646,6241.0000000000055,3744600000.0000033,18723000.000000015,43687000.00000004,banana
250,France,44,3685.22575801902,0,0,0,0,banana
218,Ecuador,45,5747913.00881417,6023390.249999999,3614034149999.9995,18070170749.999996,42163731749.99999,banana
630,United States of America,46,45446.12962913513,98304.91999999998,58982951999.99999,294914759.99999994,688134439.9999999,banana
388,Jamaica,47,109458.8621559143,62256.999999999985,37354199999.99999,186770999.99999997,435798999.9999999,banana
192,Cuba,48,228488.54618388414,263405.3999999999,158043239999.99994,790216199.9999996,1843837799.9999993,banana
716,Zimbabwe,49,101633.1033897372,185542.2399999999,111325343999.99994,556626719.9999996,1298795679.9999993,banana
072,Botswana,50,644.1529743075371,0,0,0,0,banana
516,Namibia,51,1047.8662981368834,0,0,0,0,banana
686,Senegal,52,3503.9998536424246,36499.99999999996,21899999999.999977,109499999.9999999,255499999.99999973,banana
466,Mali,53,3075.184879851993,200487,120292200000,601461000,1403409000,banana
478,Mauritania,54,0,0,0,0,0,banana
204,Benin,55,12213.168248832226,20410.23000000003,12246138000.000017,61230690.00000009,142871610.0000002,banana
562,Niger,56,269.75477304682136,0,0,0,0,banana
566,Nigeria,57,6094.0491481832,0,0,0,0,banana
120,Cameroon,58,543929.9146264158,948175.0999999999,568905059999.9999,2844525299.9999995,6637225699.999998,banana
768,Togo,59,15501.834067702293,24357.110000000004,14614266000.000002,73071330,170499770,banana
288,Ghana,60,13241.248581657419,110233.77000000008,66140262000.000046,330701310.0000002,771636390.0000005,banana
384,Ivory Coast,61,264282.1877395697,625980.5000000002,375588300000.0001,1877941500.0000005,4381863500.000001,banana
324,Guinea,62,136350.4384574294,231234.32000000024,138740592000.00015,693702960.0000007,1618640240.0000017,banana
624,Guinea-Bissau,63,4096.5569188557565,8396.93,5038158000,25190790,58778509.99999999,banana
430,Liberia,64,78439.25307655334,141109.4,84665640000,423328200,987765799.9999999,banana
694,Sierra Leone,65,6126.996095538139,0,0,0,0,banana
854,Burkina Faso,66,379.86953887168784,0,0,0,0,banana
140,Central African Republic,67,114813.36298660748,139750.4900000003,83850294000.00018,419251470.0000009,978253430.0000021,banana
178,Republic of the Congo,68,70118.20873367786,88230.20000000001,52938120000.00001,264690600.00000003,617611400,banana
266,Gabon,69,10242.031397223473,18028.850000000006,10817310000.000004,54086550.000000015,126201950.00000003,banana
226,Equatorial Guinea,70,19607.63136291504,30904.889999999996,18542933999.999996,92714669.99999999,216334229.99999994,banana
894,Zambia,71,2539.8722617516178,689.6300000000027,413778000.0000016,2068890.000000008,4827410.000000019,banana
454,Malawi,72,77676.08223776985,415932.68000000046,249559608000.00027,1247798040.0000014,2911528760.0000033,banana
508,Mozambique,73,105912.41060987895,535000.0000000015,321000000000.0009,1605000000.0000045,3745000000.0000105,banana
748,eSwatini,74,2782.015722244978,14499.999999999995,8699999999.999996,43499999.99999998,101499999.99999996,banana
024,Angola,75,217335.31153394125,4204538.000000012,2522722800000.0073,12613614000.000036,29431766000.000084,banana
108,Burundi,76,1437387.297516346,1258599.4099999992,755159645999.9995,3775798229.9999976,8810195869.999994,banana
376,Israel,77,39456.79762354493,152999.9999999999,91799999999.99994,458999999.9999997,1070999999.9999993,banana
422,Lebanon,78,65685.27290337533,82560.99999999999,49536599999.99999,247682999.99999994,577926999.9999999,banana
450,Madagascar,79,267054.8726643026,388888.9200000001,233333352000.00006,1166666760.0000002,2722222440.0000005,banana
275,Israel,80,18595.723635673523,1428,856800000,4284000,9996000,banana
270,Gambia,81,45.27340431406628,0,0,0,0,banana
788,Tunisia,82,0,0,0,0,0,banana
012,Algeria,83,71.78231048583984,234.98999999999998,140994000,704970,1644930,banana
400,Jordan,84,28849.111128821503,32975.99999999998,19785599999.999985,98927999.99999993,230831999.99999982,banana
784,United Arab Emirates,85,3909.0337983444333,699.9999999999999,419999999.99999994,2099999.9999999995,4899999.999999999,banana
634,Qatar,86,0,0,0,0,0,banana
414,Kuwait,87,0,0,0,0,0,banana
368,Iraq,88,96.21053438726813,0,0,0,0,banana
512,Oman,89,26737.65058219433,18446.999999999993,11068199999.999996,55340999.99999998,129128999.99999996,banana
548,Vanuatu,90,0,0,0,0,0,banana
116,Cambodia,91,153353.62028688192,329999.99999999953,197999999999.99973,989999999.9999986,2309999999.9999967,banana
764,Thailand,92,1703161.8128222823,1360670.0000000023,816402000000.0013,4082010000.0000067,9524690000.000015,banana
418,Laos,93,42087.53713419661,893000.0000000008,535800000000.0005,2679000000.0000024,6251000000.000005,banana
104,Myanmar,94,6742.5220112502575,0,0,0,0,banana
704,Vietnam,95,1151859.9023257494,2267520.239999998,1360512143999.9985,6802560719.999993,15872641679.999983,banana
408,North Korea,96,0,0,0,0,0,banana
410,South Korea,97,0,0,0,0,0,banana
496,Mongolia,98,0,0,0,0,0,banana
356,India,99,15104826.281577697,32597000.00000008,19558200000000.047,97791000000.00023,228179000000.00055,banana
050,Bangladesh,100,585480.6277182698,817908.0000000005,490744800000.0003,2453724000.0000014,5725356000.000003,banana
064,Bhutan,101,89.72318267822266,3149.81,1889886000,9449430,22048670,banana
524,Nepal,102,4303.364123642445,254161,152496600000,762483000,1779127000,banana
586,Pakistan,103,129469.56705202535,150920.99999999968,90552599999.99982,452762999.99999905,1056446999.9999977,banana
004,Afghanistan,104,184.93433291465044,0,0,0,0,banana
762,Tajikistan,105,0,0,0,0,0,banana
417,Kyrgyzstan,106,0,0,0,0,0,banana
795,Turkmenistan,107,70.71863577514887,0,0,0,0,banana
364,Iran,108,25607.32125722617,132390.09999999913,79434059999.99948,397170299.99999744,926730699.9999939,banana
760,Syria,109,1411.8844146274496,145,87000000,435000,1014999.9999999999,banana
051,Armenia,110,42.47419995069504,0,0,0,0,banana
752,Sweden,111,0,0,0,0,0,banana
112,Belarus,112,0,0,0,0,0,banana
804,Ukraine,113,0,0,0,0,0,banana
616,Poland,114,0,0,0,0,0,banana
040,Austria,115,0,0,0,0,0,banana
348,Hungary,116,0,0,0,0,0,banana
498,Moldova,117,0,0,0,0,0,banana
642,Romania,118,0,0,0,0,0,banana
440,Lithuania,119,0,0,0,0,0,banana
428,Latvia,120,0,0,0,0,0,banana
233,Estonia,121,0,0,0,0,0,banana
276,Germany,122,0,0,0,0,0,banana
100,Bulgaria,123,13.059593506157398,0,0,0,0,banana
300,Greece,124,3237.635484331986,4789.999999999997,2873999999.999998,14369999.99999999,33529999.999999978,banana
792,Turkey,125,55689.48576630838,728133.0000000015,436879800000.0009,2184399000.0000043,5096931000.0000105,banana
008,Albania,126,31.785714149475098,0,0,0,0,banana
191,Croatia,127,0,0,0,0,0,banana
756,Switzerland,128,0.2077837127726525,0,0,0,0,banana
442,Luxembourg,129,0,0,0,0,0,banana
056,Belgium,130,0,0,0,0,0,banana
528,Netherlands,131,0,0,0,0,0,banana
620,Portugal,132,29412.933573275805,26299.999999999964,15779999999.999979,78899999.9999999,184099999.99999973,banana
724,Spain,133,392584.79391017556,420139.99999999924,252083999999.99954,1260419999.9999976,2940979999.9999943,banana
372,Ireland,134,0,0,0,0,0,banana
540,France,135,0,0,0,0,0,banana
090,Solomon Islands,136,0,0,0,0,0,banana
554,New Zealand,137,0,0,0,0,0,banana
036,Australia,138,262062.4623111345,372432.6499999998,223459589999.99988,1117297949.9999993,2607028549.9999986,banana
144,Sri Lanka,139,0,0,0,0,0,banana
