ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,barley
834,United Republic of Tanzania,2,4302.250069145579,20493.409999999985,68038121199.999954,368881379.99999976,2254275099.9999986,barley
732,Western Sahara,3,0,0,0,0,0,barley
124,Canada,4,11691312.26460542,10740599.999999963,35658791999999.875,193330799999.99936,1181465999999.996,barley
840,United States of America,5,6494487.511223344,3719009.999999997,12347113199999.99,66942179999.99995,409091099999.99963,barley
398,Kazakhstan,6,2023976.6901790993,3659259.75999999,12148742403199.967,65866675679.999825,402518573599.9989,barley
860,Uzbekistan,7,138111.80567720532,161539.0000000003,536309480000.001,2907702000.0000052,17769290000.00003,barley
598,Papua New Guinea,8,0,0,0,0,0,barley
360,Indonesia,9,0,0,0,0,0,barley
032,Argentina,10,588286.5814537547,3612804,11994509280000,65030472000,397408440000,barley
152,Chile,11,51690.77027355868,193165.99999999962,641311119999.9988,3476987999.9999933,21248259999.999958,barley
180,Democratic Republic of the Congo,12,458.91160153015517,992.5000000000014,3295100000.0000043,17865000.000000022,109175000.00000015,barley
706,Somalia,13,32.07106027007103,0,0,0,0,barley
404,Kenya,14,52313.54520882666,34952.99999999997,116043959999.99991,629153999.9999995,3844829999.9999967,barley
729,Sudan,15,314.4758462905884,0,0,0,0,barley
148,Chad,16,0,0,0,0,0,barley
332,Haiti,17,0,0,0,0,0,barley
214,Dominican Republic,18,0,0,0,0,0,barley
643,Russia,19,15484420.876285555,20938993.200000077,69517457424000.25,376901877600.0014,2303289252000.0083,barley
044,The Bahamas,20,0,0,0,0,0,barley
238,United Kingdom,21,0,0,0,0,0,barley
578,Norway,22,284791.04543070553,638500.0000000002,2119820000000.0007,11493000000.000004,70235000000.00002,barley
304,Denmark,23,0,0,0,0,0,barley
260,France,24,0,0,0,0,0,barley
626,East Timor,25,0,0,0,0,0,barley
710,South Africa,26,159084.98090314004,587999.999999999,1952159999999.9966,10583999999.99998,64679999999.999886,barley
426,Lesotho,27,251.16776534263045,305.0199999999999,1012666399.9999996,5490359.999999998,33552199.99999999,barley
484,Mexico,28,620947.3633189381,864293.2700000006,2869453656400.002,15557278860.000011,95072259700.00006,barley
858,Uruguay,29,201905.80739984522,606699.9999999994,2014243999999.998,10920599999.99999,66736999999.99994,barley
076,Brazil,30,286277.4213607545,387145.9999999995,1285324719999.9983,6968627999.99999,42586059999.99994,barley
068,Bolivia,31,61884.83494866034,47567.00000000011,157922440000.00037,856206000.0000019,5232370000.000011,barley
604,Peru,32,157912.4647384435,203421.9999999991,675361039999.997,3661595999.999984,22376419999.9999,barley
170,Colombia,33,9835.020724582719,6150.999999999986,20421319999.999954,110717999.99999976,676609999.9999986,barley
591,Panama,34,0,0,0,0,0,barley
188,Costa Rica,35,0,0,0,0,0,barley
558,Nicaragua,36,0,0,0,0,0,barley
340,Honduras,37,1.0267832279205322,0,0,0,0,barley
222,El Salvador,38,1.259710431098938,0,0,0,0,barley
320,Guatemala,39,1253.5870052096434,18.140000000000022,60224800.000000075,326520.0000000004,1995400.0000000026,barley
084,Belize,40,0.10925464890897274,0,0,0,0,barley
862,Venezuela,41,0,0,0,0,0,barley
328,Guyana,42,0,0,0,0,0,barley
740,Suriname,43,0,0,0,0,0,barley
250,France,44,9428654.049568892,10277230.000000037,34120403600000.12,184990140000.00067,1130495300000.004,barley
218,Ecuador,45,29286.54656443477,14107.490000000022,46836866800.00007,253934820.0000004,1551823900.0000024,barley
630,United States of America,46,0,0,0,0,0,barley
388,Jamaica,47,0,0,0,0,0,barley
192,Cuba,48,0,0,0,0,0,barley
