ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,bean
834,United Republic of Tanzania,2,197135.06170797045,1277558.0299999986,4356472882299.9956,21718486509.999977,282340324629.9997,bean
732,Western Sahara,3,0,0,0,0,0,bean
124,Canada,4,272913.65810062375,489499.999999999,1669194999999.9968,8321499999.999984,108179499999.9998,bean
840,United States of America,5,1240337.396725614,1465375.9999999811,4996932159999.936,24911391999.99968,323848095999.99585,bean
398,Kazakhstan,6,9506.067996886297,180013.8499999997,613847228499.9989,3060235449.9999948,39783060849.99993,bean
860,Uzbekistan,7,22.369644696824253,0,0,0,0,bean
598,Papua New Guinea,8,0,0,0,0,0,bean
360,Indonesia,9,271194.7761269547,221999.99999999872,757019999999.9956,3773999999.999978,49061999999.99972,bean
032,Argentina,10,202093.6123707185,633822.9999999991,2161336429999.9968,10774990999.999983,140074882999.9998,bean
152,Chile,11,46395.19695758749,9177.000000000016,31293570000.000057,156009000.00000027,2028117000.0000038,bean
180,Democratic Republic of the Congo,12,119905.85779063829,260041.00000000017,886739810000.0006,4420697000.000003,57469061000.000046,bean
706,Somalia,13,15135.829032629728,26922.739999999958,91806543399.99986,457686579.9999993,5949925539.999991,bean
404,Kenya,14,307114.9473835472,774365.6699999995,2640586934699.998,13164216389.99999,171134813069.99988,bean
729,Sudan,15,13126.476295259781,0,0,0,0,bean
148,Chad,16,44402.624934438616,154586.0000000007,527138260000.0024,2627962000.000012,34163506000.000156,bean
332,Haiti,17,34780.63045883179,83716.99999999999,285474969999.99994,1423188999.9999998,18501457000,bean
214,Dominican Republic,18,26020.093802571297,36755.31000000002,125335607100.00006,624840270.0000002,8122923510.000005,bean
643,Russia,19,11278.108974796467,6285.700000000018,21434237000.00006,106856900.0000003,1389139700.000004,bean
044,The Bahamas,20,0,0,0,0,0,bean
238,United Kingdom,21,0,0,0,0,0,bean
578,Norway,22,0,0,0,0,0,bean
304,Denmark,23,0,0,0,0,0,bean
260,France,24,0,0,0,0,0,bean
626,East Timor,25,4203.597880244255,10288.429999999997,35083546299.99999,174903309.99999994,2273743029.9999995,bean
710,South Africa,26,74680.19669707934,64800.00000000014,220968000000.0005,1101600000.0000024,14320800000.000032,bean
426,Lesotho,27,7398.237384818494,3680.9999999999973,12552209999.99999,62576999.99999995,813500999.9999994,bean
484,Mexico,28,1133059.6259584618,1056070.6099999985,3601200780099.9946,17953200369.999973,233391604809.99966,bean
858,Uruguay,29,3252.945226766169,3174.249999999996,10824192499.999987,53962249.999999925,701509249.9999992,bean
076,Brazil,30,2505455.222221813,3036253.9999999925,10353626139999.975,51616317999.99987,671012133999.9984,bean
068,Bolivia,31,15478.644268124946,103255.99999999975,352102959999.99915,1755351999.9999957,22819575999.999947,bean
604,Peru,32,61481.97940079303,87227.43000000001,297445536300.00006,1482866310.0000002,19277262030.000004,bean
170,Colombia,33,122467.14165886998,97890.84999999977,333807798499.9992,1664144449.9999962,21633877849.99995,bean
591,Panama,34,4143.5825139489025,5972.000000000002,20364520000.000004,101524000.00000003,1319812000.0000005,bean
188,Costa Rica,35,16046.408543646336,5307.999999999998,18100279999.999996,90235999.99999997,1173067999.9999998,bean
558,Nicaragua,36,155122.58613836765,210911.00000000003,719206510000.0001,3585487000.0000005,46611331000.00001,bean
340,Honduras,37,72640.12444720417,127733.10000000021,435569871000.00073,2171462700.000004,28229015100.00005,bean
222,El Salvador,38,67569.0257601738,85559.94999999995,291759429499.9998,1454519149.999999,18908748949.999992,bean
320,Guatemala,39,88971.80663783476,134249,457789090000,2282233000,29669029000.000004,bean
084,Belize,40,4899.274949228391,7381.000000000004,25169210000.00001,125477000.00000004,1631201000.0000007,bean
862,Venezuela,41,26473.89613212115,117340.9999999998,400132809999.99927,1994796999.9999962,25932360999.999954,bean
328,Guyana,42,24.26598521694541,0,0,0,0,bean
740,Suriname,43,0.013167611323297024,0,0,0,0,bean
250,France,44,9250.007007864304,0,0,0,0,bean
218,Ecuador,45,34727.84305081921,11873.489999999983,40488600899.99995,201849329.9999997,2624041289.9999967,bean
630,United States of America,46,185.28383437544107,69.76,237881600,1185920,15416960.000000002,bean
388,Jamaica,47,233.33920428156853,120,409200000,2040000,26520000,bean
192,Cuba,48,82359.31725811958,64946.39999999994,221467223999.9998,1104088799.999999,14353154399.999989,bean
716,Zimbabwe,49,38054.88803388178,15867.000000000004,54106470000.00001,269739000.00000006,3506607000.000001,bean
072,Botswana,50,870.5360025237896,0,0,0,0,bean
516,Namibia,51,1320.0026116920635,125.25000000000004,427102500.0000002,2129250.000000001,27680250.00000001,bean
686,Senegal,52,0,0,0,0,0,bean
466,Mali,53,2.4292532354593277,163900.25,558899852500,2786304250,36221955250,bean
478,Mauritania,54,0,0,0,0,0,bean
204,Benin,55,59089.06249320507,134940.05000000005,460145570500.0002,2293980850.000001,29821751050.00001,bean
562,Niger,56,7924.211443401873,18728.190000000013,63863127900.00004,318379230.0000002,4138929990.000003,bean
566,Nigeria,57,1299.8478742837906,0,0,0,0,bean
120,Cameroon,58,139634.77700255718,369048.09999999986,1258454020999.9995,6273817699.999997,81559630099.99997,bean
768,Togo,59,43580.87868821621,202265.0000000002,689723650000.0007,3438505000.0000033,44700565000.00005,bean
288,Ghana,60,700.4852743148804,195328.61000000002,666070560100.0001,3320586370.0000005,43167622810.00001,bean
384,Ivory Coast,61,0,0,0,0,0,bean
324,Guinea,62,0,0,0,0,0,bean
624,Guinea-Bissau,63,0,0,0,0,0,bean
430,Liberia,64,0,0,0,0,0,bean
694,Sierra Leone,65,0,0,0,0,0,bean
854,Burkina Faso,66,197.9918092265725,0,0,0,0,bean
140,Central African Republic,67,903.7262458344921,0,0,0,0,bean
178,Republic of the Congo,68,3257.4626312563196,4438.8499999999985,15136478499.999994,75460449.99999997,980985849.9999998,bean
266,Gabon,69,23.998205423355103,0,0,0,0,bean
226,Equatorial Guinea,70,0,0,0,0,0,bean
894,Zambia,71,10771.386206233408,54679.139999999934,186455867399.99976,929545379.9999988,12084089939.999985,bean
454,Malawi,72,46061.51381587982,233677.99999999983,796841979999.9994,3972525999.9999967,51642837999.99996,bean
508,Mozambique,73,21122.426530732773,325871.9999999996,1111223519999.9985,5539823999.999992,72017711999.99991,bean
748,eSwatini,74,1689.1522503495216,742.5200000000004,2531993200.0000014,12622840.000000007,164096920.00000012,bean
024,Angola,75,70695.25424220785,344762.0000000004,1175638420000.0015,5860954000.000007,76192402000.0001,bean
108,Burundi,76,226390.01301670074,460000.00000000006,1568600000000.0002,7820000000.000001,101660000000.00003,bean
376,Israel,77,36.719717025756836,0,0,0,0,bean
422,Lebanon,78,362.369750238955,3460,11798600000,58820000,764660000,bean
450,Madagascar,79,43232.90068505611,69000.00000000017,235290000000.0006,1173000000.000003,15249000000.00004,bean
275,Israel,80,0,0,0,0,0,bean
270,Gambia,81,0,0,0,0,0,bean
788,Tunisia,82,391.63092734850943,239.87999999999977,817990799.9999992,4077959.999999996,53013479.999999955,bean
012,Algeria,83,767.1708364151418,2047.8,6982998000,34812600,452563800,bean
400,Jordan,84,0.34993085265159607,0,0,0,0,bean
784,United Arab Emirates,85,0,0,0,0,0,bean
634,Qatar,86,0,0,0,0,0,bean
414,Kuwait,87,0,0,0,0,0,bean
368,Iraq,88,16655.601387418807,6994.000000000002,23849540000.000004,118898000.00000001,1545674000.0000005,bean
512,Oman,89,0,0,0,0,0,bean
548,Vanuatu,90,0,0,0,0,0,bean
116,Cambodia,91,18453.450513467193,80328.21999999988,273919230199.9996,1365579739.9999979,17752536619.999973,bean
764,Thailand,92,221087.8484032969,88766.24000000006,302692878400.0002,1509026080.000001,19617339040.000015,bean
418,Laos,93,1679.508473724185,4885.299999999993,16658872999.999975,83050099.99999987,1079651299.9999983,bean
104,Myanmar,94,1272867.5203244388,2659243.999999992,9068022039999.973,45207147999.99986,587692923999.9983,bean
704,Vietnam,95,123482.41608102154,161399.40999999995,550371988099.9999,2743789969.999999,35669269609.99999,bean
408,North Korea,96,281279.4158088714,326748.8500000004,1114213578500.0012,5554730450.000007,72211495850.00009,bean
410,South Korea,97,12206.197954401374,7407.00000000001,25257870000.000034,125919000.00000018,1636947000.0000024,bean
496,Mongolia,98,1.1925122225584346,0,0,0,0,bean
356,India,99,2464272.9872829346,5460000.000000019,18618600000000.062,92820000000.0003,1206660000000.0042,bean
050,Bangladesh,100,54987.20071166754,71000.00000000006,242110000000.0002,1207000000.000001,15691000000.000013,bean
064,Bhutan,101,30.751717500388622,1716.75,5854117500,29184750,379401750,bean
524,Nepal,102,24263.81833327841,19161.159999999993,65339555599.99998,325739719.9999999,4234616359.999999,bean
586,Pakistan,103,131009.77558194287,211430.9999999991,720979709999.997,3594326999.9999847,46726250999.9998,bean
004,Afghanistan,104,4657.029008913785,0,0,0,0,bean
762,Tajikistan,105,3.114482944831252,31507.9,107441939000,535634300,6963245900,bean
417,Kyrgyzstan,106,19.56159894913435,88779.05,302736560500,1509243850,19620170050,bean
795,Turkmenistan,107,466.91254292428493,0,0,0,0,bean
364,Iran,108,181182.8528790772,167504.88999999996,571191674899.9999,2847583129.999999,37018580689.99999,bean
760,Syria,109,1943.566151943989,1988.9999999999995,6782489999.999999,33812999.99999999,439568999.99999994,bean
051,Armenia,110,3541.9809630811214,2817.5000000000014,9607675000.000006,47897500.00000002,622667500.0000004,bean
752,Sweden,111,905.1160282224662,0,0,0,0,bean
112,Belarus,112,188747.0087353792,240321.0000000009,819494610000.003,4085457000.0000153,53110941000.000206,bean
804,Ukraine,113,56031.93841915205,75139.9999999998,256227399999.9993,1277379999.9999964,16605939999.999956,bean
616,Poland,114,45394.22105238936,0,0,0,0,bean
040,Austria,115,67.05594248021953,0,0,0,0,bean
348,Hungary,116,5090.061393938959,0,0,0,0,bean
498,Moldova,117,22126.69844186306,13072.999999999978,44578929999.99992,222240999.9999996,2889132999.999995,bean
642,Romania,118,40667.10285729915,0,0,0,0,bean
440,Lithuania,119,4199.598182508722,0,0,0,0,bean
428,Latvia,120,730.9703392116353,0,0,0,0,bean
233,Estonia,121,1438.206079013762,0,0,0,0,bean
276,Germany,122,362.6861061472446,0,0,0,0,bean
100,Bulgaria,123,20181.275581926107,0,0,0,0,bean
300,Greece,124,16488.365581855178,0,0,0,0,bean
792,Turkey,125,227763.50184724608,279518.0000000001,953156380000.0004,4751806000.000002,61773478000.00002,bean
008,Albania,126,21969.020188272,25762,87848420000,437954000,5693402000,bean
191,Croatia,127,16358.940494656563,0,0,0,0,bean
756,Switzerland,128,20.451283076778054,0,0,0,0,bean
442,Luxembourg,129,112.3984897583723,0,0,0,0,bean
056,Belgium,130,309.2166392954532,0,0,0,0,bean
528,Netherlands,131,4156.630663182586,0,0,0,0,bean
620,Portugal,132,7402.02649576962,0,0,0,0,bean
724,Spain,133,18401.58041433338,0,0,0,0,bean
372,Ireland,134,11313.280050702393,0,0,0,0,bean
540,France,135,0,0,0,0,0,bean
090,Solomon Islands,136,0,0,0,0,0,bean
554,New Zealand,137,0,0,0,0,0,bean
036,Australia,138,43910.56231026602,156290.03999999975,532949036399.9991,2656930679.9999957,34540098839.99995,bean
144,Sri Lanka,139,9461.822661727667,6491.25,22135162500,110351250,1434566250,bean
156,China,140,1717058.5033092282,1283999.0399999742,4378436726399.912,21827983679.99956,283763787839.9943,bean
158,Taiwan,141,6022.063441541046,12784.16,43593985600,217330720,2825299360,bean
380,Italy,142,17323.16896639485,0,0,0,0,bean
208,Denmark,143,0,0,0,0,0,bean
826,United Kingdom,144,251.0491305589676,0,0,0,0,bean
352,Iceland,145,0,0,0,0,0,bean
031,Azerbaijan,146,7748.717830363661,6312.899999999996,21526988999.99999,107319299.99999994,1395150899.9999993,bean
268,Georgia,147,8949.16853951948,5199.999999999993,17731999999.999973,88399999.99999987,1149199999.9999983,bean
608,Philippines,148,23588.64104965329,37036.08000000002,126293032800.00008,629613360.0000004,8184973680.000006,bean
458,Malaysia,149,668.1439304351807,0,0,0,0,bean
096,Brunei,150,0,0,0,0,0,bean
705,Slovenia,151,913.7055319771171,0,0,0,0,bean
246,Finland,152,0.04566723684547469,0,0,0,0,bean
703,Slovakia,153,2048.011380292475,0,0,0,0,bean
203,Czechia,154,365.46535990713164,0,0,0,0,bean
232,Eritrea,155,1329.392263431102,118.94000000000008,405585400.0000003,2021980.0000000016,26285740.000000022,bean
392,Japan,156,87587.36413441598,56799.99999999984,193687999999.99948,965599999.9999974,12552799999.999966,bean
600,Paraguay,157,47044.03380395008,69776,237936160000,1186192000,15420496000.000002,bean
887,Yemen,158,6389.117134094238,3070.9999999999977,10472109999.999992,52206999.99999996,678690999.9999995,bean
682,Saudi Arabia,159,4.512666702270508,0,0,0,0,bean
010,Antarctica,160,0,0,0,0,0,bean
-99,Northern Cyprus,161,0,0,0,0,0,bean
196,Cyprus,162,0,0,0,0,0,bean
504,Morocco,163,10100.986403427087,0,0,0,0,bean
818,Egypt,164,35862.484359934926,125199.99999999999,426931999999.99994,2128399999.9999995,27669199999.999996,bean
434,Libya,165,840.5110050290823,1169.9999999999995,3989699999.9999986,19889999.999999993,258569999.99999994,bean
231,Ethiopia,166,121511.31824089115,552564.0000000012,1884243240000.004,9393588000.00002,122116644000.00026,bean
262,Djibouti,167,0,0,0,0,0,bean
