ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,berrynes
834,United Republic of Tanzania,2,0.2640328463166952,0,0,0,0,berrynes
732,Western Sahara,3,0,0,0,0,0,berrynes
124,Canada,4,2.0542741519166157,0,0,0,0,berrynes
840,United States of America,5,23087.06183378058,29443.31999999991,14427226799.999956,206103239.99999937,294433199.9999991,berrynes
398,Kazakhstan,6,47.984232001132824,13651.189999999962,6689083099.999981,95558329.99999972,136511899.9999996,berrynes
860,Uzbekistan,7,959.318446504989,994.2100000000016,487162900.00000083,6959470.000000011,9942100.000000017,berrynes
598,Papua New Guinea,8,0,0,0,0,0,berrynes
360,Indonesia,9,0,0,0,0,0,berrynes
032,Argentina,10,0,0,0,0,0,berrynes
152,Chile,11,0,0,0,0,0,berrynes
180,Democratic Republic of the Congo,12,0,0,0,0,0,berrynes
706,Somalia,13,0.3216082528233528,0,0,0,0,berrynes
404,Kenya,14,540.3372994842939,614.0200000000001,300869800.00000006,4298140,6140200.000000001,berrynes
729,Sudan,15,0,0,0,0,0,berrynes
148,Chad,16,0,0,0,0,0,berrynes
332,Haiti,17,0,0,0,0,0,berrynes
214,Dominican Republic,18,0,0,0,0,0,berrynes
643,Russia,19,174.01672586283166,4399.999999999999,2155999999.9999995,30799999.999999993,43999999.99999999,berrynes
044,The Bahamas,20,0,0,0,0,0,berrynes
238,United Kingdom,21,0,0,0,0,0,berrynes
578,Norway,22,0,0,0,0,0,berrynes
304,Denmark,23,0,0,0,0,0,berrynes
260,France,24,0,0,0,0,0,berrynes
626,East Timor,25,0,0,0,0,0,berrynes
710,South Africa,26,757.9924860609171,4873,2387770000,34111000,48730000,berrynes
426,Lesotho,27,0.5074975807219744,0,0,0,0,berrynes
484,Mexico,28,6715.172521032473,215923.72999999978,105802627699.99988,1511466109.9999983,2159237299.9999976,berrynes
858,Uruguay,29,0,0,0,0,0,berrynes
076,Brazil,30,0,0,0,0,0,berrynes
068,Bolivia,31,0,0,0,0,0,berrynes
604,Peru,32,18.55095973610878,0,0,0,0,berrynes
170,Colombia,33,3.3447758304246236,0,0,0,0,berrynes
591,Panama,34,3.1040432453155518,0,0,0,0,berrynes
188,Costa Rica,35,995.1161619126797,828.9799999999998,406200199.9999999,5802859.999999998,8289799.999999998,berrynes
558,Nicaragua,36,0,0,0,0,0,berrynes
340,Honduras,37,0,0,0,0,0,berrynes
222,El Salvador,38,0,0,0,0,0,berrynes
320,Guatemala,39,0,0,0,0,0,berrynes
084,Belize,40,0,0,0,0,0,berrynes
862,Venezuela,41,0,0,0,0,0,berrynes
328,Guyana,42,0,0,0,0,0,berrynes
740,Suriname,43,0,0,0,0,0,berrynes
250,France,44,13.095924971625209,0,0,0,0,berrynes
218,Ecuador,45,6603.2385635983665,6328.250000000013,3100842500.000006,44297750.00000009,63282500.00000013,berrynes
630,United States of America,46,0,0,0,0,0,berrynes
388,Jamaica,47,0,0,0,0,0,berrynes
192,Cuba,48,0,0,0,0,0,berrynes
716,Zimbabwe,49,28.992818938655546,41.45000000000006,20310500.00000003,290150.0000000004,414500.0000000006,berrynes
072,Botswana,50,0.4698079558147583,0,0,0,0,berrynes
516,Namibia,51,9.271640738006681e-4,0,0,0,0,berrynes
686,Senegal,52,0,0,0,0,0,berrynes
466,Mali,53,0,0,0,0,0,berrynes
478,Mauritania,54,0,0,0,0,0,berrynes
204,Benin,55,0,0,0,0,0,berrynes
562,Niger,56,0,0,0,0,0,berrynes
566,Nigeria,57,0,0,0,0,0,berrynes
120,Cameroon,58,0,0,0,0,0,berrynes
768,Togo,59,0,0,0,0,0,berrynes
288,Ghana,60,0,0,0,0,0,berrynes
384,Ivory Coast,61,0,0,0,0,0,berrynes
324,Guinea,62,0,0,0,0,0,berrynes
624,Guinea-Bissau,63,0,0,0,0,0,berrynes
430,Liberia,64,0,0,0,0,0,berrynes
694,Sierra Leone,65,0,0,0,0,0,berrynes
854,Burkina Faso,66,0,0,0,0,0,berrynes
140,Central African Republic,67,0,0,0,0,0,berrynes
178,Republic of the Congo,68,0,0,0,0,0,berrynes
266,Gabon,69,0,0,0,0,0,berrynes
226,Equatorial Guinea,70,0,0,0,0,0,berrynes
894,Zambia,71,0.00931904325261712,0,0,0,0,berrynes
454,Malawi,72,0,0,0,0,0,berrynes
508,Mozambique,73,1.686678490252234,0,0,0,0,berrynes
748,eSwatini,74,1.0661009289324284,0,0,0,0,berrynes
024,Angola,75,0,0,0,0,0,berrynes
108,Burundi,76,0,0,0,0,0,berrynes
376,Israel,77,1080.1658702343702,1776.77,870617300,12437390,17767700,berrynes
422,Lebanon,78,0,0,0,0,0,berrynes
450,Madagascar,79,0,0,0,0,0,berrynes
275,Israel,80,576.484365850687,0,0,0,0,berrynes
270,Gambia,81,0,0,0,0,0,berrynes
788,Tunisia,82,89.08324131695554,195.70000000000013,95893000.00000007,1369900.000000001,1957000.0000000014,berrynes
