ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,cabbage
834,United Republic of Tanzania,2,291.1320466995239,84149.14,15988336600,84149140,841491400,cabbage
732,Western Sahara,3,0,0,0,0,0,cabbage
124,Canada,4,167470.970620233,176053.00000000102,33450070000.000195,176053000.00000104,1760530000.0000103,cabbage
840,United States of America,5,2222754.2315841652,1068980.9999999965,203106389999.99936,1068980999.9999967,10689809999.999966,cabbage
398,Kazakhstan,6,254224.01074063487,566160.5299999986,107570500699.99974,566160529.9999987,5661605299.999987,cabbage
860,Uzbekistan,7,210255.84458971024,658595,125133050000,658595000,6585950000,cabbage
598,Papua New Guinea,8,0,0,0,0,0,cabbage
360,Indonesia,9,1379752.586271122,1406984.5800000015,267327070200.0003,1406984580.0000017,14069845800.000015,cabbage
032,Argentina,10,81.97279542351657,0,0,0,0,cabbage
152,Chile,11,59060.0829819869,56778.22999999985,10787863699.999971,56778229.99999985,567782299.9999985,cabbage
180,Democratic Republic of the Congo,12,23282.633304461837,19715.769999999942,3745996299.999989,19715769.999999944,197157699.99999943,cabbage
706,Somalia,13,343.6400539278984,0,0,0,0,cabbage
404,Kenya,14,576828.2919957638,943609.5000000007,179285805000.00015,943609500.0000008,9436095000.000008,cabbage
729,Sudan,15,129.90054297447205,0,0,0,0,cabbage
148,Chad,16,485.11375868320465,0,0,0,0,cabbage
332,Haiti,17,6968.930010318756,17022.55,3234284500,17022550,170225500,cabbage
214,Dominican Republic,18,4309.112669527531,48117.03000000004,9142235700.000008,48117030.000000045,481170300.0000004,cabbage
643,Russia,19,3647133.439315357,2629614.6999999965,499626792999.9993,2629614699.9999967,26296146999.999966,cabbage
044,The Bahamas,20,0,0,0,0,0,cabbage
238,United Kingdom,21,0,0,0,0,0,cabbage
578,Norway,22,11457.053215116004,36478.99999999996,6931009999.999993,36478999.99999996,364789999.99999964,cabbage
304,Denmark,23,0,0,0,0,0,cabbage
260,France,24,0,0,0,0,0,cabbage
626,East Timor,25,1280.0131560862064,2679.120000000002,509032800.0000004,2679120.0000000023,26791200.000000022,cabbage
710,South Africa,26,201381.89133602288,163794.9999999995,31121049999.999905,163794999.99999952,1637949999.999995,cabbage
426,Lesotho,27,29.939808815717697,0,0,0,0,cabbage
484,Mexico,28,202545.373814705,244606.50000000081,46475235000.00015,244606500.00000083,2446065000.000008,cabbage
858,Uruguay,29,2657.7700035348535,3809.19,723746100,3809190,38091900,cabbage
076,Brazil,30,71.3162281230273,0,0,0,0,cabbage
068,Bolivia,31,13874.584323283634,4813.999999999975,914659999.9999954,4813999.999999976,48139999.999999754,cabbage
604,Peru,32,44930.040668738075,34143.999999999985,6487359999.999998,34143999.99999999,341439999.9999999,cabbage
170,Colombia,33,291802.1524543509,48885.38000000003,9288222200.000004,48885380.00000003,488853800.00000024,cabbage
591,Panama,34,3975.5150978975,1361.0000000000002,258590000.00000003,1361000.0000000002,13610000.000000002,cabbage
188,Costa Rica,35,9513.431044995785,18041.460000000003,3427877400.0000005,18041460.000000004,180414600.00000003,cabbage
558,Nicaragua,36,11969.174347497523,73822.00000000001,14026180000.000002,73822000.00000001,738220000.0000001,cabbage
340,Honduras,37,43997.10298784822,85735.51000000001,16289746900.000002,85735510.00000001,857355100.0000001,cabbage
222,El Salvador,38,882.8686358109117,677.4300000000002,128711700.00000003,677430.0000000002,6774300.000000002,cabbage
320,Guatemala,39,55654.02782025933,75314.75000000003,14309802500.000004,75314750.00000003,753147500.0000002,cabbage
084,Belize,40,1091.9796366989613,787,149530000,787000,7870000,cabbage
862,Venezuela,41,58579.14715878382,94528.44000000037,17960403600.00007,94528440.00000037,945284400.0000037,cabbage
328,Guyana,42,574.195287081413,12037.919999999984,2287204799.9999967,12037919.999999985,120379199.99999984,cabbage
740,Suriname,43,714.9342174865305,924.9999999999986,175749999.99999976,924999.9999999987,9249999.999999987,cabbage
250,France,44,233353.75252526253,205639.9999999993,39071599999.99987,205639999.9999993,2056399999.999993,cabbage
218,Ecuador,45,14509.96825107871,12545.380000000028,2383622200.0000052,12545380.00000003,125453800.00000028,cabbage
630,United States of America,46,1122.9615986347198,199.8,37962000,199800,1998000,cabbage
388,Jamaica,47,22399.688788414,36286.00000000002,6894340000.000005,36286000.00000002,362860000.00000024,cabbage
192,Cuba,48,126444.10206437111,52125.699999999815,9903882999.999966,52125699.99999982,521256999.99999815,cabbage
716,Zimbabwe,49,247.1704496164457,480.20999999999896,91239899.9999998,480209.999999999,4802099.99999999,cabbage
072,Botswana,50,38.28989032935351,8209.999999999998,1559899999.9999998,8209999.999999999,82099999.99999999,cabbage
516,Namibia,51,0.07386016100645065,6453.3,1226127000,6453300,64533000,cabbage
686,Senegal,52,0,0,0,0,0,cabbage
466,Mali,53,35.85929191112518,87990,16718100000,87990000,879900000,cabbage
478,Mauritania,54,0,0,0,0,0,cabbage
204,Benin,55,92.29553791880608,0,0,0,0,cabbage
562,Niger,56,108710.22766342759,544312.2500000002,103419327500.00003,544312250.0000002,5443122500.000002,cabbage
566,Nigeria,57,2063.293425142765,0,0,0,0,cabbage
120,Cameroon,58,35619.035231515765,62980.00999999999,11966201899.999998,62980009.99999999,629800099.9999999,cabbage
768,Togo,59,497.56268521025777,812.4500000000008,154365500.00000015,812450.0000000009,8124500.000000008,cabbage
288,Ghana,60,7.582269296050072,0,0,0,0,cabbage
384,Ivory Coast,61,0,0,0,0,0,cabbage
324,Guinea,62,0,0,0,0,0,cabbage
624,Guinea-Bissau,63,0,0,0,0,0,cabbage
430,Liberia,64,0,0,0,0,0,cabbage
694,Sierra Leone,65,0,0,0,0,0,cabbage
854,Burkina Faso,66,270.2563747167587,0,0,0,0,cabbage
140,Central African Republic,67,202.23715573176742,0,0,0,0,cabbage
178,Republic of the Congo,68,1181.8180813640356,1665.7699999999986,316496299.99999976,1665769.9999999988,16657699.999999987,cabbage
266,Gabon,69,16.975639402866364,0,0,0,0,cabbage
226,Equatorial Guinea,70,93.92635440826416,0,0,0,0,cabbage
894,Zambia,71,392.3255789480172,0,0,0,0,cabbage
454,Malawi,72,18383.430671542883,208789.85000000003,39670071500.00001,208789850.00000003,2087898500.0000002,cabbage
508,Mozambique,73,1866.4162577509496,0,0,0,0,cabbage
748,eSwatini,74,354.0506462715566,0,0,0,0,cabbage
024,Angola,75,163.6746609210968,304254.99999999994,57808449999.99999,304254999.99999994,3042549999.9999995,cabbage
108,Burundi,76,19.02722454071045,0,0,0,0,cabbage
376,Israel,77,26666.162274599075,49240,9355600000,49240000,492400000,cabbage
422,Lebanon,78,46572.82818365097,56609.99999999996,10755899999.999992,56609999.99999997,566099999.9999996,cabbage
450,Madagascar,79,12836.665182807017,18684.40999999993,3550037899.999987,18684409.999999933,186844099.9999993,cabbage
275,Israel,80,10637.283728122711,17349.999999999996,3296499999.9999995,17349999.999999996,173499999.99999997,cabbage
270,Gambia,81,0,0,0,0,0,cabbage
788,Tunisia,82,11127.920234203339,30197.30000000003,5737487000.000006,30197300.00000003,301973000.0000003,cabbage
012,Algeria,83,22023.563360750675,124204.1,23598779000,124204100,1242041000,cabbage
400,Jordan,84,16980.102865219116,52615.99999999998,9997039999.999996,52615999.99999998,526159999.99999976,cabbage
784,United Arab Emirates,85,51479.54345703125,35503.14,6745596600,35503140,355031400,cabbage
634,Qatar,86,0,0,0,0,0,cabbage
414,Kuwait,87,5401.389678955078,7043.999999999999,1338359999.9999998,7043999.999999999,70439999.99999999,cabbage
368,Iraq,88,1049.466511040926,8789.000000000002,1669910000.0000002,8789000.000000002,87890000.00000001,cabbage
512,Oman,89,6751.619140625,30002,5700380000,30002000,300020000,cabbage
548,Vanuatu,90,0,0,0,0,0,cabbage
116,Cambodia,91,3383.4808502197266,0,0,0,0,cabbage
764,Thailand,92,211996.62420317158,270000.00000000023,51300000000.000046,270000000.00000024,2700000000.0000024,cabbage
418,Laos,93,1432.4050916433334,0,0,0,0,cabbage
104,Myanmar,94,2554.627489492297,0,0,0,0,cabbage
704,Vietnam,95,397918.22431206703,1027591.589999999,195242402099.99982,1027591589.999999,10275915899.99999,cabbage
408,North Korea,96,646276.2924132347,692419.5799999997,131559720199.99994,692419579.9999998,6924195799.999997,cabbage
410,South Korea,97,2681141.7191782,2555876.000000002,485616440000.00037,2555876000.000002,25558760000.00002,cabbage
496,Mongolia,98,13566.499855378555,24376.940000000064,4631618600.000012,24376940.000000067,243769400.00000066,cabbage
356,India,99,5369639.557241834,9272000.000000037,1761680000000.0068,9272000000.000036,92720000000.00037,cabbage
050,Bangladesh,100,107387.81104430556,384291.00000000023,73015290000.00005,384291000.00000024,3842910000.0000024,cabbage
064,Bhutan,101,32.223786214366555,7829.570000000001,1487618300,7829570,78295700,cabbage
524,Nepal,102,1816.9912125375122,9149.53,1738410700,9149530,91495300,cabbage
586,Pakistan,103,62584.951982914936,101588.99999999978,19301909999.999958,101588999.99999979,1015889999.9999979,cabbage
004,Afghanistan,104,1427.9452554695308,0,0,0,0,cabbage
762,Tajikistan,105,25911.511042430997,139483.59999999995,26501883999.999992,139483599.99999997,1394835999.9999995,cabbage
417,Kyrgyzstan,106,86985.66436828673,131798.90000000023,25041791000.000046,131798900.00000024,1317989000.0000024,cabbage
795,Turkmenistan,107,38261.98440095782,67007.96000000006,12731512400.000011,67007960.00000006,670079600.0000006,cabbage
364,Iran,108,212380.08906286955,298930.1700000004,56796732300.00008,298930170.0000004,2989301700.000004,cabbage
760,Syria,109,52383.052892923355,58542.870000000046,11123145300.00001,58542870.00000005,585428700.0000005,cabbage
051,Armenia,110,62042.02958846092,74877.69999999992,14226762999.999987,74877699.99999993,748776999.9999993,cabbage
752,Sweden,111,15191.476074866889,25379.99999999997,4822199999.999994,25379999.99999997,253799999.9999997,cabbage
112,Belarus,112,500911.6992316246,354984.0000000013,67446960000.000244,354984000.0000013,3549840000.000013,cabbage
804,Ukraine,113,1078459.3176430464,1759189.9999999998,334246099999.99994,1759189999.9999998,17591899999.999996,cabbage
616,Poland,114,1321398.5264493227,767500.0000000006,145825000000.00012,767500000.0000006,7675000000.000006,cabbage
040,Austria,115,83458.19942839653,62579.99999999997,11890199999.999996,62579999.99999998,625799999.9999998,cabbage
348,Hungary,116,155578.25451612473,50150.00000000004,9528500000.000008,50150000.00000004,501500000.00000036,cabbage
498,Moldova,117,61393.78069972992,14714.999999999998,2795849999.9999995,14714999.999999998,147149999.99999997,cabbage
642,Romania,118,723052.4398230314,541920.0000000002,102964800000.00003,541920000.0000002,5419200000.000002,cabbage
440,Lithuania,119,139488.6635773182,46610,8855900000,46610000,466100000,cabbage
428,Latvia,120,67493.15408748388,19299.99999999998,3666999999.9999967,19299999.99999998,192999999.99999982,cabbage
233,Estonia,121,18483.98287332058,0,0,0,0,cabbage
276,Germany,122,661573.375997439,725329.9999999997,137812699999.99994,725329999.9999996,7253299999.999996,cabbage
