ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,carob
834,United Republic of Tanzania,2,0,0,0,0,0,carob
732,Western Sahara,3,0,0,0,0,0,carob
124,Canada,4,0,0,0,0,0,carob
840,United States of America,5,0.1690258256438426,0,0,0,0,carob
398,Kazakhstan,6,0.09021950289826464,0,0,0,0,carob
860,Uzbekistan,7,0,0,0,0,0,carob
598,Papua New Guinea,8,0,0,0,0,0,carob
360,Indonesia,9,0,0,0,0,0,carob
032,Argentina,10,0,0,0,0,0,carob
152,Chile,11,0,0,0,0,0,carob
180,Democratic Republic of the Congo,12,0,0,0,0,0,carob
706,Somalia,13,0,0,0,0,0,carob
404,Kenya,14,0,0,0,0,0,carob
729,Sudan,15,0,0,0,0,0,carob
148,Chad,16,0,0,0,0,0,carob
332,Haiti,17,0,0,0,0,0,carob
214,Dominican Republic,18,0,0,0,0,0,carob
643,Russia,19,4.818685692047438,0,0,0,0,carob
044,The Bahamas,20,0,0,0,0,0,carob
238,United Kingdom,21,0,0,0,0,0,carob
578,Norway,22,0,0,0,0,0,carob
304,Denmark,23,0,0,0,0,0,carob
260,France,24,0,0,0,0,0,carob
626,East Timor,25,0,0,0,0,0,carob
710,South Africa,26,0,0,0,0,0,carob
426,Lesotho,27,0,0,0,0,0,carob
484,Mexico,28,50.790584630345904,332.6400000000013,369230400.00000143,1663200.0000000065,5322240.000000021,carob
858,Uruguay,29,0,0,0,0,0,carob
076,Brazil,30,0,0,0,0,0,carob
068,Bolivia,31,0,0,0,0,0,carob
604,Peru,32,0,0,0,0,0,carob
170,Colombia,33,0,0,0,0,0,carob
591,Panama,34,0,0,0,0,0,carob
188,Costa Rica,35,0,0,0,0,0,carob
558,Nicaragua,36,0,0,0,0,0,carob
340,Honduras,37,0,0,0,0,0,carob
222,El Salvador,38,0,0,0,0,0,carob
320,Guatemala,39,0.03771961052552797,0,0,0,0,carob
084,Belize,40,0,0,0,0,0,carob
862,Venezuela,41,0,0,0,0,0,carob
328,Guyana,42,0,0,0,0,0,carob
740,Suriname,43,0,0,0,0,0,carob
250,France,44,65.96702943742275,0,0,0,0,carob
218,Ecuador,45,0,0,0,0,0,carob
630,United States of America,46,0,0,0,0,0,carob
388,Jamaica,47,0,0,0,0,0,carob
192,Cuba,48,0,0,0,0,0,carob
716,Zimbabwe,49,0,0,0,0,0,carob
072,Botswana,50,0,0,0,0,0,carob
516,Namibia,51,0,0,0,0,0,carob
686,Senegal,52,0,0,0,0,0,carob
466,Mali,53,0,0,0,0,0,carob
478,Mauritania,54,0,0,0,0,0,carob
204,Benin,55,0,0,0,0,0,carob
562,Niger,56,0,0,0,0,0,carob
566,Nigeria,57,0,0,0,0,0,carob
120,Cameroon,58,0,0,0,0,0,carob
768,Togo,59,0,0,0,0,0,carob
288,Ghana,60,0,0,0,0,0,carob
384,Ivory Coast,61,0,0,0,0,0,carob
324,Guinea,62,0,0,0,0,0,carob
624,Guinea-Bissau,63,0,0,0,0,0,carob
430,Liberia,64,0,0,0,0,0,carob
694,Sierra Leone,65,0,0,0,0,0,carob
854,Burkina Faso,66,0,0,0,0,0,carob
140,Central African Republic,67,0,0,0,0,0,carob
178,Republic of the Congo,68,0,0,0,0,0,carob
266,Gabon,69,0,0,0,0,0,carob
226,Equatorial Guinea,70,0,0,0,0,0,carob
894,Zambia,71,0,0,0,0,0,carob
454,Malawi,72,0,0,0,0,0,carob
508,Mozambique,73,0,0,0,0,0,carob
748,eSwatini,74,0,0,0,0,0,carob
024,Angola,75,0,0,0,0,0,carob
108,Burundi,76,0,0,0,0,0,carob
376,Israel,77,152.96985379047692,394.41000000000014,437795100.0000002,1972050.0000000007,6310560.000000003,carob
422,Lebanon,78,3312.7041497826576,4127.35,4581358500,20636750,66037600,carob
450,Madagascar,79,0,0,0,0,0,carob
275,Israel,80,68.1839044354856,0,0,0,0,carob
270,Gambia,81,0,0,0,0,0,carob
788,Tunisia,82,904.7018829844892,834.2000000000003,925962000.0000004,4171000.0000000014,13347200.000000006,carob
012,Algeria,83,3807.9955081418157,3279.999999999997,3640799999.999996,16399999.999999983,52479999.99999995,carob
400,Jordan,84,0,0,0,0,0,carob
784,United Arab Emirates,85,0,0,0,0,0,carob
634,Qatar,86,0,0,0,0,0,carob
414,Kuwait,87,0,0,0,0,0,carob
368,Iraq,88,8.30663077160716,0,0,0,0,carob
512,Oman,89,0,0,0,0,0,carob
548,Vanuatu,90,0,0,0,0,0,carob
116,Cambodia,91,0,0,0,0,0,carob
764,Thailand,92,0,0,0,0,0,carob
418,Laos,93,0.007701195310801268,0,0,0,0,carob
104,Myanmar,94,0.8027202685225348,0,0,0,0,carob
704,Vietnam,95,2.172163922339678,0,0,0,0,carob
408,North Korea,96,1.76661307644099,0,0,0,0,carob
410,South Korea,97,129.29965307784732,0,0,0,0,carob
496,Mongolia,98,0.006542214395835799,0,0,0,0,carob
356,India,99,0.041638190811227105,0,0,0,0,carob
050,Bangladesh,100,0,0,0,0,0,carob
064,Bhutan,101,0.00781829678817303,0,0,0,0,carob
524,Nepal,102,0.043352023240913695,0,0,0,0,carob
586,Pakistan,103,0.0017676688894425752,0,0,0,0,carob
004,Afghanistan,104,6.61887994283461e-4,0,0,0,0,carob
762,Tajikistan,105,5.689746467396617e-4,0,0,0,0,carob
417,Kyrgyzstan,106,4.2679427951952675e-4,0,0,0,0,carob
795,Turkmenistan,107,0,0,0,0,0,carob
364,Iran,108,8.660220000892878,0,0,0,0,carob
760,Syria,109,352.95277988910675,0,0,0,0,carob
051,Armenia,110,4.016233921051025,0,0,0,0,carob
752,Sweden,111,0,0,0,0,0,carob
112,Belarus,112,0.07172354673821246,0,0,0,0,carob
804,Ukraine,113,95.0012356005318,196.39999999999938,218003999.9999993,981999.9999999969,3142399.99999999,carob
616,Poland,114,0.0187518373131752,0,0,0,0,carob
040,Austria,115,0,0,0,0,0,carob
348,Hungary,116,1.2692838665097952,0,0,0,0,carob
498,Moldova,117,0.1839201943948865,0,0,0,0,carob
642,Romania,118,0.14229970081942156,0,0,0,0,carob
440,Lithuania,119,0,0,0,0,0,carob
428,Latvia,120,0,0,0,0,0,carob
233,Estonia,121,0,0,0,0,0,carob
276,Germany,122,0,0,0,0,0,carob
100,Bulgaria,123,63.351100862026215,0,0,0,0,carob
300,Greece,124,15612.34277209267,0,0,0,0,carob
792,Turkey,125,13170.660108152311,18805.99999999992,20874659999.999912,94029999.9999996,300895999.99999875,carob
008,Albania,126,154.1901035308838,0,0,0,0,carob
191,Croatia,127,484.9711541617289,0,0,0,0,carob
756,Switzerland,128,16.116962745785713,0,0,0,0,carob
442,Luxembourg,129,0,0,0,0,0,carob
056,Belgium,130,0,0,0,0,0,carob
528,Netherlands,131,0,0,0,0,0,carob
620,Portugal,132,18579.010631084442,0,0,0,0,carob
724,Spain,133,86534.97892663255,0,0,0,0,carob
372,Ireland,134,0,0,0,0,0,carob
540,France,135,0,0,0,0,0,carob
090,Solomon Islands,136,0,0,0,0,0,carob
554,New Zealand,137,33.96904902669485,0,0,0,0,carob
036,Australia,138,4.829731261944408e-38,0,0,0,0,carob
144,Sri Lanka,139,0,0,0,0,0,carob
156,China,140,7320.36187270936,0,0,0,0,carob
158,Taiwan,141,294.5602576127276,0,0,0,0,carob
380,Italy,142,27677.43058548309,0,0,0,0,carob
208,Denmark,143,0,0,0,0,0,carob
826,United Kingdom,144,0,0,0,0,0,carob
352,Iceland,145,0,0,0,0,0,carob
031,Azerbaijan,146,0,0,0,0,0,carob
268,Georgia,147,3.856918603181839,0,0,0,0,carob
608,Philippines,148,0,0,0,0,0,carob
458,Malaysia,149,0,0,0,0,0,carob
096,Brunei,150,0,0,0,0,0,carob
705,Slovenia,151,2.670585945248604,0,0,0,0,carob
246,Finland,152,0,0,0,0,0,carob
703,Slovakia,153,0,0,0,0,0,carob
203,Czechia,154,0,0,0,0,0,carob
232,Eritrea,155,0,0,0,0,0,carob
392,Japan,156,0,0,0,0,0,carob
600,Paraguay,157,0,0,0,0,0,carob
887,Yemen,158,0,0,0,0,0,carob
682,Saudi Arabia,159,0,0,0,0,0,carob
010,Antarctica,160,0,0,0,0,0,carob
-99,Northern Cyprus,161,0,0,0,0,0,carob
196,Cyprus,162,0,0,0,0,0,carob
504,Morocco,163,22785.84370077774,22083.270000000022,24512429700.000023,110416350.0000001,353332320.00000036,carob
818,Egypt,164,0,0,0,0,0,carob
434,Libya,165,0,0,0,0,0,carob
231,Ethiopia,166,0,0,0,0,0,carob
262,Djibouti,167,0,0,0,0,0,carob
-99,Somaliland,168,0,0,0,0,0,carob
800,Uganda,169,0,0,0,0,0,carob
646,Rwanda,170,0,0,0,0,0,carob
070,Bosnia and Herzegovina,171,2.640852626413107,0,0,0,0,carob
807,North Macedonia,172,0,0,0,0,0,carob
688,Republic of Serbia,173,1.71078622341156,0,0,0,0,carob
499,Montenegro,174,0,0,0,0,0,carob
-99,Kosovo,175,0,0,0,0,0,carob
780,Trinidad and Tobago,176,0,0,0,0,0,carob
728,South Sudan,177,0,0,0,0,0,carob
