ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,carrot
834,United Republic of Tanzania,2,23.748172521591187,0,0,0,0,carrot
732,Western Sahara,3,0,0,0,0,0,carrot
124,Canada,4,284954.7969706234,360225.9999999994,136885879999.99979,720451999.9999989,3242033999.9999948,carrot
840,United States of America,5,1700232.185611029,1395023.9999999932,530109119999.99744,2790047999.9999866,12555215999.99994,carrot
398,Kazakhstan,6,159481.91987229855,643873.6799999999,244671998399.99997,1287747359.9999998,5794863119.999999,carrot
860,Uzbekistan,7,41527.01679955423,2876030.9999999963,1092891779999.9985,5752061999.999992,25884278999.999966,carrot
598,Papua New Guinea,8,0,0,0,0,0,carrot
360,Indonesia,9,274016.45309743285,650858.3400000005,247326169200.0002,1301716680.0000012,5857725060.000006,carrot
032,Argentina,10,229194.70610605972,294583.6900000009,111941802200.00032,589167380.0000018,2651253210.0000076,carrot
152,Chile,11,96859.96455471459,172483.89999999982,65543881999.99992,344967799.99999964,1552355099.9999983,carrot
180,Democratic Republic of the Congo,12,338.39388947346015,414.62000000000063,157555600.00000024,829240.0000000014,3731580.000000006,carrot
706,Somalia,13,28.928057531593367,0,0,0,0,carrot
404,Kenya,14,48600.29700483382,87822.99999999994,33372739999.999977,175645999.99999988,790406999.9999995,carrot
729,Sudan,15,0.5013753590174019,0,0,0,0,carrot
148,Chad,16,0,0,0,0,0,carrot
332,Haiti,17,542.1201853752136,0,0,0,0,carrot
214,Dominican Republic,18,17286.583915054798,48035.83,18253615400,96071660,432322470,carrot
643,Russia,19,1497269.7594624225,1368575.8000000014,520058804000.0006,2737151600.0000033,12317182200.000013,carrot
044,The Bahamas,20,0,0,0,0,0,carrot
238,United Kingdom,21,0,0,0,0,0,carrot
578,Norway,22,19980.332265322922,53554.99999999999,20350899999.999996,107110000,481994999.99999994,carrot
304,Denmark,23,0,0,0,0,0,carrot
260,France,24,0,0,0,0,0,carrot
626,East Timor,25,9.32418966293335,0,0,0,0,carrot
710,South Africa,26,101189.13556945205,221197.99999999974,84055239999.99991,442395999.9999995,1990781999.9999979,carrot
426,Lesotho,27,38.25034396722913,0,0,0,0,carrot
484,Mexico,28,343147.6227531468,361080.1599999996,137210460799.99985,722160319.9999993,3249721439.9999967,carrot
858,Uruguay,29,21748.400993522257,26107.38999999998,9920808199.999992,52214779.99999997,234966509.99999985,carrot
076,Brazil,30,329.5280699419496,0,0,0,0,carrot
068,Bolivia,31,35080.38151868433,70062.99999999996,26623939999.99998,140125999.9999999,630566999.9999996,carrot
604,Peru,32,143324.58182067424,204073.2100000003,77547819800.00012,408146420.00000066,1836658890.0000029,carrot
170,Colombia,33,173372.25220212407,301002.41999999835,114380919599.99936,602004839.9999967,2709021779.999985,carrot
591,Panama,34,3633.592760739848,1633.0000000000007,620540000.0000002,3266000.000000002,14697000.000000007,carrot
188,Costa Rica,35,8.939968466758728,25469.35,9678353000,50938700,229224150,carrot
558,Nicaragua,36,20.775785245001316,22910,8705800000,45820000,206190000,carrot
340,Honduras,37,3471.878518819809,4707.729999999998,1788937399.999999,9415459.999999996,42369569.99999998,carrot
222,El Salvador,38,52.556678771972656,0,0,0,0,carrot
320,Guatemala,39,38630.97166696191,98821.00000000009,37551980000.00003,197642000.00000018,889389000.0000007,carrot
084,Belize,40,95.88181539811194,580.0000000000001,220400000.00000003,1160000.0000000002,5220000.000000001,carrot
862,Venezuela,41,200503.75440285663,225632.81000000078,85740467800.00029,451265620.00000155,2030695290.000007,carrot
328,Guyana,42,5.566263198852539,0,0,0,0,carrot
740,Suriname,43,0,0,0,0,0,carrot
250,France,44,644210.6301725507,650679.999999998,247258399999.99924,1301359999.9999962,5856119999.999982,carrot
218,Ecuador,45,24812.296535075497,42222.37000000001,16044500600.000004,84444740.00000003,380001330.0000001,carrot
630,United States of America,46,0,0,0,0,0,carrot
388,Jamaica,47,19653.51608800888,26212.999999999996,9960939999.999998,52426000,235916999.99999997,carrot
192,Cuba,48,0,0,0,0,0,carrot
716,Zimbabwe,49,0,0,0,0,0,carrot
072,Botswana,50,14.201403482584283,3815.7499999999995,1449984999.9999998,7631499.999999999,34341749.99999999,carrot
516,Namibia,51,0.005295862909406424,2757.4,1047812000,5514800,24816600,carrot
686,Senegal,52,0,0,0,0,0,carrot
466,Mali,53,4.148675516247749,14881.98,5655152400,29763960,133937820,carrot
478,Mauritania,54,0,0,0,0,0,carrot
204,Benin,55,219.5578532218933,0,0,0,0,carrot
562,Niger,56,13587.94808314927,68896.75999999985,26180768799.999943,137793519.9999997,620070839.9999986,carrot
566,Nigeria,57,203856.9796275571,237303.75999999963,90175428799.99985,474607519.9999993,2135733839.9999967,carrot
120,Cameroon,58,1192.1228636801243,0,0,0,0,carrot
768,Togo,59,0,0,0,0,0,carrot
288,Ghana,60,0,0,0,0,0,carrot
384,Ivory Coast,61,0,0,0,0,0,carrot
324,Guinea,62,0,0,0,0,0,carrot
624,Guinea-Bissau,63,0,0,0,0,0,carrot
430,Liberia,64,0,0,0,0,0,carrot
694,Sierra Leone,65,0,0,0,0,0,carrot
854,Burkina Faso,66,31.085542358458042,0,0,0,0,carrot
140,Central African Republic,67,1.050408908748068,0,0,0,0,carrot
178,Republic of the Congo,68,275.36140082683414,504.01000000000005,191523800.00000003,1008020.0000000002,4536090.000000001,carrot
266,Gabon,69,2.2765496969223022,0,0,0,0,carrot
226,Equatorial Guinea,70,0,0,0,0,0,carrot
894,Zambia,71,2.4345577830681577,0,0,0,0,carrot
454,Malawi,72,0,0,0,0,0,carrot
508,Mozambique,73,155.55439116226626,0,0,0,0,carrot
748,eSwatini,74,188.3992621935904,0,0,0,0,carrot
024,Angola,75,2.9923376934602857,0,0,0,0,carrot
108,Burundi,76,0.2691024914383888,0,0,0,0,carrot
376,Israel,77,20874.241555929184,192001.00000000012,72960380000.00005,384002000.00000024,1728009000.0000012,carrot
422,Lebanon,78,18359.14737701416,5299.999999999998,2013999999.9999995,10599999.999999998,47699999.999999985,carrot
450,Madagascar,79,5014.811946140835,9695.269999999968,3684202599.9999876,19390539.999999937,87257429.9999997,carrot
275,Israel,80,11042.583543777466,5120.000000000001,1945600000.0000002,10240000.000000002,46080000.00000001,carrot
270,Gambia,81,0,0,0,0,0,carrot
788,Tunisia,82,27310.51919786632,209939.91999999995,79777169599.99998,419879839.99999994,1889459279.9999995,carrot
012,Algeria,83,133745.84187306464,447595.3000000003,170086214000.00012,895190600.0000006,4028357700.000003,carrot
400,Jordan,84,6302.494135499001,21427.00000000001,8142260000.000005,42854000.00000003,192843000.00000012,carrot
784,United Arab Emirates,85,1665.9917631149292,70.99999999999999,26979999.999999996,141999.99999999997,638999.9999999999,carrot
634,Qatar,86,0,0,0,0,0,carrot
414,Kuwait,87,1665.5083351135254,523,198740000,1046000,4707000,carrot
