ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,cashew
834,United Republic of Tanzania,2,91043.47234203666,232680.99999999895,586356119999.9973,47932285999.99979,17916436999.99992,cashew
732,Western Sahara,3,0,0,0,0,0,cashew
124,Canada,4,0,0,0,0,0,cashew
840,United States of America,5,1.748543845072163,0,0,0,0,cashew
398,Kazakhstan,6,0.4214739496310358,0,0,0,0,cashew
860,Uzbekistan,7,1.6479423764685635,0,0,0,0,cashew
598,Papua New Guinea,8,0,0,0,0,0,cashew
360,Indonesia,9,85153.06148922909,165867.9999999997,417987359999.99927,34168807999.999943,12771835999.999979,cashew
032,Argentina,10,0,0,0,0,0,cashew
152,Chile,11,0,0,0,0,0,cashew
180,Democratic Republic of the Congo,12,23.259782874956727,0,0,0,0,cashew
706,Somalia,13,6.29880154132843,0,0,0,0,cashew
404,Kenya,14,10919.6106171906,12667.700000000057,31922604000.00014,2609546200.000012,975412900.0000044,cashew
729,Sudan,15,0,0,0,0,0,cashew
148,Chad,16,0,0,0,0,0,cashew
332,Haiti,17,27.893657445907593,0,0,0,0,cashew
214,Dominican Republic,18,889.4449362214655,656.0900000000005,1653346800.0000012,135154540.00000012,50518930.00000004,cashew
643,Russia,19,0.5712452303268947,0,0,0,0,cashew
044,The Bahamas,20,0,0,0,0,0,cashew
238,United Kingdom,21,0,0,0,0,0,cashew
578,Norway,22,0,0,0,0,0,cashew
304,Denmark,23,0,0,0,0,0,cashew
260,France,24,0,0,0,0,0,cashew
626,East Timor,25,2.8879282474517822,0,0,0,0,cashew
710,South Africa,26,110.23396897315979,0,0,0,0,cashew
426,Lesotho,27,0,0,0,0,0,cashew
484,Mexico,28,519.9779045953593,4077.2699999999927,10274720399.99998,839917619.9999986,313949789.9999994,cashew
858,Uruguay,29,0,0,0,0,0,cashew
076,Brazil,30,110254.88847844057,139320.99999999825,351088919999.9956,28700125999.999645,10727716999.999866,cashew
068,Bolivia,31,0.3873868498194497,0,0,0,0,cashew
604,Peru,32,2319.193424192157,3671.0299999999897,9250995599.999973,756232179.9999979,282669309.9999992,cashew
170,Colombia,33,0.6246504500741139,819.4999999999999,2065139999.9999998,168817000,63101499.99999999,cashew
591,Panama,34,0,0,0,0,0,cashew
188,Costa Rica,35,0,0,0,0,0,cashew
558,Nicaragua,36,5.610917285084724,0,0,0,0,cashew
340,Honduras,37,956.6218507476151,2114.3699999999967,5328212399.999991,435560219.99999934,162806489.99999973,cashew
222,El Salvador,38,2544.984603434801,1055.9400000000005,2660968800.0000014,217523640.00000012,81307380.00000004,cashew
320,Guatemala,39,45.58559591998346,0,0,0,0,cashew
084,Belize,40,538.9437100067735,0,0,0,0,cashew
862,Venezuela,41,0,0,0,0,0,cashew
328,Guyana,42,0,0,0,0,0,cashew
740,Suriname,43,0,0,0,0,0,cashew
250,France,44,0,0,0,0,0,cashew
218,Ecuador,45,6.584133066236973,0,0,0,0,cashew
630,United States of America,46,0,0,0,0,0,cashew
388,Jamaica,47,0,0,0,0,0,cashew
192,Cuba,48,0,0,0,0,0,cashew
716,Zimbabwe,49,84.98428761959076,0,0,0,0,cashew
072,Botswana,50,0,0,0,0,0,cashew
