ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,cashewapple
834,United Republic of Tanzania,2,0,0,0,0,0,cashewapple
732,Western Sahara,3,0,0,0,0,0,cashewapple
124,Canada,4,0,0,0,0,0,cashewapple
840,United States of America,5,1.2792181686075654,0,0,0,0,cashewapple
398,Kazakhstan,6,0.5288661936156132,0,0,0,0,cashewapple
860,Uzbekistan,7,0,0,0,0,0,cashewapple
598,Papua New Guinea,8,0,0,0,0,0,cashewapple
360,Indonesia,9,0,0,0,0,0,cashewapple
032,Argentina,10,1275.1478782892227,0,0,0,0,cashewapple
152,Chile,11,0,0,0,0,0,cashewapple
180,Democratic Republic of the Congo,12,0,0,0,0,0,cashewapple
706,Somalia,13,0,0,0,0,0,cashewapple
404,Kenya,14,0,0,0,0,0,cashewapple
729,Sudan,15,0,0,0,0,0,cashewapple
148,Chad,16,0,0,0,0,0,cashewapple
332,Haiti,17,0,0,0,0,0,cashewapple
214,Dominican Republic,18,0,0,0,0,0,cashewapple
643,Russia,19,7.164876865077531,0,0,0,0,cashewapple
044,The Bahamas,20,0,0,0,0,0,cashewapple
238,United Kingdom,21,0,0,0,0,0,cashewapple
578,Norway,22,0,0,0,0,0,cashewapple
304,Denmark,23,0,0,0,0,0,cashewapple
260,France,24,0,0,0,0,0,cashewapple
626,East Timor,25,0,0,0,0,0,cashewapple
710,South Africa,26,0,0,0,0,0,cashewapple
426,Lesotho,27,0,0,0,0,0,cashewapple
484,Mexico,28,48.87431280346503,0,0,0,0,cashewapple
858,Uruguay,29,323.3540860414505,0,0,0,0,cashewapple
076,Brazil,30,1529345.198546645,1083968.3600000027,466106394800.00116,6503810160.000016,8671746880.000021,cashewapple
068,Bolivia,31,371.69289396703243,0,0,0,0,cashewapple
604,Peru,32,2.4323074892163277,0,0,0,0,cashewapple
170,Colombia,33,4.845877476036549,0,0,0,0,cashewapple
591,Panama,34,0,0,0,0,0,cashewapple
188,Costa Rica,35,0,0,0,0,0,cashewapple
558,Nicaragua,36,0,0,0,0,0,cashewapple
340,Honduras,37,0,0,0,0,0,cashewapple
222,El Salvador,38,0,0,0,0,0,cashewapple
320,Guatemala,39,0.03667345954454504,0,0,0,0,cashewapple
084,Belize,40,0,0,0,0,0,cashewapple
862,Venezuela,41,0.6949442781062771,0,0,0,0,cashewapple
328,Guyana,42,63.032032502313086,4.880000000000003,2098400.0000000014,29280.00000000002,39040.00000000002,cashewapple
740,Suriname,43,2.1845788342034211e-4,0,0,0,0,cashewapple
250,France,44,1.4905672064051032,0,0,0,0,cashewapple
218,Ecuador,45,0,0,0,0,0,cashewapple
630,United States of America,46,0,0,0,0,0,cashewapple
388,Jamaica,47,0,0,0,0,0,cashewapple
192,Cuba,48,0,0,0,0,0,cashewapple
716,Zimbabwe,49,0,0,0,0,0,cashewapple
072,Botswana,50,0,0,0,0,0,cashewapple
516,Namibia,51,0,0,0,0,0,cashewapple
686,Senegal,52,0,0,0,0,0,cashewapple
466,Mali,53,0,0,0,0,0,cashewapple
478,Mauritania,54,0,0,0,0,0,cashewapple
204,Benin,55,0,0,0,0,0,cashewapple
562,Niger,56,0,0,0,0,0,cashewapple
566,Nigeria,57,0,0,0,0,0,cashewapple
120,Cameroon,58,0,0,0,0,0,cashewapple
768,Togo,59,0,0,0,0,0,cashewapple
288,Ghana,60,0,0,0,0,0,cashewapple
384,Ivory Coast,61,0,0,0,0,0,cashewapple
324,Guinea,62,0,0,0,0,0,cashewapple
624,Guinea-Bissau,63,0,0,0,0,0,cashewapple
430,Liberia,64,0,0,0,0,0,cashewapple
694,Sierra Leone,65,0,0,0,0,0,cashewapple
854,Burkina Faso,66,0,0,0,0,0,cashewapple
140,Central African Republic,67,0,0,0,0,0,cashewapple
178,Republic of the Congo,68,0,0,0,0,0,cashewapple
266,Gabon,69,0,0,0,0,0,cashewapple
226,Equatorial Guinea,70,0,0,0,0,0,cashewapple
894,Zambia,71,0,0,0,0,0,cashewapple
454,Malawi,72,0,0,0,0,0,cashewapple
508,Mozambique,73,0,0,0,0,0,cashewapple
748,eSwatini,74,0,0,0,0,0,cashewapple
024,Angola,75,0,0,0,0,0,cashewapple
108,Burundi,76,0,0,0,0,0,cashewapple
376,Israel,77,1475.390102416277,0,0,0,0,cashewapple
422,Lebanon,78,0,0,0,0,0,cashewapple
450,Madagascar,79,65503.868231568485,76353.98000000007,32832211400.00003,458123880.0000004,610831840.0000006,cashewapple
275,Israel,80,787.4154887795448,0,0,0,0,cashewapple
270,Gambia,81,0,0,0,0,0,cashewapple
788,Tunisia,82,0,0,0,0,0,cashewapple
012,Algeria,83,0,0,0,0,0,cashewapple
400,Jordan,84,0,0,0,0,0,cashewapple
784,United Arab Emirates,85,0,0,0,0,0,cashewapple
634,Qatar,86,0,0,0,0,0,cashewapple
414,Kuwait,87,0,0,0,0,0,cashewapple
368,Iraq,88,0.22603221191093326,0,0,0,0,cashewapple
512,Oman,89,0,0,0,0,0,cashewapple
548,Vanuatu,90,0,0,0,0,0,cashewapple
116,Cambodia,91,0,0,0,0,0,cashewapple
764,Thailand,92,0,0,0,0,0,cashewapple
418,Laos,93,0.07321881502866745,0,0,0,0,cashewapple
104,Myanmar,94,44.62939940323122,0,0,0,0,cashewapple
704,Vietnam,95,50.34658304601908,0,0,0,0,cashewapple
408,North Korea,96,198.99380683526397,0,0,0,0,cashewapple
410,South Korea,97,26621.552014127374,0,0,0,0,cashewapple
496,Mongolia,98,0.003301209331766586,0,0,0,0,cashewapple
