ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,cassava
834,United Republic of Tanzania,2,3030155.1955003142,7088393.740000043,7726349176600.047,14176787480.000086,63795543660.00039,cassava
732,Western Sahara,3,0,0,0,0,0,cassava
124,Canada,4,0,0,0,0,0,cassava
840,United States of America,5,0,0,0,0,0,cassava
398,Kazakhstan,6,1158.3681414052844,0,0,0,0,cassava
860,Uzbekistan,7,0,0,0,0,0,cassava
598,Papua New Guinea,8,110281.19127653539,156887.26000000015,171007113400.00015,313774520.0000003,1411985340.0000014,cassava
360,Indonesia,9,13761099.442596909,16270999.99999998,17735389999999.977,32541999999.999958,146438999999.99982,cassava
032,Argentina,10,189049.15219018882,198013.9599999998,215835216399.99976,396027919.9999996,1782125639.999998,cassava
152,Chile,11,0,0,0,0,0,cassava
180,Democratic Republic of the Congo,12,15258568.58387521,42769463.00000029,46618714670000.32,85538926000.0006,384925167000.0026,cassava
706,Somalia,13,73123.38348972797,96788.11000000019,105499039900.00021,193576220.0000004,871092990.0000018,cassava
404,Kenya,14,506404.84379553236,886722.3100000028,966527317900.0032,1773444620.0000057,7980500790.000026,cassava
729,Sudan,15,6579.839639837854,0,0,0,0,cassava
148,Chad,16,190932.73082005233,293862.00000000023,320309580000.00024,587724000.0000005,2644758000.0000024,cassava
332,Haiti,17,313036.2032966614,628031.2200000001,684554029800.0001,1256062440.0000002,5652280980.000001,cassava
214,Dominican Republic,18,106832.58030700684,167624.83000000016,182711064700.00018,335249660.00000036,1508623470.0000014,cassava
643,Russia,19,1750.0988028645515,0,0,0,0,cassava
044,The Bahamas,20,0,0,0,0,0,cassava
238,United Kingdom,21,0,0,0,0,0,cassava
578,Norway,22,0,0,0,0,0,cassava
304,Denmark,23,0,0,0,0,0,cassava
260,France,24,0,0,0,0,0,cassava
626,East Timor,25,44336.768361091614,19933.45,21727460500,39866900,179401050,cassava
710,South Africa,26,2333.975806593895,0,0,0,0,cassava
426,Lesotho,27,0,0,0,0,0,cassava
484,Mexico,28,17466.999100224843,26696.480000000014,29099163200.000015,53392960.00000003,240268320.00000015,cassava
858,Uruguay,29,0.015734748914837837,0,0,0,0,cassava
076,Brazil,30,20649574.01174314,18197572.00000014,19835353480000.152,36395144000.00028,163778148000.00128,cassava
068,Bolivia,31,390477.84383289516,203633,221959970000,407266000,1832697000,cassava
604,Peru,32,762029.1874231045,1343009.6000000015,1463880464000.0017,2686019200.0000033,12087086400.000013,cassava
170,Colombia,33,1652777.5192890672,1030750.0099999973,1123517510899.997,2061500019.9999948,9276750089.999977,cassava
591,Panama,34,27741.824936954305,27042.999999999985,29476869999.99999,54085999.99999998,243386999.9999999,cassava
188,Costa Rica,35,65911.94975882769,97200.99999999997,105949089999.99997,194401999.99999997,874808999.9999998,cassava
558,Nicaragua,36,69387.87609905005,223381,243485290000,446762000,2010429000,cassava
340,Honduras,37,7690.331400737166,27038.85999999997,29472357399.999966,54077719.99999994,243349739.99999973,cassava
222,El Salvador,38,12603.366699039936,21895.809999999998,23866432899.999996,43791620,197062289.99999997,cassava
320,Guatemala,39,13682.114052675664,2994.9999999999955,3264549999.999995,5989999.999999992,26954999.99999996,cassava
084,Belize,40,1192.9266037456691,768.9999999999999,838209999.9999999,1538000,6920999.999999999,cassava
862,Venezuela,41,499274.7094891687,415146.62999999843,452509826699.9983,830293259.9999969,3736319669.9999857,cassava
328,Guyana,42,29670.909945534542,62808.99999999987,68461809999.999855,125617999.99999975,565280999.9999988,cassava
740,Suriname,43,3468.7885441271355,5763,6281670000,11526000,51867000,cassava
250,France,44,9971.51200408116,0,0,0,0,cassava
218,Ecuador,45,98163.1164213894,64273.00000000004,70057570000.00005,128546000.00000007,578457000.0000004,cassava
630,United States of America,46,767.6462366506457,255.24000000000018,278211600.0000002,510480.0000000004,2297160.000000002,cassava
388,Jamaica,47,14702.29875421524,31832.99999999998,34697969999.99998,63665999.99999997,286496999.9999998,cassava
192,Cuba,48,441428.6988106966,654517.0999999989,713423638999.9989,1309034199.999998,5890653899.99999,cassava
716,Zimbabwe,49,164669.541327402,263658.7100000004,287387993900.0005,527317420.0000009,2372928390.000004,cassava
072,Botswana,50,671.1614217609167,0,0,0,0,cassava
