ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,castor
834,United Republic of Tanzania,2,2550.3555820274632,3000,26520000000,3000000000,0,castor
732,Western Sahara,3,0,0,0,0,0,castor
124,Canada,4,0,0,0,0,0,castor
840,United States of America,5,3.6205041095900015,0,0,0,0,castor
398,Kazakhstan,6,90.57629892552359,0,0,0,0,castor
860,Uzbekistan,7,0,0,0,0,0,castor
598,Papua New Guinea,8,0,0,0,0,0,castor
360,Indonesia,9,2168.5086119334446,1414.8100000000084,12506920400.000074,1414810000.0000083,0,castor
032,Argentina,10,62.77695908944588,0,0,0,0,castor
152,Chile,11,0,0,0,0,0,castor
180,Democratic Republic of the Congo,12,72.97817350830883,0,0,0,0,castor
706,Somalia,13,2.022710360586643,0,0,0,0,castor
404,Kenya,14,3358.5526493829675,3000.000000000017,26520000000.00015,3000000000.0000167,0,castor
729,Sudan,15,658.0031727621099,0,0,0,0,castor
148,Chad,16,1.1366324936971068,0,0,0,0,castor
332,Haiti,17,1197.743145942688,1575.4,13926536000,1575400000,0,castor
214,Dominican Republic,18,6.764110326766968,0,0,0,0,castor
643,Russia,19,2092.460999838993,7.70000000000001,68068000.00000009,7700000.00000001,0,castor
044,The Bahamas,20,0,0,0,0,0,castor
238,United Kingdom,21,0,0,0,0,0,castor
578,Norway,22,0,0,0,0,0,castor
304,Denmark,23,0,0,0,0,0,castor
260,France,24,0,0,0,0,0,castor
626,East Timor,25,0.07357697561383247,0,0,0,0,castor
710,South Africa,26,4681.996145777812,6378.109999999978,56382492399.9998,6378109999.999978,0,castor
426,Lesotho,27,3.1356336027383804,0,0,0,0,castor
484,Mexico,28,1076.6571244850754,3123.110000000002,27608292400.000015,3123110000.000002,0,castor
858,Uruguay,29,0,0,0,0,0,castor
076,Brazil,30,75987.16167897986,35800.000000000044,316472000000.00037,35800000000.00004,0,castor
068,Bolivia,31,6.319335103034973,0,0,0,0,castor
604,Peru,32,10.952719442546368,0,0,0,0,castor
170,Colombia,33,1.9747977049992187,0,0,0,0,castor
591,Panama,34,0,0,0,0,0,castor
188,Costa Rica,35,0,0,0,0,0,castor
558,Nicaragua,36,0,0,0,0,0,castor
340,Honduras,37,0,0,0,0,0,castor
222,El Salvador,38,0,0,0,0,0,castor
320,Guatemala,39,0.8080172636546195,0,0,0,0,castor
084,Belize,40,0,0,0,0,0,castor
862,Venezuela,41,0,0,0,0,0,castor
328,Guyana,42,0,0,0,0,0,castor
740,Suriname,43,0,0,0,0,0,castor
250,France,44,0,0,0,0,0,castor
218,Ecuador,45,3898.6348988995815,2999.9999999999927,26519999999.999935,2999999999.9999924,0,castor
630,United States of America,46,0,0,0,0,0,castor
388,Jamaica,47,0,0,0,0,0,castor
192,Cuba,48,0,0,0,0,0,castor
716,Zimbabwe,49,0.5652562039904296,0,0,0,0,castor
072,Botswana,50,2.092775364522822,0,0,0,0,castor
516,Namibia,51,12.197013270808384,0,0,0,0,castor
686,Senegal,52,0,0,0,0,0,castor
466,Mali,53,0,0,0,0,0,castor
478,Mauritania,54,0,0,0,0,0,castor
