ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,cauliflower
834,United Republic of Tanzania,2,0.46682966500520706,0,0,0,0,cauliflower
732,Western Sahara,3,0,0,0,0,0,cauliflower
124,Canada,4,39450.47007590829,68044,6123960000,68044000,544352000,cauliflower
840,United States of America,5,332165.69730711734,1131056.000000004,101795040000.00037,1131056000.000004,9048448000.000032,cauliflower
398,Kazakhstan,6,178.3002177592873,1601.1000000000004,144099000.00000003,1601100.0000000005,12808800.000000004,cauliflower
860,Uzbekistan,7,33.88956995736953,0,0,0,0,cauliflower
598,Papua New Guinea,8,0,0,0,0,0,cauliflower
360,Indonesia,9,0,0,0,0,0,cauliflower
032,Argentina,10,42.324864850395244,0,0,0,0,cauliflower
152,Chile,11,32779.513119747455,27991.60999999994,2519244899.9999948,27991609.99999994,223932879.99999952,cauliflower
180,Democratic Republic of the Congo,12,0,0,0,0,0,cauliflower
706,Somalia,13,0.5686272606253624,0,0,0,0,cauliflower
404,Kenya,14,955.3564635673538,932.0000000000013,83880000.00000012,932000.0000000014,7456000.000000011,cauliflower
729,Sudan,15,0,0,0,0,0,cauliflower
148,Chad,16,0,0,0,0,0,cauliflower
332,Haiti,17,0,0,0,0,0,cauliflower
214,Dominican Republic,18,0,0,0,0,0,cauliflower
643,Russia,19,9973.808393407577,22019.299999999854,1981736999.999987,22019299.999999855,176154399.99999884,cauliflower
044,The Bahamas,20,0,0,0,0,0,cauliflower
238,United Kingdom,21,0,0,0,0,0,cauliflower
578,Norway,22,3823.4911444544377,12045.000000000011,1084050000.000001,12045000.000000011,96360000.00000009,cauliflower
304,Denmark,23,0,0,0,0,0,cauliflower
260,France,24,0,0,0,0,0,cauliflower
626,East Timor,25,0,0,0,0,0,cauliflower
710,South Africa,26,21513.39222765062,13038.000000000013,1173420000.0000012,13038000.000000015,104304000.00000012,cauliflower
426,Lesotho,27,0,0,0,0,0,cauliflower
484,Mexico,28,201215.4922854214,686788.2699999969,61810944299.99972,686788269.9999969,5494306159.999975,cauliflower
858,Uruguay,29,0,0,0,0,0,cauliflower
076,Brazil,30,9.61480380357575,0,0,0,0,cauliflower
068,Bolivia,31,2992.6528000784456,808.999999999999,72809999.99999991,808999.9999999991,6471999.999999993,cauliflower
604,Peru,32,18214.74627116113,65654.2300000001,5908880700.000009,65654230.0000001,525233840.0000008,cauliflower
170,Colombia,33,6489.5733516871705,21798.89999999998,1961900999.999998,21798899.99999998,174391199.99999985,cauliflower
591,Panama,34,0.007613969501107931,0,0,0,0,cauliflower
188,Costa Rica,35,0,0,0,0,0,cauliflower
558,Nicaragua,36,3.6192315369844437,0,0,0,0,cauliflower
340,Honduras,37,640.8324396228418,1048.1799999999985,94336199.99999987,1048179.9999999986,8385439.999999989,cauliflower
222,El Salvador,38,53.34211587905884,0,0,0,0,cauliflower
320,Guatemala,39,50701.40979710221,119501.50999999997,10755135899.999998,119501509.99999999,956012079.9999999,cauliflower
084,Belize,40,4.418811500072479,0,0,0,0,cauliflower
862,Venezuela,41,6490.1241843001735,27846.71999999991,2506204799.999992,27846719.99999991,222773759.99999928,cauliflower
328,Guyana,42,0.18015016242861748,0,0,0,0,cauliflower
740,Suriname,43,0,0,0,0,0,cauliflower
250,France,44,410231.7079022229,253770.00000000015,22839300000.00001,253770000.00000015,2030160000.0000012,cauliflower
218,Ecuador,45,3511.60620141475,183174.61999999997,16485715799.999998,183174620,1465396960,cauliflower
630,United States of America,46,0,0,0,0,0,cauliflower
388,Jamaica,47,1229.660814523697,1873,168570000,1873000,14984000,cauliflower
192,Cuba,48,0,0,0,0,0,cauliflower
716,Zimbabwe,49,217.79247344261967,282.7999999999992,25451999.99999993,282799.99999999924,2262399.999999994,cauliflower
072,Botswana,50,1.2075909047853202,0,0,0,0,cauliflower
516,Namibia,51,0,0,0,0,0,cauliflower
686,Senegal,52,0,0,0,0,0,cauliflower
466,Mali,53,0,0,0,0,0,cauliflower
478,Mauritania,54,0,0,0,0,0,cauliflower
204,Benin,55,0,0,0,0,0,cauliflower
562,Niger,56,0,0,0,0,0,cauliflower
566,Nigeria,57,0,0,0,0,0,cauliflower
120,Cameroon,58,0,0,0,0,0,cauliflower
768,Togo,59,0,0,0,0,0,cauliflower
288,Ghana,60,0,0,0,0,0,cauliflower
384,Ivory Coast,61,0,0,0,0,0,cauliflower
324,Guinea,62,0,0,0,0,0,cauliflower
624,Guinea-Bissau,63,0,0,0,0,0,cauliflower
430,Liberia,64,0,0,0,0,0,cauliflower
694,Sierra Leone,65,0,0,0,0,0,cauliflower
854,Burkina Faso,66,0,0,0,0,0,cauliflower
140,Central African Republic,67,0,0,0,0,0,cauliflower
178,Republic of the Congo,68,0,0,0,0,0,cauliflower
266,Gabon,69,0,0,0,0,0,cauliflower
226,Equatorial Guinea,70,0,0,0,0,0,cauliflower
894,Zambia,71,0.07068876782432199,0,0,0,0,cauliflower
454,Malawi,72,0,0,0,0,0,cauliflower
508,Mozambique,73,83.68159613362513,0,0,0,0,cauliflower
748,eSwatini,74,103.76280698180199,0,0,0,0,cauliflower
024,Angola,75,0,0,0,0,0,cauliflower
108,Burundi,76,0,0,0,0,0,cauliflower
376,Israel,77,16157.557973265648,22388.00000000001,2014920000.000001,22388000.000000015,179104000.00000012,cauliflower
422,Lebanon,78,15282.495012760162,17559.999999999993,1580399999.9999995,17559999.999999996,140479999.99999997,cauliflower
450,Madagascar,79,598.7623848132207,272.9899999999998,24569099.999999978,272989.99999999977,2183919.999999998,cauliflower
275,Israel,80,8594.477309703827,31170,2805300000,31170000,249360000,cauliflower
270,Gambia,81,0,0,0,0,0,cauliflower
788,Tunisia,82,5954.83785995841,11043.039999999975,993873599.9999977,11043039.999999976,88344319.9999998,cauliflower
012,Algeria,83,42783.08080780506,242990.1999999998,21869117999.999985,242990199.99999982,1943921599.9999986,cauliflower
400,Jordan,84,30088.744529008865,56812,5113080000,56812000,454496000,cauliflower
784,United Arab Emirates,85,13795.949676513672,16509,1485810000,16509000,132072000,cauliflower
634,Qatar,86,0,0,0,0,0,cauliflower
414,Kuwait,87,5439.371650695801,7729.000000000001,695610000.0000001,7729000.000000002,61832000.000000015,cauliflower
368,Iraq,88,197.1613162010908,12361.000000000002,1112490000.0000002,12361000.000000002,98888000.00000001,cauliflower
512,Oman,89,1809.3593444824219,13445,1210050000,13445000,107560000,cauliflower
548,Vanuatu,90,0,0,0,0,0,cauliflower
116,Cambodia,91,287.193338572979,0,0,0,0,cauliflower
764,Thailand,92,38499.53037978709,14629.719999999981,1316674799.9999983,14629719.999999983,117037759.99999987,cauliflower
418,Laos,93,223.6646482720971,0,0,0,0,cauliflower
104,Myanmar,94,577.0491519216448,0,0,0,0,cauliflower
704,Vietnam,95,26002.707105163485,155069.83000000007,13956284700.000006,155069830.0000001,1240558640.0000007,cauliflower
408,North Korea,96,556.1662437915802,0,0,0,0,cauliflower
410,South Korea,97,0,0,0,0,0,cauliflower
496,Mongolia,98,3.194959313623258,0,0,0,0,cauliflower
356,India,99,4385942.957639826,8940999.999999959,804689999999.9963,8940999999.99996,71527999999.99968,cauliflower
050,Bangladesh,100,74170.65461984277,283157.00000000023,25484130000.000023,283157000.00000024,2265256000.000002,cauliflower
064,Bhutan,101,7.322126194834709,4174.55,375709500,4174550,33396400,cauliflower
524,Nepal,102,1047.3572366465814,2202.9500000000003,198265500.00000003,2202950.0000000005,17623600.000000004,cauliflower
