ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,cerealnes
834,United Republic of Tanzania,2,13589.27612798009,57719.20999999999,196245313999.99997,865788149.9999998,4617536799.999999,cerealnes
732,Western Sahara,3,0,0,0,0,0,cerealnes
124,Canada,4,0,0,0,0,0,cerealnes
840,United States of America,5,0,0,0,0,0,cerealnes
398,Kazakhstan,6,28986.601146915797,366490.2999999999,1246067019999.9995,5497354499.999998,29319223999.99999,cerealnes
860,Uzbekistan,7,10641.120378185064,12956.410000000013,44051794000.00004,194346150.00000018,1036512800.000001,cerealnes
598,Papua New Guinea,8,0,0,0,0,0,cerealnes
360,Indonesia,9,0,0,0,0,0,cerealnes
032,Argentina,10,13005.237120623022,17154.459999999912,58325163999.999695,257316899.99999866,1372356799.9999928,cerealnes
152,Chile,11,3.0951644530209705,0,0,0,0,cerealnes
180,Democratic Republic of the Congo,12,0,0,0,0,0,cerealnes
706,Somalia,13,0,0,0,0,0,cerealnes
404,Kenya,14,520.2879359573126,0,0,0,0,cerealnes
729,Sudan,15,3368.727039337158,0,0,0,0,cerealnes
148,Chad,16,161377.50883040112,538196.7500000007,1829868950000.0022,8072951250.00001,43055740000.00005,cerealnes
332,Haiti,17,0,0,0,0,0,cerealnes
214,Dominican Republic,18,0,0,0,0,0,cerealnes
643,Russia,19,25392.62155892662,21078.27999999999,71666151999.99997,316174199.9999999,1686262399.9999993,cerealnes
044,The Bahamas,20,0,0,0,0,0,cerealnes
238,United Kingdom,21,0,0,0,0,0,cerealnes
578,Norway,22,0,0,0,0,0,cerealnes
304,Denmark,23,0,0,0,0,0,cerealnes
260,France,24,0,0,0,0,0,cerealnes
626,East Timor,25,0,0,0,0,0,cerealnes
710,South Africa,26,18167.868299033493,12270.740000000002,41720516000.00001,184061100.00000003,981659200.0000001,cerealnes
426,Lesotho,27,23.66557726264,0,0,0,0,cerealnes
484,Mexico,28,0,0,0,0,0,cerealnes
858,Uruguay,29,1.0231284871697426,0,0,0,0,cerealnes
076,Brazil,30,18.216570671465888,0,0,0,0,cerealnes
068,Bolivia,31,742.8720420903628,780.0000000000024,2652000000.000008,11700000.000000037,62400000.000000194,cerealnes
604,Peru,32,6678.614679390215,7888.000000000017,26819200000.00006,118320000.00000027,631040000.0000014,cerealnes
170,Colombia,33,1.7983123832382262,0,0,0,0,cerealnes
591,Panama,34,0,0,0,0,0,cerealnes
188,Costa Rica,35,0,0,0,0,0,cerealnes
558,Nicaragua,36,0,0,0,0,0,cerealnes
340,Honduras,37,0,0,0,0,0,cerealnes
222,El Salvador,38,0,0,0,0,0,cerealnes
320,Guatemala,39,0,0,0,0,0,cerealnes
084,Belize,40,0,0,0,0,0,cerealnes
862,Venezuela,41,0,0,0,0,0,cerealnes
328,Guyana,42,0,0,0,0,0,cerealnes
740,Suriname,43,0,0,0,0,0,cerealnes
250,France,44,0.8741155415773392,309580,1052572000000,4643700000,24766400000,cerealnes
218,Ecuador,45,18.955124877393246,0,0,0,0,cerealnes
630,United States of America,46,0,0,0,0,0,cerealnes
388,Jamaica,47,0,0,0,0,0,cerealnes
192,Cuba,48,0,0,0,0,0,cerealnes
716,Zimbabwe,49,553.4017171550076,2294.3299999999967,7800721999.999989,34414949.99999995,183546399.99999973,cerealnes
072,Botswana,50,2516.241580419359,4016.249999999998,13655249999.999994,60243749.99999998,321299999.9999999,cerealnes
516,Namibia,51,0.06713534891605377,0,0,0,0,cerealnes
686,Senegal,52,1351.5725886955624,0,0,0,0,cerealnes
466,Mali,53,129.94546968257055,160.35000000000002,545190000.0000001,2405250.0000000005,12828000.000000002,cerealnes
478,Mauritania,54,117.67817141488194,0,0,0,0,cerealnes
204,Benin,55,1633.8040359145962,0,0,0,0,cerealnes
562,Niger,56,1340.1607170547359,1387.7999999999977,4718519999.999992,20816999.999999966,111023999.99999982,cerealnes
566,Nigeria,57,831.4434323264286,0,0,0,0,cerealnes
120,Cameroon,58,2567.328134998679,0,0,0,0,cerealnes
768,Togo,59,5504.979106761515,0,0,0,0,cerealnes
288,Ghana,60,604.1932874917984,0,0,0,0,cerealnes
384,Ivory Coast,61,2.937190905213356,0,0,0,0,cerealnes
324,Guinea,62,1406.0795443741372,0,0,0,0,cerealnes
624,Guinea-Bissau,63,262.65607274504146,1229.3299999999997,4179721999.9999986,18439949.999999993,98346399.99999997,cerealnes
430,Liberia,64,2.4918550923466682,0,0,0,0,cerealnes
694,Sierra Leone,65,2740.9159734770656,10066.67000000002,34226678000.000065,151000050.0000003,805333600.0000015,cerealnes
854,Burkina Faso,66,617.1882572181057,0,0,0,0,cerealnes
140,Central African Republic,67,4080.11163296178,0,0,0,0,cerealnes
178,Republic of the Congo,68,0,0,0,0,0,cerealnes
266,Gabon,69,0,0,0,0,0,cerealnes
226,Equatorial Guinea,70,0,0,0,0,0,cerealnes
894,Zambia,71,42.01094652339816,0,0,0,0,cerealnes
454,Malawi,72,55.39456254243851,0,0,0,0,cerealnes
508,Mozambique,73,76.30018910835497,0,0,0,0,cerealnes
748,eSwatini,74,26.390304293483496,0,0,0,0,cerealnes
024,Angola,75,0,0,0,0,0,cerealnes
108,Burundi,76,36.355284094810486,10617.590000000002,36099806000.00001,159263850.00000003,849407200.0000001,cerealnes
376,Israel,77,25.95790898706764,0,0,0,0,cerealnes
422,Lebanon,78,0,0,0,0,0,cerealnes
450,Madagascar,79,0,0,0,0,0,cerealnes
275,Israel,80,13.853732365649194,488.38999999999993,1660525999.9999998,7325849.999999998,39071199.99999999,cerealnes
270,Gambia,81,319.4021901153028,0,0,0,0,cerealnes
788,Tunisia,82,27832.26078248024,28000.00000000003,95200000000.0001,420000000.0000005,2240000000.0000024,cerealnes
012,Algeria,83,89.8049669265747,0,0,0,0,cerealnes
400,Jordan,84,0,0,0,0,0,cerealnes
784,United Arab Emirates,85,180.07164764404297,0,0,0,0,cerealnes
634,Qatar,86,0,0,0,0,0,cerealnes
414,Kuwait,87,0,0,0,0,0,cerealnes
368,Iraq,88,0,0,0,0,0,cerealnes
512,Oman,89,1236.8421683311462,1389.9999999999998,4725999999.999999,20849999.999999996,111199999.99999999,cerealnes
548,Vanuatu,90,0,0,0,0,0,cerealnes
116,Cambodia,91,142.09491860866547,0,0,0,0,cerealnes
764,Thailand,92,47290.72851021774,249025.9800000004,846688332000.0013,3735389700.0000057,19922078400.00003,cerealnes
418,Laos,93,252.3064690095489,0,0,0,0,cerealnes
104,Myanmar,94,13685.470016230296,12745.94,43336196000,191189100,1019675200,cerealnes
704,Vietnam,95,2.012894024168986,0,0,0,0,cerealnes
408,North Korea,96,21.05489832321473,0,0,0,0,cerealnes
410,South Korea,97,2832.9011760074645,19677.000000000004,66901800000.00001,295155000.00000006,1574160000.0000002,cerealnes
496,Mongolia,98,2.4480080959183397,4357.680000000001,14816112000.000006,65365200.00000002,348614400.0000001,cerealnes
356,India,99,189.83385227454983,0,0,0,0,cerealnes
050,Bangladesh,100,25.888543128967285,0,0,0,0,cerealnes
064,Bhutan,101,1142.4090259271616,1182.04,4018936000,17730600,94563200,cerealnes
524,Nepal,102,1.8876060221446096,0,0,0,0,cerealnes
