ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,cherry
834,United Republic of Tanzania,2,0,0,0,0,0,cherry
732,Western Sahara,3,0,0,0,0,0,cherry
124,Canada,4,5287.979035147051,19354.999999999938,12580749999.99996,174194999.99999943,212904999.9999993,cherry
840,United States of America,5,193760.32890845282,294930.00000000413,191704500000.0027,2654370000.000037,3244230000.000046,cherry
398,Kazakhstan,6,8953.198185726502,496.99999999999994,323049999.99999994,4472999.999999999,5466999.999999999,cherry
860,Uzbekistan,7,17926.783355217427,185067.9999999999,120294199999.99994,1665611999.9999993,2035747999.999999,cherry
598,Papua New Guinea,8,0,0,0,0,0,cherry
360,Indonesia,9,0,0,0,0,0,cherry
032,Argentina,10,5853.662223735288,7317.900000000005,4756635000.000003,65861100.000000045,80496900.00000006,cherry
152,Chile,11,26485.23281638434,275999.99999999953,179399999999.9997,2483999999.9999957,3035999999.999995,cherry
180,Democratic Republic of the Congo,12,0,0,0,0,0,cherry
706,Somalia,13,0,0,0,0,0,cherry
404,Kenya,14,0,0,0,0,0,cherry
729,Sudan,15,0,0,0,0,0,cherry
148,Chad,16,0,0,0,0,0,cherry
332,Haiti,17,0,0,0,0,0,cherry
214,Dominican Republic,18,0,0,0,0,0,cherry
643,Russia,19,56471.72958477094,50999.999999999935,33149999999.999958,458999999.9999994,560999999.9999993,cherry
044,The Bahamas,20,0,0,0,0,0,cherry
238,United Kingdom,21,0,0,0,0,0,cherry
578,Norway,22,355.038390774643,642.9999999999995,417949999.9999997,5786999.999999996,7072999.999999995,cherry
304,Denmark,23,0,0,0,0,0,cherry
260,France,24,0,0,0,0,0,cherry
626,East Timor,25,0,0,0,0,0,cherry
710,South Africa,26,683.2725566365116,835.9999999999997,543399999.9999998,7523999.999999997,9195999.999999996,cherry
426,Lesotho,27,0.4576740190386772,0,0,0,0,cherry
484,Mexico,28,601.9628962272363,143.49999999999966,93274999.99999978,1291499.999999997,1578499.9999999963,cherry
858,Uruguay,29,0.0038886077236384153,0,0,0,0,cherry
076,Brazil,30,4.284655424097309,0,0,0,0,cherry
068,Bolivia,31,707.0142197949463,896.469999999998,582705499.9999987,8068229.999999981,9861169.999999978,cherry
604,Peru,32,336.73343003340415,2.9199999999999817,1897999.9999999881,26279.999999999836,32119.999999999804,cherry
170,Colombia,33,0.08809272521466482,0,0,0,0,cherry
591,Panama,34,0,0,0,0,0,cherry
188,Costa Rica,35,0,0,0,0,0,cherry
558,Nicaragua,36,0,0,0,0,0,cherry
340,Honduras,37,0,0,0,0,0,cherry
222,El Salvador,38,0,0,0,0,0,cherry
320,Guatemala,39,0.4518502624705434,0,0,0,0,cherry
084,Belize,40,0,0,0,0,0,cherry
862,Venezuela,41,0.12035946361720562,0,0,0,0,cherry
328,Guyana,42,318.8422856768593,2175.4200000000005,1414023000.0000002,19578780.000000004,23929620.000000007,cherry
740,Suriname,43,0.35963200218975544,1347,875550000,12123000,14817000.000000002,cherry
250,France,44,56223.64839493483,31840.0000000001,20696000000.00006,286560000.0000009,350240000.0000011,cherry
218,Ecuador,45,0.928542039822787,0,0,0,0,cherry
630,United States of America,46,0,0,0,0,0,cherry
388,Jamaica,47,0,0,0,0,0,cherry
192,Cuba,48,0,0,0,0,0,cherry
716,Zimbabwe,49,0,0,0,0,0,cherry
072,Botswana,50,0.3054594399727648,0,0,0,0,cherry
516,Namibia,51,8.361396321561188e-4,0,0,0,0,cherry
686,Senegal,52,0,0,0,0,0,cherry
466,Mali,53,0,0,0,0,0,cherry
478,Mauritania,54,0,0,0,0,0,cherry
204,Benin,55,0,0,0,0,0,cherry
562,Niger,56,0,0,0,0,0,cherry
566,Nigeria,57,0,0,0,0,0,cherry
120,Cameroon,58,0,0,0,0,0,cherry
768,Togo,59,0,0,0,0,0,cherry
288,Ghana,60,0,0,0,0,0,cherry
384,Ivory Coast,61,0,0,0,0,0,cherry
324,Guinea,62,0,0,0,0,0,cherry
624,Guinea-Bissau,63,0,0,0,0,0,cherry
430,Liberia,64,0,0,0,0,0,cherry
694,Sierra Leone,65,0,0,0,0,0,cherry
854,Burkina Faso,66,0,0,0,0,0,cherry
140,Central African Republic,67,0,0,0,0,0,cherry
178,Republic of the Congo,68,0,0,0,0,0,cherry
266,Gabon,69,0,0,0,0,0,cherry
226,Equatorial Guinea,70,0,0,0,0,0,cherry
894,Zambia,71,0,0,0,0,0,cherry
454,Malawi,72,0,0,0,0,0,cherry
508,Mozambique,73,1.0413515273248777,0,0,0,0,cherry
748,eSwatini,74,0.9614364365115762,0,0,0,0,cherry
024,Angola,75,0,0,0,0,0,cherry
108,Burundi,76,0,0,0,0,0,cherry
376,Israel,77,1420.7143008708954,3702.000000000001,2406300000.0000005,33318000.000000007,40722000.000000015,cherry
422,Lebanon,78,40231.24114370346,32533.320000000003,21146658000.000004,292799880.00000006,357866520.0000001,cherry
450,Madagascar,79,0,0,0,0,0,cherry
275,Israel,80,210.88702925294638,1085.69,705698500,9771210,11942590.000000002,cherry
270,Gambia,81,0,0,0,0,0,cherry
788,Tunisia,82,16.312530145049095,4506.55,2929257500,40558950,49572050.00000001,cherry
012,Algeria,83,3331.0380720719695,11207.00000000001,7284550000.000006,100863000.00000009,123277000.0000001,cherry
400,Jordan,84,617.0299665033817,770.0000000000001,500500000.00000006,6930000.000000001,8470000.000000002,cherry
784,United Arab Emirates,85,0,0,0,0,0,cherry
634,Qatar,86,0,0,0,0,0,cherry
414,Kuwait,87,0,0,0,0,0,cherry
368,Iraq,88,754.6357543468475,0,0,0,0,cherry
512,Oman,89,0,0,0,0,0,cherry
548,Vanuatu,90,0,0,0,0,0,cherry
116,Cambodia,91,0,0,0,0,0,cherry
764,Thailand,92,0,0,0,0,0,cherry
418,Laos,93,3.448296047281474e-4,0,0,0,0,cherry
104,Myanmar,94,1.9260894987201027,0,0,0,0,cherry
704,Vietnam,95,2.487325563764898,0,0,0,0,cherry
408,North Korea,96,0.383025548158912,0,0,0,0,cherry
410,South Korea,97,0,0,0,0,0,cherry
496,Mongolia,98,1.6458360112866615,0,0,0,0,cherry
356,India,99,6821.319607866465,10917.850000000066,7096602500.000043,98260650.0000006,120096350.00000073,cherry
050,Bangladesh,100,8.331980980932713,0,0,0,0,cherry
064,Bhutan,101,0.08564504340756685,0,0,0,0,cherry
524,Nepal,102,6.316558682592586,0,0,0,0,cherry
586,Pakistan,103,1703.5342197304708,2442.000000000003,1587300000.0000021,21978000.00000003,26862000.000000037,cherry
004,Afghanistan,104,327.3913063587388,0,0,0,0,cherry
762,Tajikistan,105,211.4220027571646,0,0,0,0,cherry
417,Kyrgyzstan,106,3648.312784919697,4646.6799999999985,3020341999.999999,41820119.999999985,51113479.999999985,cherry
795,Turkmenistan,107,658.7129464447498,0,0,0,0,cherry
364,Iran,108,213106.02018859982,147909.32000000033,96141058000.00021,1331183880.000003,1627002520.0000038,cherry
760,Syria,109,47582.275453686714,42205.99999999997,27433899999.99998,379853999.99999976,464265999.9999997,cherry
051,Armenia,110,3497.3263537585735,10926.999999999996,7102549999.999998,98342999.99999997,120196999.99999997,cherry
752,Sweden,111,536.3820443314539,0,0,0,0,cherry
112,Belarus,112,5515.587641159538,5373.8499999999995,3493002499.9999995,48364649.99999999,59112350,cherry
804,Ukraine,113,57179.30124391429,63549.999999999796,41307499999.99987,571949999.9999982,699049999.9999979,cherry
616,Poland,114,39654.05420216918,51300.000000000015,33345000000.000008,461700000.0000001,564300000.0000001,cherry
040,Austria,115,25310.209443894448,6609.999999999976,4296499999.999985,59489999.999999784,72709999.99999975,cherry
348,Hungary,116,17520.79702169448,8609.999999999989,5596499999.999993,77489999.99999991,94709999.9999999,cherry
498,Moldova,117,7295.159837782383,10362.000000000002,6735300000.000001,93258000.00000001,113982000.00000003,cherry
642,Romania,118,78600.70110494643,37640,24466000000,338760000,414040000.00000006,cherry
440,Lithuania,119,130.5069572068751,10,6500000,90000,110000.00000000001,cherry
428,Latvia,120,120.70217993820552,0,0,0,0,cherry
233,Estonia,121,608.9292560270987,0,0,0,0,cherry
276,Germany,122,105712.84465908259,36800.00000000002,23920000000.000015,331200000.00000024,404800000.0000003,cherry
100,Bulgaria,123,27577.283933863044,52329.99999999999,34014499999.999996,470969999.99999994,575630000,cherry
300,Greece,124,38911.61123515293,93740.0000000001,60931000000.00007,843660000.000001,1031140000.0000013,cherry
792,Turkey,125,219461.75937235355,724944.0000000017,471213600000.0011,6524496000.000015,7974384000.000019,cherry
008,Albania,126,5422.661428421736,20471.000000000015,13306150000.00001,184239000.00000015,225181000.00000018,cherry
191,Croatia,127,5956.155253782868,1089.999999999999,708499999.9999994,9809999.999999993,11989999.99999999,cherry
756,Switzerland,128,16258.535079583526,8779.999999999989,5706999999.999993,79019999.99999991,96579999.9999999,cherry
442,Luxembourg,129,81.39319741725922,10,6500000,90000,110000.00000000001,cherry
056,Belgium,130,1954.3912886157632,5349.999999999996,3477499999.9999976,48149999.99999997,58849999.99999996,cherry
528,Netherlands,131,522.3052246537991,8200.000000000002,5330000000.000001,73800000.00000001,90200000.00000003,cherry
620,Portugal,132,10433.881296053529,9240,6006000000,83160000,101640000.00000001,cherry
724,Spain,133,92299.33706861362,82129.99999999985,53384499999.99991,739169999.9999987,903429999.9999985,cherry
372,Ireland,134,1.3885996295139194,0,0,0,0,cherry
540,France,135,0,0,0,0,0,cherry
090,Solomon Islands,136,0,0,0,0,0,cherry
554,New Zealand,137,1034.4652699129656,3205.9600000000014,2083874000.000001,28853640.000000015,35265560.00000002,cherry
036,Australia,138,7103.489893664748,14475.300000000036,9408945000.000023,130277700.00000033,159228300.00000042,cherry
144,Sri Lanka,139,0,0,0,0,0,cherry
156,China,140,10045.609095898282,35891.02000000009,23329163000.000057,323019180.00000083,394801220.000001,cherry
158,Taiwan,141,0,0,0,0,0,cherry
380,Italy,142,108228.42916493118,104380.00000000017,67847000000.000114,939420000.0000017,1148180000.0000021,cherry
208,Denmark,143,237.44795260671526,730.0000000000005,474500000.0000003,6570000.000000005,8030000.000000006,cherry
826,United Kingdom,144,915.9692018984351,5647.000000000004,3670550000.0000024,50823000.00000004,62117000.000000045,cherry
352,Iceland,145,0,0,0,0,0,cherry
031,Azerbaijan,146,6765.346729140729,11232.20000000001,7300930000.000007,101089800.00000009,123554200.00000012,cherry
268,Georgia,147,10426.778162688017,5400.000000000005,3510000000.000003,48600000.000000045,59400000.00000005,cherry
608,Philippines,148,0,0,0,0,0,cherry
458,Malaysia,149,0,0,0,0,0,cherry
096,Brunei,150,0,0,0,0,0,cherry
705,Slovenia,151,1994.929031997919,1969.9999999999998,1280499999.9999998,17729999.999999996,21669999.999999996,cherry
246,Finland,152,8.053149245679379,0,0,0,0,cherry
703,Slovakia,153,4261.154343023896,0,0,0,0,cherry
203,Czechia,154,11544.957299664617,880.0000000000005,572000000.0000002,7920000.000000004,9680000.000000006,cherry
232,Eritrea,155,0,0,0,0,0,cherry
392,Japan,156,16841.200404010713,17199.999999999993,11179999999.999996,154799999.99999994,189199999.99999994,cherry
600,Paraguay,157,0.8483820366673172,0,0,0,0,cherry
887,Yemen,158,0,0,0,0,0,cherry
682,Saudi Arabia,159,0,0,0,0,0,cherry
010,Antarctica,160,0,0,0,0,0,cherry
-99,Northern Cyprus,161,0,0,0,0,0,cherry
196,Cyprus,162,0,0,0,0,0,cherry
504,Morocco,163,4684.5171729605645,10767.199999999992,6998679999.999994,96904799.99999993,118439199.99999991,cherry
818,Egypt,164,0,0,0,0,0,cherry
434,Libya,165,0,0,0,0,0,cherry
231,Ethiopia,166,0,0,0,0,0,cherry
262,Djibouti,167,0,0,0,0,0,cherry
-99,Somaliland,168,0,0,0,0,0,cherry
800,Uganda,169,0,0,0,0,0,cherry
646,Rwanda,170,0,0,0,0,0,cherry
070,Bosnia and Herzegovina,171,5646.0268376767635,11406.000000000011,7413900000.000007,102654000.00000009,125466000.00000012,cherry
807,North Macedonia,172,3546.7495470941067,6258.000000000003,4067700000.000002,56322000.00000003,68838000.00000004,cherry
688,Republic of Serbia,173,18521.24844838679,0,0,0,0,cherry
499,Montenegro,174,2226.9965530633926,0,0,0,0,cherry
-99,Kosovo,175,2587.160434126854,0,0,0,0,cherry
780,Trinidad and Tobago,176,0,0,0,0,0,cherry
728,South Sudan,177,0,0,0,0,0,cherry
