ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,chickpea
834,United Republic of Tanzania,2,23163.132690690458,110000.00000000012,393800000000.0004,4950000000.000006,22110000000.000027,chickpea
732,Western Sahara,3,0,0,0,0,0,chickpea
124,Canada,4,199432.0470289375,214400.00000000058,767552000000.0021,9648000000.000027,43094400000.000114,chickpea
840,United States of America,5,2.1279013935272815,185380,663660400000,8342100000,37261380000,chickpea
398,Kazakhstan,6,1566.867407256846,6640.9199999999355,23774493599.999767,298841399.9999971,1334824919.9999871,chickpea
860,Uzbekistan,7,491.21518786263186,11946.430000000028,42768219400.0001,537589350.0000013,2401232430.0000057,chickpea
598,Papua New Guinea,8,0,0,0,0,0,chickpea
360,Indonesia,9,0,0,0,0,0,chickpea
032,Argentina,10,1223.9333683292111,177060.99999999997,633878379999.9999,7967744999.999999,35589261000,chickpea
152,Chile,11,3291.5018594338726,184.99999999999997,662299999.9999999,8324999.999999999,37185000,chickpea
180,Democratic Republic of the Congo,12,3.9140691235661507,0,0,0,0,chickpea
706,Somalia,13,5.549685120582581,0,0,0,0,chickpea
404,Kenya,14,8709.372214487754,1438.4000000000053,5149472000.000019,64728000.000000246,289118400.00000113,chickpea
729,Sudan,15,12567.210134295048,0,0,0,0,chickpea
148,Chad,16,24.583657279610634,0,0,0,0,chickpea
332,Haiti,17,0,0,0,0,0,chickpea
214,Dominican Republic,18,0,0,0,0,0,chickpea
643,Russia,19,3169.7308822465548,291132.89999999985,1042255781999.9995,13100980499.999994,58517712899.99998,chickpea
044,The Bahamas,20,0,0,0,0,0,chickpea
238,United Kingdom,21,0,0,0,0,0,chickpea
578,Norway,22,0,0,0,0,0,chickpea
304,Denmark,23,0,0,0,0,0,chickpea
260,France,24,0,0,0,0,0,chickpea
626,East Timor,25,0,0,0,0,0,chickpea
710,South Africa,26,2.423359850421548,0,0,0,0,chickpea
426,Lesotho,27,0,0,0,0,0,chickpea
484,Mexico,28,219412.57388150773,125822.6699999998,450445158599.9992,5662020149.99999,25290356669.999958,chickpea
858,Uruguay,29,0,0,0,0,0,chickpea
076,Brazil,30,1.6016967509567621,0,0,0,0,chickpea
068,Bolivia,31,313.1838298120165,513.9999999999994,1840119999.999998,23129999.999999974,103313999.9999999,chickpea
604,Peru,32,3800.6107346542994,551.44,1974155200.0000002,24814800.000000004,110839440.00000003,chickpea
170,Colombia,33,1.02334280021023,96.50000000000001,345470000.00000006,4342500.000000001,19396500.000000004,chickpea
591,Panama,34,0,0,0,0,0,chickpea
188,Costa Rica,35,0,0,0,0,0,chickpea
558,Nicaragua,36,0,0,0,0,0,chickpea
340,Honduras,37,0,0,0,0,0,chickpea
222,El Salvador,38,0,0,0,0,0,chickpea
320,Guatemala,39,0,0,0,0,0,chickpea
084,Belize,40,0,0,0,0,0,chickpea
862,Venezuela,41,0,0,0,0,0,chickpea
328,Guyana,42,0,0,0,0,0,chickpea
740,Suriname,43,0,0,0,0,0,chickpea
250,France,44,41.95448978245258,0,0,0,0,chickpea
218,Ecuador,45,10.786552546545863,0,0,0,0,chickpea
630,United States of America,46,0,0,0,0,0,chickpea
388,Jamaica,47,0,0,0,0,0,chickpea
192,Cuba,48,0,0,0,0,0,chickpea
716,Zimbabwe,49,208.42320085130632,483.00999999999993,1729175799.9999998,21735449.999999996,97085009.99999999,chickpea
072,Botswana,50,0.9424169268459082,0,0,0,0,chickpea
516,Namibia,51,0,0,0,0,0,chickpea
686,Senegal,52,0,0,0,0,0,chickpea
466,Mali,53,0.04952580644749105,0,0,0,0,chickpea
