ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,chilleetc
834,United Republic of Tanzania,2,1.3181560710072517,6932.53,1733132500,20797590,76257830,chilleetc
732,Western Sahara,3,0,0,0,0,0,chilleetc
124,Canada,4,44163.11191327968,0,0,0,0,chilleetc
840,United States of America,5,726378.362928693,0,0,0,0,chilleetc
398,Kazakhstan,6,36409.38132791134,431.22999999999934,107807499.99999984,1293689.999999998,4743529.9999999935,chilleetc
860,Uzbekistan,7,6849.944069052115,36956.52999999996,9239132499.99999,110869589.9999999,406521829.99999964,chilleetc
598,Papua New Guinea,8,0,0,0,0,0,chilleetc
360,Indonesia,9,732702.5535041839,0,0,0,0,chilleetc
032,Argentina,10,119368.0831487832,3178.340000000018,794585000.0000045,9535020.000000054,34961740.0000002,chilleetc
152,Chile,11,61822.54173421276,0,0,0,0,chilleetc
180,Democratic Republic of the Congo,12,0.03475412353873253,36417.6,9104400000,109252800,400593600.00000006,chilleetc
706,Somalia,13,1.6055951714515686,0,0,0,0,chilleetc
404,Kenya,14,2734.0306635284796,3065.1999999999994,766299999.9999998,9195599.999999998,33717199.99999999,chilleetc
729,Sudan,15,2921.143000939919,0,0,0,0,chilleetc
148,Chad,16,141.88330894672026,0,0,0,0,chilleetc
332,Haiti,17,668.9411869049072,0,0,0,0,chilleetc
214,Dominican Republic,18,21330.525289177895,0,0,0,0,chilleetc
643,Russia,19,9644.084464708343,0,0,0,0,chilleetc
044,The Bahamas,20,0,0,0,0,0,chilleetc
238,United Kingdom,21,0,0,0,0,0,chilleetc
578,Norway,22,0,0,0,0,0,chilleetc
304,Denmark,23,0,0,0,0,0,chilleetc
260,France,24,0,0,0,0,0,chilleetc
626,East Timor,25,24.893390655517578,0,0,0,0,chilleetc
710,South Africa,26,0,0,0,0,0,chilleetc
426,Lesotho,27,0,0,0,0,0,chilleetc
484,Mexico,28,1754152.0468405236,60701.090000000106,15175272500.000027,182103270.00000033,667711990.0000012,chilleetc
858,Uruguay,29,9800.226086519659,0,0,0,0,chilleetc
076,Brazil,30,206.73377841195486,0,0,0,0,chilleetc
068,Bolivia,31,6118.57171488629,0,0,0,0,chilleetc
604,Peru,32,47040.82188880778,37470.99999999995,9367749999.999987,112412999.99999984,412180999.99999946,chilleetc
170,Colombia,33,23476.49762486122,0,0,0,0,chilleetc
591,Panama,34,2666.0325709567405,0,0,0,0,chilleetc
188,Costa Rica,35,6.559710919857025,0,0,0,0,chilleetc
558,Nicaragua,36,13.451066046953201,0,0,0,0,chilleetc
340,Honduras,37,2309.6327993301675,0,0,0,0,chilleetc
222,El Salvador,38,3156.416253887117,0,0,0,0,chilleetc
320,Guatemala,39,16053.528795314021,0,0,0,0,chilleetc
084,Belize,40,274.2917407974601,0,0,0,0,chilleetc
862,Venezuela,41,74004.36891743548,0,0,0,0,chilleetc
328,Guyana,42,1108.385628875345,0,0,0,0,chilleetc
740,Suriname,43,1.2478636652231216,0,0,0,0,chilleetc
250,France,44,25049.08875630796,0,0,0,0,chilleetc
218,Ecuador,45,7707.414313942296,0,0,0,0,chilleetc
630,United States of America,46,4070.070181131363,0,0,0,0,chilleetc
388,Jamaica,47,5300.907196044922,18847.000000000004,4711750000.000001,56541000.00000001,207317000.00000006,chilleetc
192,Cuba,48,40388.85704900324,0,0,0,0,chilleetc
716,Zimbabwe,49,0,0,0,0,0,chilleetc
072,Botswana,50,0,0,0,0,0,chilleetc
