ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,cinnamon
834,United Republic of Tanzania,2,0,0,0,0,0,cinnamon
732,Western Sahara,3,0,0,0,0,0,cinnamon
124,Canada,4,0,0,0,0,0,cinnamon
840,United States of America,5,0,0,0,0,0,cinnamon
398,Kazakhstan,6,172.04436884869642,0,0,0,0,cinnamon
860,Uzbekistan,7,1671.5391653261613,0,0,0,0,cinnamon
598,Papua New Guinea,8,0,0,0,0,0,cinnamon
360,Indonesia,9,44851.272315215785,48836.00000000009,127461960000.00023,1562752000.0000029,1904604000.0000033,cinnamon
032,Argentina,10,0,0,0,0,0,cinnamon
152,Chile,11,0,0,0,0,0,cinnamon
180,Democratic Republic of the Congo,12,0,0,0,0,0,cinnamon
706,Somalia,13,0,0,0,0,0,cinnamon
404,Kenya,14,0,0,0,0,0,cinnamon
729,Sudan,15,0,0,0,0,0,cinnamon
148,Chad,16,0,0,0,0,0,cinnamon
332,Haiti,17,0,0,0,0,0,cinnamon
214,Dominican Republic,18,0,0,0,0,0,cinnamon
643,Russia,19,19.307181788783055,0,0,0,0,cinnamon
044,The Bahamas,20,0,0,0,0,0,cinnamon
238,United Kingdom,21,0,0,0,0,0,cinnamon
578,Norway,22,0,0,0,0,0,cinnamon
304,Denmark,23,0,0,0,0,0,cinnamon
260,France,24,0,0,0,0,0,cinnamon
626,East Timor,25,1.5217927694320679,118.57,309467700,3794240,4624230,cinnamon
710,South Africa,26,0,0,0,0,0,cinnamon
426,Lesotho,27,0,0,0,0,0,cinnamon
484,Mexico,28,219.66384193487465,0,0,0,0,cinnamon
858,Uruguay,29,0,0,0,0,0,cinnamon
076,Brazil,30,0,0,0,0,0,cinnamon
068,Bolivia,31,0,0,0,0,0,cinnamon
604,Peru,32,0,0,0,0,0,cinnamon
170,Colombia,33,0,0,0,0,0,cinnamon
591,Panama,34,0,0,0,0,0,cinnamon
188,Costa Rica,35,0,0,0,0,0,cinnamon
558,Nicaragua,36,0,0,0,0,0,cinnamon
340,Honduras,37,0,0,0,0,0,cinnamon
222,El Salvador,38,0,0,0,0,0,cinnamon
320,Guatemala,39,0.5464362818747759,0,0,0,0,cinnamon
084,Belize,40,0,0,0,0,0,cinnamon
862,Venezuela,41,0,0,0,0,0,cinnamon
328,Guyana,42,0,0,0,0,0,cinnamon
740,Suriname,43,0,0,0,0,0,cinnamon
250,France,44,2.4450003625825047,0,0,0,0,cinnamon
218,Ecuador,45,0,0,0,0,0,cinnamon
630,United States of America,46,0,0,0,0,0,cinnamon
388,Jamaica,47,0,0,0,0,0,cinnamon
192,Cuba,48,0,0,0,0,0,cinnamon
716,Zimbabwe,49,0,0,0,0,0,cinnamon
072,Botswana,50,0,0,0,0,0,cinnamon
516,Namibia,51,0,0,0,0,0,cinnamon
686,Senegal,52,0,0,0,0,0,cinnamon
466,Mali,53,0,0,0,0,0,cinnamon
478,Mauritania,54,0,0,0,0,0,cinnamon
204,Benin,55,0,0,0,0,0,cinnamon
562,Niger,56,0,0,0,0,0,cinnamon
566,Nigeria,57,0,0,0,0,0,cinnamon
120,Cameroon,58,0,0,0,0,0,cinnamon
768,Togo,59,0,0,0,0,0,cinnamon
288,Ghana,60,0,0,0,0,0,cinnamon
