ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,citrusnes
834,United Republic of Tanzania,2,34565.528846671805,47270.69999999996,12290381999.999989,94541399.99999993,236353499.9999998,citrusnes
732,Western Sahara,3,0,0,0,0,0,citrusnes
124,Canada,4,0.23338737869562465,0,0,0,0,citrusnes
840,United States of America,5,2763.495863445281,23560.199999999993,6125651999.999998,47120399.99999999,117800999.99999997,citrusnes
398,Kazakhstan,6,291.4845454165521,834.6499999999992,217008999.9999998,1669299.9999999984,4173249.999999996,citrusnes
860,Uzbekistan,7,1004.5865610205838,10013.000000000027,2603380000.000007,20026000.000000056,50065000.000000134,citrusnes
598,Papua New Guinea,8,0,0,0,0,0,citrusnes
360,Indonesia,9,13.610941857099533,0,0,0,0,citrusnes
032,Argentina,10,0,0,0,0,0,citrusnes
152,Chile,11,0,0,0,0,0,citrusnes
180,Democratic Republic of the Congo,12,1680.1253176927567,0,0,0,0,citrusnes
706,Somalia,13,81.79275551065803,0,0,0,0,citrusnes
404,Kenya,14,137538.23734796792,90321.35000000006,23483551000.000015,180642700.00000012,451606750.0000003,citrusnes
729,Sudan,15,2.5443823263049126,0,0,0,0,citrusnes
148,Chad,16,0,0,0,0,0,citrusnes
332,Haiti,17,0,0,0,0,0,citrusnes
214,Dominican Republic,18,0,0,0,0,0,citrusnes
643,Russia,19,381.7362422783335,0,0,0,0,citrusnes
044,The Bahamas,20,0,0,0,0,0,citrusnes
238,United Kingdom,21,0,0,0,0,0,citrusnes
578,Norway,22,0,0,0,0,0,citrusnes
304,Denmark,23,0,0,0,0,0,citrusnes
260,France,24,0,0,0,0,0,citrusnes
626,East Timor,25,0,0,0,0,0,citrusnes
710,South Africa,26,6675.959241994307,11828.36000000003,3075373600.0000076,23656720.00000006,59141800.00000015,citrusnes
426,Lesotho,27,9.228515859227628,0,0,0,0,citrusnes
484,Mexico,28,38589.57522925312,354233.6899999974,92100759399.99931,708467379.9999948,1771168449.999987,citrusnes
858,Uruguay,29,0,0,0,0,0,citrusnes
076,Brazil,30,26.134630308370106,0,0,0,0,citrusnes
068,Bolivia,31,5.422621772624552,0,0,0,0,citrusnes
604,Peru,32,32529.077422941104,66516.95999999989,17294409599.999973,133033919.99999979,332584799.99999946,citrusnes
170,Colombia,33,20.4869303482119,566358.99,147253337400,1132717980,2831794950,citrusnes
591,Panama,34,0,0,0,0,0,citrusnes
188,Costa Rica,35,0,0,0,0,0,citrusnes
558,Nicaragua,36,2.279494918882847,681.04,177070400,1362080,3405200,citrusnes
340,Honduras,37,380.5707580742892,895.05,232713000,1790100,4475250,citrusnes
222,El Salvador,38,5.32514488697052,0,0,0,0,citrusnes
320,Guatemala,39,3826.3567287493497,68973.36,17933073600,137946720,344866800,citrusnes
084,Belize,40,0.3311294838786125,0,0,0,0,citrusnes
862,Venezuela,41,0.259148258715868,0,0,0,0,citrusnes
328,Guyana,42,700.4344810862094,845.8500000000021,219921000.00000054,1691700.0000000042,4229250.00000001,citrusnes
740,Suriname,43,2143.457120408537,2101.0000000000005,546260000.0000001,4202000.000000001,10505000.000000002,citrusnes
250,France,44,12.385499468131457,0,0,0,0,citrusnes
218,Ecuador,45,23275.33872570668,18480.150000000005,4804839000.000002,36960300.000000015,92400750.00000003,citrusnes
630,United States of America,46,0,0,0,0,0,citrusnes
388,Jamaica,47,0,0,0,0,0,citrusnes
192,Cuba,48,11519.59892148152,2333.600000000001,606736000.0000002,4667200.000000002,11668000.000000004,citrusnes
716,Zimbabwe,49,310.5782737308182,482.1399999999996,125356399.99999991,964279.9999999993,2410699.999999998,citrusnes
072,Botswana,50,3.1611177839222364,0,0,0,0,citrusnes
516,Namibia,51,284.8699218953261,0,0,0,0,citrusnes
686,Senegal,52,441.4018576145172,0,0,0,0,citrusnes
466,Mali,53,1510.6211770176888,0,0,0,0,citrusnes
478,Mauritania,54,0,0,0,0,0,citrusnes
204,Benin,55,2202.4954113960266,0,0,0,0,citrusnes
562,Niger,56,9087.57898402214,0,0,0,0,citrusnes
566,Nigeria,57,2652346.5587337613,4183328.8199999835,1087665493199.9956,8366657639.999967,20916644099.999916,citrusnes
120,Cameroon,58,12716.384254336357,80.88999999999996,21031399.99999999,161779.9999999999,404449.99999999977,citrusnes
768,Togo,59,0,0,0,0,0,citrusnes
288,Ghana,60,160.56693077087402,0,0,0,0,citrusnes
384,Ivory Coast,61,32522.22031161189,44451.0300000001,11557267800.000027,88902060.00000021,222255150.0000005,citrusnes
324,Guinea,62,184010.96700245142,238831.02999999994,62096067799.999985,477662059.99999994,1194155149.9999998,citrusnes
624,Guinea-Bissau,63,821.6044845581055,0,0,0,0,citrusnes
430,Liberia,64,1271.388150215149,0,0,0,0,citrusnes
694,Sierra Leone,65,50898.01411640644,111980.24000000002,29114862400.000008,223960480.00000006,559901200.0000001,citrusnes
854,Burkina Faso,66,8.033138066530228,0,0,0,0,citrusnes
140,Central African Republic,67,0,0,0,0,0,citrusnes
178,Republic of the Congo,68,95.67010316252708,0,0,0,0,citrusnes
266,Gabon,69,883.889637440443,1368.1699999999994,355724199.9999999,2736339.999999999,6840849.999999997,citrusnes
226,Equatorial Guinea,70,0,0,0,0,0,citrusnes
894,Zambia,71,417.08184601925313,0,0,0,0,citrusnes
454,Malawi,72,1712.7019219957292,2664.9799999999973,692894799.9999993,5329959.999999995,13324899.999999987,citrusnes
508,Mozambique,73,213.43951248354279,0,0,0,0,citrusnes
748,eSwatini,74,216.3594714552164,234.3700000000001,60936200.00000002,468740.00000000023,1171850.0000000005,citrusnes
024,Angola,75,76493.78675954044,436085.99999999977,113382359999.99995,872171999.9999996,2180429999.999999,citrusnes
108,Burundi,76,92.29112231731415,0,0,0,0,citrusnes
376,Israel,77,9823.009020030499,10078.000000000002,2620280000.0000005,20156000.000000004,50390000.00000001,citrusnes
