ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,clove
834,United Republic of Tanzania,2,7959.928508430719,8601.880000000003,27784072400.00001,1728977880.0000007,516112800.0000002,clove
732,Western Sahara,3,0,0,0,0,0,clove
124,Canada,4,0,0,0,0,0,clove
840,United States of America,5,0,0,0,0,0,clove
398,Kazakhstan,6,160.69811740322052,0,0,0,0,clove
860,Uzbekistan,7,1671.5391653261613,0,0,0,0,clove
598,Papua New Guinea,8,0,0,0,0,0,clove
360,Indonesia,9,69445.15412305389,145983.99999999985,471528319999.9995,29342783999.999973,8759039999.999992,clove
032,Argentina,10,0,0,0,0,0,clove
152,Chile,11,0,0,0,0,0,clove
180,Democratic Republic of the Congo,12,0,0,0,0,0,clove
706,Somalia,13,0.20072784274816513,0,0,0,0,clove
404,Kenya,14,366.7049616512377,2043.3900000000008,6600149700.000003,410721390.0000002,122603400.00000004,clove
729,Sudan,15,0,0,0,0,0,clove
148,Chad,16,0,0,0,0,0,clove
332,Haiti,17,0,0,0,0,0,clove
214,Dominican Republic,18,0,0,0,0,0,clove
643,Russia,19,2.1649106477416353,0,0,0,0,clove
044,The Bahamas,20,0,0,0,0,0,clove
238,United Kingdom,21,0,0,0,0,0,clove
578,Norway,22,0,0,0,0,0,clove
304,Denmark,23,0,0,0,0,0,clove
260,France,24,0,0,0,0,0,clove
626,East Timor,25,2.356239914894104,0,0,0,0,clove
710,South Africa,26,0,0,0,0,0,clove
426,Lesotho,27,0,0,0,0,0,clove
484,Mexico,28,219.66384193487465,0,0,0,0,clove
858,Uruguay,29,0,0,0,0,0,clove
076,Brazil,30,0,0,0,0,0,clove
068,Bolivia,31,0,0,0,0,0,clove
604,Peru,32,0,0,0,0,0,clove
170,Colombia,33,0,0,0,0,0,clove
591,Panama,34,0,0,0,0,0,clove
188,Costa Rica,35,0,0,0,0,0,clove
558,Nicaragua,36,0,0,0,0,0,clove
340,Honduras,37,0,0,0,0,0,clove
222,El Salvador,38,0,0,0,0,0,clove
320,Guatemala,39,0.5464362818747759,0,0,0,0,clove
084,Belize,40,0,0,0,0,0,clove
862,Venezuela,41,0,0,0,0,0,clove
328,Guyana,42,0,0,0,0,0,clove
740,Suriname,43,0,0,0,0,0,clove
250,France,44,2.4450003625825047,0,0,0,0,clove
218,Ecuador,45,0,0,0,0,0,clove
630,United States of America,46,0,0,0,0,0,clove
388,Jamaica,47,0,0,0,0,0,clove
192,Cuba,48,0,0,0,0,0,clove
716,Zimbabwe,49,0,0,0,0,0,clove
072,Botswana,50,0,0,0,0,0,clove
516,Namibia,51,0,0,0,0,0,clove
686,Senegal,52,0,0,0,0,0,clove
466,Mali,53,0,0,0,0,0,clove
478,Mauritania,54,0,0,0,0,0,clove
204,Benin,55,0,0,0,0,0,clove
562,Niger,56,0,0,0,0,0,clove
566,Nigeria,57,0,0,0,0,0,clove
120,Cameroon,58,0,0,0,0,0,clove
768,Togo,59,0,0,0,0,0,clove
288,Ghana,60,0,0,0,0,0,clove
384,Ivory Coast,61,0,0,0,0,0,clove
324,Guinea,62,0,0,0,0,0,clove
624,Guinea-Bissau,63,0,0,0,0,0,clove
430,Liberia,64,0,0,0,0,0,clove
694,Sierra Leone,65,0,0,0,0,0,clove
854,Burkina Faso,66,0,0,0,0,0,clove
140,Central African Republic,67,0,0,0,0,0,clove
178,Republic of the Congo,68,0,0,0,0,0,clove
266,Gabon,69,0,0,0,0,0,clove
226,Equatorial Guinea,70,0,0,0,0,0,clove
894,Zambia,71,24.467545956373215,0,0,0,0,clove
454,Malawi,72,32.446733862161636,0,0,0,0,clove
508,Mozambique,73,21.940782697871327,0,0,0,0,clove
748,eSwatini,74,0,0,0,0,0,clove
024,Angola,75,0,0,0,0,0,clove
108,Burundi,76,21.294692635536194,0,0,0,0,clove
376,Israel,77,0,0,0,0,0,clove
422,Lebanon,78,0,0,0,0,0,clove
450,Madagascar,79,13741.519258834887,23930.99999999996,77297129999.99988,4810130999.999992,1435859999.9999976,clove
275,Israel,80,0,0,0,0,0,clove
270,Gambia,81,0,0,0,0,0,clove
788,Tunisia,82,0,0,0,0,0,clove
012,Algeria,83,0,0,0,0,0,clove
400,Jordan,84,0,0,0,0,0,clove
784,United Arab Emirates,85,0,0,0,0,0,clove
634,Qatar,86,0,0,0,0,0,clove
414,Kuwait,87,0,0,0,0,0,clove
368,Iraq,88,0,0,0,0,0,clove
512,Oman,89,0,0,0,0,0,clove
548,Vanuatu,90,0,0,0,0,0,clove
116,Cambodia,91,0,0,0,0,0,clove
764,Thailand,92,0.3620369741693139,0,0,0,0,clove
418,Laos,93,0,0,0,0,0,clove
104,Myanmar,94,0.0894848444731906,0,0,0,0,clove
704,Vietnam,95,0.17970629152841866,0,0,0,0,clove
408,North Korea,96,0.13314046541927382,0,0,0,0,clove
410,South Korea,97,0,0,0,0,0,clove
496,Mongolia,98,0.006834219662550822,0,0,0,0,clove
356,India,99,0.013935938235135836,0,0,0,0,clove
050,Bangladesh,100,0,0,0,0,0,clove
064,Bhutan,101,0.0017631598948355531,0,0,0,0,clove
524,Nepal,102,0.012408222620848619,0,0,0,0,clove
586,Pakistan,103,8.656227719257004e-4,0,0,0,0,clove
004,Afghanistan,104,0.8031454324936931,0,0,0,0,clove
762,Tajikistan,105,15.742404523582081,0,0,0,0,clove
417,Kyrgyzstan,106,55.2660540756915,0,0,0,0,clove
795,Turkmenistan,107,6.56428118981421,0,0,0,0,clove
364,Iran,108,0,0,0,0,0,clove
760,Syria,109,0,0,0,0,0,clove
051,Armenia,110,0,0,0,0,0,clove
752,Sweden,111,0,0,0,0,0,clove
112,Belarus,112,0,0,0,0,0,clove
804,Ukraine,113,38.02933746576309,0,0,0,0,clove
616,Poland,114,34.04428593814373,0,0,0,0,clove
040,Austria,115,26.690171867609024,0,0,0,0,clove
348,Hungary,116,5345.62937932834,0,0,0,0,clove
498,Moldova,117,155.99132347106934,0,0,0,0,clove
642,Romania,118,29256.114116445184,0,0,0,0,clove
440,Lithuania,119,0,0,0,0,0,clove
428,Latvia,120,0,0,0,0,0,clove
233,Estonia,121,0,0,0,0,0,clove
276,Germany,122,6.702693998813629,0,0,0,0,clove
100,Bulgaria,123,342.33203900035005,0,0,0,0,clove
300,Greece,124,66.2615591933718,0,0,0,0,clove
792,Turkey,125,1.8452917695976794,0,0,0,0,clove
008,Albania,126,0.8436179310083389,0,0,0,0,clove
191,Croatia,127,327.2632649242878,0,0,0,0,clove
756,Switzerland,128,0,0,0,0,0,clove
442,Luxembourg,129,0,0,0,0,0,clove
056,Belgium,130,0,0,0,0,0,clove
528,Netherlands,131,0,0,0,0,0,clove
620,Portugal,132,1.5034346673637629,0,0,0,0,clove
724,Spain,133,3235.0171253354056,0,0,0,0,clove
372,Ireland,134,0,0,0,0,0,clove
540,France,135,0,0,0,0,0,clove
090,Solomon Islands,136,0,0,0,0,0,clove
554,New Zealand,137,0,0,0,0,0,clove
036,Australia,138,0,0,0,0,0,clove
144,Sri Lanka,139,2445.3066663071513,6710.6,21675238000,1348830600,402636000,clove
156,China,140,452.7953021981694,1327.37999999999,4287437399.999968,266803379.99999803,79642799.9999994,clove
158,Taiwan,141,0,0,0,0,0,clove
380,Italy,142,30.419419147074223,0,0,0,0,clove
208,Denmark,143,0,0,0,0,0,clove
826,United Kingdom,144,0,0,0,0,0,clove
352,Iceland,145,0,0,0,0,0,clove
031,Azerbaijan,146,0,0,0,0,0,clove
268,Georgia,147,0,0,0,0,0,clove
608,Philippines,148,0,0,0,0,0,clove
458,Malaysia,149,335.96133461079444,224.68000000000012,725716400.0000005,45160680.00000003,13480800.000000007,clove
096,Brunei,150,0.3718670946545899,0,0,0,0,clove
705,Slovenia,151,281.9757617600262,0,0,0,0,clove
246,Finland,152,0,0,0,0,0,clove
703,Slovakia,153,12.739043459296227,0,0,0,0,clove
203,Czechia,154,4613.044957887381,0,0,0,0,clove
232,Eritrea,155,0,0,0,0,0,clove
392,Japan,156,0,0,0,0,0,clove
600,Paraguay,157,0,0,0,0,0,clove
887,Yemen,158,0,0,0,0,0,clove
682,Saudi Arabia,159,0,0,0,0,0,clove
010,Antarctica,160,0,0,0,0,0,clove
-99,Northern Cyprus,161,0,0,0,0,0,clove
196,Cyprus,162,0,0,0,0,0,clove
504,Morocco,163,0,0,0,0,0,clove
818,Egypt,164,0,0,0,0,0,clove
434,Libya,165,0,0,0,0,0,clove
231,Ethiopia,166,0.6411046462599188,0,0,0,0,clove
262,Djibouti,167,0,0,0,0,0,clove
-99,Somaliland,168,0,0,0,0,0,clove
800,Uganda,169,3.363204922527075,0,0,0,0,clove
646,Rwanda,170,0,0,0,0,0,clove
070,Bosnia and Herzegovina,171,4055.58024565503,0,0,0,0,clove
807,North Macedonia,172,0.20796119049191475,0,0,0,0,clove
688,Republic of Serbia,173,3131.480940553127,0,0,0,0,clove
499,Montenegro,174,369.96860925108194,0,0,0,0,clove
-99,Kosovo,175,421.35199934989214,0,0,0,0,clove
780,Trinidad and Tobago,176,0,0,0,0,0,clove
728,South Sudan,177,0,0,0,0,0,clove
