ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,cocoa
834,United Republic of Tanzania,2,2869.2833296195604,14000.00000000004,57960000000.00016,5600000000.000015,560000000.0000015,cocoa
732,Western Sahara,3,0,0,0,0,0,cocoa
124,Canada,4,0,0,0,0,0,cocoa
840,United States of America,5,0,0,0,0,0,cocoa
398,Kazakhstan,6,1819.8827367361428,0,0,0,0,cocoa
860,Uzbekistan,7,30642.44796776952,0,0,0,0,cocoa
598,Papua New Guinea,8,37100.678001021966,38000,157320000000,15200000000,1520000000,cocoa
360,Indonesia,9,407069.5228680745,720660.0000000003,2983532400000.0015,288264000000.0001,28826400000.000015,cocoa
032,Argentina,10,1.2334151361137629,0,0,0,0,cocoa
152,Chile,11,0.26225521974265575,0,0,0,0,cocoa
180,Democratic Republic of the Congo,12,6549.995770659763,26336.9999999999,109035179999.99959,10534799999.99996,1053479999.9999961,cocoa
706,Somalia,13,0,0,0,0,0,cocoa
404,Kenya,14,34.548107117414474,0,0,0,0,cocoa
729,Sudan,15,0,0,0,0,0,cocoa
148,Chad,16,0.07482219437952153,0,0,0,0,cocoa
332,Haiti,17,5033.074978381395,1999.9999999999998,8279999999.999998,799999999.9999999,79999999.99999999,cocoa
214,Dominican Republic,18,44699.71112895012,77681.23,321600292200,31072492000,3107249200,cocoa
643,Russia,19,175777.91046781983,0,0,0,0,cocoa
044,The Bahamas,20,0,0,0,0,0,cocoa
238,United Kingdom,21,0,0,0,0,0,cocoa
578,Norway,22,0,0,0,0,0,cocoa
304,Denmark,23,0,0,0,0,0,cocoa
260,France,24,0,0,0,0,0,cocoa
626,East Timor,25,81.38115605711937,175.51000000000005,726611400.0000002,70204000.00000001,7020400.000000002,cocoa
710,South Africa,26,0,0,0,0,0,cocoa
426,Lesotho,27,0,0,0,0,0,cocoa
484,Mexico,28,41935.72098437685,29428.77000000001,121835107800.00005,11771508000.000004,1177150800.0000005,cocoa
858,Uruguay,29,0,0,0,0,0,cocoa
076,Brazil,30,198762.14963877367,269739.9999999998,1116723599999.9993,107895999999.99992,10789599999.999992,cocoa
068,Bolivia,31,4130.290049431816,5874.99999999999,24322499999.999958,2349999999.999996,234999999.9999996,cocoa
604,Peru,32,19881.05873102424,158943.58000000057,658026421200.0023,63577432000.00023,6357743200.000023,cocoa
