ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,coconut
834,United Republic of Tanzania,2,329713.8903577924,458999.9999999999,844559999999.9999,79865999999.99997,7802999999.999998,coconut
732,Western Sahara,3,0,0,0,0,0,coconut
124,Canada,4,0,0,0,0,0,coconut
840,United States of America,5,0,0,0,0,0,coconut
398,Kazakhstan,6,480.17569623656436,0,0,0,0,coconut
860,Uzbekistan,7,7120.912454126461,0,0,0,0,coconut
598,Papua New Guinea,8,772895.7922638655,1180000.0000000016,2171200000000.0032,205320000000.00027,20060000000.00003,coconut
360,Indonesia,9,13690349.480585098,16800000.000000056,30912000000000.1,2923200000000.0093,285600000000.0009,coconut
032,Argentina,10,0,0,0,0,0,coconut
152,Chile,11,0,0,0,0,0,coconut
180,Democratic Republic of the Congo,12,127.78823852539062,0,0,0,0,coconut
706,Somalia,13,10266.62408414483,14406.000000000013,26507040000.000023,2506644000.000002,244902000.0000002,coconut
404,Kenya,14,61481.907173365355,110012.99999999974,202423919999.9995,19142261999.999954,1870220999.9999955,coconut
729,Sudan,15,0,0,0,0,0,coconut
148,Chad,16,82.65585536696017,0,0,0,0,coconut
332,Haiti,17,30082.395920991898,33600.00000000004,61824000000.00007,5846400000.000006,571200000.0000006,coconut
214,Dominican Republic,18,163469.51486754417,423886.9499999998,779951987999.9995,73756329299.99995,7206078149.999996,coconut
643,Russia,19,114.97238051111344,0,0,0,0,coconut
044,The Bahamas,20,0,0,0,0,0,coconut
238,United Kingdom,21,0,0,0,0,0,coconut
578,Norway,22,0,0,0,0,0,coconut
304,Denmark,23,0,0,0,0,0,coconut
260,France,24,0,0,0,0,0,coconut
626,East Timor,25,464.3163757324219,30800,56672000000,5359200000,523600000,coconut
710,South Africa,26,667.6613311767578,0,0,0,0,coconut
426,Lesotho,27,0,0,0,0,0,coconut
484,Mexico,28,682104.581446005,1074400.0000000005,1976896000000.0007,186945600000.00006,18264800000.000008,coconut
858,Uruguay,29,0,0,0,0,0,coconut
076,Brazil,30,1746492.6028457172,2434094.9999999665,4478734799999.938,423532529999.99414,41379614999.99943,coconut
068,Bolivia,31,63.00538640562445,0,0,0,0,coconut
604,Peru,32,21593.16763554694,36418.63000000005,67010279200.00009,6336841620.000008,619116710.0000008,coconut
170,Colombia,33,91102.82378606335,153800.19999999995,282992367999.99994,26761234799.99999,2614603399.999999,coconut
591,Panama,34,14997.587424494326,15847.000000000027,29158480000.00005,2757378000.0000043,269399000.0000005,coconut
188,Costa Rica,35,18112.830123066902,18000.00000000002,33120000000.000034,3132000000.000003,306000000.0000003,coconut
558,Nicaragua,36,4801.113214414567,6000.000000000001,11040000000.000002,1044000000,102000000.00000001,coconut
340,Honduras,37,18822.228572633117,13500.520000000008,24840956800.000015,2349090480.0000014,229508840.00000015,coconut
222,El Salvador,38,65604.8146853447,57682.71999999999,106136204799.99998,10036793279.999996,980606239.9999998,coconut
320,Guatemala,39,34870.26724225283,14399.99999999999,26495999999.999985,2505599999.999998,244799999.99999985,coconut
084,Belize,40,1276.51374989748,1497.1600000000008,2754774400.0000014,260505840.00000012,25451720.00000001,coconut
862,Venezuela,41,144247.6177580949,183997.21999999965,338554884799.9993,32015516279.999935,3127952739.999994,coconut
328,Guyana,42,57309.01428001188,14849.339999999991,27322785599.999985,2583785159.999998,252438779.99999985,coconut
740,Suriname,43,9074.939509789925,14324.999999999995,26357999999.99999,2492549999.9999986,243524999.99999988,coconut
250,France,44,220.96795041246514,0,0,0,0,coconut
218,Ecuador,45,24450.55669854788,13131.300000000021,24161592000.00004,2284846200.0000033,223232100.00000036,coconut
630,United States of America,46,4499.777986288071,167.98999999999998,309101599.99999994,29230259.999999993,2855829.9999999995,coconut
