ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,cowpea
834,United Republic of Tanzania,2,40257.369287095964,147593.65999999963,504770317199.9987,2656685879.9999933,34536916439.99991,cowpea
732,Western Sahara,3,0,0,0,0,0,cowpea
124,Canada,4,0,0,0,0,0,cowpea
840,United States of America,5,5911.8982654935935,16283.999999999995,55691279999.99998,293111999.9999999,3810455999.9999986,cowpea
398,Kazakhstan,6,0,0,0,0,0,cowpea
860,Uzbekistan,7,0,0,0,0,0,cowpea
598,Papua New Guinea,8,0,0,0,0,0,cowpea
360,Indonesia,9,0,0,0,0,0,cowpea
032,Argentina,10,0,0,0,0,0,cowpea
152,Chile,11,0,0,0,0,0,cowpea
180,Democratic Republic of the Congo,12,46477.7036722675,77915.00000000016,266469300000.00052,1402470000.0000029,18232110000.000034,cowpea
706,Somalia,13,24.667206525802612,0,0,0,0,cowpea
404,Kenya,14,38991.53244446963,264160.3600000001,903428431200.0004,4754886480.000002,61813524240.000015,cowpea
729,Sudan,15,0,0,0,0,0,cowpea
148,Chad,16,0,0,0,0,0,cowpea
332,Haiti,17,33815.444704294205,30032.500000000004,102711150000.00002,540585000.0000001,7027605000.000001,cowpea
214,Dominican Republic,18,190.96866607666016,0,0,0,0,cowpea
643,Russia,19,0,0,0,0,0,cowpea
044,The Bahamas,20,0,0,0,0,0,cowpea
238,United Kingdom,21,0,0,0,0,0,cowpea
578,Norway,22,0,0,0,0,0,cowpea
304,Denmark,23,0,0,0,0,0,cowpea
260,France,24,0,0,0,0,0,cowpea
626,East Timor,25,0,0,0,0,0,cowpea
710,South Africa,26,5733.249880469113,4684.329999999999,16020408599.999998,84317939.99999999,1096133219.9999998,cowpea
426,Lesotho,27,4.140575900673866,0,0,0,0,cowpea
484,Mexico,28,3.010052908270154,0,0,0,0,cowpea
858,Uruguay,29,0,0,0,0,0,cowpea
076,Brazil,30,0,0,0,0,0,cowpea
068,Bolivia,31,0,0,0,0,0,cowpea
604,Peru,32,0,0,0,0,0,cowpea
170,Colombia,33,0,0,0,0,0,cowpea
591,Panama,34,0,0,0,0,0,cowpea
188,Costa Rica,35,0,0,0,0,0,cowpea
558,Nicaragua,36,0,0,0,0,0,cowpea
340,Honduras,37,0,0,0,0,0,cowpea
222,El Salvador,38,0,0,0,0,0,cowpea
320,Guatemala,39,0,0,0,0,0,cowpea
084,Belize,40,0,0,0,0,0,cowpea
862,Venezuela,41,0,0,0,0,0,cowpea
328,Guyana,42,0,0,0,0,0,cowpea
740,Suriname,43,0,0,0,0,0,cowpea
250,France,44,0,0,0,0,0,cowpea
218,Ecuador,45,0,0,0,0,0,cowpea
630,United States of America,46,0,0,0,0,0,cowpea
388,Jamaica,47,352.76484447717667,313,1070460000,5634000,73242000,cowpea
192,Cuba,48,0,0,0,0,0,cowpea
716,Zimbabwe,49,0,0,0,0,0,cowpea
072,Botswana,50,2.763490982586518,0,0,0,0,cowpea
516,Namibia,51,0.2073785017710179,0,0,0,0,cowpea
686,Senegal,52,29155.30356178619,253896.95000000033,868327569000.0011,4570145100.000006,59411886300.00008,cowpea
466,Mali,53,88124.74119029753,297833.99999999953,1018592279999.9984,5361011999.999991,69693155999.99988,cowpea
478,Mauritania,54,12557.84026996931,7917.510000000002,27077884200.000004,142515180.00000003,1852697340.0000002,cowpea
204,Benin,55,3927.528413616121,0,0,0,0,cowpea
562,Niger,56,388044.86266971566,2629772,8993820240000,47335896000,615366648000,cowpea
566,Nigeria,57,1669103.1457162395,4132849.999999995,14134346999999.982,74391299999.99991,967086899999.9987,cowpea
120,Cameroon,58,14154.907380484045,181929.08999999997,622197487799.9999,3274723619.9999995,42571407059.99999,cowpea
768,Togo,59,149.63473510742188,0,0,0,0,cowpea
288,Ghana,60,14157.988989382982,0,0,0,0,cowpea
384,Ivory Coast,61,934.8392781019211,0,0,0,0,cowpea
324,Guinea,62,188.89144308120012,0,0,0,0,cowpea
624,Guinea-Bissau,63,10.837289482355118,643.15,2199573000,11576700,150497100,cowpea
430,Liberia,64,0,0,0,0,0,cowpea
694,Sierra Leone,65,0,0,0,0,0,cowpea
854,Burkina Faso,66,255732.85659468174,704539.0000000017,2409523380000.006,12681702000.00003,164862126000.0004,cowpea
140,Central African Republic,67,190.55298639833927,0,0,0,0,cowpea
178,Republic of the Congo,68,9.451733499765396,0,0,0,0,cowpea
266,Gabon,69,0,0,0,0,0,cowpea
226,Equatorial Guinea,70,0,0,0,0,0,cowpea
894,Zambia,71,861.2097086906433,10341.82,35369024400,186152760,2419985880,cowpea
454,Malawi,72,35407.19359540939,57288.90000000001,195928038000.00003,1031200200.0000002,13405602600.000002,cowpea
508,Mozambique,73,2304.589449613355,82631.77,282600653400,1487371860,19335834180,cowpea
748,eSwatini,74,772.2560303595383,706.01,2414554200,12708180,165206340,cowpea
024,Angola,75,332.3291743658483,0,0,0,0,cowpea
108,Burundi,76,218.73284006118774,0,0,0,0,cowpea
376,Israel,77,25.15019742306322,0,0,0,0,cowpea
422,Lebanon,78,0,0,0,0,0,cowpea
450,Madagascar,79,3623.3878882259596,24700.00000000003,84474000000.0001,444600000.00000054,5779800000.000007,cowpea
275,Israel,80,13.422656568232924,102.00000000000001,348840000.00000006,1836000.0000000002,23868000,cowpea
270,Gambia,81,163.27982629835606,0,0,0,0,cowpea
788,Tunisia,82,0,0,0,0,0,cowpea
012,Algeria,83,0,0,0,0,0,cowpea
400,Jordan,84,0,0,0,0,0,cowpea
784,United Arab Emirates,85,0,0,0,0,0,cowpea
634,Qatar,86,0,0,0,0,0,cowpea
414,Kuwait,87,0,0,0,0,0,cowpea
368,Iraq,88,0,0,0,0,0,cowpea
512,Oman,89,0,0,0,0,0,cowpea
548,Vanuatu,90,0,0,0,0,0,cowpea
116,Cambodia,91,0,0,0,0,0,cowpea
764,Thailand,92,211.39450460672379,0,0,0,0,cowpea
418,Laos,93,9.198413252830505,0,0,0,0,cowpea
104,Myanmar,94,79616.2433155328,108593.00000000016,371388060000.00055,1954674000.000003,25410762000.00004,cowpea
704,Vietnam,95,0,0,0,0,0,cowpea
408,North Korea,96,0,0,0,0,0,cowpea
410,South Korea,97,0,0,0,0,0,cowpea
496,Mongolia,98,0,0,0,0,0,cowpea
356,India,99,115.91482400894165,0,0,0,0,cowpea
050,Bangladesh,100,154.99345779418945,0,0,0,0,cowpea
064,Bhutan,101,0,0,0,0,0,cowpea
524,Nepal,102,0,0,0,0,0,cowpea
586,Pakistan,103,0,0,0,0,0,cowpea
004,Afghanistan,104,0,0,0,0,0,cowpea
762,Tajikistan,105,0,0,0,0,0,cowpea
417,Kyrgyzstan,106,0,0,0,0,0,cowpea
795,Turkmenistan,107,0,0,0,0,0,cowpea
364,Iran,108,0,0,0,0,0,cowpea
760,Syria,109,0,0,0,0,0,cowpea
051,Armenia,110,0,0,0,0,0,cowpea
752,Sweden,111,0,0,0,0,0,cowpea
112,Belarus,112,0,0,0,0,0,cowpea
804,Ukraine,113,0,0,0,0,0,cowpea
616,Poland,114,0,0,0,0,0,cowpea
040,Austria,115,0,0,0,0,0,cowpea
348,Hungary,116,0.7471616268157959,0,0,0,0,cowpea
498,Moldova,117,0,0,0,0,0,cowpea
642,Romania,118,50.527138352394104,0,0,0,0,cowpea
440,Lithuania,119,0,0,0,0,0,cowpea
428,Latvia,120,0,0,0,0,0,cowpea
233,Estonia,121,0,0,0,0,0,cowpea
276,Germany,122,0,0,0,0,0,cowpea
100,Bulgaria,123,77.93890783190727,0,0,0,0,cowpea
300,Greece,124,66.11515259742737,0,0,0,0,cowpea
792,Turkey,125,0,0,0,0,0,cowpea
008,Albania,126,27.143969297409058,0,0,0,0,cowpea
191,Croatia,127,552.4275468438864,0,0,0,0,cowpea
756,Switzerland,128,0,0,0,0,0,cowpea
442,Luxembourg,129,0,0,0,0,0,cowpea
056,Belgium,130,0,0,0,0,0,cowpea
528,Netherlands,131,0,0,0,0,0,cowpea
620,Portugal,132,0,0,0,0,0,cowpea
724,Spain,133,0,0,0,0,0,cowpea
