ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,cucumberetc
834,United Republic of Tanzania,2,0.40243739634752274,0,0,0,0,cucumberetc
732,Western Sahara,3,0,0,0,0,0,cucumberetc
124,Canada,4,162867.8820145781,57655,7495150000,57655000,288275000,cucumberetc
840,United States of America,5,1042176.9229531742,567245,73741850000,567245000,2836225000,cucumberetc
398,Kazakhstan,6,171112.64810206834,537774.9300000014,69910740900.00018,537774930.0000014,2688874650.000007,cucumberetc
860,Uzbekistan,7,151247.34515547752,812727.9999999985,105654639999.9998,812727999.9999986,4063639999.9999924,cucumberetc
598,Papua New Guinea,8,0,0,0,0,0,cucumberetc
360,Indonesia,9,416202.5298722759,441285.85000000324,57367160500.00042,441285850.0000033,2206429250.000016,cucumberetc
032,Argentina,10,30.473824087630646,0,0,0,0,cucumberetc
152,Chile,11,24188.51598222358,37173.799999999814,4832593999.999976,37173799.999999814,185868999.99999908,cucumberetc
180,Democratic Republic of the Congo,12,277.8355655281339,373.42999999999984,48545899.99999998,373429.9999999998,1867149.999999999,cucumberetc
706,Somalia,13,0.49158673034980893,0,0,0,0,cucumberetc
404,Kenya,14,1822.1141807958484,5924.5400000000245,770190200.0000032,5924540.000000025,29622700.000000123,cucumberetc
729,Sudan,15,79964.15823241603,0,0,0,0,cucumberetc
148,Chad,16,1666.1723474264145,0,0,0,0,cucumberetc
332,Haiti,17,105.92905485630035,0,0,0,0,cucumberetc
214,Dominican Republic,18,3377.7595516592264,13676.489999999994,1777943699.9999993,13676489.999999994,68382449.99999997,cucumberetc
643,Russia,19,910409.0782977544,1686975.4999999925,219306814999.99902,1686975499.9999926,8434877499.999963,cucumberetc
044,The Bahamas,20,0,0,0,0,0,cucumberetc
238,United Kingdom,21,0,0,0,0,0,cucumberetc
578,Norway,22,5666.80222051786,21187.99999999998,2754439999.9999976,21187999.999999985,105939999.99999991,cucumberetc
304,Denmark,23,0,0,0,0,0,cucumberetc
260,France,24,0,0,0,0,0,cucumberetc
626,East Timor,25,117.64633762091398,1169.6900000000003,152059700.00000006,1169690.0000000005,5848450.000000002,cucumberetc
710,South Africa,26,14479.525370749645,31496.99999999999,4094609999.9999986,31496999.99999999,157484999.99999994,cucumberetc
426,Lesotho,27,9.695639342069626,0,0,0,0,cucumberetc
484,Mexico,28,419477.2102707713,1159933.69,150791379700,1159933690,5799668450,cucumberetc
858,Uruguay,29,0,0,0,0,0,cucumberetc
076,Brazil,30,37.355262106428015,0,0,0,0,cucumberetc
068,Bolivia,31,3674.8610333884135,4738.000000000017,615940000.0000023,4738000.000000018,23690000.000000086,cucumberetc
604,Peru,32,16195.393760399194,52105.999999999825,6773779999.999977,52105999.99999983,260529999.99999914,cucumberetc
170,Colombia,33,5004.976663966191,28424.199999999986,3695145999.9999986,28424199.99999999,142120999.99999994,cucumberetc
591,Panama,34,2018.4099389114417,9756.999999999995,1268409999.9999993,9756999.999999994,48784999.99999997,cucumberetc
188,Costa Rica,35,4.966291189193726,1650.62,214580599.99999997,1650620,8253099.999999999,cucumberetc
558,Nicaragua,36,205.19031488895416,0,0,0,0,cucumberetc
340,Honduras,37,34064.64429731667,46999.999999999985,6109999999.999998,46999999.99999999,234999999.99999994,cucumberetc
222,El Salvador,38,8210.352081477642,5467.1500000000015,710729500.0000002,5467150.000000002,27335750.000000007,cucumberetc
320,Guatemala,39,143.6043357849121,0,0,0,0,cucumberetc
084,Belize,40,160.62984055280685,377.99999999999994,49139999.99999999,378000,1889999.9999999998,cucumberetc
862,Venezuela,41,15354.61528449082,15413.95000000001,2003813500.0000012,15413950.00000001,77069750.00000004,cucumberetc
328,Guyana,42,1668.0904240608215,2817.019999999996,366212599.99999946,2817019.9999999963,14085099.99999998,cucumberetc
740,Suriname,43,1710.5549134910107,992.0000000000009,128960000.00000012,992000.0000000009,4960000.000000005,cucumberetc
250,France,44,139484.423241131,213540.0000000004,27760200000.000053,213540000.00000042,1067700000.000002,cucumberetc
218,Ecuador,45,925.5471240795987,4703.450000000001,611448500.0000001,4703450.000000001,23517250.000000004,cucumberetc
630,United States of America,46,0,0,0,0,0,cucumberetc
388,Jamaica,47,14355.112718582153,19431,2526030000,19431000,97155000,cucumberetc
