ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,currant
834,United Republic of Tanzania,2,0,0,0,0,0,currant
732,Western Sahara,3,0,0,0,0,0,currant
124,Canada,4,0,0,0,0,0,currant
840,United States of America,5,0,0,0,0,0,currant
398,Kazakhstan,6,290.23763143280974,0,0,0,0,currant
860,Uzbekistan,7,1256.4952006589156,1622.3600000000022,957192400.0000013,4867080.0000000065,22713040.00000003,currant
598,Papua New Guinea,8,0,0,0,0,0,currant
360,Indonesia,9,0,0,0,0,0,currant
032,Argentina,10,0,0,0,0,0,currant
152,Chile,11,0,0,0,0,0,currant
180,Democratic Republic of the Congo,12,0,0,0,0,0,currant
706,Somalia,13,0,0,0,0,0,currant
404,Kenya,14,0,0,0,0,0,currant
729,Sudan,15,0,0,0,0,0,currant
148,Chad,16,0,0,0,0,0,currant
332,Haiti,17,0,0,0,0,0,currant
214,Dominican Republic,18,0,0,0,0,0,currant
643,Russia,19,275444.4398640681,436900.0000000012,257771000000.00073,1310700000.0000036,6116600000.000017,currant
044,The Bahamas,20,0,0,0,0,0,currant
238,United Kingdom,21,0,0,0,0,0,currant
578,Norway,22,391.36155348215095,661.9999999999999,390579999.99999994,1985999.9999999995,9267999.999999998,currant
304,Denmark,23,0,0,0,0,0,currant
260,France,24,0,0,0,0,0,currant
626,East Timor,25,0,0,0,0,0,currant
710,South Africa,26,0.5144388070330024,0,0,0,0,currant
426,Lesotho,27,0,0,0,0,0,currant
484,Mexico,28,0,0,0,0,0,currant
858,Uruguay,29,0,0,0,0,0,currant
076,Brazil,30,0,0,0,0,0,currant
068,Bolivia,31,0,0,0,0,0,currant
604,Peru,32,0,0,0,0,0,currant
170,Colombia,33,0,0,0,0,0,currant
591,Panama,34,0,0,0,0,0,currant
188,Costa Rica,35,0,0,0,0,0,currant
558,Nicaragua,36,0,0,0,0,0,currant
340,Honduras,37,0,0,0,0,0,currant
222,El Salvador,38,0,0,0,0,0,currant
320,Guatemala,39,0,0,0,0,0,currant
084,Belize,40,0,0,0,0,0,currant
862,Venezuela,41,0,0,0,0,0,currant
328,Guyana,42,0,0,0,0,0,currant
740,Suriname,43,0,0,0,0,0,currant
250,France,44,8762.93679092545,9990.000000000002,5894100000.000001,29970000.000000004,139860000,currant
218,Ecuador,45,0,0,0,0,0,currant
630,United States of America,46,0,0,0,0,0,currant
388,Jamaica,47,0,0,0,0,0,currant
192,Cuba,48,0,0,0,0,0,currant
716,Zimbabwe,49,44.24476291111205,0,0,0,0,currant
072,Botswana,50,0.2000593647826463,0,0,0,0,currant
516,Namibia,51,0,0,0,0,0,currant
