ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,date
834,United Republic of Tanzania,2,0.48484381660819054,0,0,0,0,date
732,Western Sahara,3,0,0,0,0,0,date
124,Canada,4,0,0,0,0,0,date
840,United States of America,5,19491.591328583076,56789.779999999846,88592056799.99976,227159119.9999994,851846699.9999976,date
398,Kazakhstan,6,0.2758163665637312,0,0,0,0,date
860,Uzbekistan,7,0,0,0,0,0,date
598,Papua New Guinea,8,0,0,0,0,0,date
360,Indonesia,9,0,0,0,0,0,date
032,Argentina,10,0,0,0,0,0,date
152,Chile,11,0,0,0,0,0,date
180,Democratic Republic of the Congo,12,2.132425546646118,0,0,0,0,date
706,Somalia,13,9988.219751052558,14146.400000000016,22068384000.000023,56585600.00000006,212196000.00000024,date
404,Kenya,14,3233.5368970218115,1108.4899999999993,1729244399.9999988,4433959.999999997,16627349.999999989,date
729,Sudan,15,157248.1584239006,0,0,0,0,date
148,Chad,16,13115.81649096153,21241.870000000028,33137317200.000042,84967480.00000012,318628050.0000004,date
332,Haiti,17,0,0,0,0,0,date
214,Dominican Republic,18,0,0,0,0,0,date
643,Russia,19,3.8720924886692956,0,0,0,0,date
044,The Bahamas,20,0,0,0,0,0,date
238,United Kingdom,21,0,0,0,0,0,date
578,Norway,22,0,0,0,0,0,date
304,Denmark,23,0,0,0,0,0,date
260,France,24,0,0,0,0,0,date
626,East Timor,25,0,0,0,0,0,date
710,South Africa,26,13.382651777472347,0,0,0,0,date
426,Lesotho,27,0,0,0,0,0,date
484,Mexico,28,2515.9594918139774,19863.259999999984,30986685599.999977,79453039.99999994,297948899.99999976,date
858,Uruguay,29,0,0,0,0,0,date
076,Brazil,30,0.07115392327932568,0,0,0,0,date
068,Bolivia,31,0.03774671252904227,0,0,0,0,date
604,Peru,32,225.98062766787552,396.6699999999986,618805199.9999979,1586679.9999999944,5950049.9999999795,date
170,Colombia,33,0.06086552522901911,42,65520000,168000,630000,date
591,Panama,34,0,0,0,0,0,date
188,Costa Rica,35,0,0,0,0,0,date
558,Nicaragua,36,0,0,0,0,0,date
340,Honduras,37,0,0,0,0,0,date
222,El Salvador,38,0,0,0,0,0,date
320,Guatemala,39,0,0,0,0,0,date
084,Belize,40,0,0,0,0,0,date
862,Venezuela,41,0,0,0,0,0,date
328,Guyana,42,0,0,0,0,0,date
740,Suriname,43,0,0,0,0,0,date
250,France,44,4.352830167859793,0,0,0,0,date
218,Ecuador,45,0.6415535267442465,0,0,0,0,date
630,United States of America,46,0,0,0,0,0,date
388,Jamaica,47,0,0,0,0,0,date
192,Cuba,48,0,0,0,0,0,date
716,Zimbabwe,49,0,0,0,0,0,date
072,Botswana,50,4.727364939171821,0,0,0,0,date
516,Namibia,51,491.780946756975,1300.0000000000002,2028000000.0000002,5200000.000000001,19500000.000000004,date
686,Senegal,52,251.26870489120483,0,0,0,0,date
466,Mali,53,43.396976409479976,846.5,1320540000,3386000,12697500,date
478,Mauritania,54,21924.7480590865,21999.900000000052,34319844000.000084,87999600.00000022,329998500.00000083,date
204,Benin,55,632.7119399667718,1420.8600000000004,2216541600.0000005,5683440.000000002,21312900.000000007,date
562,Niger,56,6865.176975881215,16628.389999999945,25940288399.999912,66513559.99999978,249425849.99999917,date
566,Nigeria,57,161.7443471107399,0,0,0,0,date
120,Cameroon,58,205.06134199391818,588.8000000000002,918528000.0000002,2355200.000000001,8832000.000000004,date
768,Togo,59,23.79446815699339,0,0,0,0,date
288,Ghana,60,0,0,0,0,0,date
384,Ivory Coast,61,0,0,0,0,0,date
324,Guinea,62,0,0,0,0,0,date
624,Guinea-Bissau,63,0,0,0,0,0,date
430,Liberia,64,0,0,0,0,0,date
694,Sierra Leone,65,0,0,0,0,0,date
854,Burkina Faso,66,15.174190498888493,0,0,0,0,date
140,Central African Republic,67,273.3276711856306,0,0,0,0,date
178,Republic of the Congo,68,0.37574601895175874,0,0,0,0,date
266,Gabon,69,0,0,0,0,0,date
226,Equatorial Guinea,70,0,0,0,0,0,date
894,Zambia,71,0,0,0,0,0,date
454,Malawi,72,0,0,0,0,0,date
508,Mozambique,73,1.9476204011589289,0,0,0,0,date
748,eSwatini,74,141.67627696320415,310.24999999999994,483989999.99999994,1240999.9999999998,4653749.999999999,date
024,Angola,75,0,0,0,0,0,date
108,Burundi,76,0,0,0,0,0,date
376,Israel,77,5152.679074764252,48983.99999999998,76415039999.99997,195935999.9999999,734759999.9999996,date
422,Lebanon,78,13.430789113044739,0,0,0,0,date
450,Madagascar,79,0,0,0,0,0,date
275,Israel,80,3434.504201054573,8080,12604800000,32320000,121200000,date
270,Gambia,81,0,0,0,0,0,date
788,Tunisia,82,24214.82275390625,332000,517920000000,1328000000,4980000000,date
012,Algeria,83,205732.214676857,1151909.2999999998,1796978507999.9998,4607637199.999999,17278639499.999996,date
400,Jordan,84,1321.524668519618,25033.999999999996,39053039999.99999,100136000,375509999.99999994,date
784,United Arab Emirates,85,693783.1159667969,351462.00000000006,548280720000.00006,1405848000.0000002,5271930000.000001,date
634,Qatar,86,0,0,0,0,0,date
414,Kuwait,87,9814.718566894531,111750,174330000000,447000000,1676250000,date
368,Iraq,88,41729.21825554641,735352.9999999997,1147150679999.9995,2941411999.9999986,11030294999.999994,date
512,Oman,89,264475.99212646484,368577.00000000023,574980120000.0004,1474308000.000001,5528655000.000004,date
548,Vanuatu,90,0,0,0,0,0,date
116,Cambodia,91,0,0,0,0,0,date
764,Thailand,92,0,0,0,0,0,date
418,Laos,93,0.0026436937041580677,0,0,0,0,date
104,Myanmar,94,16.321576225338504,0,0,0,0,date
704,Vietnam,95,25.865768461022526,0,0,0,0,date
408,North Korea,96,4.634265823755413,0,0,0,0,date
410,South Korea,97,0,0,0,0,0,date
496,Mongolia,98,0.0016973567912828003,0,0,0,0,date
356,India,99,8968.747862412478,0,0,0,0,date
050,Bangladesh,100,0,0,0,0,0,date
064,Bhutan,101,0,0,0,0,0,date
524,Nepal,102,0,0,0,0,0,date
586,Pakistan,103,574951.6394554079,560184.0000000005,873887040000.0007,2240736000.000002,8402760000.000008,date
004,Afghanistan,104,1928.8246299177408,0,0,0,0,date
762,Tajikistan,105,4.996242350898683e-4,0,0,0,0,date
417,Kyrgyzstan,106,2.489699462557837e-4,0,0,0,0,date
795,Turkmenistan,107,2346.4709947109222,0,0,0,0,date
364,Iran,108,687301.5779029801,1236966.6199999985,1929667927199.9976,4947866479.999994,18554499299.999977,date
760,Syria,109,2731.6958762183785,2858.9999999999986,4460039999.999998,11435999.999999994,42884999.99999998,date
051,Armenia,110,844.8428058624268,0,0,0,0,date
752,Sweden,111,0,0,0,0,0,date
112,Belarus,112,0,0,0,0,0,date
804,Ukraine,113,0,0,0,0,0,date
616,Poland,114,0,0,0,0,0,date
040,Austria,115,0,0,0,0,0,date
348,Hungary,116,0,0,0,0,0,date
498,Moldova,117,0,0,0,0,0,date
642,Romania,118,0,0,0,0,0,date
440,Lithuania,119,0,0,0,0,0,date
428,Latvia,120,0,0,0,0,0,date
233,Estonia,121,0,0,0,0,0,date
276,Germany,122,0,0,0,0,0,date
100,Bulgaria,123,0,0,0,0,0,date
300,Greece,124,3.15861439704895,0,0,0,0,date
792,Turkey,125,9157.414482774679,60660.999999999745,94631159999.9996,242643999.99999902,909914999.9999962,date
008,Albania,126,0,0,0,0,0,date
191,Croatia,127,0,0,0,0,0,date
756,Switzerland,128,0,0,0,0,0,date
442,Luxembourg,129,0,0,0,0,0,date
056,Belgium,130,0,0,0,0,0,date
528,Netherlands,131,0,0,0,0,0,date
620,Portugal,132,2.67656222730875,0,0,0,0,date
724,Spain,133,5759.295666109538,0,0,0,0,date
372,Ireland,134,0,0,0,0,0,date
540,France,135,0,0,0,0,0,date
090,Solomon Islands,136,0,0,0,0,0,date
554,New Zealand,137,0,0,0,0,0,date
036,Australia,138,1.4903474084215752e-37,0,0,0,0,date
144,Sri Lanka,139,0,0,0,0,0,date
156,China,140,102410.60837328377,161300.43999999907,251628686399.99854,645201759.9999963,2419506599.999986,date
158,Taiwan,141,0,0,0,0,0,date
380,Italy,142,0,0,0,0,0,date
208,Denmark,143,0,0,0,0,0,date
