ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,eggplant
834,United Republic of Tanzania,2,0,0,0,0,0,eggplant
732,Western Sahara,3,0,0,0,0,0,eggplant
124,Canada,4,2.6249858830706216,0,0,0,0,eggplant
840,United States of America,5,50221.97236179367,98973.0900000001,20784348900.00002,98973090.0000001,890757810.0000008,eggplant
398,Kazakhstan,6,22524.419245962752,125054.41999999975,26261428199.99995,125054419.99999976,1125489779.9999979,eggplant
860,Uzbekistan,7,1995.671734237112,188000.00000000026,39480000000.00005,188000000.00000027,1692000000.0000024,eggplant
598,Papua New Guinea,8,0,0,0,0,0,eggplant
360,Indonesia,9,258397.02254205942,618201.5999999974,129822335999.99947,618201599.9999975,5563814399.999977,eggplant
032,Argentina,10,0,0,0,0,0,eggplant
152,Chile,11,0,0,0,0,0,eggplant
180,Democratic Republic of the Congo,12,1.6326134204864502,0,0,0,0,eggplant
706,Somalia,13,0,0,0,0,0,eggplant
404,Kenya,14,1712.458610445261,0,0,0,0,eggplant
729,Sudan,15,137163.4061086774,0,0,0,0,eggplant
148,Chad,16,257.5059832846746,0,0,0,0,eggplant
332,Haiti,17,843.247072160244,859.0700000000004,180404700.0000001,859070.0000000005,7731630.000000004,eggplant
214,Dominican Republic,18,6507.992659851909,24741.429999999997,5195700299.999999,24741430,222672869.99999997,eggplant
643,Russia,19,4255.906789865345,0,0,0,0,eggplant
044,The Bahamas,20,0,0,0,0,0,eggplant
238,United Kingdom,21,0,0,0,0,0,eggplant
578,Norway,22,0,0,0,0,0,eggplant
304,Denmark,23,0,0,0,0,0,eggplant
260,France,24,0,0,0,0,0,eggplant
626,East Timor,25,8.773375511169434,0,0,0,0,eggplant
710,South Africa,26,0,0,0,0,0,eggplant
426,Lesotho,27,0,0,0,0,0,eggplant
484,Mexico,28,54203.51990881139,112195.2299999999,23560998299.99998,112195229.99999991,1009757069.9999992,eggplant
858,Uruguay,29,0,0,0,0,0,eggplant
076,Brazil,30,10.760225149598195,0,0,0,0,eggplant
068,Bolivia,31,0,0,0,0,0,eggplant
604,Peru,32,0.017107653024140745,426.5,89565000,426500,3838500,eggplant
170,Colombia,33,2047.618304673266,16568.79000000004,3479445900.0000086,16568790.000000043,149119110.0000004,eggplant
591,Panama,34,0.0023999547120183706,0,0,0,0,eggplant
188,Costa Rica,35,0,0,0,0,0,eggplant
558,Nicaragua,36,18.346966419368982,0,0,0,0,eggplant
340,Honduras,37,3038.0515547115356,20552.049999999977,4315930499.999995,20552049.999999978,184968449.9999998,eggplant
222,El Salvador,38,12.131065368652344,0,0,0,0,eggplant
320,Guatemala,39,0,0,0,0,0,eggplant
084,Belize,40,0,0,0,0,0,eggplant
862,Venezuela,41,3916.5904784121767,15260.440000000028,3204692400.0000057,15260440.000000028,137343960.00000024,eggplant
328,Guyana,42,1036.515929820016,46410.54000000003,9746213400.000006,46410540.00000003,417694860.0000003,eggplant
740,Suriname,43,1.168995462357998,0,0,0,0,eggplant
250,France,44,21293.707135923207,57060.000000000124,11982600000.000025,57060000.00000012,513540000.0000011,eggplant
218,Ecuador,45,0.9439409583574161,0,0,0,0,eggplant
630,United States of America,46,0,0,0,0,0,eggplant
388,Jamaica,47,346.3489138185978,352.0000000000001,73920000.00000001,352000.0000000001,3168000.000000001,eggplant
192,Cuba,48,0,0,0,0,0,eggplant
716,Zimbabwe,49,0,0,0,0,0,eggplant
072,Botswana,50,0,0,0,0,0,eggplant
516,Namibia,51,0,0,0,0,0,eggplant
686,Senegal,52,0,0,0,0,0,eggplant
466,Mali,53,442.243969142437,99840.54999999999,20966515499.999996,99840550,898564949.9999999,eggplant
478,Mauritania,54,0,0,0,0,0,eggplant
204,Benin,55,0,0,0,0,0,eggplant
562,Niger,56,0,0,0,0,0,eggplant
566,Nigeria,57,3.4230803893879056,0,0,0,0,eggplant
120,Cameroon,58,1086.3120096013881,2179.090000000004,457608900.0000008,2179090.0000000037,19611810.000000034,eggplant
768,Togo,59,106.89833873510361,0,0,0,0,eggplant
288,Ghana,60,6410.783125218004,52111.049999999916,10943320499.999983,52111049.99999992,468999449.9999993,eggplant
384,Ivory Coast,61,64303.594123750925,109051.99999999993,22900919999.999985,109051999.99999994,981467999.9999994,eggplant
324,Guinea,62,13.727359771728516,0,0,0,0,eggplant
624,Guinea-Bissau,63,0,0,0,0,0,eggplant
430,Liberia,64,0,0,0,0,0,eggplant
694,Sierra Leone,65,0,0,0,0,0,eggplant
854,Burkina Faso,66,26.617557287216187,0,0,0,0,eggplant
140,Central African Republic,67,100.55198667850345,0,0,0,0,eggplant
178,Republic of the Congo,68,8.880405806936324,2623.879999999999,551014799.9999999,2623879.9999999995,23614919.999999993,eggplant
266,Gabon,69,85.27828739769757,101.24000000000005,21260400.00000001,101240.00000000006,911160.0000000005,eggplant
226,Equatorial Guinea,70,2.863998234272003,0,0,0,0,eggplant
894,Zambia,71,0,0,0,0,0,eggplant
454,Malawi,72,0,0,0,0,0,eggplant
508,Mozambique,73,0,0,0,0,0,eggplant
748,eSwatini,74,0,0,0,0,0,eggplant
024,Angola,75,0,0,0,0,0,eggplant
108,Burundi,76,0,0,0,0,0,eggplant
376,Israel,77,27454.413976192474,47430.99999999999,9960509999.999998,47431000,426878999.99999994,eggplant
