ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,fig
834,United Republic of Tanzania,2,0,0,0,0,0,fig
732,Western Sahara,3,0,0,0,0,0,fig
124,Canada,4,0,0,0,0,0,fig
840,United States of America,5,46384.491889101206,27960.680000000106,20411296400.00008,83882040.00000031,223685440.00000086,fig
398,Kazakhstan,6,4.716257081829724,0,0,0,0,fig
860,Uzbekistan,7,980.7095200121403,30300.000000000062,22119000000.000042,90900000.00000018,242400000.00000048,fig
598,Papua New Guinea,8,0,0,0,0,0,fig
360,Indonesia,9,0,0,0,0,0,fig
032,Argentina,10,873.1420850681014,868.9500000000011,634333500.0000008,2606850.0000000033,6951600.000000009,fig
152,Chile,11,0.422679195233286,130.08,94958400.00000001,390240.00000000006,1040640.0000000002,fig
180,Democratic Republic of the Congo,12,0,0,0,0,0,fig
706,Somalia,13,0,0,0,0,0,fig
404,Kenya,14,0,0,0,0,0,fig
729,Sudan,15,0,0,0,0,0,fig
148,Chad,16,1.0144892988028005,0,0,0,0,fig
332,Haiti,17,0,0,0,0,0,fig
214,Dominican Republic,18,0,0,0,0,0,fig
643,Russia,19,0.13249694700380132,0,0,0,0,fig
044,The Bahamas,20,0,0,0,0,0,fig
238,United Kingdom,21,0,0,0,0,0,fig
578,Norway,22,0,0,0,0,0,fig
304,Denmark,23,0,0,0,0,0,fig
260,France,24,0,0,0,0,0,fig
626,East Timor,25,0,0,0,0,0,fig
710,South Africa,26,1725.6670267047884,2048.999999999993,1495769999.999995,6146999.9999999795,16391999.999999948,fig
426,Lesotho,27,1.1558974124491215,0,0,0,0,fig
484,Mexico,28,2798.8285576047056,12009.739999999989,8767110199.999992,36029219.99999997,96077919.99999993,fig
858,Uruguay,29,1.0969596519134939,0,0,0,0,fig
076,Brazil,30,19538.341964018564,19639.000000000047,14336470000.000034,58917000.00000014,157112000.0000004,fig
068,Bolivia,31,3490.1201910276723,651.9999999999999,475959999.99999994,1955999.9999999995,5216000,fig
604,Peru,32,3437.6829960679315,3032.520000000007,2213739600.000005,9097560.00000002,24260160.000000056,fig
170,Colombia,33,0.9307226526245529,2669.82,1948968600,8009460,21358560,fig
591,Panama,34,0,0,0,0,0,fig
188,Costa Rica,35,0,0,0,0,0,fig
558,Nicaragua,36,0,0,0,0,0,fig
340,Honduras,37,0,0,0,0,0,fig
222,El Salvador,38,0,0,0,0,0,fig
320,Guatemala,39,0,0,0,0,0,fig
084,Belize,40,0,0,0,0,0,fig
862,Venezuela,41,0,0,0,0,0,fig
328,Guyana,42,0,0,0,0,0,fig
740,Suriname,43,0,0,0,0,0,fig
250,France,44,3172.0346468193457,7169.999999999993,5234099999.999994,21509999.999999978,57359999.99999994,fig
218,Ecuador,45,23.9574253235114,38.10000000000004,27813000.000000026,114300.0000000001,304800.0000000003,fig
630,United States of America,46,0,0,0,0,0,fig
388,Jamaica,47,0,0,0,0,0,fig
192,Cuba,48,0,0,0,0,0,fig
716,Zimbabwe,49,0,0,0,0,0,fig
072,Botswana,50,0.7714656067546457,0,0,0,0,fig
516,Namibia,51,0.002111746754962951,0,0,0,0,fig
686,Senegal,52,0,0,0,0,0,fig
466,Mali,53,0,0,0,0,0,fig
478,Mauritania,54,0,0,0,0,0,fig
204,Benin,55,0,0,0,0,0,fig
562,Niger,56,0,0,0,0,0,fig
566,Nigeria,57,0.07782119762850925,0,0,0,0,fig
120,Cameroon,58,39.59950286966705,92.40000000000022,67452000.00000016,277200.00000000064,739200.0000000019,fig
768,Togo,59,0,0,0,0,0,fig
288,Ghana,60,0,0,0,0,0,fig
384,Ivory Coast,61,0,0,0,0,0,fig
324,Guinea,62,0,0,0,0,0,fig
624,Guinea-Bissau,63,0,0,0,0,0,fig
430,Liberia,64,0,0,0,0,0,fig
694,Sierra Leone,65,0,0,0,0,0,fig
854,Burkina Faso,66,0,0,0,0,0,fig
140,Central African Republic,67,0.18100856918317731,0,0,0,0,fig
178,Republic of the Congo,68,0.07209313973726239,0,0,0,0,fig
266,Gabon,69,0,0,0,0,0,fig
226,Equatorial Guinea,70,0,0,0,0,0,fig
894,Zambia,71,0,0,0,0,0,fig
454,Malawi,72,0,0,0,0,0,fig
508,Mozambique,73,2.630028061568737,0,0,0,0,fig
748,eSwatini,74,2.428195180837065,0,0,0,0,fig
024,Angola,75,0,0,0,0,0,fig
108,Burundi,76,0,0,0,0,0,fig
376,Israel,77,3922.474904716015,2380.9999999999986,1738129999.9999988,7142999.999999995,19047999.99999999,fig
422,Lebanon,78,15225.934670448303,3327.0000000000005,2428710000.0000005,9981000,26616000.000000004,fig
450,Madagascar,79,0,0,0,0,0,fig
275,Israel,80,1687.30977922678,3335.0000000000014,2434550000.000001,10005000.000000004,26680000.000000015,fig
270,Gambia,81,0,0,0,0,0,fig
788,Tunisia,82,11032.597234159708,19599.99999999999,14307999999.99999,58799999.99999996,156799999.9999999,fig
012,Algeria,83,50542.57209127396,116143.00000000025,84784390000.00017,348429000.0000007,929144000.0000019,fig
400,Jordan,84,2280.1608494520187,655.0000000000006,478150000.0000004,1965000.0000000016,5240000.000000005,fig
784,United Arab Emirates,85,421.41762351989746,1648.9999999999998,1203769999.9999998,4946999.999999999,13192000,fig
634,Qatar,86,0,0,0,0,0,fig
414,Kuwait,87,0,0,0,0,0,fig
368,Iraq,88,426.1024526953697,9321.999999999998,6805059999.999999,27965999.999999996,74575999.99999999,fig
512,Oman,89,55.269548416137695,0,0,0,0,fig
548,Vanuatu,90,0,0,0,0,0,fig
116,Cambodia,91,0,0,0,0,0,fig
764,Thailand,92,0,0,0,0,0,fig
418,Laos,93,2.2988638374954462e-4,0,0,0,0,fig
104,Myanmar,94,1.072657635932046,0,0,0,0,fig
704,Vietnam,95,0.898879167274572,0,0,0,0,fig
408,North Korea,96,0.15046392793010455,0,0,0,0,fig
410,South Korea,97,0,0,0,0,0,fig
496,Mongolia,98,6.316054325594678e-5,0,0,0,0,fig
356,India,99,9608.308762772382,15072.140000000018,11002662200.000013,45216420.00000005,120577120.00000015,fig
050,Bangladesh,100,11.767637401353568,0,0,0,0,fig
064,Bhutan,101,0.12096040800679475,0,0,0,0,fig
524,Nepal,102,8.92116442474071,0,0,0,0,fig
586,Pakistan,103,755.1489781851196,164.99999999999994,120449999.99999997,494999.9999999998,1319999.9999999998,fig
004,Afghanistan,104,116.1025896127685,15994.000000000002,11675620000.000002,47982000.00000001,127952000.00000003,fig
762,Tajikistan,105,298.5745887925459,1220.7700000000007,891162100.0000006,3662310.0000000023,9766160.000000006,fig
417,Kyrgyzstan,106,6.463050815884021,0,0,0,0,fig
795,Turkmenistan,107,206.95980684738606,0,0,0,0,fig
364,Iran,108,73505.5577625595,85245.64999999994,62229324499.999954,255736949.99999982,681965199.9999995,fig
760,Syria,109,41469.837520718575,46502.00000000003,33946460000.000023,139506000.0000001,372016000.00000024,fig
051,Armenia,110,146.39127576351166,1713.1999999999998,1250636000,5139600,13705600,fig
752,Sweden,111,0,0,0,0,0,fig
112,Belarus,112,0,0,0,0,0,fig
804,Ukraine,113,0,0,0,0,0,fig
616,Poland,114,0,0,0,0,0,fig
040,Austria,115,3.5435966849327087,0,0,0,0,fig
348,Hungary,116,12.957975387573242,0,0,0,0,fig
498,Moldova,117,0,0,0,0,0,fig
642,Romania,118,9.85381468385458,0,0,0,0,fig
440,Lithuania,119,0,0,0,0,0,fig
428,Latvia,120,0,0,0,0,0,fig
233,Estonia,121,0,0,0,0,0,fig
276,Germany,122,8.816905722022057,0,0,0,0,fig
100,Bulgaria,123,274.19027776271105,0,0,0,0,fig
300,Greece,124,65984.92591919936,19840.000000000036,14483200000.000027,59520000.000000104,158720000.0000003,fig
792,Turkey,125,240806.80163710564,319999.999999999,233599999999.99927,959999999.999997,2559999999.999992,fig
008,Albania,126,14507.276830330491,21889.000000000004,15978970000.000002,65667000.00000001,175112000.00000003,fig
191,Croatia,127,5031.951024733484,790.000000000001,576700000.0000007,2370000.000000003,6320000.000000008,fig
756,Switzerland,128,17.5630742656067,0,0,0,0,fig
442,Luxembourg,129,0.8733014464378357,0,0,0,0,fig
056,Belgium,130,5.196100603789091,0,0,0,0,fig
528,Netherlands,131,0,0,0,0,0,fig
620,Portugal,132,13687.48189739883,4410,3219300000,13230000,35280000,fig
724,Spain,133,51504.155508501455,59899.99999999995,43726999999.99996,179699999.99999985,479199999.99999964,fig
372,Ireland,134,0,0,0,0,0,fig
540,France,135,0,0,0,0,0,fig
090,Solomon Islands,136,0,0,0,0,0,fig
554,New Zealand,137,0,0,0,0,0,fig
036,Australia,138,75.09955350596302,71.98999999999998,52552699.999999985,215969.9999999999,575919.9999999999,fig
144,Sri Lanka,139,0,0,0,0,0,fig
156,China,140,3534.56497779654,13815.519999999973,10085329599.99998,41446559.99999992,110524159.99999979,fig
158,Taiwan,141,0,0,0,0,0,fig
380,Italy,142,24099.803592483513,12180.000000000002,8891400000.000002,36540000,97440000.00000001,fig
208,Denmark,143,0,0,0,0,0,fig
826,United Kingdom,144,0,0,0,0,0,fig
352,Iceland,145,0,0,0,0,0,fig
031,Azerbaijan,146,1180.8645050525665,12265.999999999998,8954179999.999998,36797999.99999999,98128000,fig
268,Georgia,147,70.55057907104492,0,0,0,0,fig
608,Philippines,148,0,0,0,0,0,fig
458,Malaysia,149,0,0,0,0,0,fig
096,Brunei,150,0,0,0,0,0,fig
705,Slovenia,151,77.76646045548841,100.00000000000003,73000000.00000001,300000.00000000006,800000.0000000002,fig
246,Finland,152,0,0,0,0,0,fig
703,Slovakia,153,0,0,0,0,0,fig
203,Czechia,154,0,0,0,0,0,fig
232,Eritrea,155,0,0,0,0,0,fig
392,Japan,156,0,0,0,0,0,fig
600,Paraguay,157,4.756786434260448,0,0,0,0,fig
887,Yemen,158,3636.17025873065,4952,3614960000,14856000,39616000,fig
682,Saudi Arabia,159,2.5682456493377686,0,0,0,0,fig
010,Antarctica,160,0,0,0,0,0,fig
-99,Northern Cyprus,161,0,0,0,0,0,fig
196,Cyprus,162,0,0,0,0,0,fig
504,Morocco,163,68564.26024673879,144246.0499999997,105299616499.99977,432738149.99999905,1153968399.9999976,fig
818,Egypt,164,181732.35528716445,299449.99999999953,218598499999.99966,898349999.9999986,2395599999.999996,fig
434,Libya,165,12790.613810777664,10419.999999999998,7606599999.999999,31259999.999999993,83360000,fig
231,Ethiopia,166,0,0,0,0,0,fig
262,Djibouti,167,0,0,0,0,0,fig
-99,Somaliland,168,0,0,0,0,0,fig
800,Uganda,169,0,0,0,0,0,fig
646,Rwanda,170,0,0,0,0,0,fig
070,Bosnia and Herzegovina,171,52.154396979138255,1005,733650000,3015000,8040000,fig
807,North Macedonia,172,83.29659241205081,879.0000000000007,641670000.0000006,2637000.0000000023,7032000.0000000065,fig
688,Republic of Serbia,173,2538.84695392102,0,0,0,0,fig
499,Montenegro,174,332.01412801072,0,0,0,0,fig
-99,Kosovo,175,385.6631423830986,0,0,0,0,fig
780,Trinidad and Tobago,176,0,0,0,0,0,fig
728,South Sudan,177,0,0,0,0,0,fig
