ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,fruitnes
834,United Republic of Tanzania,2,182513.71528218687,201983.35000000038,90892507500.00017,1009916750.0000019,1009916750.0000019,fruitnes
732,Western Sahara,3,0,0,0,0,0,fruitnes
124,Canada,4,15.137809166992213,0,0,0,0,fruitnes
840,United States of America,5,5790.736779155617,685.1799999999927,308330999.99999666,3425899.999999963,3425899.999999963,fruitnes
398,Kazakhstan,6,3352.5676179661014,11634.709999999997,5235619499.999999,58173549.999999985,58173549.999999985,fruitnes
860,Uzbekistan,7,28767.02332143113,300967.5300000003,135435388500.00015,1504837650.0000017,1504837650.0000017,fruitnes
598,Papua New Guinea,8,717693.6997411847,1109733.570000001,499380106500.0004,5548667850.000005,5548667850.000005,fruitnes
360,Indonesia,9,960812.4293924421,1312769.900000006,590746455000.0027,6563849500.00003,6563849500.00003,fruitnes
032,Argentina,10,167.25412767038952,0,0,0,0,fruitnes
152,Chile,11,11897.179155451642,15197.859999999955,6839036999.99998,75989299.99999978,75989299.99999978,fruitnes
180,Democratic Republic of the Congo,12,58660.38090733439,89623.58999999985,40330615499.99994,448117949.9999993,448117949.9999993,fruitnes
706,Somalia,13,472746.0294010937,145578.40000000023,65510280000.00011,727892000.0000012,727892000.0000012,fruitnes
404,Kenya,14,72631.26800510287,123665.59999999982,55649519999.999916,618327999.999999,618327999.999999,fruitnes
729,Sudan,15,235261.62757593393,0,0,0,0,fruitnes
148,Chad,16,48103.76648140699,70151.19999999984,31568039999.999924,350755999.99999917,350755999.99999917,fruitnes
332,Haiti,17,51227.12336874008,65951.71999999994,29678273999.999973,329758599.9999997,329758599.9999997,fruitnes
214,Dominican Republic,18,35390.53795534372,24117.99999999999,10853099999.999994,120589999.99999994,120589999.99999994,fruitnes
643,Russia,19,73961.33671708126,1199.9999999999939,539999999.9999973,5999999.999999969,5999999.999999969,fruitnes
044,The Bahamas,20,0,0,0,0,0,fruitnes
238,United Kingdom,21,0,0,0,0,0,fruitnes
578,Norway,22,0,0,0,0,0,fruitnes
304,Denmark,23,0,0,0,0,0,fruitnes
260,France,24,0,0,0,0,0,fruitnes
626,East Timor,25,32.481069564819336,0,0,0,0,fruitnes
710,South Africa,26,52627.450707367156,22621.999999999967,10179899999.999985,113109999.99999984,113109999.99999984,fruitnes
426,Lesotho,27,8545.018698468804,15270.879999999988,6871895999.999994,76354399.99999994,76354399.99999994,fruitnes
484,Mexico,28,314924.3394644713,523563.5299999995,235603588499.9998,2617817649.9999976,2617817649.9999976,fruitnes
858,Uruguay,29,3376.362735298462,4901.369999999999,2205616499.9999995,24506849.999999996,24506849.999999996,fruitnes
076,Brazil,30,76.64663233960243,0,0,0,0,fruitnes
068,Bolivia,31,6946.849191599933,3082.9199999999873,1387313999.9999943,15414599.999999937,15414599.999999937,fruitnes
604,Peru,32,82193.19657596387,132265.83000000063,59519623500.00028,661329150.0000031,661329150.0000031,fruitnes
170,Colombia,33,165562.16319627798,904933.5499999969,407220097499.99866,4524667749.999985,4524667749.999985,fruitnes
591,Panama,34,16011.95538893342,0,0,0,0,fruitnes
188,Costa Rica,35,194564.63405799866,394321.3099999998,177444589499.9999,1971606549.999999,1971606549.999999,fruitnes
558,Nicaragua,36,9669.035811781883,16972.540000000023,7637643000.0000105,84862700.00000012,84862700.00000012,fruitnes
340,Honduras,37,41524.475893460214,81435.69,36646060500,407178450,407178450,fruitnes
222,El Salvador,38,9161.186170578003,13204.409999999996,5941984499.999998,66022049.99999998,66022049.99999998,fruitnes
320,Guatemala,39,84237.8149164319,102473.26999999999,46112971499.99999,512366349.99999994,512366349.99999994,fruitnes
084,Belize,40,3192.8493486344814,6359.03,2861563500,31795150,31795150,fruitnes
862,Venezuela,41,103731.93345706425,78189.06000000048,35185077000.00021,390945300.0000024,390945300.0000024,fruitnes
328,Guyana,42,2.8775975108146667,681.53,306688500,3407650,3407650,fruitnes
740,Suriname,43,1.226715937256813,0,0,0,0,fruitnes
250,France,44,253.36618343926966,0,0,0,0,fruitnes
218,Ecuador,45,196768.37778941076,238791.34999999977,107456107499.9999,1193956749.9999988,1193956749.9999988,fruitnes
630,United States of America,46,4415.115411043167,2057.8499999999995,926032499.9999999,10289249.999999998,10289249.999999998,fruitnes
388,Jamaica,47,0,0,0,0,0,fruitnes
192,Cuba,48,149665.50606793165,223045.99999999968,100370699999.99985,1115229999.9999983,1115229999.9999983,fruitnes
716,Zimbabwe,49,2374.911875611171,3992.9200000000046,1796814000.000002,19964600.000000022,19964600.000000022,fruitnes
