ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,garlic
834,United Republic of Tanzania,2,1773.9848232634831,6208.250000000019,8070725000.000025,24833000.00000008,341453750.0000011,garlic
732,Western Sahara,3,0,0,0,0,0,garlic
124,Canada,4,2.3105695759877563,1840,2392000000,7360000,101200000,garlic
840,United States of America,5,271283.06477297563,161252.0000000001,209627600000.00012,645008000.0000005,8868860000.000006,garlic
398,Kazakhstan,6,1109.6219353660708,49221.89999999995,63988469999.99994,196887599.99999982,2707204499.999997,garlic
860,Uzbekistan,7,25565.071970025077,223719.00000000055,290834700000.00073,894876000.0000024,12304545000.00003,garlic
598,Papua New Guinea,8,0,0,0,0,0,garlic
360,Indonesia,9,59010.29893291369,81804.6,106345980000,327218400,4499253000,garlic
032,Argentina,10,117929.92969622799,153058.6999999996,198976309999.99948,612234799.9999985,8418228499.999978,garlic
152,Chile,11,23156.59882404816,27199.51000000005,35359363000.00006,108798040.0000002,1495973050.0000026,garlic
180,Democratic Republic of the Congo,12,0.12972721457481384,0,0,0,0,garlic
706,Somalia,13,1.2884684801101685,0,0,0,0,garlic
404,Kenya,14,2113.4631206225604,3860.000000000003,5018000000.000004,15440000.000000013,212300000.00000018,garlic
729,Sudan,15,10946.979479263071,0,0,0,0,garlic
148,Chad,16,19.286011219024658,0,0,0,0,garlic
332,Haiti,17,503.26640072464943,1028.7400000000005,1337362000.0000005,4114960.000000002,56580700.00000002,garlic
214,Dominican Republic,18,5004.456737481058,2124.0099999999998,2761212999.9999995,8496039.999999998,116820549.99999999,garlic
643,Russia,19,204028.24949954907,189659.29999999888,246557089999.99854,758637199.9999956,10431261499.999939,garlic
044,The Bahamas,20,0,0,0,0,0,garlic
238,United Kingdom,21,0,0,0,0,0,garlic
578,Norway,22,0,0,0,0,0,garlic
304,Denmark,23,0,0,0,0,0,garlic
260,France,24,0,0,0,0,0,garlic
626,East Timor,25,252.45775267481804,393.4899999999999,511536999.9999999,1573959.9999999998,21641949.999999996,garlic
710,South Africa,26,0,0,0,0,0,garlic
426,Lesotho,27,0,0,0,0,0,garlic
484,Mexico,28,55823.10202709915,86688.12999999998,112694568999.99997,346752519.99999994,4767847149.999999,garlic
858,Uruguay,29,1782.8872803666454,904.3000000000005,1175590000.0000007,3617200.0000000023,49736500.00000003,garlic
076,Brazil,30,85022.97213095757,155740.9999999996,202463299999.99948,622963999.9999985,8565754999.999978,garlic
068,Bolivia,31,7830.982345547527,2475.9999999999995,3218799999.9999995,9903999.999999998,136179999.99999997,garlic
604,Peru,32,44695.287377903005,90717.3399999998,117932541999.99974,362869359.9999992,4989453699.999989,garlic
170,Colombia,33,24.361425058004556,8587.249999999998,11163424999.999998,34348999.99999999,472298749.99999994,garlic
591,Panama,34,0,0,0,0,0,garlic
188,Costa Rica,35,0,0,0,0,0,garlic
558,Nicaragua,36,0.4491693266900256,0,0,0,0,garlic
340,Honduras,37,78.64765902518411,191.95000000000013,249535000.00000018,767800.0000000006,10557250.000000007,garlic
222,El Salvador,38,5.535965174436569,0,0,0,0,garlic
320,Guatemala,39,5213.506264649332,29817.12999999998,38762268999.99998,119268519.99999994,1639942149.999999,garlic
084,Belize,40,0.4543759450316429,0,0,0,0,garlic
862,Venezuela,41,10789.362811983607,13818.519999999988,17964075999.999985,55274079.999999955,760018599.9999993,garlic
328,Guyana,42,0.29979095607995987,0,0,0,0,garlic
740,Suriname,43,0,0,0,0,0,garlic
250,France,44,34230.80944935419,30279.99999999994,39363999999.99992,121119999.99999976,1665399999.9999967,garlic
218,Ecuador,45,626.1174741798523,1279.9400000000003,1663922000.0000005,5119760.000000002,70396700.00000001,garlic
630,United States of America,46,0,0,0,0,0,garlic
388,Jamaica,47,0,0,0,0,0,garlic
192,Cuba,48,26990.35314964503,12094.299999999988,15722589999.999985,48377199.999999955,665186499.9999993,garlic
716,Zimbabwe,49,0,0,0,0,0,garlic
072,Botswana,50,0,0,0,0,0,garlic
516,Namibia,51,0,0,0,0,0,garlic
686,Senegal,52,0,0,0,0,0,garlic
466,Mali,53,2.211651347577572,14944.86,19428318000,59779440,821967300,garlic
478,Mauritania,54,0,0,0,0,0,garlic
204,Benin,55,5.647294044494629,0,0,0,0,garlic
562,Niger,56,6704.792827665806,12311.580000000024,16005054000.00003,49246320.0000001,677136900.0000013,garlic
566,Nigeria,57,120.33148509263992,2208.0800000000004,2870504000.0000005,8832320.000000002,121444400.00000001,garlic
120,Cameroon,58,0,0,0,0,0,garlic
768,Togo,59,0,0,0,0,0,garlic
288,Ghana,60,0,0,0,0,0,garlic
384,Ivory Coast,61,0,0,0,0,0,garlic
324,Guinea,62,0,0,0,0,0,garlic
624,Guinea-Bissau,63,0,0,0,0,0,garlic
430,Liberia,64,0,0,0,0,0,garlic
694,Sierra Leone,65,0,0,0,0,0,garlic
854,Burkina Faso,66,16.571646440774202,0,0,0,0,garlic
140,Central African Republic,67,7.658518612384796,0,0,0,0,garlic
178,Republic of the Congo,68,0,0,0,0,0,garlic
266,Gabon,69,0,0,0,0,0,garlic
226,Equatorial Guinea,70,0,0,0,0,0,garlic
894,Zambia,71,5.450096249580383,0,0,0,0,garlic
454,Malawi,72,7.227444652467966,0,0,0,0,garlic
508,Mozambique,73,6.346507556241704,0,0,0,0,garlic
748,eSwatini,74,0,0,0,0,0,garlic
024,Angola,75,0,0,0,0,0,garlic
108,Burundi,76,4.743349760770798,0,0,0,0,garlic
376,Israel,77,3648.0872416496277,1168.9999999999993,1519699999.999999,4675999.999999997,64294999.999999955,garlic
422,Lebanon,78,12423.058724284172,2860.000000000002,3718000000.0000024,11440000.000000007,157300000.0000001,garlic
450,Madagascar,79,790.2073049208266,2580.0900000000115,3354117000.000015,10320360.000000047,141904950.00000063,garlic
275,Israel,80,1691.648734152317,807.0899999999999,1049216999.9999999,3228360,44389949.99999999,garlic
270,Gambia,81,0,0,0,0,0,garlic
788,Tunisia,82,5886.414378166199,24974.489999999998,32466836999.999996,99897960,1373596949.9999998,garlic
012,Algeria,83,32044.199071526527,170929.5999999998,222208479999.99976,683718399.9999993,9401127999.999989,garlic
400,Jordan,84,3847.847759246826,2099.000000000001,2728700000.000001,8396000.000000004,115445000.00000004,garlic
784,United Arab Emirates,85,0,0,0,0,0,garlic
634,Qatar,86,0,0,0,0,0,garlic
414,Kuwait,87,418.75623989105225,490.00000000000006,637000000.0000001,1960000.0000000005,26950000.000000004,garlic
368,Iraq,88,274.4194516837597,4182,5436600000,16728000,230010000,garlic
512,Oman,89,0,0,0,0,0,garlic
548,Vanuatu,90,0,0,0,0,0,garlic
116,Cambodia,91,348.20456552505493,0,0,0,0,garlic
764,Thailand,92,115987.28552932851,76839.09000000024,99890817000.0003,307356360.00000095,4226149950.0000134,garlic
418,Laos,93,623.1268482804298,0,0,0,0,garlic
104,Myanmar,94,62654.19850893505,209799.9999999993,272739999999.9991,839199999.9999973,11538999999.999962,garlic
704,Vietnam,95,1937.4078488051891,0,0,0,0,garlic
408,North Korea,96,80102.28973406553,74187.35000000003,96443555000.00005,296749400.0000002,4080304250.000002,garlic
410,South Korea,97,374621.9502003193,363432.00000000035,472461600000.0004,1453728000.0000014,19988760000.00002,garlic
496,Mongolia,98,12.49900341720786,0,0,0,0,garlic
356,India,99,492502.1981408886,2924999.999999964,3802499999999.9536,11699999999.999857,160874999999.99802,garlic
050,Bangladesh,100,39228.44134901464,485446.9999999995,631081099999.9994,1941787999.999998,26699584999.999973,garlic
064,Bhutan,101,5.90588665404357,691,898300000,2764000,38005000,garlic
524,Nepal,102,8194.66599552786,73859.00000000003,96016700000.00003,295436000.0000001,4062245000.0000014,garlic
586,Pakistan,103,53748.46964641893,85642.00000000025,111334600000.00032,342568000.000001,4710310000.000013,garlic
004,Afghanistan,104,193.53872456774116,0,0,0,0,garlic
762,Tajikistan,105,722.5020884406986,17428.649999999965,22657244999.999954,69714599.99999987,958575749.9999981,garlic
417,Kyrgyzstan,106,20136.057659727056,68349.99999999991,88854999999.9999,273399999.9999997,3759249999.999995,garlic
795,Turkmenistan,107,959.3859899365343,3145.8399999999992,4089591999.999999,12583359.999999998,173021199.99999997,garlic
364,Iran,108,65337.70219053328,59282.41999999999,77067145999.99998,237129679.99999997,3260533099.9999995,garlic
760,Syria,109,25948.82792586088,53654.00000000002,69750200000.00003,214616000.00000012,2950970000.0000014,garlic
051,Armenia,110,5627.651565775275,8632.8,11222640000,34531200,474804000,garlic
752,Sweden,111,0,0,0,0,0,garlic
112,Belarus,112,75.72493343055248,21625.999999999996,28113799999.999996,86504000,1189429999.9999998,garlic
804,Ukraine,113,94568.44214306027,211680.00000000055,275184000000.00073,846720000.0000023,11642400000.00003,garlic
616,Poland,114,69.5245760679245,0,0,0,0,garlic
040,Austria,115,60.93142518401146,1319.9999999999998,1715999999.9999998,5280000,72599999.99999999,garlic
348,Hungary,116,11905.225518554449,5209.999999999995,6772999999.999994,20839999.999999985,286549999.99999976,garlic
498,Moldova,117,7768.197004646063,7382.000000000003,9596600000.000004,29528000.000000015,406010000.0000002,garlic
642,Romania,118,71809.25538968295,31560.000000000015,41028000000.000015,126240000.00000006,1735800000.0000007,garlic
440,Lithuania,119,550.4969205914531,1020.0000000000008,1326000000.000001,4080000.0000000033,56100000.000000045,garlic
428,Latvia,120,509.2081284499727,1599.9999999999986,2079999999.9999983,6399999.999999995,87999999.99999993,garlic
233,Estonia,121,160.47319193836302,210.00000000000003,273000000.00000006,840000.0000000002,11550000.000000002,garlic
276,Germany,122,835.2703291028738,0,0,0,0,garlic
100,Bulgaria,123,21057.846562996507,1600.0000000000007,2080000000.000001,6400000.000000004,88000000.00000004,garlic
300,Greece,124,12092.041689425707,7769.999999999997,10100999999.999996,31079999.99999999,427349999.9999998,garlic
792,Turkey,125,103172.14535615966,28552.000000000004,37117600000.00001,114208000.00000003,1570360000.0000002,garlic
008,Albania,126,135.3658788204193,20722,26938600000,82888000,1139710000,garlic
191,Croatia,127,9726.391992107034,1970.000000000001,2561000000.000001,7880000.000000004,108350000.00000004,garlic
756,Switzerland,128,54.64700446277857,175,227500000,700000,9625000,garlic
442,Luxembourg,129,9.505308628082275,0,0,0,0,garlic
056,Belgium,130,443.3612765073776,0,0,0,0,garlic
528,Netherlands,131,10269.231791168451,2539.9999999999986,3301999999.999998,10159999.999999994,139699999.9999999,garlic
620,Portugal,132,1296.4924231134355,12250,15925000000,49000000,673750000,garlic
724,Spain,133,177295.55394260585,269089.9999999994,349816999999.99927,1076359999.9999979,14799949999.99997,garlic
372,Ireland,134,0,0,0,0,0,garlic
540,France,135,0,0,0,0,0,garlic
090,Solomon Islands,136,0,0,0,0,0,garlic
554,New Zealand,137,1270.8207268938422,1932.5199999999984,2512275999.999998,7730079.999999994,106288599.99999991,garlic
036,Australia,138,0,0,0,0,0,garlic
144,Sri Lanka,139,0,0,0,0,0,garlic
156,China,140,7164442.287745846,21457871.329999704,27895232728999.613,85831485319.99883,1180182923149.9836,garlic
158,Taiwan,141,37941.281019032,51633.99999999997,67124199999.99996,206535999.99999988,2839869999.9999986,garlic
380,Italy,142,27860.934606045485,27969.999999999996,36360999999.99999,111879999.99999999,1538349999.9999998,garlic
208,Denmark,143,0,0,0,0,0,garlic
826,United Kingdom,144,0,0,0,0,0,garlic
352,Iceland,145,0,0,0,0,0,garlic
031,Azerbaijan,146,12516.76594408229,26214.400000000005,34078720000.000008,104857600.00000003,1441792000.0000002,garlic
268,Georgia,147,83.20215930789709,2700,3510000000,10800000,148500000,garlic
608,Philippines,148,12628.347151339054,6766.620000000006,8796606000.000008,27066480.000000026,372164100.00000036,garlic
458,Malaysia,149,248.00190311670303,0,0,0,0,garlic
096,Brunei,150,0,0,0,0,0,garlic
705,Slovenia,151,492.2592990472913,1070.0000000000007,1391000000.000001,4280000.000000003,58850000.000000045,garlic
246,Finland,152,5.586965709924698,109.99999999999999,142999999.99999997,439999.99999999994,6049999.999999999,garlic
703,Slovakia,153,4831.812465436757,889.9999999999998,1156999999.9999998,3559999.9999999995,48949999.99999999,garlic
203,Czechia,154,4934.172068148851,2019.9999999999998,2625999999.9999995,8079999.999999999,111099999.99999999,garlic
232,Eritrea,155,26.866212125867605,0,0,0,0,garlic
392,Japan,156,0,0,0,0,0,garlic
600,Paraguay,157,1069.898981945565,235.9999999999998,306799999.99999976,943999.9999999993,12979999.999999989,garlic
887,Yemen,158,11134.744162797928,3265.0200000000013,4244526000.000002,13060080.000000007,179576100.0000001,garlic
682,Saudi Arabia,159,9.580485582351685,0,0,0,0,garlic
010,Antarctica,160,0,0,0,0,0,garlic
-99,Northern Cyprus,161,110.17071080580354,0,0,0,0,garlic
196,Cyprus,162,103.98476208746433,0,0,0,0,garlic
504,Morocco,163,10482.29683357291,11953.300000000003,15539290000.000004,47813200.000000015,657431500.0000001,garlic
818,Egypt,164,202011.6030451283,377100,490230000000,1508400000,20740500000,garlic
434,Libya,165,3013.8090987205505,4699.999999999999,6109999999.999999,18799999.999999996,258499999.99999997,garlic
231,Ethiopia,166,43142.79722950794,114944.99999999991,149428499999.99988,459779999.99999964,6321974999.999994,garlic
262,Djibouti,167,0,0,0,0,0,garlic
-99,Somaliland,168,26.00645187497139,0,0,0,0,garlic
800,Uganda,169,51.02885930240154,0,0,0,0,garlic
646,Rwanda,170,0,0,0,0,0,garlic
070,Bosnia and Herzegovina,171,7341.57020367682,6185.999999999987,8041799999.999984,24743999.99999995,340229999.9999993,garlic
807,North Macedonia,172,4371.038445338607,4903.999999999997,6375199999.999996,19615999.99999999,269719999.9999998,garlic
688,Republic of Serbia,173,26719.85051435232,0,0,0,0,garlic
499,Montenegro,174,3220.275664538145,0,0,0,0,garlic
-99,Kosovo,175,3741.179404258728,0,0,0,0,garlic
780,Trinidad and Tobago,176,0,0,0,0,0,garlic
728,South Sudan,177,5263.26101154089,0,0,0,0,garlic
