ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,ginger
834,United Republic of Tanzania,2,0.08156373305246234,422.26,1465242200,25335600,38425660,ginger
732,Western Sahara,3,0,0,0,0,0,ginger
124,Canada,4,0,0,0,0,0,ginger
840,United States of America,5,0,0,0,0,0,ginger
398,Kazakhstan,6,114.57004696808872,0,0,0,0,ginger
860,Uzbekistan,7,0,0,0,0,0,ginger
598,Papua New Guinea,8,0,0,0,0,0,ginger
360,Indonesia,9,116249.40566084534,183517.99999999756,636807459999.9915,11011079999.999853,16700137999.999775,ginger
032,Argentina,10,0,0,0,0,0,ginger
152,Chile,11,0,0,0,0,0,ginger
180,Democratic Republic of the Congo,12,0.14042456762399524,0,0,0,0,ginger
706,Somalia,13,0.10382757429033518,0,0,0,0,ginger
404,Kenya,14,168.36765418987488,1694.879999999999,5881233599.999996,101692799.99999994,154234079.99999988,ginger
729,Sudan,15,1.699333667755127,0,0,0,0,ginger
148,Chad,16,0,0,0,0,0,ginger
332,Haiti,17,41.84245777130127,0,0,0,0,ginger
214,Dominican Republic,18,1334.2302657607943,199.76999999999998,693201899.9999999,11986199.999999998,18179069.999999996,ginger
643,Russia,19,6181.29289795759,0,0,0,0,ginger
044,The Bahamas,20,0,0,0,0,0,ginger
238,United Kingdom,21,0,0,0,0,0,ginger
578,Norway,22,0,0,0,0,0,ginger
304,Denmark,23,0,0,0,0,0,ginger
260,France,24,0,0,0,0,0,ginger
626,East Timor,25,3.955381751060486,0,0,0,0,ginger
710,South Africa,26,0,0,0,0,0,ginger
426,Lesotho,27,0,0,0,0,0,ginger
484,Mexico,28,0,0,0,0,0,ginger
858,Uruguay,29,0,0,0,0,0,ginger
076,Brazil,30,0,0,0,0,0,ginger
068,Bolivia,31,0,0,0,0,0,ginger
604,Peru,32,0,0,0,0,0,ginger
170,Colombia,33,0,0,0,0,0,ginger
591,Panama,34,22.25807762145996,0,0,0,0,ginger
188,Costa Rica,35,7135.652108967304,5900.000000000002,20473000000.000004,354000000.0000001,536900000.0000001,ginger
558,Nicaragua,36,0,0,0,0,0,ginger
340,Honduras,37,0,0,0,0,0,ginger
222,El Salvador,38,0,0,0,0,0,ginger
320,Guatemala,39,0,0,0,0,0,ginger
084,Belize,40,0,0,0,0,0,ginger
862,Venezuela,41,0,0,0,0,0,ginger
328,Guyana,42,0,0,0,0,0,ginger
740,Suriname,43,0,0,0,0,0,ginger
250,France,44,1.188285073498264,0,0,0,0,ginger
218,Ecuador,45,0,0,0,0,0,ginger
630,United States of America,46,0,0,0,0,0,ginger
388,Jamaica,47,547.5306182950735,869,3015430000,52140000,79079000,ginger
192,Cuba,48,0,0,0,0,0,ginger
716,Zimbabwe,49,0,0,0,0,0,ginger
072,Botswana,50,0,0,0,0,0,ginger
516,Namibia,51,0,0,0,0,0,ginger
686,Senegal,52,0,0,0,0,0,ginger
466,Mali,53,0,0,0,0,0,ginger
478,Mauritania,54,0,0,0,0,0,ginger
204,Benin,55,88.01830089092255,0,0,0,0,ginger
562,Niger,56,425.8099264353514,0,0,0,0,ginger
566,Nigeria,57,86330.28129187599,681390.0000000021,2364423300000.0073,40883400000.00012,62006490000.00019,ginger
120,Cameroon,58,2852.067159318016,55428.000000000015,192335160000.00003,3325680000.000001,5043948000.000001,ginger
768,Togo,59,1.0557636665180326,0,0,0,0,ginger
288,Ghana,60,59.74349035116029,95.59000000000009,331697300.0000003,5735400.000000006,8698690.000000007,ginger
384,Ivory Coast,61,0.12881010526325554,6899.95,23942826500,413997000,627895450,ginger
324,Guinea,62,0,0,0,0,0,ginger
624,Guinea-Bissau,63,0,0,0,0,0,ginger
430,Liberia,64,0,0,0,0,0,ginger
694,Sierra Leone,65,0,0,0,0,0,ginger
854,Burkina Faso,66,0.08420017408207059,0,0,0,0,ginger
140,Central African Republic,67,0,0,0,0,0,ginger
178,Republic of the Congo,68,0,0,0,0,0,ginger
266,Gabon,69,0,0,0,0,0,ginger
226,Equatorial Guinea,70,0,0,0,0,0,ginger
894,Zambia,71,0,0,0,0,0,ginger
454,Malawi,72,0,0,0,0,0,ginger
508,Mozambique,73,0,0,0,0,0,ginger
748,eSwatini,74,0,0,0,0,0,ginger
024,Angola,75,0,0,0,0,0,ginger
108,Burundi,76,0,0,0,0,0,ginger
376,Israel,77,1001.0110243447125,0,0,0,0,ginger
422,Lebanon,78,304.4303429131396,0,0,0,0,ginger
450,Madagascar,79,28.83851275478446,490.00000000000045,1700300000.0000017,29400000.00000003,44590000.00000004,ginger
275,Israel,80,48.2042320612818,0,0,0,0,ginger
270,Gambia,81,0,0,0,0,0,ginger
788,Tunisia,82,0,0,0,0,0,ginger
012,Algeria,83,0,0,0,0,0,ginger
400,Jordan,84,9.50606918334961,0,0,0,0,ginger
784,United Arab Emirates,85,0,0,0,0,0,ginger
634,Qatar,86,0,0,0,0,0,ginger
414,Kuwait,87,0,0,0,0,0,ginger
368,Iraq,88,219.13844879716635,0,0,0,0,ginger
512,Oman,89,0,0,0,0,0,ginger
548,Vanuatu,90,0,0,0,0,0,ginger
116,Cambodia,91,85.93274015188217,0,0,0,0,ginger
764,Thailand,92,28584.12106450461,169367.40999999928,587704912699.9976,10162044599.999958,15412434309.999935,ginger
418,Laos,93,151.65460184961557,0,0,0,0,ginger
104,Myanmar,94,309.420631127432,0,0,0,0,ginger
704,Vietnam,95,86.40234580636024,0,0,0,0,ginger
408,North Korea,96,104.1105829924345,0,0,0,0,ginger
410,South Korea,97,5645.85856054537,31538.000000000055,109436860000.00018,1892280000.0000033,2869958000.000005,ginger
496,Mongolia,98,3.9203530652448535,0,0,0,0,ginger
356,India,99,237208.03444710988,1868000.0000000095,6481960000000.033,112080000000.00058,169988000000.00085,ginger
050,Bangladesh,100,36339.74323730171,84887.00000000013,294557890000.0004,5093220000.000008,7724717000.000011,ginger
064,Bhutan,101,2642.339381236816,8890.06,30848508200,533403600,808995460,ginger
524,Nepal,102,73816.63533211996,298945.00000000006,1037339150000.0001,17936700000.000004,27203995000.000004,ginger
586,Pakistan,103,26.85138620748512,1.9999999999999916,6939999.999999971,119999.9999999995,181999.99999999924,ginger
004,Afghanistan,104,39.21156910118816,0,0,0,0,ginger
762,Tajikistan,105,0.1168849766254425,0,0,0,0,ginger
417,Kyrgyzstan,106,0.5200721845030785,0,0,0,0,ginger
795,Turkmenistan,107,72.87901043146849,0,0,0,0,ginger
364,Iran,108,26327.175558340095,0,0,0,0,ginger
760,Syria,109,54285.51461931318,0,0,0,0,ginger
051,Armenia,110,35.196066468954086,0,0,0,0,ginger
752,Sweden,111,0,0,0,0,0,ginger
112,Belarus,112,2.2674662384670228,0,0,0,0,ginger
804,Ukraine,113,1886.499775019125,0,0,0,0,ginger
616,Poland,114,0.3678184896707535,0,0,0,0,ginger
040,Austria,115,0.871909536421299,0,0,0,0,ginger
348,Hungary,116,2967.0096220374107,0,0,0,0,ginger
498,Moldova,117,53.004855781793594,0,0,0,0,ginger
642,Romania,118,9651.71534305904,0,0,0,0,ginger
440,Lithuania,119,1.1148529089987278,0,0,0,0,ginger
428,Latvia,120,0.3109314814209938,0,0,0,0,ginger
233,Estonia,121,0.8051245538517833,0,0,0,0,ginger
276,Germany,122,8.94568307697773,0,0,0,0,ginger
100,Bulgaria,123,22534.815812252462,0,0,0,0,ginger
300,Greece,124,457.7846845125023,0,0,0,0,ginger
792,Turkey,125,30938.160517239012,0,0,0,0,ginger
008,Albania,126,3.901569187641144,0,0,0,0,ginger
191,Croatia,127,40.11650592088699,0,0,0,0,ginger
756,Switzerland,128,0,0,0,0,0,ginger
442,Luxembourg,129,0,0,0,0,0,ginger
056,Belgium,130,4.660696975886822,0,0,0,0,ginger
528,Netherlands,131,123.73614467121661,0,0,0,0,ginger
620,Portugal,132,0.7306783916428685,0,0,0,0,ginger
724,Spain,133,1572.2380398668465,0,0,0,0,ginger
372,Ireland,134,0,0,0,0,0,ginger
540,France,135,0,0,0,0,0,ginger
090,Solomon Islands,136,0,0,0,0,0,ginger
554,New Zealand,137,0,0,0,0,0,ginger
036,Australia,138,0,0,0,0,0,ginger
144,Sri Lanka,139,6650.076298892498,42019.19999999997,145806623999.9999,2521151999.999998,3823747199.999997,ginger
156,China,140,216246.63534564438,622465.6000000031,2159955632000.011,37347936000.00019,56644369600.00028,ginger
158,Taiwan,141,28721.857062488794,22343.660000000007,77532500200.00002,1340619600.0000005,2033273060.0000005,ginger
380,Italy,142,0,0,0,0,0,ginger
208,Denmark,143,86.8297157343477,0,0,0,0,ginger
826,United Kingdom,144,0,0,0,0,0,ginger
352,Iceland,145,0,0,0,0,0,ginger
031,Azerbaijan,146,423.6216464145109,0,0,0,0,ginger
268,Georgia,147,8.706790153635666,0,0,0,0,ginger
608,Philippines,148,18698.5749271065,27126.479999999996,94128885599.99998,1627588799.9999995,2468509679.9999995,ginger
