ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,gooseberry
834,United Republic of Tanzania,2,0,0,0,0,0,gooseberry
732,Western Sahara,3,0,0,0,0,0,gooseberry
124,Canada,4,3420.972994772653,0,0,0,0,gooseberry
840,United States of America,5,6048.044091913799,0,0,0,0,gooseberry
398,Kazakhstan,6,35.970406692194395,0,0,0,0,gooseberry
860,Uzbekistan,7,1.896714803937357,0,0,0,0,gooseberry
598,Papua New Guinea,8,0,0,0,0,0,gooseberry
360,Indonesia,9,0,0,0,0,0,gooseberry
032,Argentina,10,0,0,0,0,0,gooseberry
152,Chile,11,0,0,0,0,0,gooseberry
180,Democratic Republic of the Congo,12,0,0,0,0,0,gooseberry
706,Somalia,13,0,0,0,0,0,gooseberry
404,Kenya,14,0,0,0,0,0,gooseberry
729,Sudan,15,0,0,0,0,0,gooseberry
148,Chad,16,0,0,0,0,0,gooseberry
332,Haiti,17,0,0,0,0,0,gooseberry
214,Dominican Republic,18,0,0,0,0,0,gooseberry
643,Russia,19,37113.347250797284,72799.99999999988,32031999999.999947,436799999.9999993,655199999.9999989,gooseberry
044,The Bahamas,20,0,0,0,0,0,gooseberry
238,United Kingdom,21,0,0,0,0,0,gooseberry
578,Norway,22,91.85854343980235,0,0,0,0,gooseberry
304,Denmark,23,0,0,0,0,0,gooseberry
260,France,24,0,0,0,0,0,gooseberry
626,East Timor,25,0,0,0,0,0,gooseberry
710,South Africa,26,0.5144388070330024,0,0,0,0,gooseberry
426,Lesotho,27,0,0,0,0,0,gooseberry
484,Mexico,28,176.02562035932326,0,0,0,0,gooseberry
858,Uruguay,29,0,0,0,0,0,gooseberry
076,Brazil,30,0,0,0,0,0,gooseberry
068,Bolivia,31,0,0,0,0,0,gooseberry
604,Peru,32,0,0,0,0,0,gooseberry
170,Colombia,33,0,0,0,0,0,gooseberry
591,Panama,34,0,0,0,0,0,gooseberry
188,Costa Rica,35,0,0,0,0,0,gooseberry
558,Nicaragua,36,0,0,0,0,0,gooseberry
340,Honduras,37,0,0,0,0,0,gooseberry
222,El Salvador,38,0,0,0,0,0,gooseberry
320,Guatemala,39,0.1319462651736103,0,0,0,0,gooseberry
084,Belize,40,0,0,0,0,0,gooseberry
862,Venezuela,41,0,0,0,0,0,gooseberry
328,Guyana,42,0,0,0,0,0,gooseberry
740,Suriname,43,0,0,0,0,0,gooseberry
250,France,44,22.3411793038249,0,0,0,0,gooseberry
218,Ecuador,45,0,0,0,0,0,gooseberry
630,United States of America,46,0,0,0,0,0,gooseberry
388,Jamaica,47,0,0,0,0,0,gooseberry
192,Cuba,48,0,0,0,0,0,gooseberry
716,Zimbabwe,49,44.24476291111205,0,0,0,0,gooseberry
072,Botswana,50,0.2000593647826463,0,0,0,0,gooseberry
516,Namibia,51,0,0,0,0,0,gooseberry
686,Senegal,52,0,0,0,0,0,gooseberry
466,Mali,53,0,0,0,0,0,gooseberry
478,Mauritania,54,0,0,0,0,0,gooseberry
204,Benin,55,0,0,0,0,0,gooseberry
562,Niger,56,0,0,0,0,0,gooseberry
566,Nigeria,57,0,0,0,0,0,gooseberry
120,Cameroon,58,0,0,0,0,0,gooseberry
768,Togo,59,0,0,0,0,0,gooseberry
288,Ghana,60,0,0,0,0,0,gooseberry
384,Ivory Coast,61,0,0,0,0,0,gooseberry
324,Guinea,62,0,0,0,0,0,gooseberry
624,Guinea-Bissau,63,0,0,0,0,0,gooseberry
430,Liberia,64,0,0,0,0,0,gooseberry
694,Sierra Leone,65,0,0,0,0,0,gooseberry
854,Burkina Faso,66,0,0,0,0,0,gooseberry
140,Central African Republic,67,0,0,0,0,0,gooseberry
178,Republic of the Congo,68,0,0,0,0,0,gooseberry
266,Gabon,69,0,0,0,0,0,gooseberry
226,Equatorial Guinea,70,0,0,0,0,0,gooseberry
894,Zambia,71,0.014221413526684046,0,0,0,0,gooseberry
454,Malawi,72,0,0,0,0,0,gooseberry
508,Mozambique,73,0.8118067055474967,0,0,0,0,gooseberry
748,eSwatini,74,0,0,0,0,0,gooseberry
024,Angola,75,0,0,0,0,0,gooseberry
108,Burundi,76,0,0,0,0,0,gooseberry
376,Israel,77,183.30312275886536,0,0,0,0,gooseberry
422,Lebanon,78,353.94929077103734,0,0,0,0,gooseberry
450,Madagascar,79,0,0,0,0,0,gooseberry
275,Israel,80,96.53544248268008,0,0,0,0,gooseberry
270,Gambia,81,0,0,0,0,0,gooseberry
788,Tunisia,82,0,0,0,0,0,gooseberry
012,Algeria,83,0.008964368840679526,0,0,0,0,gooseberry
400,Jordan,84,56.481378740631044,0,0,0,0,gooseberry
784,United Arab Emirates,85,0,0,0,0,0,gooseberry
634,Qatar,86,0,0,0,0,0,gooseberry
414,Kuwait,87,14.115999162197113,0,0,0,0,gooseberry
368,Iraq,88,12.195347968488932,0,0,0,0,gooseberry
512,Oman,89,0,0,0,0,0,gooseberry
548,Vanuatu,90,0,0,0,0,0,gooseberry
116,Cambodia,91,0,0,0,0,0,gooseberry
764,Thailand,92,0,0,0,0,0,gooseberry
418,Laos,93,2.2988638374954462e-4,0,0,0,0,gooseberry
104,Myanmar,94,0.16743693613352661,0,0,0,0,gooseberry
704,Vietnam,95,0.18925845952617237,0,0,0,0,gooseberry
408,North Korea,96,45.00383848846832,0,0,0,0,gooseberry
410,South Korea,97,6332.033725563437,0,0,0,0,gooseberry
496,Mongolia,98,1.1703739745540833,0,0,0,0,gooseberry
356,India,99,5.379771487623586e-5,0,0,0,0,gooseberry
050,Bangladesh,100,0,0,0,0,0,gooseberry
064,Bhutan,101,0,0,0,0,0,gooseberry
524,Nepal,102,0,0,0,0,0,gooseberry
586,Pakistan,103,0,0,0,0,0,gooseberry
004,Afghanistan,104,4.037532432004809,0,0,0,0,gooseberry
762,Tajikistan,105,0.6739409428855652,0,0,0,0,gooseberry
417,Kyrgyzstan,106,42.801168848935106,110.04000000000013,48417600.00000006,660240.0000000008,990360.0000000013,gooseberry
795,Turkmenistan,107,7.512531295418739,0,0,0,0,gooseberry
364,Iran,108,2717.836279924959,0,0,0,0,gooseberry
760,Syria,109,67.84252631664276,0,0,0,0,gooseberry
051,Armenia,110,5.4705931805074215,0,0,0,0,gooseberry
752,Sweden,111,1.1644380232319236,0,0,0,0,gooseberry
112,Belarus,112,64.07740521011874,0,0,0,0,gooseberry
804,Ukraine,113,6129.37556692888,8109.999999999999,3568399999.9999995,48659999.99999999,72989999.99999999,gooseberry
616,Poland,114,22159.584486450534,0,0,0,0,gooseberry
040,Austria,115,1744.8477144282733,0,0,0,0,gooseberry
348,Hungary,116,4485.180946817622,0,0,0,0,gooseberry
498,Moldova,117,149.06783308181912,33.00000000000001,14520000.000000002,198000.00000000003,297000.00000000006,gooseberry
642,Romania,118,102.17964210174978,0,0,0,0,gooseberry
440,Lithuania,119,296.6982896733098,0,0,0,0,gooseberry
428,Latvia,120,13.254932299256325,0,0,0,0,gooseberry
233,Estonia,121,733.7258158437908,0,0,0,0,gooseberry
276,Germany,122,66814.47682519152,0,0,0,0,gooseberry
100,Bulgaria,123,0,0,0,0,0,gooseberry
300,Greece,124,3.276531219482422,0,0,0,0,gooseberry
792,Turkey,125,9047.163358657155,0,0,0,0,gooseberry
008,Albania,126,0,0,0,0,0,gooseberry
191,Croatia,127,58.97271144390106,0,0,0,0,gooseberry
756,Switzerland,128,40.228727591224015,589.9999999999999,259599999.99999997,3539999.9999999995,5309999.999999999,gooseberry
442,Luxembourg,129,0,0,0,0,0,gooseberry
056,Belgium,130,10.700258493423462,0,0,0,0,gooseberry
528,Netherlands,131,191.19289684295654,0,0,0,0,gooseberry
620,Portugal,132,0,0,0,0,0,gooseberry
724,Spain,133,0,0,0,0,0,gooseberry
372,Ireland,134,2.2358149141073227,0,0,0,0,gooseberry
540,France,135,0,0,0,0,0,gooseberry
090,Solomon Islands,136,0,0,0,0,0,gooseberry
554,New Zealand,137,9.785874107692507,3.439999999999995,1513599.9999999977,20639.999999999967,30959.999999999956,gooseberry
036,Australia,138,0,0,0,0,0,gooseberry
144,Sri Lanka,139,0,0,0,0,0,gooseberry
156,China,140,728.6796050145117,0,0,0,0,gooseberry
158,Taiwan,141,371.89320805622265,0,0,0,0,gooseberry
380,Italy,142,4.821662682574242,0,0,0,0,gooseberry
208,Denmark,143,16.959870170639988,0,0,0,0,gooseberry
826,United Kingdom,144,1474.82224510191,2296.460000000005,1010442400.0000023,13778760.000000032,20668140.00000005,gooseberry
352,Iceland,145,0,0,0,0,0,gooseberry
031,Azerbaijan,146,53.49234244786203,0,0,0,0,gooseberry
268,Georgia,147,2.940664234571159,0,0,0,0,gooseberry
608,Philippines,148,0,0,0,0,0,gooseberry
458,Malaysia,149,0,0,0,0,0,gooseberry
096,Brunei,150,0,0,0,0,0,gooseberry
705,Slovenia,151,8.499556183815002,0,0,0,0,gooseberry
246,Finland,152,53.03769662769628,0,0,0,0,gooseberry
703,Slovakia,153,592.4899786636233,0,0,0,0,gooseberry
203,Czechia,154,6244.875867463648,0,0,0,0,gooseberry
232,Eritrea,155,0,0,0,0,0,gooseberry
392,Japan,156,6668.959998161532,0,0,0,0,gooseberry
600,Paraguay,157,0,0,0,0,0,gooseberry
887,Yemen,158,0,0,0,0,0,gooseberry
682,Saudi Arabia,159,0,0,0,0,0,gooseberry
010,Antarctica,160,0,0,0,0,0,gooseberry
-99,Northern Cyprus,161,0,0,0,0,0,gooseberry
196,Cyprus,162,0,0,0,0,0,gooseberry
504,Morocco,163,15.508076587870164,0,0,0,0,gooseberry
818,Egypt,164,0,0,0,0,0,gooseberry
434,Libya,165,0,0,0,0,0,gooseberry
231,Ethiopia,166,0,0,0,0,0,gooseberry
262,Djibouti,167,0,0,0,0,0,gooseberry
-99,Somaliland,168,0,0,0,0,0,gooseberry
800,Uganda,169,0,0,0,0,0,gooseberry
646,Rwanda,170,0,0,0,0,0,gooseberry
070,Bosnia and Herzegovina,171,0,0,0,0,0,gooseberry
807,North Macedonia,172,0,0,0,0,0,gooseberry
688,Republic of Serbia,173,6.547872304916382,0,0,0,0,gooseberry
499,Montenegro,174,0,0,0,0,0,gooseberry
-99,Kosovo,175,0,0,0,0,0,gooseberry
780,Trinidad and Tobago,176,0,0,0,0,0,gooseberry
728,South Sudan,177,0,0,0,0,0,gooseberry
