ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,grape
834,United Republic of Tanzania,2,11908.575935449451,4948.160000000007,2622524800.000004,19792640.00000003,24740800.000000037,grape
732,Western Sahara,3,0,0,0,0,0,grape
124,Canada,4,62060.00165706314,104708.99999999993,55495769999.99996,418835999.99999976,523544999.99999964,grape
840,United States of America,5,6183120.34036228,5479399.999999967,2904081999999.9824,21917599999.99987,27396999999.999836,grape
398,Kazakhstan,6,37827.592668126475,95060.94999999995,50382303499.99998,380243799.9999998,475304749.99999976,grape
860,Uzbekistan,7,468720.4186389744,1606942.0000000019,851679260000.001,6427768000.000008,8034710000.00001,grape
598,Papua New Guinea,8,0,0,0,0,0,grape
360,Indonesia,9,0,0,0,0,0,grape
032,Argentina,10,2259747.6878597597,2055746.000000004,1089545380000.0021,8222984000.000015,10278730000.00002,grape
152,Chile,11,1759091.3242511097,2434664.0299999914,1290371935899.9954,9738656119.999966,12173320149.999956,grape
180,Democratic Republic of the Congo,12,0,0,0,0,0,grape
706,Somalia,13,0.015574121847748756,0,0,0,0,grape
404,Kenya,14,46.36024135351181,0,0,0,0,grape
729,Sudan,15,5.910247229039669,0,0,0,0,grape
148,Chad,16,0,0,0,0,0,grape
332,Haiti,17,0,0,0,0,0,grape
214,Dominican Republic,18,0,0,0,0,0,grape
643,Russia,19,196347.30310573106,681908.2999999984,361411398999.99915,2727633199.999994,3409541499.999992,grape
044,The Bahamas,20,0,0,0,0,0,grape
238,United Kingdom,21,0,0,0,0,0,grape
578,Norway,22,0,0,0,0,0,grape
304,Denmark,23,0,0,0,0,0,grape
260,France,24,0,0,0,0,0,grape
626,East Timor,25,0,0,0,0,0,grape
710,South Africa,26,1349424.8740877672,2008242.0000000026,1064368260000.0015,8032968000.000011,10041210000.000013,grape
426,Lesotho,27,61.48681330308318,0,0,0,0,grape
484,Mexico,28,430453.2296717831,453520.1299999988,240365668899.99933,1814080519.9999952,2267600649.999994,grape
858,Uruguay,29,86375.06063729152,96825,51317250000,387300000,484125000,grape
076,Brazil,30,962159.3690927615,1435538.0000000042,760835140000.0022,5742152000.000017,7177690000.000021,grape
068,Bolivia,31,26276.91079732842,22235.000000000047,11784550000.000025,88940000.0000002,111175000.00000024,grape
604,Peru,32,105272.11143961689,733472.4599999998,388740403799.9999,2933889839.9999995,3667362299.999999,grape
170,Colombia,33,15573.455962126154,28008.81000000001,14844669300.000004,112035240.00000003,140044050.00000003,grape
