ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,grapefruitetc
834,United Republic of Tanzania,2,7.8458810448646545,0,0,0,0,grapefruitetc
732,Western Sahara,3,0,0,0,0,0,grapefruitetc
124,Canada,4,0,0,0,0,0,grapefruitetc
840,United States of America,5,2120478.3626013994,517099.9999999998,82735999999.99997,517099999.9999998,1551299999.9999993,grapefruitetc
398,Kazakhstan,6,100.5175607195124,0,0,0,0,grapefruitetc
860,Uzbekistan,7,987.7776141837239,2644.0500000000047,423048000.0000008,2644050.000000005,7932150.000000014,grapefruitetc
598,Papua New Guinea,8,0,0,0,0,0,grapefruitetc
360,Indonesia,9,26.291043043136597,0,0,0,0,grapefruitetc
032,Argentina,10,197090.36716095585,114000.0000000003,18240000000.00005,114000000.00000031,342000000.0000009,grapefruitetc
152,Chile,11,1.8152475878596306,1155.71,184913600,1155710,3467130,grapefruitetc
180,Democratic Republic of the Congo,12,9296.283238529228,9364.819999999994,1498371199.999999,9364819.999999994,28094459.99999998,grapefruitetc
706,Somalia,13,10901.275122776628,5885.449999999983,941671999.9999974,5885449.999999984,17656349.99999995,grapefruitetc
404,Kenya,14,14536.295609988272,2468.3499999999954,394935999.9999993,2468349.999999996,7405049.999999986,grapefruitetc
729,Sudan,15,38835.51781336032,0,0,0,0,grapefruitetc
148,Chad,16,89.06703796458896,0,0,0,0,grapefruitetc
332,Haiti,17,8576.538970172405,28144.000000000004,4503040000.000001,28144000.000000007,84432000.00000001,grapefruitetc
214,Dominican Republic,18,3136.729130677879,2864.559999999999,458329599.9999998,2864559.999999999,8593679.999999996,grapefruitetc
643,Russia,19,144.53387807682157,0,0,0,0,grapefruitetc
044,The Bahamas,20,0,0,0,0,0,grapefruitetc
238,United Kingdom,21,0,0,0,0,0,grapefruitetc
578,Norway,22,0,0,0,0,0,grapefruitetc
304,Denmark,23,0,0,0,0,0,grapefruitetc
260,France,24,0,0,0,0,0,grapefruitetc
626,East Timor,25,0,0,0,0,0,grapefruitetc
710,South Africa,26,250258.1184463054,349506.9999999994,55921119999.99991,349506999.99999946,1048520999.9999982,grapefruitetc
426,Lesotho,27,227.51226250827312,0,0,0,0,grapefruitetc
484,Mexico,28,234616.68510608593,490834.01999999885,78533443199.99982,490834019.99999887,1472502059.9999964,grapefruitetc
858,Uruguay,29,9512.174204441719,714.9999999999999,114399999.99999999,715000,2144999.9999999995,grapefruitetc
076,Brazil,30,64769.906453813725,84103.12999999928,13456500799.999884,84103129.99999928,252309389.9999978,grapefruitetc
068,Bolivia,31,29209.34841003042,3820.999999999996,611359999.9999994,3820999.9999999963,11462999.999999989,grapefruitetc
604,Peru,32,3949.647715768253,6347.239999999994,1015558399.999999,6347239.999999994,19041719.99999998,grapefruitetc
170,Colombia,33,23.235167654795873,0,0,0,0,grapefruitetc
591,Panama,34,27.745878219604492,0,0,0,0,grapefruitetc
188,Costa Rica,35,8894.97135490179,21536.539999999994,3445846399.999999,21536539.999999996,64609619.99999998,grapefruitetc
558,Nicaragua,36,129.9312706887722,0,0,0,0,grapefruitetc
340,Honduras,37,21515.159352473915,24037.760000000017,3846041600.000003,24037760.00000002,72113280.00000004,grapefruitetc
222,El Salvador,38,85.910919189453125,0,0,0,0,grapefruitetc
320,Guatemala,39,0.07028568536043167,0,0,0,0,grapefruitetc
084,Belize,40,51342.455672740936,5256.169999999998,840987199.9999998,5256169.999999999,15768509.999999994,grapefruitetc
862,Venezuela,41,9011.599044390876,7843.590000000003,1254974400.0000005,7843590.000000004,23530770.000000007,grapefruitetc
328,Guyana,42,727.6556220240891,1157.9999999999975,185279999.9999996,1157999.9999999977,3473999.9999999925,grapefruitetc
740,Suriname,43,849.6779823452234,1554.0000000000005,248640000.00000006,1554000.0000000005,4662000.000000001,grapefruitetc
250,France,44,4253.750130101806,8850.00000000001,1416000000.0000014,8850000.00000001,26550000.000000026,grapefruitetc
218,Ecuador,45,3728.8491388743532,4727.789999999994,756446399.9999989,4727789.9999999935,14183369.99999998,grapefruitetc
630,United States of America,46,596.5249064862728,535.42,85667200,535420,1606260,grapefruitetc
388,Jamaica,47,40422.383372306824,45405.770000000004,7264923200.000001,45405770.00000001,136217310,grapefruitetc
192,Cuba,48,190238.36549027613,11316.600000000004,1810656000.0000007,11316600.000000006,33949800.000000015,grapefruitetc
716,Zimbabwe,49,8178.556758359075,9693.96999999998,1551035199.9999967,9693969.99999998,29081909.999999937,grapefruitetc
072,Botswana,50,181.41795882955194,0,0,0,0,grapefruitetc
516,Namibia,51,0.23073039203882217,0,0,0,0,grapefruitetc
686,Senegal,52,0,0,0,0,0,grapefruitetc
466,Mali,53,1.1345190927386284,1006.0000000000002,160960000.00000003,1006000.0000000002,3018000.0000000005,grapefruitetc
478,Mauritania,54,0,0,0,0,0,grapefruitetc
204,Benin,55,0.7370533059583977,0,0,0,0,grapefruitetc
562,Niger,56,0.48456767352763563,0,0,0,0,grapefruitetc
566,Nigeria,57,0,0,0,0,0,grapefruitetc
120,Cameroon,58,1.3987146615982056,122.35,19576000,122350,367050,grapefruitetc
768,Togo,59,0.0431688018143177,0,0,0,0,grapefruitetc
288,Ghana,60,0.8781383614987135,0,0,0,0,grapefruitetc
384,Ivory Coast,61,0.24231883516767994,24944.750000000004,3991160000.0000005,24944750.000000004,74834250,grapefruitetc
324,Guinea,62,0,0,0,0,0,grapefruitetc
624,Guinea-Bissau,63,0,0,0,0,0,grapefruitetc
430,Liberia,64,0,0,0,0,0,grapefruitetc
694,Sierra Leone,65,0,0,0,0,0,grapefruitetc
854,Burkina Faso,66,109.70740772262798,253.63000000000028,40580800.000000045,253630.0000000003,760890.0000000008,grapefruitetc
140,Central African Republic,67,4153.422560039908,5525.54,884086400,5525540,16576620,grapefruitetc
178,Republic of the Congo,68,3279.4017440229654,5309.970000000001,849595200.0000002,5309970.000000002,15929910.000000004,grapefruitetc
266,Gabon,69,27.763688683509827,0,0,0,0,grapefruitetc
226,Equatorial Guinea,70,0,0,0,0,0,grapefruitetc
894,Zambia,71,71.64732178300619,0,0,0,0,grapefruitetc
454,Malawi,72,149.06765592098236,0,0,0,0,grapefruitetc
508,Mozambique,73,15736.625182478689,8786.31999999995,1405811199.9999921,8786319.999999952,26358959.99999985,grapefruitetc
748,eSwatini,74,35196.796461761,48080.18999999998,7692830399.999997,48080189.999999985,144240569.99999994,grapefruitetc
024,Angola,75,73.82053302228451,0,0,0,0,grapefruitetc
108,Burundi,76,7.70349907875061,0,0,0,0,grapefruitetc
376,Israel,77,88674.38935947418,145709.99999999994,23313599999.999992,145709999.99999997,437129999.9999998,grapefruitetc
422,Lebanon,78,12518.562082767487,9610.000000000005,1537600000.000001,9610000.000000006,28830000.00000002,grapefruitetc
450,Madagascar,79,8842.475165641867,12698.260000000037,2031721600.000006,12698260.000000037,38094780.00000011,grapefruitetc
275,Israel,80,47292.00606918335,926.9000000000001,148304000,926900,2780700,grapefruitetc
270,Gambia,81,0,0,0,0,0,grapefruitetc
788,Tunisia,82,52049.42425115779,102919.80000000003,16467168000.000006,102919800.00000004,308759400.0000001,grapefruitetc
012,Algeria,83,1519.4554594047368,1721.9999999999986,275519999.99999976,1721999.9999999986,5165999.999999995,grapefruitetc
400,Jordan,84,6789.277548193932,6493.000000000002,1038880000.0000002,6493000.000000002,19479000.000000004,grapefruitetc
784,United Arab Emirates,85,0,0,0,0,0,grapefruitetc
634,Qatar,86,0,0,0,0,0,grapefruitetc
414,Kuwait,87,0,0,0,0,0,grapefruitetc
368,Iraq,88,165.013780772686,225.53999999999996,36086399.99999999,225539.99999999997,676619.9999999999,grapefruitetc
512,Oman,89,0,0,0,0,0,grapefruitetc
548,Vanuatu,90,0,0,0,0,0,grapefruitetc
116,Cambodia,91,2845.8540558796376,3362.1800000000035,537948800.0000006,3362180.0000000037,10086540.000000011,grapefruitetc
764,Thailand,92,20220.533607929014,294925.15999999974,47188025599.99996,294925159.99999976,884775479.9999993,grapefruitetc
418,Laos,93,6087.289982367074,6338.430000000003,1014148800.0000005,6338430.000000004,19015290.000000007,grapefruitetc
104,Myanmar,94,269.0970328077674,0,0,0,0,grapefruitetc
704,Vietnam,95,14520.405889066868,931996.7300000017,149119476800.00027,931996730.0000018,2795990190.0000052,grapefruitetc
408,North Korea,96,91.5690188407898,0,0,0,0,grapefruitetc
410,South Korea,97,0,0,0,0,0,grapefruitetc
496,Mongolia,98,4.700320075033233,0,0,0,0,grapefruitetc
356,India,99,121747.92739591289,0,0,0,0,grapefruitetc
050,Bangladesh,100,14908.682900466025,81026.00000000003,12964160000.000004,81026000.00000003,243078000.00000006,grapefruitetc
064,Bhutan,101,2.7390384329482913,0,0,0,0,grapefruitetc
524,Nepal,102,121.11035921188886,0,0,0,0,grapefruitetc
586,Pakistan,103,67.92651543486863,0,0,0,0,grapefruitetc
004,Afghanistan,104,60.55700144125149,0,0,0,0,grapefruitetc
762,Tajikistan,105,9.036980755627155,0,0,0,0,grapefruitetc
417,Kyrgyzstan,106,4.925451289862394,0,0,0,0,grapefruitetc
795,Turkmenistan,107,115.25983335264027,0,0,0,0,grapefruitetc
364,Iran,108,40276.105072289705,87134.93000000021,13941588800.000034,87134930.00000022,261404790.00000063,grapefruitetc
