ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,greenbean
834,United Republic of Tanzania,2,876.9060313877417,5381.209999999999,2690604999.9999995,21524840,161436299.99999997,greenbean
732,Western Sahara,3,0,0,0,0,0,greenbean
124,Canada,4,52621.06228468657,52269.999999999905,26134999999.999954,209079999.99999964,1568099999.9999971,greenbean
840,United States of America,5,126278.0959336099,31852.369999999864,15926184999.999931,127409479.99999946,955571099.999996,greenbean
398,Kazakhstan,6,596.580265309869,2562.089999999999,1281044999.9999995,10248359.999999996,76862699.99999997,greenbean
860,Uzbekistan,7,1942.5782017253805,6818.26000000001,3409130000.0000052,27273040.000000045,204547800.0000003,greenbean
598,Papua New Guinea,8,111.40376381382521,140.87000000000018,70435000.00000009,563480.0000000008,4226100.000000006,greenbean
360,Indonesia,9,672250.9250821264,949665.2800000021,474832640000.00104,3798661120.0000086,28489958400.00006,greenbean
032,Argentina,10,3855.364267476392,3334.9100000000017,1667455000.0000007,13339640.000000007,100047300.00000004,greenbean
152,Chile,11,34178.49885397133,43816.91999999995,21908459999.999973,175267679.9999998,1314507599.9999983,greenbean
180,Democratic Republic of the Congo,12,327.6056907500315,4670.150000000011,2335075000.0000052,18680600.00000004,140104500.0000003,greenbean
706,Somalia,13,17.02241145959124,0,0,0,0,greenbean
404,Kenya,14,28593.417086185887,45544.13999999986,22772069999.99993,182176559.99999946,1366324199.999996,greenbean
729,Sudan,15,2.302432207390666,0,0,0,0,greenbean
148,Chad,16,32.472894640639424,0,0,0,0,greenbean
332,Haiti,17,0,0,0,0,0,greenbean
214,Dominican Republic,18,0,0,0,0,0,greenbean
643,Russia,19,162.07277073536534,0,0,0,0,greenbean
044,The Bahamas,20,0,0,0,0,0,greenbean
238,United Kingdom,21,0,0,0,0,0,greenbean
578,Norway,22,287.2044098299727,1109.8700000000003,554935000.0000002,4439480.000000002,33296100.00000001,greenbean
304,Denmark,23,0,0,0,0,0,greenbean
260,France,24,0,0,0,0,0,greenbean
626,East Timor,25,343.259324580431,3564.83,1782415000,14259320,106944900,greenbean
710,South Africa,26,34441.9296402242,22585.00000000012,11292500000.00006,90340000.00000048,677550000.0000036,greenbean
426,Lesotho,27,20.13228490203619,0,0,0,0,greenbean
484,Mexico,28,55197.49112294168,101956.28000000026,50978140000.00013,407825120.0000011,3058688400.0000076,greenbean
858,Uruguay,29,1080.5945769683458,1111.4099999999994,555704999.9999998,4445639.999999998,33342299.999999985,greenbean
076,Brazil,30,45.24730999043095,0,0,0,0,greenbean
068,Bolivia,31,39.17332445946522,1301.67,650835000,5206680,39050100,greenbean
604,Peru,32,18150.808824723354,13221.390000000074,6610695000.000037,52885560.0000003,396641700.00000226,greenbean
170,Colombia,33,11.547047012893017,0,0,0,0,greenbean
591,Panama,34,0,0,0,0,0,greenbean
188,Costa Rica,35,0,0,0,0,0,greenbean
558,Nicaragua,36,0,0,0,0,0,greenbean
340,Honduras,37,0,0,0,0,0,greenbean
222,El Salvador,38,0,0,0,0,0,greenbean
320,Guatemala,39,41.4394568502903,40000,20000000000,160000000,1200000000,greenbean
084,Belize,40,0,0,0,0,0,greenbean
862,Venezuela,41,0.7974601611495018,0,0,0,0,greenbean
328,Guyana,42,2116.0711364746094,8617.459999999985,4308729999.999992,34469839.99999994,258523799.99999955,greenbean
740,Suriname,43,578.2483063191175,2038.0000000000018,1019000000.000001,8152000.000000007,61140000.00000006,greenbean
250,France,44,111954.64757769555,336769.9999999981,168384999999.99905,1347079999.9999924,10103099999.999943,greenbean
218,Ecuador,45,13221.373383392187,12151.940000000013,6075970000.000007,48607760.00000006,364558200.0000004,greenbean
630,United States of America,46,0,0,0,0,0,greenbean
388,Jamaica,47,0,0,0,0,0,greenbean
192,Cuba,48,0,0,0,0,0,greenbean
716,Zimbabwe,49,0,0,0,0,0,greenbean
072,Botswana,50,13.240701111033559,0,0,0,0,greenbean
516,Namibia,51,0.04624836519360542,0,0,0,0,greenbean
686,Senegal,52,6894.100218310021,19560.000000000007,9780000000.000004,78240000.00000003,586800000.0000002,greenbean
466,Mali,53,893.2574889698662,4252.149999999989,2126074999.9999945,17008599.999999955,127564499.99999967,greenbean
478,Mauritania,54,91.4938228931278,0,0,0,0,greenbean
204,Benin,55,88.7091265253257,0,0,0,0,greenbean
562,Niger,56,19674.727073636837,30665.150000000016,15332575000.00001,122660600.00000007,919954500.0000005,greenbean
566,Nigeria,57,359.225870590657,0,0,0,0,greenbean
120,Cameroon,58,2384.2926761703566,4217.24,2108620000,16868960,126517200,greenbean
768,Togo,59,284.44310384988785,0,0,0,0,greenbean
288,Ghana,60,15944.59732047841,25024.010000000057,12512005000.000029,100096040.00000024,750720300.0000017,greenbean
384,Ivory Coast,61,41.39186887815595,4972.600000000001,2486300000.000001,19890400.000000007,149178000.00000006,greenbean
324,Guinea,62,1.3324403769802302,0,0,0,0,greenbean
624,Guinea-Bissau,63,55.319390907883644,0,0,0,0,greenbean
430,Liberia,64,0,0,0,0,0,greenbean
694,Sierra Leone,65,0,0,0,0,0,greenbean
854,Burkina Faso,66,5302.224537620554,9758.380000000005,4879190000.000002,39033520.00000002,292751400.0000001,greenbean
140,Central African Republic,67,9.982008205202874,0,0,0,0,greenbean
178,Republic of the Congo,68,2551.907073321636,4350.290000000001,2175145000.0000005,17401160.000000004,130508700.00000003,greenbean
266,Gabon,69,33.30500078201294,0,0,0,0,greenbean
226,Equatorial Guinea,70,6.287310063838959,0,0,0,0,greenbean
894,Zambia,71,4.848285680869594,0,0,0,0,greenbean
454,Malawi,72,3.5176239758729935,0,0,0,0,greenbean
508,Mozambique,73,56.85653012781404,0,0,0,0,greenbean
748,eSwatini,74,57.016246223822236,0,0,0,0,greenbean
024,Angola,75,1.970858326589223,0,0,0,0,greenbean
108,Burundi,76,2.5513067431747913,0,0,0,0,greenbean
376,Israel,77,6012.695157468319,11374.999999999995,5687499999.999997,45499999.99999998,341249999.9999998,greenbean
422,Lebanon,78,26346.88823223114,16940.000000000007,8470000000.000003,67760000.00000003,508200000.0000002,greenbean
450,Madagascar,79,2039.5463505459484,1058.960000000002,529480000.000001,4235840.000000008,31768800.00000006,greenbean
275,Israel,80,2899.127496123314,4790,2395000000,19160000,143700000,greenbean
270,Gambia,81,199.77207919955254,0,0,0,0,greenbean
788,Tunisia,82,2549.4775795787573,913.5500000000012,456775000.00000054,3654200.0000000047,27406500.000000034,greenbean
012,Algeria,83,27359.398741543293,100308.29999999986,50154149999.99993,401233199.99999946,3009248999.9999957,greenbean
400,Jordan,84,13290.399465799332,16462.520000000008,8231260000.000005,65850080.00000004,493875600.00000024,greenbean
784,United Arab Emirates,85,1469.2321729660034,156.00000000000003,78000000.00000001,624000.0000000001,4680000.000000001,greenbean
634,Qatar,86,0,0,0,0,0,greenbean
414,Kuwait,87,826.5674085617065,1239.0000000000002,619500000.0000001,4956000.000000001,37170000.00000001,greenbean
368,Iraq,88,407.4600400477648,3472.0000000000005,1736000000.0000005,13888000.000000004,104160000.00000003,greenbean
512,Oman,89,192.69198608398438,0,0,0,0,greenbean
548,Vanuatu,90,0,0,0,0,0,greenbean
116,Cambodia,91,254.6538050174713,0,0,0,0,greenbean
764,Thailand,92,84711.7770070564,283255.80999999994,141627904999.99997,1133023239.9999998,8497674299.999998,greenbean
418,Laos,93,449.51394782215357,0,0,0,0,greenbean
104,Myanmar,94,447.1917871697806,0,0,0,0,greenbean
704,Vietnam,95,442.83507645502687,0,0,0,0,greenbean
408,North Korea,96,166.5334748029709,0,0,0,0,greenbean
410,South Korea,97,0,0,0,0,0,greenbean
496,Mongolia,98,0.8526445268362295,0,0,0,0,greenbean
356,India,99,398856.7067595001,682085.3800000055,341042690000.00275,2728341520.000022,20462561400.000164,greenbean
050,Bangladesh,100,46965.105989307165,169734.99999999983,84867499999.99992,678939999.9999994,5092049999.999995,greenbean
064,Bhutan,101,6.313155215699226,3168.4899999999993,1584244999.9999995,12673959.999999998,95054699.99999997,greenbean
524,Nepal,102,410.22480282507604,243.44999999999993,121724999.99999997,973799.9999999999,7303499.999999998,greenbean
586,Pakistan,103,11768.24124065938,17403.00000000008,8701500000.00004,69612000.00000033,522090000.0000024,greenbean
004,Afghanistan,104,59.301645972416736,0,0,0,0,greenbean
762,Tajikistan,105,1375.7005503019318,29665.18000000002,14832590000.00001,118660720.00000007,889955400.0000005,greenbean
417,Kyrgyzstan,106,3796.0779184745625,6968.719999999993,3484359999.999996,27874879.99999997,209061599.99999976,greenbean
795,Turkmenistan,107,45.765716491267085,0,0,0,0,greenbean
364,Iran,108,14479.352531544864,64510.84999999992,32255424999.999958,258043399.99999967,1935325499.9999976,greenbean
760,Syria,109,31105.881793916225,43851.000000000015,21925500000.000008,175404000.00000006,1315530000.0000005,greenbean
051,Armenia,110,156.43542508780956,0,0,0,0,greenbean
752,Sweden,111,3.6407253071665764,210,105000000,840000,6300000,greenbean
112,Belarus,112,4.465781052858802,0,0,0,0,greenbean
804,Ukraine,113,978.8521818834706,2698.079999999999,1349039999.9999995,10792319.999999996,80942399.99999997,greenbean
616,Poland,114,2240.5846773614176,51300.00000000008,25650000000.00004,205200000.00000033,1539000000.0000024,greenbean
040,Austria,115,5993.6053566301125,6769.999999999998,3384999999.999999,27079999.999999996,203099999.99999994,greenbean
348,Hungary,116,25609.34613469243,14089.999999999982,7044999999.999991,56359999.99999993,422699999.99999946,greenbean
498,Moldova,117,4242.453808646649,1685.0800000000002,842540000,6740320,50552400,greenbean
642,Romania,118,76094.77154491981,29549.999999999975,14774999999.999989,118199999.99999991,886499999.9999993,greenbean
440,Lithuania,119,4.596394772641361,280,140000000,1120000,8400000,greenbean
428,Latvia,120,0,0,0,0,0,greenbean
233,Estonia,121,0,0,0,0,0,greenbean
276,Germany,122,41347.28055875003,41359.999999999956,20679999999.99998,165439999.99999985,1240799999.9999988,greenbean
100,Bulgaria,123,17918.43258216977,1820.0000000000011,910000000.0000006,7280000.000000005,54600000.00000003,greenbean
300,Greece,124,59363.11317253858,42969.999999999985,21484999999.999992,171879999.99999997,1289099999.9999995,greenbean
792,Turkey,125,465199.22009280324,547349.0000000009,273674500000.0005,2189396000.000004,16420470000.000029,greenbean
008,Albania,126,3866.4199489057064,11764.000000000011,5882000000.000005,47056000.000000045,352920000.0000003,greenbean
191,Croatia,127,8892.110923498869,4659.999999999998,2329999999.999999,18639999.999999996,139799999.99999994,greenbean
756,Switzerland,128,6305.042929857969,10655.000000000011,5327500000.000005,42620000.000000045,319650000.0000003,greenbean
442,Luxembourg,129,394.72727489471436,30.000000000000004,15000000.000000004,120000.00000000003,900000.0000000002,greenbean
056,Belgium,130,31723.888188958168,73000.00000000019,36500000000.00009,292000000.0000008,2190000000.0000057,greenbean
528,Netherlands,131,44297.46486020088,48839.99999999997,24419999999.999985,195359999.99999988,1465199999.999999,greenbean
620,Portugal,132,20529.010394990444,8360.00000000001,4180000000.0000043,33440000.000000037,250800000.00000027,greenbean
724,Spain,133,270980.15067332983,148020.0000000004,74010000000.0002,592080000.0000017,4440600000.000012,greenbean
372,Ireland,134,1450.295908476226,0,0,0,0,greenbean
540,France,135,0,0,0,0,0,greenbean
090,Solomon Islands,136,0,0,0,0,0,greenbean
554,New Zealand,137,7021.080096039921,7274.090000000008,3637045000.0000043,29096360.000000037,218222700.00000027,greenbean
036,Australia,138,32579.948431435514,34732.00000000008,17366000000.00004,138928000.00000033,1041960000.0000024,greenbean
144,Sri Lanka,139,30084.06693148613,179253.7999999999,89626899999.99995,717015199.9999996,5377613999.999997,greenbean
156,China,140,1639822.521860454,18101360.55999996,9050680279999.98,72405442239.99985,543040816799.9988,greenbean
158,Taiwan,141,0,0,0,0,0,greenbean
380,Italy,142,178393.90427026153,162219.99999999948,81109999999.99974,648879999.999998,4866599999.999985,greenbean
208,Denmark,143,9.040678977966309,0,0,0,0,greenbean
826,United Kingdom,144,22252.737599875778,24237.320000000083,12118660000.000042,96949280.00000034,727119600.0000025,greenbean
352,Iceland,145,0,0,0,0,0,greenbean
031,Azerbaijan,146,228.09583827853203,0,0,0,0,greenbean
268,Georgia,147,136.70227241516113,0,0,0,0,greenbean
608,Philippines,148,10077.809890769422,13420.830000000009,6710415000.000005,53683320.00000004,402624900.00000024,greenbean
