ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,greenbroadbean
834,United Republic of Tanzania,2,956.8812049861881,6548.97,1506263100,6548970,150626310,greenbroadbean
732,Western Sahara,3,0,0,0,0,0,greenbroadbean
124,Canada,4,0,0,0,0,0,greenbroadbean
840,United States of America,5,0,0,0,0,0,greenbroadbean
398,Kazakhstan,6,8295.953638913914,35015.28000000021,8053514400.000048,35015280.00000021,805351440.0000048,greenbroadbean
860,Uzbekistan,7,1007.7231233968632,5011.689999999997,1152688699.9999993,5011689.999999997,115268869.99999993,greenbroadbean
598,Papua New Guinea,8,0,0,0,0,0,greenbroadbean
360,Indonesia,9,0,0,0,0,0,greenbroadbean
032,Argentina,10,83.38368864703506,0,0,0,0,greenbroadbean
152,Chile,11,19193.407635904565,26451.8,6083914000,26451800,608391400,greenbroadbean
180,Democratic Republic of the Congo,12,0,0,0,0,0,greenbroadbean
706,Somalia,13,0.055270666256546974,0,0,0,0,greenbroadbean
404,Kenya,14,88.48702472547302,3331.319999999991,766203599.999998,3331319.999999991,76620359.99999979,greenbroadbean
729,Sudan,15,1.9588960129767656,0,0,0,0,greenbroadbean
148,Chad,16,0,0,0,0,0,greenbroadbean
332,Haiti,17,0,0,0,0,0,greenbroadbean
214,Dominican Republic,18,0,0,0,0,0,greenbroadbean
643,Russia,19,203.02125809646463,333.4599999999952,76695799.9999989,333459.9999999952,7669579.999999889,greenbroadbean
044,The Bahamas,20,0,0,0,0,0,greenbroadbean
238,United Kingdom,21,0,0,0,0,0,greenbroadbean
578,Norway,22,0,0,0,0,0,greenbroadbean
304,Denmark,23,0,0,0,0,0,greenbroadbean
260,France,24,0,0,0,0,0,greenbroadbean
626,East Timor,25,0,0,0,0,0,greenbroadbean
710,South Africa,26,0,0,0,0,0,greenbroadbean
426,Lesotho,27,0,0,0,0,0,greenbroadbean
484,Mexico,28,56282.27877008267,82536.74000000003,18983450200.000008,82536740.00000004,1898345020.0000007,greenbroadbean
858,Uruguay,29,0,0,0,0,0,greenbroadbean
076,Brazil,30,13.653245213252376,0,0,0,0,greenbroadbean
068,Bolivia,31,51401.44843833303,40301.00000000002,9269230000.000006,40301000.00000003,926923000.0000005,greenbroadbean
604,Peru,32,57439.795301885955,72200.03999999988,16606009199.999973,72200039.99999988,1660600919.9999971,greenbroadbean
170,Colombia,33,23.822965186904185,33576.87,7722680100,33576870,772268009.9999999,greenbroadbean
591,Panama,34,0,0,0,0,0,greenbroadbean
188,Costa Rica,35,0,0,0,0,0,greenbroadbean
558,Nicaragua,36,0,0,0,0,0,greenbroadbean
340,Honduras,37,3.911158800125122,0,0,0,0,greenbroadbean
222,El Salvador,38,4.798411846160889,0,0,0,0,greenbroadbean
320,Guatemala,39,4775.086652537808,29306.650000000005,6740529500.000001,29306650.000000007,674052950.0000001,greenbroadbean
084,Belize,40,0.4161660596728325,0,0,0,0,greenbroadbean
862,Venezuela,41,0,0,0,0,0,greenbroadbean
328,Guyana,42,0,0,0,0,0,greenbroadbean
740,Suriname,43,0,0,0,0,0,greenbroadbean
250,France,44,4542.490967135876,32479.9999999999,7470399999.999978,32479999.999999907,747039999.9999977,greenbroadbean
218,Ecuador,45,13836.177424313646,27872.259999999984,6410619799.999996,27872259.999999985,641061979.9999995,greenbroadbean
630,United States of America,46,0,0,0,0,0,greenbroadbean
388,Jamaica,47,0,0,0,0,0,greenbroadbean
192,Cuba,48,0,0,0,0,0,greenbroadbean
716,Zimbabwe,49,0,0,0,0,0,greenbroadbean
072,Botswana,50,0,0,0,0,0,greenbroadbean
516,Namibia,51,0,0,0,0,0,greenbroadbean
686,Senegal,52,0,0,0,0,0,greenbroadbean
466,Mali,53,1.351969338953495,0,0,0,0,greenbroadbean
478,Mauritania,54,0,0,0,0,0,greenbroadbean
204,Benin,55,3.4521573185920715,0,0,0,0,greenbroadbean
562,Niger,56,4098.599978797138,6505.870000000018,1496350100.000004,6505870.000000019,149635010.0000004,greenbroadbean
566,Nigeria,57,73.55792146921158,0,0,0,0,greenbroadbean
120,Cameroon,58,0,0,0,0,0,greenbroadbean
768,Togo,59,0,0,0,0,0,greenbroadbean
288,Ghana,60,0,0,0,0,0,greenbroadbean
384,Ivory Coast,61,0,0,0,0,0,greenbroadbean
324,Guinea,62,0,0,0,0,0,greenbroadbean
624,Guinea-Bissau,63,0,0,0,0,0,greenbroadbean
430,Liberia,64,0,0,0,0,0,greenbroadbean
694,Sierra Leone,65,0,0,0,0,0,greenbroadbean
854,Burkina Faso,66,10.13014910928905,0,0,0,0,greenbroadbean
140,Central African Republic,67,0,0,0,0,0,greenbroadbean
178,Republic of the Congo,68,0,0,0,0,0,greenbroadbean
266,Gabon,69,0,0,0,0,0,greenbroadbean
226,Equatorial Guinea,70,0,0,0,0,0,greenbroadbean
894,Zambia,71,2.9412340270355344,0,0,0,0,greenbroadbean
454,Malawi,72,3.900409145280719,1446.0200000000002,332584600.00000006,1446020.0000000002,33258460,greenbroadbean
508,Mozambique,73,2.6374929193407297,0,0,0,0,greenbroadbean
748,eSwatini,74,0,0,0,0,0,greenbroadbean
024,Angola,75,0,0,0,0,0,greenbroadbean
108,Burundi,76,2.5598267391324043,0,0,0,0,greenbroadbean
376,Israel,77,1537.2465464435518,283.9999999999999,65319999.99999998,283999.99999999994,6531999.999999997,greenbroadbean
422,Lebanon,78,12331.535633921623,15734.889999999994,3619024699.9999986,15734889.999999994,361902469.9999998,greenbroadbean
450,Madagascar,79,0,0,0,0,0,greenbroadbean
275,Israel,80,2034.5466154813766,3661.7600000000007,842204800.0000001,3661760.000000001,84220480.00000001,greenbroadbean
270,Gambia,81,0,0,0,0,0,greenbroadbean
788,Tunisia,82,20185.14974105358,84833.81999999998,19511778599.999996,84833819.99999999,1951177859.9999993,greenbroadbean
012,Algeria,83,115040.73262667656,287235.0999999996,66064072999.99991,287235099.99999964,6606407299.99999,greenbroadbean
400,Jordan,84,11745.399945646524,8045.999999999999,1850579999.9999998,8045999.999999999,185057999.99999994,greenbroadbean
784,United Arab Emirates,85,0,0,0,0,0,greenbroadbean
634,Qatar,86,0,0,0,0,0,greenbroadbean
414,Kuwait,87,372.19001054763794,708.61,162980300,708610,16298029.999999998,greenbroadbean
368,Iraq,88,138.6206201761961,45059.000000000015,10363570000.000002,45059000.000000015,1036357000.0000002,greenbroadbean
512,Oman,89,0,0,0,0,0,greenbroadbean
548,Vanuatu,90,0,0,0,0,0,greenbroadbean
116,Cambodia,91,3.8377594240009785,0,0,0,0,greenbroadbean
764,Thailand,92,1276.2942787460925,2158.3699999999994,496425099.9999998,2158369.9999999995,49642509.99999998,greenbroadbean
418,Laos,93,6.785199178382754,0,0,0,0,greenbroadbean
104,Myanmar,94,13.319601697498001,0,0,0,0,greenbroadbean
704,Vietnam,95,29.304891830775887,0,0,0,0,greenbroadbean
408,North Korea,96,11.032802067697048,0,0,0,0,greenbroadbean
410,South Korea,97,0,0,0,0,0,greenbroadbean
496,Mongolia,98,0.07320807976316246,0,0,0,0,greenbroadbean
356,India,99,0.4957011869382768,0,0,0,0,greenbroadbean
050,Bangladesh,100,0,0,0,0,0,greenbroadbean
064,Bhutan,101,0.09610671001428273,0,0,0,0,greenbroadbean
524,Nepal,102,0.5960444770753384,0,0,0,0,greenbroadbean
586,Pakistan,103,0.019766108132898808,0,0,0,0,greenbroadbean
004,Afghanistan,104,14.612793859661906,0,0,0,0,greenbroadbean
762,Tajikistan,105,9.52094626869075,0,0,0,0,greenbroadbean
417,Kyrgyzstan,106,179.44115414197586,1355.9199999999948,311861599.9999988,1355919.9999999949,31186159.999999877,greenbroadbean
795,Turkmenistan,107,29.912333462387323,0,0,0,0,greenbroadbean
364,Iran,108,9546.951155196875,0,0,0,0,greenbroadbean
760,Syria,109,29046.285405039787,71010.00000000003,16332300000.000006,71010000.00000003,1633230000.0000005,greenbroadbean
051,Armenia,110,22.506981045007706,0,0,0,0,greenbroadbean
752,Sweden,111,0,0,0,0,0,greenbroadbean
112,Belarus,112,0.13380116382904816,0,0,0,0,greenbroadbean
