ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,greencorn
834,United Republic of Tanzania,2,25235.435985233635,52631.660000000236,29473729600.000134,421053280.0000019,1105264860.000005,greencorn
732,Western Sahara,3,0,0,0,0,0,greencorn
124,Canada,4,305435.98131708824,197965.99999999994,110860959999.99997,1583727999.9999998,4157285999.999999,greencorn
840,United States of America,5,4098199.5826961384,2743281.999999996,1536237919999.9976,21946255999.99997,57608921999.999916,greencorn
398,Kazakhstan,6,34.66351140429646,865.9299999999995,484920799.9999997,6927439.999999996,18184529.99999999,greencorn
860,Uzbekistan,7,0.07457687621354125,0,0,0,0,greencorn
598,Papua New Guinea,8,214680.23811885715,246986.35000000012,138312356000.0001,1975890800.0000012,5186713350.000003,greencorn
360,Indonesia,9,221988.17203168944,852999.9999999988,477679999999.9994,6823999999.999991,17912999999.999977,greencorn
032,Argentina,10,278.36958468837247,0,0,0,0,greencorn
152,Chile,11,223079.54779370615,145059.15999999974,81233129599.99985,1160473279.9999979,3046242359.9999948,greencorn
180,Democratic Republic of the Congo,12,0,0,0,0,0,greencorn
706,Somalia,13,0,0,0,0,0,greencorn
404,Kenya,14,93.3994534611702,0,0,0,0,greencorn
729,Sudan,15,0,0,0,0,0,greencorn
148,Chad,16,0,0,0,0,0,greencorn
332,Haiti,17,0,0,0,0,0,greencorn
214,Dominican Republic,18,0,0,0,0,0,greencorn
643,Russia,19,0.8543302519537974,0,0,0,0,greencorn
044,The Bahamas,20,0,0,0,0,0,greencorn
238,United Kingdom,21,0,0,0,0,0,greencorn
578,Norway,22,0,0,0,0,0,greencorn
304,Denmark,23,0,0,0,0,0,greencorn
260,France,24,0,0,0,0,0,greencorn
626,East Timor,25,7.498457670211792,0,0,0,0,greencorn
710,South Africa,26,287218.6828608103,411319,230338640000,3290552000,8637699000,greencorn
426,Lesotho,27,192.3687286376953,0,0,0,0,greencorn
484,Mexico,28,202138.69937624864,1012442.0499999989,566967547999.9994,8099536399.999991,21261283049.999977,greencorn
858,Uruguay,29,3415.7385938139632,1061.47,594423200,8491760,22290870,greencorn
076,Brazil,30,215.2903317436576,0,0,0,0,greencorn
068,Bolivia,31,60526.266705160495,26100.000000000135,14616000000.000074,208800000.00000107,548100000.0000029,greencorn
604,Peru,32,335845.831284374,413298.18000000104,231446980800.00058,3306385440.0000086,8679261780.000023,greencorn
170,Colombia,33,90.39756871759892,0,0,0,0,greencorn
591,Panama,34,0,0,0,0,0,greencorn
188,Costa Rica,35,0,0,0,0,0,greencorn
558,Nicaragua,36,0,0,0,0,0,greencorn
340,Honduras,37,0,0,0,0,0,greencorn
222,El Salvador,38,0,0,0,0,0,greencorn
320,Guatemala,39,0,0,0,0,0,greencorn
084,Belize,40,0,0,0,0,0,greencorn
862,Venezuela,41,0,0,0,0,0,greencorn
328,Guyana,42,0,0,0,0,0,greencorn
740,Suriname,43,0,0,0,0,0,greencorn
250,France,44,448820.87300911546,424802.99999999924,237889679999.99957,3398423999.9999943,8920862999.999985,greencorn
218,Ecuador,45,952.8363084793091,0,0,0,0,greencorn
630,United States of America,46,0,0,0,0,0,greencorn
388,Jamaica,47,5.775742850732058,53.90999999999998,30189599.999999985,431279.9999999998,1132109.9999999995,greencorn
192,Cuba,48,0,0,0,0,0,greencorn
716,Zimbabwe,49,2303.249962735921,4243.9099999999935,2376589599.999996,33951279.99999995,89122109.99999987,greencorn
072,Botswana,50,138.80465807765722,0,0,0,0,greencorn
516,Namibia,51,0.35144472122192383,0,0,0,0,greencorn
686,Senegal,52,408.68321204185486,0,0,0,0,greencorn
466,Mali,53,2817.953672885895,0,0,0,0,greencorn
478,Mauritania,54,0,0,0,0,0,greencorn
204,Benin,55,525.8366365432739,0,0,0,0,greencorn
