ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,greenonion
834,United Republic of Tanzania,2,0,0,0,0,0,greenonion
732,Western Sahara,3,0,0,0,0,0,greenonion
124,Canada,4,0,0,0,0,0,greenonion
840,United States of America,5,4317.619296915516,0,0,0,0,greenonion
398,Kazakhstan,6,177.12802542031227,3551.989999999991,852477599.9999979,3551989.999999991,60383829.99999984,greenonion
860,Uzbekistan,7,0.3729425525962142,0,0,0,0,greenonion
598,Papua New Guinea,8,0,0,0,0,0,greenonion
360,Indonesia,9,0,0,0,0,0,greenonion
032,Argentina,10,107.967617373346,0,0,0,0,greenonion
152,Chile,11,0,0,0,0,0,greenonion
180,Democratic Republic of the Congo,12,264.0900892019272,0,0,0,0,greenonion
706,Somalia,13,0.05285118520259857,0,0,0,0,greenonion
404,Kenya,14,7.754669904708862,0,0,0,0,greenonion
729,Sudan,15,20.05657795071602,0,0,0,0,greenonion
148,Chad,16,0,0,0,0,0,greenonion
332,Haiti,17,0,0,0,0,0,greenonion
214,Dominican Republic,18,0,0,0,0,0,greenonion
643,Russia,19,31.422196310188156,0,0,0,0,greenonion
044,The Bahamas,20,0,0,0,0,0,greenonion
238,United Kingdom,21,0,0,0,0,0,greenonion
578,Norway,22,8527.554224817895,29811.000000000004,7154640000.000002,29811000.000000007,506787000.00000006,greenonion
304,Denmark,23,0,0,0,0,0,greenonion
260,France,24,0,0,0,0,0,greenonion
626,East Timor,25,0,0,0,0,0,greenonion
710,South Africa,26,0,0,0,0,0,greenonion
426,Lesotho,27,0,0,0,0,0,greenonion
484,Mexico,28,997355.0229930312,99119.40999999938,23788658399.99985,99119409.99999939,1685029969.9999895,greenonion
858,Uruguay,29,0,0,0,0,0,greenonion
076,Brazil,30,31.983829556033015,0,0,0,0,greenonion
068,Bolivia,31,6.960465312004089,0,0,0,0,greenonion
604,Peru,32,598.8824893906713,0,0,0,0,greenonion
170,Colombia,33,45.80223245569505,0,0,0,0,greenonion
