ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,greenpea
834,United Republic of Tanzania,2,3049.74052906665,9599.090000000004,2975717900.0000014,19198180.00000001,201580890.0000001,greenpea
732,Western Sahara,3,0,0,0,0,0,greenpea
124,Canada,4,66343.46680332263,50177.99999999991,15555179999.999971,100355999.99999982,1053737999.9999982,greenpea
840,United States of America,5,1011451.5213326822,238023.00000000204,73787130000.00064,476046000.0000041,4998483000.000043,greenpea
398,Kazakhstan,6,348.6959669735629,1677.5299999999938,520034299.9999981,3355059.999999988,35228129.99999987,greenpea
860,Uzbekistan,7,1054.8306865214836,4811.259999999987,1491490599.999996,9622519.999999974,101036459.99999972,greenpea
598,Papua New Guinea,8,0,0,0,0,0,greenpea
360,Indonesia,9,0,0,0,0,0,greenpea
032,Argentina,10,24442.12590915485,29340.610000000037,9095589100.000011,58681220.000000075,616152810.0000008,greenpea
152,Chile,11,29392.14546066377,15538.699999999997,4816996999.999999,31077399.999999996,326312699.99999994,greenpea
180,Democratic Republic of the Congo,12,0,0,0,0,0,greenpea
706,Somalia,13,18.91582884825766,0,0,0,0,greenpea
404,Kenya,14,31790.573535647243,74946.45000000001,23233399500.000004,149892900.00000003,1573875450.0000002,greenpea
729,Sudan,15,0.3296651444397867,0,0,0,0,greenpea
148,Chad,16,0,0,0,0,0,greenpea
332,Haiti,17,0,0,0,0,0,greenpea
214,Dominican Republic,18,0,0,0,0,0,greenpea
643,Russia,19,33556.054913798034,116115.70000000119,35995867000.00037,232231400.00000238,2438429700.0000253,greenpea
044,The Bahamas,20,0,0,0,0,0,greenpea
238,United Kingdom,21,0,0,0,0,0,greenpea
578,Norway,22,1862.2864179670855,4428.000000000002,1372680000.0000005,8856000.000000004,92988000.00000003,greenpea
304,Denmark,23,0,0,0,0,0,greenpea
260,France,24,0,0,0,0,0,greenpea
626,East Timor,25,0,0,0,0,0,greenpea
710,South Africa,26,17043.728808721877,4342.999999999991,1346329999.9999971,8685999.999999983,91202999.99999982,greenpea
426,Lesotho,27,10.037707056850195,0,0,0,0,greenpea
484,Mexico,28,46490.28712076502,70059.36000000018,21718401600.000057,140118720.00000036,1471246560.0000038,greenpea
858,Uruguay,29,0.5250442251563072,0,0,0,0,greenpea
076,Brazil,30,67.93602654337883,0,0,0,0,greenpea
068,Bolivia,31,21945.781486073975,22301.999999999985,6913619999.999995,44603999.99999997,468341999.9999997,greenpea
604,Peru,32,75497.32681752834,135047.5600000003,41864743600.00009,270095120.0000006,2835998760.000006,greenpea
170,Colombia,33,28740.633368931794,0,0,0,0,greenpea
591,Panama,34,0.03379996120929718,0,0,0,0,greenpea
188,Costa Rica,35,0,0,0,0,0,greenpea
558,Nicaragua,36,0,0,0,0,0,greenpea
340,Honduras,37,0,0,0,0,0,greenpea
222,El Salvador,38,0,0,0,0,0,greenpea
320,Guatemala,39,34.90251046419144,38999.99999999999,12089999999.999998,77999999.99999999,818999999.9999999,greenpea
084,Belize,40,0,0,0,0,0,greenpea
862,Venezuela,41,29.260472059249878,0,0,0,0,greenpea
328,Guyana,42,0,0,0,0,0,greenpea
740,Suriname,43,0,0,0,0,0,greenpea
250,France,44,479659.0544472411,245700.00000000087,76167000000.00026,491400000.0000017,5159700000.000018,greenpea
218,Ecuador,45,11140.426884323504,20141.940000000042,6244001400.000013,40283880.00000009,422980740.0000009,greenpea
630,United States of America,46,0,0,0,0,0,greenpea
388,Jamaica,47,0,0,0,0,0,greenpea
192,Cuba,48,0,0,0,0,0,greenpea
716,Zimbabwe,49,0,0,0,0,0,greenpea
072,Botswana,50,8.258024661801755,0,0,0,0,greenpea
516,Namibia,51,0.015834692865610123,0,0,0,0,greenpea
686,Senegal,52,0,0,0,0,0,greenpea
466,Mali,53,0,0,0,0,0,greenpea
478,Mauritania,54,0,0,0,0,0,greenpea
204,Benin,55,0,0,0,0,0,greenpea
562,Niger,56,0,0,0,0,0,greenpea
566,Nigeria,57,0,0,0,0,0,greenpea
120,Cameroon,58,0,0,0,0,0,greenpea
768,Togo,59,0,0,0,0,0,greenpea
288,Ghana,60,0,0,0,0,0,greenpea
384,Ivory Coast,61,0,0,0,0,0,greenpea
324,Guinea,62,0,0,0,0,0,greenpea
624,Guinea-Bissau,63,0,0,0,0,0,greenpea
430,Liberia,64,0,0,0,0,0,greenpea
694,Sierra Leone,65,0,0,0,0,0,greenpea
854,Burkina Faso,66,0,0,0,0,0,greenpea
140,Central African Republic,67,0,0,0,0,0,greenpea
178,Republic of the Congo,68,0,0,0,0,0,greenpea
266,Gabon,69,0,0,0,0,0,greenpea
226,Equatorial Guinea,70,0,0,0,0,0,greenpea
894,Zambia,71,9.326874487102032,0,0,0,0,greenpea
454,Malawi,72,12.368490539491177,2329.92,722275200,4659840,48928320,greenpea
508,Mozambique,73,41.08578143734485,0,0,0,0,greenpea
748,eSwatini,74,30.353896411601454,0,0,0,0,greenpea
024,Angola,75,0,0,0,0,0,greenpea
108,Burundi,76,8.117402635514736,0,0,0,0,greenpea
376,Israel,77,4603.826487779617,421.99999999999983,130819999.99999994,843999.9999999997,8861999.999999996,greenpea
422,Lebanon,78,5907.0275938510895,10709.999999999998,3320099999.9999995,21420000,224909999.99999997,greenpea
450,Madagascar,79,558.3240543747961,1377.1400000000049,426913400.0000015,2754280.00000001,28919940.000000104,greenpea
275,Israel,80,2323.2299616336823,2150,666500000,4300000,45150000,greenpea
270,Gambia,81,0,0,0,0,0,greenpea
788,Tunisia,82,15104.402322471142,53746.74000000003,16661489400.000008,107493480.00000006,1128681540.0000005,greenpea
012,Algeria,83,51387.71120083332,209409.39999999953,64916913999.999855,418818799.99999905,4397597399.99999,greenpea
400,Jordan,84,2722.7049907147884,1322.0000000000005,409820000.0000001,2644000.000000001,27762000.000000007,greenpea
784,United Arab Emirates,85,0,0,0,0,0,greenpea
634,Qatar,86,0,0,0,0,0,greenpea
414,Kuwait,87,0,0,0,0,0,greenpea
368,Iraq,88,89.00610341131687,0,0,0,0,greenpea
512,Oman,89,0,0,0,0,0,greenpea
548,Vanuatu,90,0,0,0,0,0,greenpea
116,Cambodia,91,17.313188523054123,0,0,0,0,greenpea
764,Thailand,92,5757.714536973974,2834.3000000000084,878633000.0000025,5668600.000000017,59520300.00000017,greenpea
418,Laos,93,30.68372706323862,0,0,0,0,greenpea
104,Myanmar,94,139.25583815015852,0,0,0,0,greenpea
704,Vietnam,95,377.05297166109085,0,0,0,0,greenpea
408,North Korea,96,141.9518150985241,0,0,0,0,greenpea
410,South Korea,97,0,0,0,0,0,greenpea
496,Mongolia,98,2.236699942674022,0,0,0,0,greenpea
356,India,99,2525932.1726256544,5848000.0000000065,1812880000000.0022,11696000000.000015,122808000000.00015,greenpea
050,Bangladesh,100,11991.872524023056,0,0,0,0,greenpea
064,Bhutan,101,28.96909662010148,749.38,232307800,1498760,15736980,greenpea
524,Nepal,102,2540.2449986612774,0,0,0,0,greenpea
586,Pakistan,103,67868.2190744956,218638.00000000006,67777780000.000015,437276000.0000001,4591398000.000001,greenpea
004,Afghanistan,104,106.72824444482103,0,0,0,0,greenpea
762,Tajikistan,105,9.584342334419489,0,0,0,0,greenpea
417,Kyrgyzstan,106,6.052203205646947,983.18,304785800,1966360,20646780,greenpea
795,Turkmenistan,107,30.508248027414083,0,0,0,0,greenpea
364,Iran,108,9601.408776022494,16746.83999999997,5191520399.99999,33493679.99999994,351683639.9999994,greenpea
760,Syria,109,13890.39380800724,15480.999999999973,4799109999.999991,30961999.999999948,325100999.99999946,greenpea
051,Armenia,110,544.6542964186519,940.8000000000002,291648000.00000006,1881600.0000000005,19756800.000000004,greenpea
752,Sweden,111,35725.73970777684,16250.000000000004,5037500000.000001,32500000.000000007,341250000.00000006,greenpea
112,Belarus,112,50.39907854185731,5837.999999999998,1809779999.9999995,11675999.999999998,122597999.99999997,greenpea
804,Ukraine,113,10439.191826797527,25760.000000000022,7985600000.000007,51520000.000000045,540960000.0000005,greenpea
616,Poland,114,369.0172626816129,54900.000000000065,17019000000.00002,109800000.00000012,1152900000.0000012,greenpea
040,Austria,115,6228.78131526112,9800,3038000000,19600000,205800000,greenpea
348,Hungary,116,120705.84479013085,90020.0000000001,27906200000.000034,180040000.00000024,1890420000.0000024,greenpea
498,Moldova,117,4118.737649053335,5956.999999999989,1846669999.9999964,11913999.999999978,125096999.99999978,greenpea
642,Romania,118,22189.60179695487,6280.000000000011,1946800000.0000036,12560000.000000022,131880000.00000024,greenpea
440,Lithuania,119,4008.2485866898933,310.0000000000007,96100000.00000022,620000.0000000014,6510000.000000015,greenpea
428,Latvia,120,525.0855808318593,0,0,0,0,greenpea
233,Estonia,121,137.08196893474087,660,204600000,1320000,13860000,greenpea
276,Germany,122,49096.99760257453,25509.99999999984,7908099999.99995,51019999.99999968,535709999.99999666,greenpea
100,Bulgaria,123,4709.898495808244,3440,1066400000,6880000,72240000,greenpea
300,Greece,124,7855.186656876467,9980.000000000013,3093800000.0000043,19960000.000000026,209580000.0000003,greenpea
792,Turkey,125,52693.63233397715,108492.00000000007,33632520000.000023,216984000.00000015,2278332000.0000014,greenpea
008,Albania,126,86.67118108272552,5727,1775370000,11454000,120267000,greenpea
191,Croatia,127,11102.630826935172,6099.999999999998,1890999999.9999995,12199999.999999998,128099999.99999997,greenpea
756,Switzerland,128,5292.234416902065,7223.000000000001,2239130000.0000005,14446000.000000004,151683000.00000003,greenpea
442,Luxembourg,129,767.6889324188232,0,0,0,0,greenpea
056,Belgium,130,55178.96812069416,70599.99999999994,21885999999.99998,141199999.99999988,1482599999.9999988,greenpea
528,Netherlands,131,64054.956545352936,21620.000000000025,6702200000.000009,43240000.00000006,454020000.0000006,greenpea
620,Portugal,132,6693.71605360508,15849.999999999998,4913499999.999999,31699999.999999996,332849999.99999994,greenpea
724,Spain,133,54338.966445658356,120479.99999999978,37348799999.99993,240959999.99999958,2530079999.9999957,greenpea
372,Ireland,134,5402.435253456235,0,0,0,0,greenpea
540,France,135,0,0,0,0,0,greenpea
090,Solomon Islands,136,0,0,0,0,0,greenpea
554,New Zealand,137,54944.47355735302,24739.419999999966,7669220199.999989,49478839.99999993,519527819.9999993,greenpea
036,Australia,138,51424.70448429798,18280.15,5666846500,36560300,383883150,greenpea
144,Sri Lanka,139,0,0,0,0,0,greenpea
156,China,140,1391102.9811031683,11613005.710000062,3600031770100.0195,23226011420.000126,243873119910.0013,greenpea
158,Taiwan,141,0,0,0,0,0,greenpea
380,Italy,142,76867.20649949275,80410.0000000001,24927100000.000034,160820000.0000002,1688610000.0000024,greenpea
208,Denmark,143,38148.8509734869,7360.000000000001,2281600000.0000005,14720000.000000004,154560000.00000003,greenpea
826,United Kingdom,144,366929.01659742,171212.6500000003,53075921500.0001,342425300.00000066,3595465650.0000067,greenpea
352,Iceland,145,0,0,0,0,0,greenpea
031,Azerbaijan,146,1810.2384106758982,1915.6999999999998,593867000,3831400,40229700,greenpea
268,Georgia,147,29.678940222598612,0,0,0,0,greenpea
608,Philippines,148,23487.39005549252,5070.380000000001,1571817800.0000002,10140760.000000002,106477980.00000001,greenpea
458,Malaysia,149,5.076826609671116,0,0,0,0,greenpea
096,Brunei,150,0,0,0,0,0,greenpea
705,Slovenia,151,537.5692299045622,630.0000000000002,195300000.00000006,1260000.0000000005,13230000.000000004,greenpea
246,Finland,152,6789.792403921485,7400.000000000008,2294000000.0000024,14800000.000000015,155400000.00000015,greenpea
703,Slovakia,153,5698.79867785512,2190,678900000,4380000,45990000,greenpea
203,Czechia,154,7073.339075702708,4789.999999999993,1484899999.9999976,9579999.999999985,100589999.99999985,greenpea
232,Eritrea,155,0.0954585736617446,0,0,0,0,greenpea
392,Japan,156,31132.614044126123,25100.000000000106,7781000000.000032,50200000.00000021,527100000.0000022,greenpea
600,Paraguay,157,37.389021099792444,0,0,0,0,greenpea
887,Yemen,158,0,0,0,0,0,greenpea
682,Saudi Arabia,159,0,0,0,0,0,greenpea
010,Antarctica,160,0,0,0,0,0,greenpea
-99,Northern Cyprus,161,0,0,0,0,0,greenpea
196,Cyprus,162,0,0,0,0,0,greenpea
504,Morocco,163,60215.57574161887,96859.49999999983,30026444999.999943,193718999.99999964,2034049499.9999964,greenpea
818,Egypt,164,211830.36406296492,151999.99999999988,47119999999.99996,303999999.99999976,3191999999.9999976,greenpea
434,Libya,165,6870.319910645485,6439.999999999999,1996399999.9999998,12880000,135240000,greenpea
231,Ethiopia,166,356.3997176683624,3252.7600000000107,1008355600.0000033,6505520.000000022,68307960.00000022,greenpea
262,Djibouti,167,0,0,0,0,0,greenpea
-99,Somaliland,168,0.17862249678000808,0,0,0,0,greenpea
800,Uganda,169,316.92107820510864,0,0,0,0,greenpea
646,Rwanda,170,0,0,0,0,0,greenpea
070,Bosnia and Herzegovina,171,244.90961568057537,0,0,0,0,greenpea
807,North Macedonia,172,2340.4098163470626,1943.9999999999989,602639999.9999996,3887999.999999998,40823999.99999998,greenpea
688,Republic of Serbia,173,20103.85980555415,0,0,0,0,greenpea
499,Montenegro,174,2413.3872045874596,0,0,0,0,greenpea
-99,Kosovo,175,2812.770559132099,0,0,0,0,greenpea
780,Trinidad and Tobago,176,0,0,0,0,0,greenpea
728,South Sudan,177,0.2515055690892041,0,0,0,0,greenpea
