ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,groundnut
834,United Republic of Tanzania,2,65281.912923719734,689999.999999997,3912299999999.983,339479999999.99854,177329999999.9992,groundnut
732,Western Sahara,3,0,0,0,0,0,groundnut
124,Canada,4,0,0,0,0,0,groundnut
840,United States of America,5,1700850.8240247662,2793380.0000000023,15838464600000.014,1374342960000.0012,717898660000.0006,groundnut
398,Kazakhstan,6,586.6584188246143,15.69999999999999,89018999.99999996,7724399.999999996,4034899.9999999977,groundnut
860,Uzbekistan,7,10270.682597774896,32478.00000000002,184150260000.0001,15979176000.00001,8346846000.000005,groundnut
598,Papua New Guinea,8,917.023906403454,1521.0700000000027,8624466900.000015,748366440.0000013,390914990.00000066,groundnut
360,Indonesia,9,1139233.596738413,714999.9999999992,4054049999999.995,351779999999.9996,183754999999.9998,groundnut
032,Argentina,10,546568.3296992166,1285431.000000001,7288393770000.006,632432052000.0005,330355767000.00024,groundnut
152,Chile,11,0.8192648477852345,0,0,0,0,groundnut
180,Democratic Republic of the Congo,12,363026.35705448315,465474.00000000116,2639237580000.0063,229013208000.00058,119626818000.00029,groundnut
706,Somalia,13,13.409574901685119,8349.8,47343366000,4108101600,2145898600,groundnut
404,Kenya,14,29832.079373814166,15604.199999999992,88475813999.99995,7677266399.999996,4010279399.9999976,groundnut
729,Sudan,15,688111.6518957913,0,0,0,0,groundnut
148,Chad,16,195914.94142010063,840034.9999999997,4762998449999.998,413297219999.9998,215888994999.9999,groundnut
332,Haiti,17,20669.124184012413,13224.999999999993,74985749999.99995,6506699999.999997,3398824999.999998,groundnut
214,Dominican Republic,18,3194.9395976364613,6189.739999999999,35095825799.99999,3045352079.9999995,1590763179.9999995,groundnut
643,Russia,19,42.18450252600451,0,0,0,0,groundnut
044,The Bahamas,20,0,0,0,0,0,groundnut
238,United Kingdom,21,0,0,0,0,0,groundnut
578,Norway,22,0,0,0,0,0,groundnut
304,Denmark,23,0,0,0,0,0,groundnut
260,France,24,0,0,0,0,0,groundnut
626,East Timor,25,3700.793454825878,3354.2300000000014,19018484100.000008,1650281160.0000007,862037110.0000004,groundnut
710,South Africa,26,132675.19929605443,50080.000000000146,283953600000.0008,24639360000.000072,12870560000.000036,groundnut
426,Lesotho,27,155.16008853912354,0,0,0,0,groundnut
484,Mexico,28,112064.10533948004,101251.06999999966,574093566899.998,49815526439.99983,26021524989.999912,groundnut
858,Uruguay,29,1215.602449116297,1811.6400000000003,10271998800.000002,891326880.0000002,465591480.00000006,groundnut
076,Brazil,30,180836.84292312196,651125.9999999986,3691884419999.9917,320353991999.9993,167339381999.99963,groundnut
068,Bolivia,31,13866.146601894201,26602.000000000055,150833340000.0003,13088184000.000027,6836714000.000013,groundnut
604,Peru,32,7354.0088308780105,4671.999999999997,26490239999.999985,2298623999.9999986,1200703999.9999993,groundnut
170,Colombia,33,3675.341402650488,2787.440000000005,15804784800.00003,1371420480.0000026,716372080.0000013,groundnut
591,Panama,34,0.5457540121860802,0,0,0,0,groundnut
188,Costa Rica,35,298.721025204286,225.1100000000001,1276373700.0000005,110754120.00000006,57853270.00000002,groundnut
558,Nicaragua,36,60613.832159318496,183727.99999999983,1041737759999.999,90394175999.99992,47218095999.999954,groundnut
340,Honduras,37,363.05412136449013,81.80000000000003,463806000.0000001,40245600.000000015,21022600.000000004,groundnut
222,El Salvador,38,389.3808730021119,0,0,0,0,groundnut
320,Guatemala,39,1564.2505177510902,10683.9,60577713000,5256478800,2745762300,groundnut
084,Belize,40,128.1109163183719,96.99999999999996,549989999.9999998,47723999.99999998,24928999.99999999,groundnut
862,Venezuela,41,1720.5760236226276,3448.1599999999885,19551067199.999935,1696494719.9999945,886177119.9999971,groundnut
328,Guyana,42,2421.326360336505,714.0000000000009,4048380000.0000052,351288000.0000005,183498000.00000024,groundnut
740,Suriname,43,223.26856836862862,21.999999999999954,124739999.99999973,10823999.999999978,5653999.999999988,groundnut
250,France,44,0.4041384826123249,0,0,0,0,groundnut
