ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,hazelnut
834,United Republic of Tanzania,2,0,0,0,0,0,hazelnut
732,Western Sahara,3,0,0,0,0,0,hazelnut
124,Canada,4,5.43908572581131e-5,0,0,0,0,hazelnut
840,United States of America,5,30165.046909052027,56060.000000000065,163134600000.00018,16145280000.000017,3363600000.000004,hazelnut
398,Kazakhstan,6,28.932920309263864,0,0,0,0,hazelnut
860,Uzbekistan,7,1136.875928580761,3741.690000000009,10888317900.000027,1077606720.0000026,224501400.00000054,hazelnut
598,Papua New Guinea,8,0,0,0,0,0,hazelnut
360,Indonesia,9,0,0,0,0,0,hazelnut
032,Argentina,10,0,0,0,0,0,hazelnut
152,Chile,11,0,0,0,0,0,hazelnut
180,Democratic Republic of the Congo,12,0,0,0,0,0,hazelnut
706,Somalia,13,0,0,0,0,0,hazelnut
404,Kenya,14,0,0,0,0,0,hazelnut
729,Sudan,15,0,0,0,0,0,hazelnut
148,Chad,16,1248.4695773124695,0,0,0,0,hazelnut
332,Haiti,17,0,0,0,0,0,hazelnut
214,Dominican Republic,18,0,0,0,0,0,hazelnut
643,Russia,19,2123.231507526264,0,0,0,0,hazelnut
044,The Bahamas,20,0,0,0,0,0,hazelnut
238,United Kingdom,21,0,0,0,0,0,hazelnut
578,Norway,22,0,0,0,0,0,hazelnut
304,Denmark,23,0,0,0,0,0,hazelnut
260,France,24,0,0,0,0,0,hazelnut
626,East Timor,25,0,0,0,0,0,hazelnut
710,South Africa,26,0,0,0,0,0,hazelnut
426,Lesotho,27,0,0,0,0,0,hazelnut
484,Mexico,28,0.0011991994397249073,0,0,0,0,hazelnut
858,Uruguay,29,0,0,0,0,0,hazelnut
076,Brazil,30,0,0,0,0,0,hazelnut
068,Bolivia,31,0,0,0,0,0,hazelnut
604,Peru,32,0,0,0,0,0,hazelnut
170,Colombia,33,0,0,0,0,0,hazelnut
591,Panama,34,0,0,0,0,0,hazelnut
188,Costa Rica,35,0,0,0,0,0,hazelnut
558,Nicaragua,36,0,0,0,0,0,hazelnut
340,Honduras,37,0,0,0,0,0,hazelnut
222,El Salvador,38,0,0,0,0,0,hazelnut
320,Guatemala,39,0,0,0,0,0,hazelnut
084,Belize,40,0,0,0,0,0,hazelnut
862,Venezuela,41,0,0,0,0,0,hazelnut
328,Guyana,42,0,0,0,0,0,hazelnut
740,Suriname,43,0,0,0,0,0,hazelnut
250,France,44,4304.176175046712,12659.99999999996,36840599999.999886,3646079999.9999886,759599999.9999976,hazelnut
218,Ecuador,45,0,0,0,0,0,hazelnut
630,United States of America,46,0,0,0,0,0,hazelnut
