ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,hempseed
834,United Republic of Tanzania,2,0.4021821338683367,0,0,0,0,hempseed
732,Western Sahara,3,0,0,0,0,0,hempseed
124,Canada,4,1522.309514268824,0,0,0,0,hempseed
840,United States of America,5,0.23688820004463196,0,0,0,0,hempseed
398,Kazakhstan,6,10.0944478430647,0,0,0,0,hempseed
860,Uzbekistan,7,0,0,0,0,0,hempseed
598,Papua New Guinea,8,0,0,0,0,0,hempseed
360,Indonesia,9,0,0,0,0,0,hempseed
032,Argentina,10,1.1839826444805013,0,0,0,0,hempseed
152,Chile,11,1085.9917099485374,1532.8499999999992,13550393999.999994,1532849999.9999993,0,hempseed
180,Democratic Republic of the Congo,12,0,0,0,0,0,hempseed
706,Somalia,13,0.48988259583711624,0,0,0,0,hempseed
404,Kenya,14,831.6144210039638,0,0,0,0,hempseed
729,Sudan,15,1.1592942195359212e-41,0,0,0,0,hempseed
148,Chad,16,0,0,0,0,0,hempseed
332,Haiti,17,0,0,0,0,0,hempseed
214,Dominican Republic,18,0,0,0,0,0,hempseed
643,Russia,19,241.4372139528806,3128.1000000000017,27652404000.000015,3128100000.000002,0,hempseed
044,The Bahamas,20,0,0,0,0,0,hempseed
238,United Kingdom,21,0,0,0,0,0,hempseed
578,Norway,22,0,0,0,0,0,hempseed
304,Denmark,23,0,0,0,0,0,hempseed
260,France,24,0,0,0,0,0,hempseed
626,East Timor,25,0,0,0,0,0,hempseed
710,South Africa,26,0,0,0,0,0,hempseed
426,Lesotho,27,0,0,0,0,0,hempseed
484,Mexico,28,1.422976551567922e-40,0,0,0,0,hempseed
858,Uruguay,29,0,0,0,0,0,hempseed
076,Brazil,30,0,0,0,0,0,hempseed
068,Bolivia,31,1.1477589653804898,0,0,0,0,hempseed
604,Peru,32,0.32823039777576923,0,0,0,0,hempseed
170,Colombia,33,0,0,0,0,0,hempseed
591,Panama,34,0,0,0,0,0,hempseed
188,Costa Rica,35,0,0,0,0,0,hempseed
558,Nicaragua,36,0,0,0,0,0,hempseed
340,Honduras,37,0,0,0,0,0,hempseed
222,El Salvador,38,0,0,0,0,0,hempseed
320,Guatemala,39,0,0,0,0,0,hempseed
084,Belize,40,0,0,0,0,0,hempseed
862,Venezuela,41,0,0,0,0,0,hempseed
328,Guyana,42,0,0,0,0,0,hempseed
740,Suriname,43,0,0,0,0,0,hempseed
250,France,44,4189.946658987463,0,0,0,0,hempseed
218,Ecuador,45,0,0,0,0,0,hempseed
630,United States of America,46,0,0,0,0,0,hempseed
388,Jamaica,47,0,0,0,0,0,hempseed
192,Cuba,48,0,0,0,0,0,hempseed
716,Zimbabwe,49,0,0,0,0,0,hempseed
072,Botswana,50,0,0,0,0,0,hempseed
516,Namibia,51,0,0,0,0,0,hempseed
686,Senegal,52,0,0,0,0,0,hempseed
466,Mali,53,0,0,0,0,0,hempseed
478,Mauritania,54,0,0,0,0,0,hempseed
204,Benin,55,0,0,0,0,0,hempseed
562,Niger,56,0,0,0,0,0,hempseed
566,Nigeria,57,0,0,0,0,0,hempseed
120,Cameroon,58,0,0,0,0,0,hempseed
768,Togo,59,0,0,0,0,0,hempseed
288,Ghana,60,0,0,0,0,0,hempseed
384,Ivory Coast,61,0,0,0,0,0,hempseed
324,Guinea,62,0,0,0,0,0,hempseed
624,Guinea-Bissau,63,0,0,0,0,0,hempseed
430,Liberia,64,0,0,0,0,0,hempseed
694,Sierra Leone,65,0,0,0,0,0,hempseed
854,Burkina Faso,66,0,0,0,0,0,hempseed
140,Central African Republic,67,0,0,0,0,0,hempseed
178,Republic of the Congo,68,0,0,0,0,0,hempseed
266,Gabon,69,0,0,0,0,0,hempseed
226,Equatorial Guinea,70,0,0,0,0,0,hempseed
894,Zambia,71,0,0,0,0,0,hempseed
454,Malawi,72,0,0,0,0,0,hempseed
508,Mozambique,73,0,0,0,0,0,hempseed
748,eSwatini,74,0,0,0,0,0,hempseed
024,Angola,75,0,0,0,0,0,hempseed
108,Burundi,76,0,0,0,0,0,hempseed
376,Israel,77,0,0,0,0,0,hempseed
422,Lebanon,78,0,0,0,0,0,hempseed
450,Madagascar,79,0,0,0,0,0,hempseed
275,Israel,80,0,0,0,0,0,hempseed
270,Gambia,81,0,0,0,0,0,hempseed
788,Tunisia,82,1953.2932195067406,0,0,0,0,hempseed
012,Algeria,83,6.050836086273193,0,0,0,0,hempseed
400,Jordan,84,0,0,0,0,0,hempseed
784,United Arab Emirates,85,0,0,0,0,0,hempseed
634,Qatar,86,0,0,0,0,0,hempseed
414,Kuwait,87,0,0,0,0,0,hempseed
368,Iraq,88,0.06487362075131387,0,0,0,0,hempseed
512,Oman,89,0,0,0,0,0,hempseed
548,Vanuatu,90,0,0,0,0,0,hempseed
116,Cambodia,91,0,0,0,0,0,hempseed
764,Thailand,92,0,0,0,0,0,hempseed
418,Laos,93,0,0,0,0,0,hempseed
104,Myanmar,94,5.4537882739678025,0,0,0,0,hempseed
704,Vietnam,95,10.952469596639276,0,0,0,0,hempseed
408,North Korea,96,8.114445494487882,0,0,0,0,hempseed
410,South Korea,97,0,0,0,0,0,hempseed
496,Mongolia,98,0.43803361793379736,0,0,0,0,hempseed
356,India,99,0.8493466817308217,0,0,0,0,hempseed
050,Bangladesh,100,0,0,0,0,0,hempseed
064,Bhutan,101,0.10745842900360003,0,0,0,0,hempseed
524,Nepal,102,0.7562377380545513,0,0,0,0,hempseed
586,Pakistan,103,0.052756680466700345,0,0,0,0,hempseed
