ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,hop
834,United Republic of Tanzania,2,0,0,0,0,0,hop
732,Western Sahara,3,0,0,0,0,0,hop
124,Canada,4,0,0,0,0,0,hop
840,United States of America,5,28904.34401663464,47090.000000000124,21190500000.000057,47090000.00000013,1601060000.0000043,hop
398,Kazakhstan,6,10.48352423470169,0,0,0,0,hop
860,Uzbekistan,7,0,0,0,0,0,hop
598,Papua New Guinea,8,0,0,0,0,0,hop
360,Indonesia,9,0,0,0,0,0,hop
032,Argentina,10,299.7232765633082,473.5699999999997,213106499.99999988,473569.99999999977,16101379.99999999,hop
152,Chile,11,0.07001587086824657,0,0,0,0,hop
180,Democratic Republic of the Congo,12,0,0,0,0,0,hop
706,Somalia,13,0,0,0,0,0,hop
404,Kenya,14,0,0,0,0,0,hop
729,Sudan,15,0,0,0,0,0,hop
148,Chad,16,0,0,0,0,0,hop
332,Haiti,17,0,0,0,0,0,hop
214,Dominican Republic,18,0,0,0,0,0,hop
643,Russia,19,738.394616352784,221.09999999999818,99494999.99999918,221099.9999999982,7517399.999999938,hop
044,The Bahamas,20,0,0,0,0,0,hop
238,United Kingdom,21,0,0,0,0,0,hop
578,Norway,22,0,0,0,0,0,hop
304,Denmark,23,0,0,0,0,0,hop
260,France,24,0,0,0,0,0,hop
626,East Timor,25,0,0,0,0,0,hop
710,South Africa,26,294.8687857911791,462.9200000000017,208314000.00000075,462920.0000000017,15739280.000000056,hop
426,Lesotho,27,0.19751090463250875,0,0,0,0,hop
484,Mexico,28,0,0,0,0,0,hop
858,Uruguay,29,0.004098094941582531,0,0,0,0,hop
076,Brazil,30,0.19370259123388678,0,0,0,0,hop
068,Bolivia,31,0.0021932819890935207,0,0,0,0,hop
604,Peru,32,0,0,0,0,0,hop
170,Colombia,33,0,0,0,0,0,hop
591,Panama,34,0,0,0,0,0,hop
188,Costa Rica,35,0,0,0,0,0,hop
558,Nicaragua,36,0,0,0,0,0,hop
340,Honduras,37,0,0,0,0,0,hop
222,El Salvador,38,0,0,0,0,0,hop
320,Guatemala,39,0,0,0,0,0,hop
084,Belize,40,0,0,0,0,0,hop
862,Venezuela,41,0,0,0,0,0,hop
328,Guyana,42,0,0,0,0,0,hop
740,Suriname,43,0,0,0,0,0,hop
250,France,44,1287.9742517457926,840.0000000000009,378000000.0000004,840000.0000000009,28560000.00000003,hop
218,Ecuador,45,0,0,0,0,0,hop
630,United States of America,46,0,0,0,0,0,hop
388,Jamaica,47,0,0,0,0,0,hop
192,Cuba,48,0,0,0,0,0,hop
716,Zimbabwe,49,0,0,0,0,0,hop
072,Botswana,50,0.1318221444162191,0,0,0,0,hop
516,Namibia,51,3.608391562011093e-4,0,0,0,0,hop
686,Senegal,52,0,0,0,0,0,hop
466,Mali,53,0,0,0,0,0,hop
478,Mauritania,54,0,0,0,0,0,hop
204,Benin,55,0,0,0,0,0,hop
562,Niger,56,0,0,0,0,0,hop
566,Nigeria,57,0,0,0,0,0,hop
120,Cameroon,58,0,0,0,0,0,hop
768,Togo,59,0,0,0,0,0,hop
288,Ghana,60,0,0,0,0,0,hop
384,Ivory Coast,61,0,0,0,0,0,hop
324,Guinea,62,0,0,0,0,0,hop
624,Guinea-Bissau,63,0,0,0,0,0,hop
430,Liberia,64,0,0,0,0,0,hop
694,Sierra Leone,65,0,0,0,0,0,hop
854,Burkina Faso,66,0,0,0,0,0,hop
140,Central African Republic,67,0,0,0,0,0,hop
178,Republic of the Congo,68,0,0,0,0,0,hop
266,Gabon,69,0,0,0,0,0,hop
226,Equatorial Guinea,70,0,0,0,0,0,hop
894,Zambia,71,0,0,0,0,0,hop
454,Malawi,72,0,0,0,0,0,hop
508,Mozambique,73,0.44939908431842923,0,0,0,0,hop
748,eSwatini,74,0.414911427826155,0,0,0,0,hop
024,Angola,75,0,0,0,0,0,hop
108,Burundi,76,0,0,0,0,0,hop
376,Israel,77,0,0,0,0,0,hop
422,Lebanon,78,0,0,0,0,0,hop
450,Madagascar,79,0,0,0,0,0,hop
275,Israel,80,0,0,0,0,0,hop
270,Gambia,81,0,0,0,0,0,hop
788,Tunisia,82,0,0,0,0,0,hop
012,Algeria,83,0,0,0,0,0,hop
400,Jordan,84,0,0,0,0,0,hop
784,United Arab Emirates,85,0,0,0,0,0,hop
634,Qatar,86,0,0,0,0,0,hop
414,Kuwait,87,0,0,0,0,0,hop
368,Iraq,88,120.3010502755642,0,0,0,0,hop
512,Oman,89,0,0,0,0,0,hop
548,Vanuatu,90,0,0,0,0,0,hop
116,Cambodia,91,0,0,0,0,0,hop
764,Thailand,92,0,0,0,0,0,hop
418,Laos,93,0,0,0,0,0,hop
104,Myanmar,94,3.145236104959622,0,0,0,0,hop
704,Vietnam,95,6.316362272948027,0,0,0,0,hop
408,North Korea,96,1553.4690283506934,2029.729999999999,913378499.9999996,2029729.9999999993,69010819.99999997,hop
410,South Korea,97,3.949274858022136,0,0,0,0,hop
496,Mongolia,98,0.31463708971932647,0,0,0,0,hop
356,India,99,0.4898239107351401,0,0,0,0,hop
050,Bangladesh,100,0,0,0,0,0,hop
064,Bhutan,101,0.061971994407940656,0,0,0,0,hop
524,Nepal,102,0.43612736739760294,0,0,0,0,hop
586,Pakistan,103,0.030425129749346524,0,0,0,0,hop
004,Afghanistan,104,46.570399939402705,0,0,0,0,hop
762,Tajikistan,105,0.008544767275452614,0,0,0,0,hop
417,Kyrgyzstan,106,0.03801938961260021,0,0,0,0,hop
795,Turkmenistan,107,86.63097576797009,0,0,0,0,hop
364,Iran,108,31319.613361142576,0,0,0,0,hop
760,Syria,109,262.97468304634094,0,0,0,0,hop
051,Armenia,110,53.25751162972301,0,0,0,0,hop
752,Sweden,111,0,0,0,0,0,hop
112,Belarus,112,11.537794119038153,0,0,0,0,hop
804,Ukraine,113,599.4280029843794,510.00000000000006,229500000.00000003,510000.0000000001,17340000.000000004,hop
616,Poland,114,2701.1873228384648,3640.000000000004,1638000000.0000017,3640000.0000000037,123760000.00000012,hop
040,Austria,115,493.09756283171146,500.0000000000004,225000000.00000018,500000.0000000004,17000000.00000001,hop
348,Hungary,116,32.29128750227392,0,0,0,0,hop
498,Moldova,117,2.4434633664786816,0,0,0,0,hop
642,Romania,118,251.03670117954607,209.99999999999986,94499999.99999994,209999.99999999988,7139999.999999995,hop
440,Lithuania,119,4.902015740517527,0,0,0,0,hop
428,Latvia,120,0.03647326957434416,0,0,0,0,hop
233,Estonia,121,0.09444371284916997,0,0,0,0,hop
