ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,karite
834,United Republic of Tanzania,2,0,0,0,0,0,karite
732,Western Sahara,3,0,0,0,0,0,karite
124,Canada,4,0,0,0,0,0,karite
840,United States of America,5,15389.194396166626,0,0,0,0,karite
398,Kazakhstan,6,0.6395784080559679,0,0,0,0,karite
860,Uzbekistan,7,107.10002369474387,0,0,0,0,karite
598,Papua New Guinea,8,0,0,0,0,0,karite
360,Indonesia,9,0,0,0,0,0,karite
032,Argentina,10,29640.578504445573,0,0,0,0,karite
152,Chile,11,4740.01209032638,0,0,0,0,karite
180,Democratic Republic of the Congo,12,0,0,0,0,0,karite
706,Somalia,13,0,0,0,0,0,karite
404,Kenya,14,0,0,0,0,0,karite
729,Sudan,15,0,0,0,0,0,karite
148,Chad,16,0,0,0,0,0,karite
332,Haiti,17,0,0,0,0,0,karite
214,Dominican Republic,18,0,0,0,0,0,karite
643,Russia,19,4.51051123545767,0,0,0,0,karite
044,The Bahamas,20,0,0,0,0,0,karite
238,United Kingdom,21,0,0,0,0,0,karite
578,Norway,22,0,0,0,0,0,karite
304,Denmark,23,0,0,0,0,0,karite
260,France,24,0,0,0,0,0,karite
626,East Timor,25,0,0,0,0,0,karite
710,South Africa,26,0,0,0,0,0,karite
426,Lesotho,27,0,0,0,0,0,karite
484,Mexico,28,1.9006465478020334e-38,0,0,0,0,karite
858,Uruguay,29,1350.0048213258722,0,0,0,0,karite
076,Brazil,30,51.38174183724856,0,0,0,0,karite
068,Bolivia,31,6.129485135736502,0,0,0,0,karite
604,Peru,32,5425.325091027316,0,0,0,0,karite
170,Colombia,33,1.4609267382289772,0,0,0,0,karite
591,Panama,34,0,0,0,0,0,karite
188,Costa Rica,35,0,0,0,0,0,karite
558,Nicaragua,36,0,0,0,0,0,karite
340,Honduras,37,52.43885898590088,0,0,0,0,karite
222,El Salvador,38,4842.884724110365,0,0,0,0,karite
320,Guatemala,39,86.12840270996094,0,0,0,0,karite
084,Belize,40,0,0,0,0,0,karite
862,Venezuela,41,8.22483667007462e-6,0,0,0,0,karite
328,Guyana,42,7.437856379510777e-4,0,0,0,0,karite
740,Suriname,43,0,0,0,0,0,karite
250,France,44,338.7208878553796,0,0,0,0,karite
218,Ecuador,45,15.398304585367441,0,0,0,0,karite
630,United States of America,46,0,0,0,0,0,karite
388,Jamaica,47,0,0,0,0,0,karite
192,Cuba,48,0,0,0,0,0,karite
716,Zimbabwe,49,0,0,0,0,0,karite
072,Botswana,50,0,0,0,0,0,karite
516,Namibia,51,0,0,0,0,0,karite
686,Senegal,52,48.762373208999634,0,0,0,0,karite
466,Mali,53,75147.65925924946,167966.9999999996,972528929999.9977,82303829999.9998,11421755999.999971,karite
