ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,kolanut
834,United Republic of Tanzania,2,0,0,0,0,0,kolanut
732,Western Sahara,3,0,0,0,0,0,kolanut
124,Canada,4,0,0,0,0,0,kolanut
840,United States of America,5,38818.44338971587,0,0,0,0,kolanut
398,Kazakhstan,6,9.790260941139422,0,0,0,0,kolanut
860,Uzbekistan,7,976.5861613088055,0,0,0,0,kolanut
598,Papua New Guinea,8,0,0,0,0,0,kolanut
360,Indonesia,9,0,0,0,0,0,kolanut
032,Argentina,10,0,0,0,0,0,kolanut
152,Chile,11,0,0,0,0,0,kolanut
180,Democratic Republic of the Congo,12,0,0,0,0,0,kolanut
706,Somalia,13,0,0,0,0,0,kolanut
404,Kenya,14,0,0,0,0,0,kolanut
729,Sudan,15,0,0,0,0,0,kolanut
148,Chad,16,464.97269955277443,0,0,0,0,kolanut
332,Haiti,17,0,0,0,0,0,kolanut
214,Dominican Republic,18,0,0,0,0,0,kolanut
643,Russia,19,7.002472428837791,0,0,0,0,kolanut
044,The Bahamas,20,0,0,0,0,0,kolanut
238,United Kingdom,21,0,0,0,0,0,kolanut
578,Norway,22,0,0,0,0,0,kolanut
304,Denmark,23,0,0,0,0,0,kolanut
260,France,24,0,0,0,0,0,kolanut
626,East Timor,25,0,0,0,0,0,kolanut
710,South Africa,26,0,0,0,0,0,kolanut
426,Lesotho,27,0,0,0,0,0,kolanut
484,Mexico,28,42.55046686791875,0,0,0,0,kolanut
858,Uruguay,29,0,0,0,0,0,kolanut
076,Brazil,30,0,0,0,0,0,kolanut
068,Bolivia,31,0,0,0,0,0,kolanut
604,Peru,32,0,0,0,0,0,kolanut
170,Colombia,33,0,0,0,0,0,kolanut
591,Panama,34,0,0,0,0,0,kolanut
188,Costa Rica,35,0,0,0,0,0,kolanut
558,Nicaragua,36,0,0,0,0,0,kolanut
340,Honduras,37,0,0,0,0,0,kolanut
222,El Salvador,38,0,0,0,0,0,kolanut
320,Guatemala,39,0,0,0,0,0,kolanut
084,Belize,40,0,0,0,0,0,kolanut
862,Venezuela,41,0,0,0,0,0,kolanut
328,Guyana,42,0,0,0,0,0,kolanut
740,Suriname,43,0,0,0,0,0,kolanut
250,France,44,0.11738044023513794,0,0,0,0,kolanut
218,Ecuador,45,0,0,0,0,0,kolanut
630,United States of America,46,0,0,0,0,0,kolanut
388,Jamaica,47,0,0,0,0,0,kolanut
192,Cuba,48,0,0,0,0,0,kolanut
716,Zimbabwe,49,0,0,0,0,0,kolanut
072,Botswana,50,0,0,0,0,0,kolanut
516,Namibia,51,0,0,0,0,0,kolanut
686,Senegal,52,0,0,0,0,0,kolanut
466,Mali,53,538.6913302540779,0,0,0,0,kolanut
478,Mauritania,54,0,0,0,0,0,kolanut
204,Benin,55,518.6251663425937,609.9700000000001,2128795300.0000007,12199400.000000004,54897300.000000015,kolanut
562,Niger,56,369.22189985215664,0,0,0,0,kolanut
566,Nigeria,57,73544.38040739205,170461.9199999995,594912100799.9983,3409238399.99999,15341572799.999954,kolanut
120,Cameroon,58,34570.10311514139,48583.59000000005,169556729100.00015,971671800.000001,4372523100.000004,kolanut
768,Togo,59,328.15375315770507,0,0,0,0,kolanut
288,Ghana,60,18455.163303263485,24696.929999999993,86192285699.99998,493938599.9999999,2222723699.9999995,kolanut
384,Ivory Coast,61,78350.28385901451,58391.63999999991,203786823599.9997,1167832799.9999983,5255247599.999992,kolanut
324,Guinea,62,108.13043278455734,0,0,0,0,kolanut
624,Guinea-Bissau,63,0,0,0,0,0,kolanut
430,Liberia,64,1.5577200651168823,0,0,0,0,kolanut
694,Sierra Leone,65,3763.6409899890423,8487.869999999999,29622666299.999996,169757399.99999997,763908299.9999999,kolanut
854,Burkina Faso,66,48.47939485311508,0,0,0,0,kolanut
140,Central African Republic,67,131.0714456140995,0,0,0,0,kolanut
178,Republic of the Congo,68,11.101946368813515,0,0,0,0,kolanut
266,Gabon,69,7.042322635650635,0,0,0,0,kolanut
226,Equatorial Guinea,70,90.026702880859375,0,0,0,0,kolanut
894,Zambia,71,0,0,0,0,0,kolanut
454,Malawi,72,0,0,0,0,0,kolanut
508,Mozambique,73,0,0,0,0,0,kolanut
748,eSwatini,74,0,0,0,0,0,kolanut
024,Angola,75,0,0,0,0,0,kolanut
108,Burundi,76,0,0,0,0,0,kolanut
376,Israel,77,292.4628143310547,0,0,0,0,kolanut
422,Lebanon,78,83.34040117263794,0,0,0,0,kolanut
450,Madagascar,79,0,0,0,0,0,kolanut
275,Israel,80,0,0,0,0,0,kolanut
270,Gambia,81,0,0,0,0,0,kolanut
788,Tunisia,82,0,0,0,0,0,kolanut
012,Algeria,83,0,0,0,0,0,kolanut
400,Jordan,84,3.0539674758911133,0,0,0,0,kolanut
784,United Arab Emirates,85,0,0,0,0,0,kolanut
634,Qatar,86,0,0,0,0,0,kolanut
414,Kuwait,87,0,0,0,0,0,kolanut
368,Iraq,88,66.09931367635727,0,0,0,0,kolanut
512,Oman,89,0,0,0,0,0,kolanut
548,Vanuatu,90,0,0,0,0,0,kolanut
116,Cambodia,91,0,0,0,0,0,kolanut
764,Thailand,92,0,0,0,0,0,kolanut
418,Laos,93,0,0,0,0,0,kolanut
104,Myanmar,94,2.9817397134611383,0,0,0,0,kolanut
704,Vietnam,95,5.98802381567657,0,0,0,0,kolanut
408,North Korea,96,4.436396082863212,0,0,0,0,kolanut
410,South Korea,97,0,0,0,0,0,kolanut
496,Mongolia,98,0.22772419529792387,0,0,0,0,kolanut
356,India,99,2.353062257046986,0,0,0,0,kolanut
050,Bangladesh,100,0,0,0,0,0,kolanut
064,Bhutan,101,0.05875055186334066,0,0,0,0,kolanut
524,Nepal,102,0.4134564925088853,0,0,0,0,kolanut
586,Pakistan,103,121.10661446925224,0,0,0,0,kolanut
004,Afghanistan,104,3.240645875739574,0,0,0,0,kolanut
762,Tajikistan,105,9.798939205240458,0,0,0,0,kolanut
417,Kyrgyzstan,106,70.71773024753202,0,0,0,0,kolanut
795,Turkmenistan,107,3.8291767574846745,0,0,0,0,kolanut
364,Iran,108,1.96912636840716,0,0,0,0,kolanut
760,Syria,109,17531.31209206581,0,0,0,0,kolanut
051,Armenia,110,4.917156311315783e-41,0,0,0,0,kolanut
752,Sweden,111,0,0,0,0,0,kolanut
112,Belarus,112,0,0,0,0,0,kolanut
804,Ukraine,113,0,0,0,0,0,kolanut
616,Poland,114,0,0,0,0,0,kolanut
040,Austria,115,0,0,0,0,0,kolanut
348,Hungary,116,0,0,0,0,0,kolanut
498,Moldova,117,0,0,0,0,0,kolanut
642,Romania,118,0,0,0,0,0,kolanut
440,Lithuania,119,0,0,0,0,0,kolanut
428,Latvia,120,0,0,0,0,0,kolanut
233,Estonia,121,0,0,0,0,0,kolanut
276,Germany,122,0,0,0,0,0,kolanut
100,Bulgaria,123,17.40411038696766,0,0,0,0,kolanut
300,Greece,124,4300.439831908792,0,0,0,0,kolanut
792,Turkey,125,34298.27923623659,0,0,0,0,kolanut
008,Albania,126,42.35982418060303,0,0,0,0,kolanut
191,Croatia,127,0,0,0,0,0,kolanut
756,Switzerland,128,1.9073408041149378,0,0,0,0,kolanut
442,Luxembourg,129,0,0,0,0,0,kolanut
056,Belgium,130,0,0,0,0,0,kolanut
528,Netherlands,131,0,0,0,0,0,kolanut
620,Portugal,132,0,0,0,0,0,kolanut
724,Spain,133,0,0,0,0,0,kolanut
372,Ireland,134,0,0,0,0,0,kolanut
540,France,135,0,0,0,0,0,kolanut
090,Solomon Islands,136,0,0,0,0,0,kolanut
554,New Zealand,137,0,0,0,0,0,kolanut
036,Australia,138,76.13249833639927,0,0,0,0,kolanut
144,Sri Lanka,139,0,0,0,0,0,kolanut
156,China,140,15055.577056085038,0,0,0,0,kolanut
158,Taiwan,141,0,0,0,0,0,kolanut
380,Italy,142,3275.449176148162,0,0,0,0,kolanut
208,Denmark,143,0,0,0,0,0,kolanut
826,United Kingdom,144,0,0,0,0,0,kolanut
352,Iceland,145,0,0,0,0,0,kolanut
031,Azerbaijan,146,3.7187658646251995e-41,0,0,0,0,kolanut
268,Georgia,147,10.283745527267456,0,0,0,0,kolanut
608,Philippines,148,0,0,0,0,0,kolanut
458,Malaysia,149,0,0,0,0,0,kolanut
096,Brunei,150,0,0,0,0,0,kolanut
705,Slovenia,151,0,0,0,0,0,kolanut
246,Finland,152,0,0,0,0,0,kolanut
703,Slovakia,153,0,0,0,0,0,kolanut
203,Czechia,154,0,0,0,0,0,kolanut
232,Eritrea,155,0,0,0,0,0,kolanut
392,Japan,156,0,0,0,0,0,kolanut
600,Paraguay,157,0,0,0,0,0,kolanut
887,Yemen,158,0,0,0,0,0,kolanut
682,Saudi Arabia,159,0,0,0,0,0,kolanut
010,Antarctica,160,0,0,0,0,0,kolanut
-99,Northern Cyprus,161,0,0,0,0,0,kolanut
