ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,lentil
834,United Republic of Tanzania,2,1.2767973393201828,0,0,0,0,lentil
732,Western Sahara,3,0,0,0,0,0,lentil
124,Canada,4,558230.2587953875,2867700.0000000023,9922242000000.008,51618600000.000046,693983400000.0005,lentil
840,United States of America,5,114144.3506839198,335569.99999999907,1161072199999.9966,6040259999.999983,81207939999.99977,lentil
398,Kazakhstan,6,48.12850811089447,51069.40999999998,176700158599.99994,919249379.9999996,12358797219.999996,lentil
860,Uzbekistan,7,233.77243948099203,1069.3300000000015,3699881800.0000052,19247940.000000026,258777860.00000036,lentil
598,Papua New Guinea,8,0,0,0,0,0,lentil
360,Indonesia,9,0,0,0,0,0,lentil
032,Argentina,10,6460.405497110642,34476.00000000016,119286960000.00055,620568000.0000029,8343192000.000039,lentil
152,Chile,11,2000.4316446966432,585.0000000000005,2024100000.0000017,10530000.00000001,141570000.00000012,lentil
180,Democratic Republic of the Congo,12,0,0,0,0,0,lentil
706,Somalia,13,1.2157786935567856,0,0,0,0,lentil
404,Kenya,14,2049.8083605365828,1766.3600000000051,6111605600.000018,31794480.000000093,427459120.00000125,lentil
729,Sudan,15,16.04796075820923,0,0,0,0,lentil
148,Chad,16,0,0,0,0,0,lentil
332,Haiti,17,0,0,0,0,0,lentil
214,Dominican Republic,18,0,0,0,0,0,lentil
643,Russia,19,4486.861966162464,115556.39999999944,399825143999.9981,2080015199.9999902,27964648799.999866,lentil
044,The Bahamas,20,0,0,0,0,0,lentil
238,United Kingdom,21,0,0,0,0,0,lentil
578,Norway,22,0,0,0,0,0,lentil
304,Denmark,23,0,0,0,0,0,lentil
260,France,24,0,0,0,0,0,lentil
626,East Timor,25,0,0,0,0,0,lentil
710,South Africa,26,0,0,0,0,0,lentil
426,Lesotho,27,0,0,0,0,0,lentil
484,Mexico,28,6724.776057507853,10089.579999999994,34909946799.99998,181612439.9999999,2441678359.9999986,lentil
858,Uruguay,29,0.08876701630651951,0,0,0,0,lentil
076,Brazil,30,5.536280107415223,0,0,0,0,lentil
068,Bolivia,31,0.9960270137817133,0,0,0,0,lentil
604,Peru,32,4226.940755987918,2555.26,8841199600.000002,45994680.00000001,618372920.0000001,lentil
170,Colombia,33,986.2029211925583,1322.1299999999987,4574569799.999995,23798339.999999978,319955459.9999997,lentil
591,Panama,34,0.0011473362101241946,0,0,0,0,lentil
188,Costa Rica,35,0,0,0,0,0,lentil
558,Nicaragua,36,0,0,0,0,0,lentil
340,Honduras,37,0,0,0,0,0,lentil
222,El Salvador,38,0,0,0,0,0,lentil
320,Guatemala,39,0,0,0,0,0,lentil
084,Belize,40,0,0,0,0,0,lentil
862,Venezuela,41,0.9932436412200332,0,0,0,0,lentil
328,Guyana,42,0,0,0,0,0,lentil
