ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,lettuce
834,United Republic of Tanzania,2,0.5065956711769104,0,0,0,0,lettuce
732,Western Sahara,3,0,0,0,0,0,lettuce
124,Canada,4,81495.99203065061,66813,8017560000,133626000,734943000,lettuce
840,United States of America,5,4025483.7325740177,3827618,459314160000,7655236000,42103798000,lettuce
398,Kazakhstan,6,93.70982736122096,0,0,0,0,lettuce
860,Uzbekistan,7,928.9104272658005,4876.910000000008,585229200.000001,9753820.000000017,53646010.0000001,lettuce
598,Papua New Guinea,8,0,0,0,0,0,lettuce
360,Indonesia,9,0,0,0,0,0,lettuce
032,Argentina,10,113.1040254296081,0,0,0,0,lettuce
152,Chile,11,80021.47227590816,108992.82999999917,13079139599.9999,217985659.99999833,1198921129.999991,lettuce
180,Democratic Republic of the Congo,12,13796.596973534673,15142.970000000047,1817156400.0000057,30285940.000000097,166572670.00000054,lettuce
706,Somalia,13,0.6334000285714865,0,0,0,0,lettuce
404,Kenya,14,1039.133519178722,966.7299999999998,116007599.99999997,1933459.9999999998,10634029.999999998,lettuce
729,Sudan,15,6.199124380946159,0,0,0,0,lettuce
148,Chad,16,0,0,0,0,0,lettuce
332,Haiti,17,605.6789489500225,734.8899999999998,88186799.99999997,1469779.9999999995,8083789.999999997,lettuce
214,Dominican Republic,18,3507.260093919933,6219.030000000005,746283600.0000006,12438060.000000011,68409330.00000006,lettuce
643,Russia,19,492.75765363126993,0,0,0,0,lettuce
044,The Bahamas,20,0,0,0,0,0,lettuce
238,United Kingdom,21,0,0,0,0,0,lettuce
578,Norway,22,2848.738784563075,24658.000000000004,2958960000.0000005,49316000.00000001,271238000.00000006,lettuce
304,Denmark,23,0,0,0,0,0,lettuce
260,France,24,0,0,0,0,0,lettuce
626,East Timor,25,0,0,0,0,0,lettuce
710,South Africa,26,31774.850578452926,33557.00000000005,4026840000.0000067,67114000.0000001,369127000.0000006,lettuce
426,Lesotho,27,21.2816424369812,0,0,0,0,lettuce
