ISO_N3_EH,SOVEREIGNT,num,totaltonnage_00,totaltonnage_20,totalcalories_20,totalfats_20,totalprt_20,crop
242,Fiji,1,0,0,0,0,0,linseed
834,United Republic of Tanzania,2,0.36701174825429916,0,0,0,0,linseed
732,Western Sahara,3,0,0,0,0,0,linseed
124,Canada,4,812298.034988225,578099.9999999959,2878937999999.9795,196553999999.9986,104057999999.99927,linseed
840,United States of America,5,224113.78798708832,144940.0000000005,721801200000.0024,49279600000.00017,26089200000.00009,linseed
398,Kazakhstan,6,1113.142887296117,1058247.0000000005,5270070060000.002,359803980000.0001,190484460000.00006,linseed
860,Uzbekistan,7,890.2068774004583,999.9999999999994,4979999999.999997,339999999.9999998,179999999.9999999,linseed
598,Papua New Guinea,8,0,0,0,0,0,linseed
360,Indonesia,9,0,0,0,0,0,linseed
032,Argentina,10,46782.82273477044,19514.99999999991,97184699999.99954,6635099999.999969,3512699999.9999833,linseed
152,Chile,11,954.0960458806177,1351.7600000000007,6731764800.000004,459598400.00000024,243316800.00000012,linseed
180,Democratic Republic of the Congo,12,0,0,0,0,0,linseed
706,Somalia,13,0.44704289734363556,0,0,0,0,linseed
404,Kenya,14,764.5127485600533,964.0800000000016,4801118400.000009,327787200.0000006,173534400.0000003,linseed
729,Sudan,15,21.54743593931198,0,0,0,0,linseed
148,Chad,16,0,0,0,0,0,linseed
332,Haiti,17,0,0,0,0,0,linseed
214,Dominican Republic,18,0,0,0,0,0,linseed
643,Russia,19,40965.123224493596,787922.6000000009,3923854548000.005,267893684000.00034,141826068000.00018,linseed
044,The Bahamas,20,0,0,0,0,0,linseed
238,United Kingdom,21,0,0,0,0,0,linseed
578,Norway,22,0,0,0,0,0,linseed
304,Denmark,23,0,0,0,0,0,linseed
260,France,24,0,0,0,0,0,linseed
626,East Timor,25,0,0,0,0,0,linseed
710,South Africa,26,0,0,0,0,0,linseed
426,Lesotho,27,0,0,0,0,0,linseed
484,Mexico,28,22.082820494892076,6.419999999999996,31971599.99999998,2182799.9999999986,1155599.9999999993,linseed
858,Uruguay,29,2885.7927984215785,5271.340000000011,26251273200.000057,1792255600.0000038,948841200.000002,linseed
076,Brazil,30,5580.188695178185,3748.0000000000005,18665040000.000004,1274320000.0000002,674640000.0000001,linseed
068,Bolivia,31,1.424167379795108,65.39,325642200,22232600,11770200,linseed
604,Peru,32,533.5569261848468,959.2799999999992,4777214399.999996,326155199.99999976,172670399.99999988,linseed
170,Colombia,33,0.15871867341184043,0,0,0,0,linseed
591,Panama,34,0,0,0,0,0,linseed
188,Costa Rica,35,0,0,0,0,0,linseed
558,Nicaragua,36,0,0,0,0,0,linseed
340,Honduras,37,0,0,0,0,0,linseed
222,El Salvador,38,0,0,0,0,0,linseed
320,Guatemala,39,0,0,0,0,0,linseed
084,Belize,40,0,0,0,0,0,linseed
862,Venezuela,41,0,0,0,0,0,linseed
328,Guyana,42,0,0,0,0,0,linseed
740,Suriname,43,0,0,0,0,0,linseed
250,France,44,35422.05563205574,59539.99999999991,296509199999.9996,20243599999.999973,10717199999.999985,linseed
218,Ecuador,45,31.34439114547743,57.39000000000012,285802200.0000006,19512600.00000004,10330200.00000002,linseed
630,United States of America,46,0,0,0,0,0,linseed
388,Jamaica,47,0,0,0,0,0,linseed
192,Cuba,48,0,0,0,0,0,linseed
716,Zimbabwe,49,0,0,0,0,0,linseed
072,Botswana,50,0,0,0,0,0,linseed
516,Namibia,51,0,0,0,0,0,linseed
686,Senegal,52,0,0,0,0,0,linseed
466,Mali,53,0,0,0,0,0,linseed
478,Mauritania,54,0,0,0,0,0,linseed
204,Benin,55,0,0,0,0,0,linseed
